,A.Open,A.High,A.Low,A.Close,A.Volume,A.Adjusted,Y
1/5/2018,68.730003,70.099998,68.730003,69.900002,1632500,68.964928,70.050003
1/8/2018,69.730003,70.330002,69.550003,70.050003,1613400,69.112915,71.769997
1/9/2018,70.68,72.330002,70.169998,71.769997,2666100,70.809906,70.790001
1/10/2018,71.449997,71.449997,70.110001,70.790001,2957200,69.843025,70.800003
1/11/2018,70.919998,71.18,70.300003,70.800003,1511100,69.852882,71.730003
1/12/2018,70.730003,71.860001,70.5,71.730003,1448100,70.770439,71.230003
1/16/2018,72.019997,72.470001,71.059998,71.230003,1702700,70.277138,72.059998
1/17/2018,71.720001,72.309998,71.589996,72.059998,1824500,71.096024,72.190002
1/18/2018,72.199997,72.5,71.669998,72.190002,1828300,71.224297,73.07
1/19/2018,72.480003,73.220001,72.059998,73.07,2266100,72.092522,73.480003
1/22/2018,73.169998,73.550003,72.599998,73.480003,1963700,72.497025,73.440002
1/23/2018,74.050003,74.080002,73.25,73.440002,1213400,72.457573,73.580002
1/24/2018,73.660004,73.860001,73.050003,73.580002,1754300,72.595695,73.860001
1/25/2018,74.169998,74.489998,73.650002,73.860001,1664100,72.871956,74.82
1/26/2018,74.300003,74.830002,73.589996,74.82,2386900,73.819107,74.529999
1/29/2018,74.480003,75,74.300003,74.529999,1321900,73.532974,72.989998
1/30/2018,73.989998,74.080002,72.93,72.989998,1817000,72.013588,73.43
1/31/2018,73.769997,74.389999,73.239998,73.43,2032800,72.447701,72.830002
2/1/2018,73.18,73.779999,72.510002,72.830002,2008200,71.855728,71.25
2/2/2018,72.32,72.760002,71.220001,71.25,1955700,70.296867,68.220001
2/5/2018,70.860001,71.480003,68.18,68.220001,2860700,67.307404,68.449997
2/6/2018,66.959999,68.830002,66.129997,68.449997,4121200,67.534309,68.059998
2/7/2018,68.190002,69.080002,67.910004,68.059998,1988100,67.149544,65.050003
2/8/2018,68.089996,68.160004,65.029999,65.050003,4163400,64.179817,66.980003
2/9/2018,66.400002,67.529999,65.290001,66.980003,4517000,66.083992,68.43
2/12/2018,67.459999,69.050003,67.370003,68.43,4227600,67.514595,68.339996
2/13/2018,67.970001,68.489998,67.660004,68.339996,1825500,67.425797,69.699997
