"","ATR","ADX","OBV","WR","RSI","CMF","BandPer","BandWid","CO","DIS","EOM","FI","MAO","MFI","MI","MOM","NCO","PO","PSY","RMI","ROC","SROC","SONAR","SONSIG","TRIX","VMA","VOS","VROC","Return","Sigma","CCI","RSV","Kvalue","Dvalue","Jvalue","MACD","AD","VOLA","NBIAS","Ret","SMA_5","SMA_10","EMA_5","EMA_10","Label"
"2004-04-02",0.0765113069800557,27.4774736674114,268701106,0.728260869565232,51.1557313398886,0.0562139844844388,0.397163297386105,0.10498322941003,1552911.57396443,98.9070394211381,3.74730769710824e-11,85403.9296207033,0.0274655973774576,42.7389087421388,227.735801246221,93.6485273396645,-0.13911146723647,-0.0208979248440916,0.5,-4.0674789863251,-0.0568222303086753,99.895833817275,0.162837400522805,0.20780205452775,0.129460540947357,14125073.1,-16.2561254420918,-0.854138527405606,-0.00178765903156537,0.0200755247148722,-72.4862011039119,0.271739130434768,0.267477727629077,0.334963538596688,0.132506105693853,0.884375272631122,41629631.8421037,-0.331847597589451,0.568399613233734,0.00468838373173186,2.3564760505698,2.40572150997151,2.37511380363276,2.38939209340885,0
"2004-04-05",0.0769087683150179,25.8265149144961,260022417,0.880434782608708,47.6440309951687,0.0787375678459905,0.231442515980552,0.10252558908907,1274710.35511971,97.1866755110657,-3.3447448658471e-11,-120745.896211701,0.0154984442344235,37.6117182598555,236.513779903636,94.4954584881359,-0.1140714031339,-0.0112031730480504,0.4,-3.02856041941553,-0.0475907776848268,100.083811644695,0.155019834758285,0.197245610573857,0.0919413530387603,13894994.1,-17.4513387677079,-0.361495315869041,-0.00238829603137204,0.0203976724961052,-78.1874039938563,0.119565217391292,0.218173557549815,0.296033544914397,0.0624535828206507,0.645434396126432,37116713.5621043,-0.274188183533323,-0.571311012170455,-0.01650642094488,2.35925827991453,2.38568945868946,2.3635222425453,2.38047337103822,1
"2004-04-06",0.07174177096052,24.1138141395882,271344511,0.781249999999988,49.251900624771,0.131478689684869,0.287450313336323,0.099480181955327,3618778.51343849,97.7556588644309,-1.57248652867108e-10,-74520.7359552799,0.000445870087298239,21.6732416206347,251.474341714896,97.2450969981146,-0.14467592592592,-0.00542085868739603,0.5,-1.02930277970574,-0.0595704563672926,100.161375204243,0.147375584922616,0.187271605443609,0.0588329433053536,14022508,-16.5306148801278,-1.22479370189457,-0.00458141010267001,0.0171287635463512,-81.2403100775188,0.218750000000012,0.218365705033214,0.270144264954003,0.114808585191636,0.506611148184377,46469747.7360202,-0.291366133387145,-0.0786311219940392,0.00710756895804077,2.36092761752137,2.37372587250712,2.36135899384311,2.37621139383832,0
"2004-04-07",0.0663760429385421,22.5234491343165,261773701,0.924731182795681,45.7234421080174,0.0844614504608951,0.133836118261441,0.101062203044673,2622172.32124342,96.2345833678768,1.37494738850436e-11,-91895.3325320225,-0.018744378469937,24.5332235280233,263.844339599766,95.747977075961,-0.22257834757834,-0.00449398844369444,0.5,-1.23332370166265,-0.0916839339864089,100.359408703948,0.133898825048008,0.176597049364489,0.0243438782617567,14098075.6,-16.817938502653,-1.12598308556767,-0.00394684238076316,0.0164488604885399,-83.1399317406091,0.0752688172043193,0.170666742423582,0.236985090777196,0.0380300457163552,0.261074183726318,40276870.6771974,-0.30348305243865,-1.51692923921129,-0.0166635996275283,2.35258092948718,2.36315340099715,2.34693309109959,2.36564228325181,0
"2004-04-08",0.063991274928775,21.5461739804272,250305231,0.989898989898987,42.8872961223543,0.0429560367506182,0.051369374488939,0.109113015468777,-442799.74323941,95.0681546755616,-1.05294326075003e-10,-377844.801682732,-0.0323880031412065,25.1162118680061,273.395100331998,94.6954132095983,-0.19197382478633,-0.00583629283405373,0.5,-0.524152968802439,-0.0806819210449439,100.625330257084,0.109259733421478,0.163129586175887,-0.0139689192827697,14062740.1,-15.6018730060616,-0.214732724376692,-0.00635207999986792,0.0152078685431247,-112.562814070352,0.0101010101010129,0.117144831649393,0.197038337734595,-0.042642180521012,-0.0476620433502939,30572780.6771975,-0.348850089729108,-2.41629886848004,-0.0145074794056199,2.3358875534188,2.34952047720798,2.32618690522499,2.35092451056526,0
"2004-04-09",0.0663760429385421,21.5049562344691,238653146,0.94782608695654,39.5821986292179,0.0185235429796021,-0.0377911465251317,0.119766765758878,-3826000.93773438,93.5590493726927,-2.14577772211181e-10,-434588.278746037,-0.0386836887738311,15.44787845634,279.222593476426,96.4122301963622,-0.18084490740741,-0.0103642672613449,0.5,-0.241766029281177,-0.0775421227364993,100.971495541898,0.091652379941106,0.148834144928931,-0.0584922560792678,14241595.45,-14.3481544404289,-0.265332153289858,-0.00876896385100502,0.0141046506419204,-156.922175854748,0.0521739130434596,0.0954878587807483,0.163188178083313,-0.0399127798243806,-0.43224827709526,23033196.2654316,-0.219676017777545,-3.33730059904697,-0.0184354224710331,2.30862170584046,2.33254887820513,2.29844496791827,2.33129479833609,1
"2004-04-12",0.0624014295889293,21.6239322204397,246481855,0.847826086956526,40.8903777338219,-0.0226890886887713,0.0742409343769836,0.132447813992377,-3336698.02462101,94.4012288968161,-2.05664360030237e-10,-199578.268284799,-0.0484214914803842,16.6124193217083,286.972704259939,95.9723945458223,-0.16693376068376,-0.0148134828065882,0.6,-0.379552536353318,-0.0714441481542444,101.172758254969,0.0818199675239843,0.135431309447941,-0.102088423907154,13613891.85,-15.8731487040586,-0.796899465705893,-0.00661549370345823,0.0137009115137167,-178.866146848604,0.152173913043474,0.114383210201657,0.146919855456094,0.0493099196927824,-0.692810438569669,28904728.0154311,-0.299576131532424,-1.97618723101823,0.00494943901693612,2.29137188390313,2.32531508190883,2.28365998217343,2.31725756421749,0
"2004-04-13",0.0657798509361007,22.6298835814419,230415851,0.983050847457622,33.4750295409011,-0.0697805359923471,-0.136742964785624,0.150904464703414,-7177800.58122956,90.5007365662064,-2.37774424960483e-10,-805724.320023094,-0.0649900239243175,16.8070234145348,279.327427938936,91.0395749340353,-0.26431178774928,-0.024734902201561,0.5,-0.303964875915288,-0.116029728646548,101.71482646183,0.0641831888474744,0.121181685327848,-0.158193970399356,13794290.3,-11.2011777269664,-0.0021975705756283,-0.00844116237089833,0.0170966086002292,-199.096225412013,0.016949152542378,0.0819051909818973,0.125248300631362,-0.00478102831703192,-1.25575445121227,14206043.5047932,-0.0757707067891366,-5.25557612291271,-0.0480391232666577,2.24963844373219,2.30528303062678,2.23856175331031,2.28654987901141,0
"2004-04-14",0.0675684269434272,24.4826632792102,213854842,0.923611111111118,29.2638733242223,-0.187874057986522,-0.176473716447774,0.179369390199871,-10199734.7326222,88.049798708443,-7.47390415798405e-10,-1494358.20089924,-0.0776527344035336,16.2489998263093,266.512723991802,87.4291280083765,-0.2559650997151,-0.034649594368075,0.4,-0.236916955541986,-0.116561839845118,102.411151430525,0.0365601504329525,0.104257378348869,-0.229818259972081,12695623.85,-7.1968756149108,0.558686505967714,-0.0109492608475359,0.0184651856389276,-226.198488173617,0.0763888888888816,0.0800664236175587,0.110187674960094,0.0198239209324878,-1.9621431512898,6987142.14581751,0.0996521047397505,-6.72648884421604,-0.0369350324334506,2.20011476139601,2.2763478454416,2.18252879351741,2.24726133263326,1
"2004-04-15",0.0747227309727315,24.715521873298,228518791,0.792592592592596,34.6399829224935,-0.124198943807832,0.00258843876440943,0.190118164455732,-12340199.3877106,90.7105510578812,5.80667604568217e-10,-298284.364705814,-0.0873727023065949,24.5308708011051,244.129167228318,89.0080855213229,-0.23092503561254,-0.0390357127052093,0.4,-0.449193482866624,-0.103496650041152,102.708825467992,0.0123460669786528,0.0858751160748257,-0.298518764059463,11953363,-5.24537473080557,0.517129159163657,-0.00907128195679683,0.0205105266311214,-134.336099585063,0.207407407407404,0.122513418214174,0.114296256044787,0.138947742552946,-2.33603996745753,854945.291271742,0.320910535999331,-3.1388888621187,0.0225870983459515,2.16672800925926,2.25130778133903,2.16093945327561,2.22371577629849,0
