"","ADT.Open","ADT.High","ADT.Low","ADT.Close","ADT.Volume","ADT.Adjusted"
"2018-01-19",12.65,12.97,12,12.39,68187400,12.046575
"2018-01-22",12.12,12.18,11.12,11.45,26132900,11.132629
"2018-01-23",11.47,12.12,11.45,11.91,8272100,11.579879
"2018-01-24",11.91,12.144,11.3,11.91,10369000,11.579879
"2018-01-25",11.91,11.94,11.6,11.9,9448600,11.570155
"2018-01-26",11.81,11.92,11.75,11.9,7910600,11.570155
"2018-01-29",11.89,12.23,11.85,12.08,9508400,11.745166
"2018-01-30",12,12.4,11.91,12.4,5638800,12.056295
"2018-01-31",12.46,12.57,12.4,12.48,6624700,12.134078
"2018-02-01",12.48,12.81,12.45,12.75,6075100,12.396596
"2018-02-02",12.64,12.95,12.6,12.86,6012400,12.503546
"2018-02-05",12.8,12.85,12.46,12.64,4006400,12.289645
"2018-02-06",12.2,12.5,12.14,12.3,4608500,11.959067
"2018-02-07",12.22,12.54,12.2,12.51,2671200,12.163247
"2018-02-08",12.57,12.57,12.27,12.37,4065800,12.027129
"2018-02-09",12.39,12.68,12.15,12.64,4091500,12.289645
"2018-02-12",12.64,12.77,12.47,12.68,2783100,12.328536
"2018-02-13",13,13.02,12.09,12.15,6081700,11.813225
"2018-02-14",12.18,12.19,11.77,11.94,5808100,11.609047
