"","JCI.Open","JCI.High","JCI.Low","JCI.Close","JCI.Volume","JCI.Adjusted"
"2001-01-02",114.515182,116.206886,109.70034,110.350998,3923700,40.734867
"2001-01-03",110.350998,118.679375,108.008636,117.638321,6576200,43.4249
"2001-01-04",118.158852,119.720421,117.378059,118.679375,5640000,43.809174
"2001-01-05",118.679375,118.679375,114.645317,116.597275,3609200,43.040585
"2001-01-08",116.597275,116.857536,112.302956,113.734398,2651100,41.983807
"2001-01-09",114.254921,116.467148,114.124794,115.426102,2530000,42.608276
"2001-01-10",115.426102,119.720421,114.645317,118.288979,3887400,43.665081
"2001-01-11",119.720421,121.932648,119.199898,121.412117,4227000,44.81797
"2001-01-12",122.062775,125.316048,120.891594,123.364082,6489000,45.538479
"2001-01-16",124.66539,125.446175,122.973694,124.144867,4371500,45.826698
"2001-01-17",124.66539,124.925652,120.891594,121.672379,4577500,44.914009
"2001-01-18",123.884605,128.178925,122.713432,127.788536,6630300,47.171715
"2001-01-19",128.569321,128.829575,125.055786,127.268013,3933400,46.97958
"2001-01-22",127.268013,128.309052,123.884605,126.226967,3936700,46.595291
"2001-01-23",127.528275,129.870621,127.268013,129.219971,5255000,47.700134
"2001-01-24",129.089844,129.870621,127.137878,129.350098,4476300,47.748161
"2001-01-25",129.48024,129.610367,128.178925,129.48024,3378500,47.796207
"2001-01-26",129.089844,131.041809,127.268013,129.350098,3345000,47.748161
"2001-01-29",131.151123,131.609177,128.048798,129.610367,3410700,47.844196
"2001-01-30",129.610367,131.171936,128.340286,130.755524,2786200,48.266949
"2001-01-31",130.755524,130.880447,127.944695,128.257004,3371700,47.344673
"2001-02-01",128.257004,128.402756,125.175507,126.924461,2903700,46.85276
"2001-02-02",127.944695,127.944695,124.405128,125.508644,4738200,46.330109
"2001-02-05",126.903641,129.089844,126.799538,127.798943,3061800,47.175591
"2001-02-06",127.944695,128.13208,126.716255,126.903641,3510800,46.845085
"2001-02-07",123.884605,124.946472,123.572296,124.717445,9967400,46.038059
"2001-02-08",124.717445,124.925652,123.738861,124.55088,3696800,45.976604
"2001-02-09",124.509239,124.53006,122.218933,123.176697,4485000,45.469311
"2001-02-12",123.218338,124.53006,122.781097,124.301025,3902900,45.884361
"2001-02-13",124.821548,125.758492,123.655579,124.280205,4295300,45.876637
"2001-02-14",124.488411,124.904831,121.490196,124.904831,3196300,46.107239
"2001-02-15",124.904831,125.675209,122.926842,125.425354,2847200,46.299389
"2001-02-16",122.843559,123.051773,119.033325,120.03273,5138600,44.308743
"2001-02-20",120.03273,122.11483,117.638321,119.928627,4713300,44.270329
"2001-02-21",119.720421,120.553253,113.453316,114.515182,5004200,42.272015
"2001-02-22",114.536003,115.535408,110.184425,114.515182,6379800,42.272015
"2001-02-23",114.515182,115.556229,108.268898,111.975029,5253100,41.334339
"2001-02-26",114.202866,116.597275,112.120773,115.098167,4056400,42.487202
"2001-02-27",117.326012,117.326012,110.975624,112.84951,3752000,41.657158
"2001-02-28",112.84951,114.515182,111.621071,113.786453,5467300,42.003014
"2001-03-01",113.578239,115.514587,112.953613,113.682343,3711600,41.964588
"2001-03-02",111.704353,114.182045,109.414055,112.620476,4639400,41.57262
"2001-03-05",112.620476,112.620476,109.622261,110.330177,3464900,40.727169
"2001-03-06",112.43309,115.348022,111.912567,114.306976,3702300,42.195137
"2001-03-07",114.723396,118.471161,114.306976,117.076157,3798400,43.334881
"2001-03-08",117.076157,118.262955,116.389069,117.763252,3824900,43.58923
"2001-03-09",117.013695,117.013695,110.142784,111.246292,4164500,41.177029
"2001-03-12",109.1642,109.18502,104.104713,105.56218,4624100,39.073071
"2001-03-13",96.817383,97.504471,91.716248,97.504471,24876900,36.09058
"2001-03-14",94.214767,95.922081,92.965508,94.485435,10458400,34.973122
"2001-03-15",96.29686,97.754326,94.839394,97.442009,8785300,36.067455
"2001-03-16",97.337906,97.337906,92.653191,93.173714,8815500,34.487576
"2001-03-19",93.694244,94.71447,92.028564,94.527077,6230000,34.988503
"2001-03-20",95.776337,97.337906,92.757301,93.069611,5455400,34.449043
"2001-03-21",92.653191,93.985733,91.403938,92.63237,5780100,34.287182
"2001-03-22",92.757301,93.381927,87.718628,91.508041,8443500,33.871029
"2001-03-23",92.549088,94.901855,92.340881,94.652,6227700,35.034752
"2001-03-26",95.151711,95.193352,91.716248,93.007149,4862900,34.425922
"2001-03-27",93.694244,93.923271,92.132668,93.902451,7132400,34.757317
"2001-03-28",90.987518,90.987518,88.072586,89.88401,7322300,33.269909
"2001-03-29",89.530052,89.717438,86.1987,87.760269,8618000,32.493629
"2001-03-30",89.009529,90.550278,87.614525,90.008934,7807100,33.326206
"2001-04-02",90.258789,93.590134,89.634155,89.88401,5521500,33.279926
"2001-04-03",89.88401,90.133858,85.428329,86.906616,5489600,32.177551
"2001-04-04",86.406914,88.61393,83.596085,87.44796,6440200,32.377983
"2001-04-05",89.530052,92.320061,89.342667,92.111847,5139800,34.104805
"2001-04-06",92.111847,92.111847,88.489006,89.842369,3523900,33.264519
"2001-04-09",91.924461,93.694244,90.258789,92.382523,3905000,34.205017
"2001-04-10",95.255814,97.337906,94.839394,97.337906,7302400,36.039772
"2001-04-11",99.940521,99.940521,94.756111,95.359917,5224500,35.307411
"2001-04-12",95.359917,98.795372,93.694244,98.170746,5035000,36.348141
"2001-04-16",98.170746,98.274849,95.588943,96.400963,3055100,35.692871
"2001-04-17",95.255814,96.338501,93.590134,96.088646,6381700,35.577244
"2001-04-18",99.878059,106.103523,99.56575,103.480087,13164100,38.313976
"2001-04-19",104.00061,107.227852,103.58419,107.227852,6647800,39.70158
"2001-04-20",107.019646,108.268898,105.353966,107.956589,4890400,39.97142
"2001-04-23",106.290909,106.707329,104.833443,106.353371,3410000,39.377792
"2001-04-24",107.644272,108.373009,105.499718,106.499123,3542900,39.431744
"2001-04-25",106.395012,109.309944,105.270683,108.289719,4333600,40.094738
"2001-04-26",108.373009,112.328987,108.373009,110.892342,5689200,41.058369
"2001-04-27",112.953613,112.953613,110.142784,111.954208,3934900,41.451542
"2001-04-30",113.994659,113.994659,109.851295,111.121368,5478800,41.14315
"2001-05-01",111.392044,111.912567,109.414055,109.830475,3911500,40.665184
"2001-05-02",110.871521,110.871521,106.915543,109.268303,4651800,40.457069
"2001-05-03",109.268303,109.268303,107.019646,107.685913,2911200,39.871159
"2001-05-04",105.9786,107.727554,105.478897,107.331955,4242500,39.740108
"2001-05-07",107.331955,108.060692,106.707329,107.602631,3018800,39.840321
"2001-05-08",107.956589,110.350998,107.352776,109.892937,3322900,40.688316
"2001-05-09",109.913757,112.01667,108.602036,109.622261,3010900,40.588112
"2001-05-10",111.60025,111.60025,110.142784,110.892342,2658800,41.058369
"2001-05-11",110.913162,111.350403,107.331955,107.894127,3048000,39.94825
"2001-05-14",108.268898,110.892342,107.977409,110.455101,2128200,40.896454
"2001-05-15",111.392044,112.953613,110.871521,112.745399,3622600,41.744488
"2001-05-16",112.745399,116.597275,112.162415,115.972649,4687700,42.939354
"2001-05-17",117.638321,121.032135,117.575859,119.241539,5739500,44.149689
"2001-05-18",119.6996,121.802513,119.095787,120.553253,3186500,44.635345
"2001-05-21",121.69841,123.197517,120.261765,122.843559,4875000,45.483345
"2001-05-22",122.843559,123.468185,121.594307,122.239754,3995900,45.259781
"2001-05-23",122.218933,122.218933,120.428329,120.699005,3357800,44.689335
"2001-05-24",120.699005,122.676994,120.345047,122.260574,2825500,45.267494
"2001-05-25",122.302216,122.302216,118.158852,118.158852,2296200,43.748814
"2001-05-29",119.824524,119.949448,118.616905,118.679375,2406700,43.941544
"2001-05-30",116.076752,117.513397,115.847725,117.221909,5200400,43.401909
"2001-05-31",118.158852,121.073784,118.03392,119.616318,5157200,44.288464
"2001-06-01",117.638321,119.179077,116.097572,117.67997,13584900,43.57151
"2001-06-04",118.471161,118.575264,117.242729,117.70079,4046600,43.579231
"2001-06-05",117.721611,119.199898,117.721611,118.158852,4795300,43.748814
"2001-06-06",118.679375,119.949448,117.742432,117.888176,5110700,43.648613
"2001-06-07",118.658554,119.241539,116.01429,116.930412,4626400,43.293999
"2001-06-08",115.556229,116.909592,114.536003,116.284966,3108900,43.055004
"2001-06-11",115.764442,116.597275,114.556824,115.514587,2679900,42.769772
"2001-06-12",115.972649,117.742432,114.660927,117.326012,4354400,43.440464
"2001-06-13",117.326012,118.242134,116.701385,117.117798,2533300,43.403423
"2001-06-14",117.013695,117.013695,115.139809,115.577049,3379400,42.832405
"2001-06-15",115.59787,116.305786,114.515182,115.493767,5026400,42.801571
"2001-06-18",115.514587,116.701385,113.994659,113.994659,3737100,42.246021
"2001-06-19",115.243919,115.472946,112.01667,112.724579,4587200,41.77528
"2001-06-20",112.724579,112.932793,107.331955,110.267708,6554100,40.864807
"2001-06-21",110.76741,114.411079,110.350998,113.26593,8236800,41.975956
"2001-06-22",113.370033,113.370033,109.684723,110.975624,3902100,41.127159
"2001-06-25",112.01667,112.120773,109.414055,110.309357,2321000,40.880238
"2001-06-26",110.559204,114.098763,109.1642,112.620476,4818700,41.736732
"2001-06-27",112.953613,113.140999,111.308762,112.308167,5043700,41.620983
"2001-06-28",111.392044,112.82869,110.559204,112.537193,5486900,41.705868
"2001-06-29",112.537193,113.973839,110.350998,113.494957,4879400,42.060806
