"","CAT.Open","CAT.High","CAT.Low","CAT.Close","CAT.Volume","CAT.Adjusted"
"2001-01-02",23.625,23.625,22.8125,23.15625,3285000,13.889932
"2001-01-03",23.15625,23.34375,21.78125,23.25,7564000,13.946174
"2001-01-04",23.25,24.8125,23.25,24.34375,9149400,14.602242
"2001-01-05",24.25,24.25,22.65625,22.9375,7057800,13.758719
"2001-01-08",22.9375,23,22.5625,22.875,3752000,13.721234
"2001-01-09",22.875,22.875,22.4375,22.84375,3836600,13.702485
"2001-01-10",22.8125,22.8125,22.03125,22.53125,3655000,13.515041
"2001-01-11",22.53125,22.71875,22.0625,22.71875,3371000,13.627508
"2001-01-12",22.625,22.625,21.34375,21.84375,3494200,13.102655
"2001-01-16",21.84375,22.34375,21.53125,22.34375,4239400,13.402572
"2001-01-17",22.34375,22.8125,22.15625,22.5,4460200,13.496292
"2001-01-18",21.03125,21.03125,20,20.875,9166400,12.61689
"2001-01-19",20.53125,20.53125,19.90625,20.3125,5502600,12.276912
"2001-01-22",20.3125,20.71875,19.90625,20.4375,4659800,12.352468
"2001-01-23",20.4375,21,20.375,20.8125,5792400,12.579115
"2001-01-24",20.8125,21.4375,20.5,21.09375,3670200,12.749099
"2001-01-25",21.21875,22.03125,21.21875,21.65625,3517600,13.089084
"2001-01-26",21.65625,21.875,21.28125,21.625,3094400,13.070187
"2001-01-29",21.58,21.9,21.405001,21.549999,2439600,13.024859
"2001-01-30",21.549999,22.25,21.125,22.200001,4675200,13.417719
"2001-01-31",22.200001,22.5,22,22.110001,3889000,13.363322
"2001-02-01",22.110001,22.299999,21.85,22.165001,2737600,13.396573
"2001-02-02",22.165001,22.459999,21.950001,22.135,2387400,13.378438
"2001-02-05",22.135,22.190001,21.865,21.885,1823000,13.227334
"2001-02-06",21.885,22.030001,21.655001,21.76,2298200,13.151783
"2001-02-07",21.76,21.945,21.690001,21.805,1773800,13.178984
"2001-02-08",21.805,21.875,21.405001,21.59,1954000,13.049039
"2001-02-09",21.59,21.625,21.245001,21.5,3121800,12.994637
"2001-02-12",21.565001,21.924999,21.565001,21.565001,3180600,13.033923
"2001-02-13",21.575001,22.075001,21.575001,21.629999,2898400,13.073212
"2001-02-14",21.629999,22.25,21.41,21.459999,2694800,12.970464
"2001-02-15",21.705,22.5,21.705,22.059999,3487000,13.333109
"2001-02-16",22.059999,22.34,21.75,21.834999,3326200,13.197111
"2001-02-20",21.700001,21.700001,20.9,20.9,4236800,12.632003
"2001-02-21",20.9,21.139999,20.450001,20.48,3115000,12.378151
"2001-02-22",20.48,20.725,20.1,20.344999,3247400,12.296559
"2001-02-23",20.344999,20.385,19.875,20.045,3277600,12.115232
"2001-02-26",20.280001,20.940001,20.280001,20.815001,2167600,12.580626
"2001-02-27",20.815001,21.325001,20.775,21.245001,3713600,12.840517
"2001-02-28",21.245001,21.59,20.775,20.799999,3025200,12.57156
"2001-03-01",20.799999,21.375,20.76,21,3337000,12.692438
"2001-03-02",21.07,21.73,21.07,21.34,2591600,12.897939
"2001-03-05",21.65,22.35,21.65,22.165001,3643000,13.396573
"2001-03-06",22.165001,22.6,22.07,22.254999,3706000,13.450965
"2001-03-07",22.549999,23.405001,22.549999,23.4,6538000,14.143003
"2001-03-08",23.475,24,23.475,23.895,7539400,14.442186
"2001-03-09",23.885,23.885,23.15,23.42,5092800,14.155095
"2001-03-12",23.4,23.4,22.389999,22.48,4708200,13.586953
"2001-03-13",22.48,23.115,22.434999,23.025,4328600,13.916347
