"","APC.Open","APC.High","APC.Low","APC.Close","APC.Volume","APC.Adjusted"
"2001-01-02",35.540001,36.985001,34.5,34.630001,6293800,29.754751
"2001-01-03",34.049999,34.5,31.815001,32.299999,7440800,27.752781
"2001-01-04",32.599998,32.834999,29.75,30.5,8188800,26.206186
"2001-01-05",30.75,32.290001,30.75,31.875,5541800,27.387615
"2001-01-08",32.174999,32.924999,31.780001,32.009998,5363000,27.503599
"2001-01-09",32.25,32.400002,30.5,30.825001,7454400,26.48543
"2001-01-10",31.25,31.440001,30.4,30.5,5459200,26.206186
"2001-01-11",31.375,31.625,30.4,30.875,6329000,26.528383
"2001-01-12",30.875,31.049999,30.25,30.674999,3586600,26.356543
"2001-01-16",30.875,31.725,30.764999,31.610001,5158200,27.159912
"2001-01-17",31.325001,31.325001,29.5,29.825001,4452000,25.626211
"2001-01-18",29.049999,29.440001,27.975,28.52,7117600,24.504929
"2001-01-19",27.875,29.225,27.825001,28.455,6101800,24.449076
"2001-01-22",29.125,29.65,28.775,29.6,3442000,25.432882
"2001-01-23",29.6,30.360001,29.25,30.1,3138400,25.862497
"2001-01-24",30.225,30.395,29.299999,29.385,3445200,25.248146
"2001-01-25",29.9,31.389999,29.700001,31.26,3496000,26.859192
"2001-01-26",31.275,31.9,29.625,29.875,3652200,25.669172
"2001-01-29",30.25,30.25,29.26,29.5,2145800,25.346966
"2001-01-30",29.450001,29.450001,27.825001,28.674999,5270200,24.638113
"2001-01-31",29.075001,29.5,28.344999,28.450001,4010000,24.444788
"2001-02-01",29,29,26.975,27.315001,8385800,23.469574
"2001-02-02",27.75,30.055,27.700001,30.055,12343400,25.823835
"2001-02-05",29.549999,31.25,29.525,30.700001,5033600,26.378025
"2001-02-06",30.525,31.9,30.155001,31.725,4415600,27.258732
"2001-02-07",31.975,32.674999,31.174999,32.365002,5859000,27.808628
"2001-02-08",32.435001,32.799999,31.91,32.154999,3744600,27.628189
"2001-02-09",32.224998,33.365002,32.174999,33.099998,5957600,28.440151
"2001-02-12",33.099998,33.099998,32.349998,32.75,3669400,28.139423
"2001-02-13",32.740002,34.09,32.5,34.014999,5204600,29.226334
"2001-02-14",33.924999,34.700001,33.625,33.900002,6774000,29.127525
"2001-02-15",33.75,33.755001,33.049999,33.5,5889000,28.783846
"2001-02-16",34.349998,34.945,33.549999,34.105,6533000,29.303671
