"","YUM.Open","YUM.High","YUM.Low","YUM.Close","YUM.Volume","YUM.Adjusted"
"2001-01-02",5.942218,5.942218,5.728792,5.740025,4119500,3.801325
"2001-01-03",5.751258,6.110712,5.751258,6.06578,5344700,4.017058
"2001-01-04",6.054547,6.267972,6.054547,6.077013,6414100,4.024495
"2001-01-05",6.088246,6.088246,5.829888,5.886053,6997800,3.898032
"2001-01-08",5.751258,5.964684,5.751258,5.852355,4219100,3.875717
"2001-01-09",5.784957,5.87482,5.773724,5.818655,3343400,3.853397
"2001-01-10",5.773724,5.953451,5.717559,5.87482,5069900,3.890593
"2001-01-11",5.773724,5.829888,5.728792,5.740025,4601900,3.801325
"2001-01-12",5.728792,5.908519,5.672627,5.87482,5703100,3.890593
"2001-01-16",5.852355,6.121944,5.784957,6.077013,6977800,4.024495
"2001-01-17",6.032081,6.470165,6.020848,6.312904,7554200,4.180713
"2001-01-18",6.357836,6.470165,6.267972,6.312904,12505000,4.180713
"2001-01-19",6.25674,6.267972,6.054547,6.110712,4418300,4.046812
"2001-01-22",6.077013,6.133178,6.054547,6.133178,1924500,4.061691
"2001-01-23",6.110712,6.267972,6.110712,6.245507,3420700,4.13608
"2001-01-24",6.189342,6.223041,6.043314,6.06578,4386600,4.017058
"2001-01-25",5.975916,6.099479,5.964684,6.032081,3606000,3.994738
"2001-01-26",6.043314,6.267972,6.032081,6.211808,3340000,4.113763
"2001-01-29",6.20417,6.362329,6.182602,6.306614,4030500,4.176548
"2001-01-30",6.294033,6.486341,6.294033,6.462976,5643000,4.2801
"2001-01-31",6.452193,6.524084,6.436017,6.47376,5187800,4.287241
"2001-02-01",6.47376,6.515097,6.247304,6.459382,7425100,4.277719
"2001-02-02",6.425234,6.425234,6.290439,6.33537,4754400,4.195591
"2001-02-05",6.290439,6.299425,6.200575,6.238318,3185900,4.131318
"2001-02-06",6.254493,6.506111,6.223939,6.446801,5972300,4.269387
"2001-02-07",6.461179,6.495327,6.380302,6.45399,5147200,4.274148
"2001-02-08",6.416247,6.450396,6.317398,6.419842,3450200,4.251533
"2001-02-09",6.308411,6.416247,6.281452,6.294033,3678900,4.168217
"2001-02-12",6.29583,6.33537,6.274263,6.304817,3726200,4.175357
"2001-02-13",6.290439,6.556434,6.23652,6.47376,6222700,4.287241
"2001-02-14",6.452193,6.452193,6.23652,6.283249,4661500,4.161075
"2001-02-15",6.186197,6.488138,6.1844,6.344357,8186800,4.201543
"2001-02-16",6.344357,6.766715,6.319195,6.649892,8941900,4.403884
"2001-02-20",6.649892,6.921279,6.635514,6.887132,5876100,4.560996
"2001-02-21",6.865564,6.865564,6.60496,6.657081,8007700,4.408646
"2001-02-22",6.649892,6.736161,6.576204,6.669662,3008400,4.416978
"2001-02-23",6.631919,6.667865,6.572609,6.626528,3152500,4.388411
"2001-02-26",6.626528,6.712797,6.610352,6.689432,3319400,4.43007
"2001-02-27",6.730769,6.910496,6.72358,6.865564,3488600,4.546714
"2001-02-28",6.867362,6.957225,6.865564,6.919482,4490700,4.582419
"2001-03-01",6.829619,7.099209,6.829619,7.011143,7210300,4.643121
"2001-03-02",7.011143,7.018332,6.883537,6.915888,3995500,4.580039
"2001-03-05",6.96082,6.976995,6.773904,6.870956,4795600,4.550282
"2001-03-06",6.80266,6.829619,6.72358,6.757728,5234600,4.475297
"2001-03-07",6.667865,6.856578,6.667865,6.836808,2959400,4.527667
"2001-03-08",6.820632,7.208843,6.820632,7.144141,6920500,4.7312
"2001-03-09",7.126168,7.223221,6.985981,7.176492,6093100,4.752624
"2001-03-12",7.162114,7.162114,6.973401,6.975198,3938100,4.619317
"2001-03-13",6.930266,6.930266,6.581596,6.773904,5513300,4.486011
"2001-03-14",6.649892,6.649892,6.538462,6.595974,3432900,4.368176
"2001-03-15",6.594177,6.595974,6.482746,6.515097,3870300,4.314614
"2001-03-16",6.362329,6.488138,6.356937,6.462976,7071200,4.2801
"2001-03-19",6.461179,6.694824,6.461179,6.655284,5140000,4.407455
"2001-03-20",6.667865,6.707405,6.613947,6.642703,5278000,4.399122
"2001-03-21",6.649892,6.757728,6.631919,6.676851,5020300,4.421739
"2001-03-22",6.649892,6.66427,6.452193,6.47376,6857600,4.287241
"2001-03-23",6.443206,6.443206,6.353343,6.362329,4616400,4.213446
"2001-03-26",6.43422,6.446801,6.353343,6.371315,4792800,4.219397
"2001-03-27",6.373113,6.373113,6.290439,6.308411,5849900,4.177739
"2001-03-28",6.362329,6.549245,6.337168,6.529475,5131600,4.324139
"2001-03-29",6.484543,6.883537,6.470165,6.752337,4923500,4.471727
"2001-03-30",6.707405,6.878145,6.61215,6.863767,4465600,4.545524
"2001-04-02",6.829619,6.966211,6.80266,6.872754,2429200,4.551475
"2001-04-03",6.872754,6.872754,6.60496,6.68404,3333300,4.426501
"2001-04-04",6.658878,6.800863,6.613947,6.793674,3117500,4.499103
"2001-04-05",6.793674,6.865564,6.766715,6.840403,2436400,4.530049
"2001-04-06",6.829619,6.829619,6.554637,6.671459,3369500,4.418166
"2001-04-09",6.775701,6.908699,6.766715,6.80266,3634900,4.505054
"2001-04-10",6.766715,6.847592,6.60496,6.784687,3162500,4.493153
"2001-04-11",6.694824,6.770309,6.655284,6.680446,4685400,4.424117
"2001-04-12",6.676851,6.739756,6.615744,6.732566,2475400,4.458635
"2001-04-16",6.730769,6.88174,6.721783,6.835011,2599500,4.526478
"2001-04-17",6.829619,6.883537,6.791876,6.82243,2229400,4.518146
"2001-04-18",6.865564,7.043494,6.829619,7.016535,2789200,4.646692
"2001-04-19",7.144141,7.189073,7.027318,7.189073,5002000,4.760956
"2001-04-20",7.1711,7.332854,7.117182,7.189073,6184900,4.760956
"2001-04-23",7.278936,7.424515,7.24299,7.368799,4776100,4.87998
"2001-04-24",7.476635,7.584472,7.458663,7.512581,5740900,4.975198
"2001-04-25",7.53954,7.728253,7.5,7.706686,6093100,5.103745
"2001-04-26",7.706686,7.836089,7.701294,7.821711,5688600,5.179918
"2001-04-27",7.818117,7.893602,7.773185,7.854062,4519600,5.201344
"2001-04-30",7.827103,8.07872,7.816319,8.055356,4807800,5.334651
"2001-05-01",7.997843,8.139828,7.846873,8.042775,9972900,5.326319
"2001-05-02",7.863048,7.864845,7.332854,7.593458,15850700,5.02876
"2001-05-03",7.476635,7.476635,7.248383,7.375988,6679500,4.884742
"2001-05-04",7.332854,7.550323,7.296909,7.541337,3574300,4.994241
"2001-05-07",7.512581,7.546729,7.404745,7.489216,2383600,4.959725
"2001-05-08",7.449677,7.508986,7.415528,7.449677,3406200,4.933539
"2001-05-09",7.377786,7.473041,7.377786,7.419123,1967900,4.913306
"2001-05-10",7.548526,7.548526,7.415528,7.446082,4587500,4.93116
"2001-05-11",7.491014,7.571891,7.44069,7.562904,2462600,5.008526
"2001-05-14",7.63839,7.683321,7.512581,7.588066,2735200,5.025188
"2001-05-15",7.588066,7.656363,7.588066,7.629403,2608400,5.052563
"2001-05-16",7.548526,7.620417,7.494608,7.571891,3508100,5.014477
"2001-05-17",7.548526,7.607836,7.413731,7.546729,3917000,4.997813
"2001-05-18",7.512581,7.719267,7.505392,7.719267,3209300,5.112076
"2001-05-21",7.719267,7.726456,7.643782,7.703091,2282300,5.101363
"2001-05-22",7.728253,7.850467,7.719267,7.80913,3010100,5.171587
"2001-05-23",7.80913,7.810927,7.737239,7.782171,2651800,5.153736
"2001-05-24",7.818117,8.051762,7.803738,8.024802,5107700,5.314418
"2001-05-25",8.051762,8.159597,8.051762,8.087707,5420400,5.356073
"2001-05-29",7.997843,8.186557,7.961898,8.186557,4506800,5.421538
"2001-05-30",8.267433,8.37527,8.242271,8.321352,5586800,5.510806
"2001-05-31",8.186557,8.330338,8.051762,8.213515,8369900,5.439391
"2001-06-01",8.213515,8.37527,8.204529,8.321352,4018800,5.510806
"2001-06-04",8.303379,8.31596,8.231488,8.278217,2423100,5.482239
"2001-06-05",8.249461,8.299785,8.107476,8.195542,3754500,5.427489
"2001-06-06",8.19734,8.269231,7.961898,7.990654,4399400,5.291801
"2001-06-07",7.963695,8.191948,7.963695,8.134436,4338800,5.387022
"2001-06-08",8.249461,8.285406,8.087707,8.227894,3181400,5.448913
"2001-06-11",8.303379,8.429188,8.303379,8.314162,4390500,5.506045
"2001-06-12",8.172178,8.578361,8.168584,8.562185,3607600,5.670297
"2001-06-13",8.562185,8.761683,8.537024,8.589145,3945900,5.688152
"2001-06-14",8.562185,8.563983,8.378864,8.436377,2419700,5.58698
"2001-06-15",8.411215,8.465133,8.285406,8.42739,3713900,5.581031
"2001-06-18",8.384256,8.384256,8.244069,8.310568,3339500,5.503664
"2001-06-19",8.231488,8.432782,8.226096,8.258447,2500400,5.469149
"2001-06-20",8.249461,8.317757,8.181165,8.310568,5566700,5.503664
"2001-06-21",8.186557,8.339324,8.181165,8.278217,6089700,5.482239
"2001-06-22",8.240475,8.265636,8.037383,8.10568,4429500,5.367976
"2001-06-25",8.060748,8.150611,7.970884,7.970884,3982700,5.278708
