"","VFC.Open","VFC.High","VFC.Low","VFC.Close","VFC.Volume","VFC.Adjusted"
"2001-01-02",8.472222,8.516949,8.258004,8.265066,1164000,1.674831
"2001-01-03",8.26742,8.462806,8.055555,8.443974,1943900,1.711086
"2001-01-04",8.443974,8.625236,8.335688,8.601695,2059900,1.743045
"2001-01-05",8.648776,8.648776,8.368644,8.370998,664800,1.696297
"2001-01-08",8.370998,8.693502,8.335688,8.65113,974500,1.753063
"2001-01-09",8.648776,8.648776,8.439265,8.533427,760000,1.729212
"2001-01-10",8.415725,8.434558,8.20386,8.316855,1095100,1.685326
"2001-01-11",8.316855,8.316855,7.991996,8.029661,1534000,1.627129
"2001-01-12",8.050847,8.248588,7.95904,8.112053,1339000,1.643824
"2001-01-16",8.053202,8.446327,8.032015,8.394539,739600,1.701068
"2001-01-17",8.418079,8.472222,8.333333,8.387477,698800,1.699636
"2001-01-18",8.387477,8.533427,8.375707,8.439265,520400,1.710131
"2001-01-19",8.359228,8.370998,7.822505,7.888418,1289700,1.598507
"2001-01-22",7.888418,8.149717,7.815443,7.961394,1056900,1.613296
"2001-01-23",8.003766,8.102636,7.947269,7.98258,706000,1.617588
"2001-01-24",7.980226,8.024953,7.843691,7.904896,856400,1.601847
"2001-01-25",7.787194,7.980226,7.718926,7.904896,2006800,1.601847
"2001-01-26",7.815443,7.933145,7.803672,7.860169,1020400,1.592783
"2001-01-29",7.857815,8.097928,7.857815,8.060264,596800,1.63333
"2001-01-30",8.003766,8.16855,7.980226,8.090866,567100,1.639531
"2001-01-31",8.090866,8.34275,8.079096,8.206215,691100,1.662905
"2001-02-01",8.253296,8.305085,8.185028,8.229755,408200,1.667676
"2001-02-02",8.286252,8.356874,8.20386,8.210923,663100,1.663859
"2001-02-05",8.286252,8.307439,8.097928,8.213277,532300,1.664337
"2001-02-06",8.227401,8.432203,8.220339,8.420433,889500,1.706315
"2001-02-07",8.333333,8.439265,8.140302,8.406309,895900,1.703453
"2001-02-08",8.46516,8.46516,8.152072,8.281545,753600,1.67817
"2001-02-09",8.222693,8.286252,8.093221,8.097928,468600,1.640962
"2001-02-12",8.156779,8.323917,8.064972,8.286252,867400,1.679125
"2001-02-13",8.345103,8.531074,8.286252,8.507533,1166900,1.723965
"2001-02-14",8.451035,8.462806,8.375707,8.448682,754000,1.712039
"2001-02-15",8.368644,8.425141,8.34275,8.406309,530600,1.703453
"2001-02-16",8.403955,8.451035,8.345103,8.436912,826700,1.709653
"2001-02-20",8.521657,8.627589,8.408663,8.415725,1092200,1.70536
"2001-02-21",8.418079,8.418079,8.027307,8.036723,874200,1.628559
"2001-02-22",8.039077,8.276836,8.003766,8.19209,659300,1.660043
"2001-02-23",8.239171,8.330979,8.175612,8.272128,757000,1.676262
"2001-02-26",8.274482,8.554614,8.220339,8.42985,1258300,1.708223
"2001-02-27",8.42985,8.46516,8.194445,8.300377,1389100,1.681987
"2001-02-28",8.319209,8.502825,8.250941,8.495763,1012700,1.72158
"2001-03-01",8.396893,8.396893,8.128531,8.170904,1212800,1.65575
"2001-03-02",8.170904,8.340396,8.083804,8.281545,799000,1.67817
"2001-03-05",8.27919,8.27919,8.086158,8.250941,728100,1.671969
"2001-03-06",8.215631,8.472222,8.19209,8.370998,541200,1.696297
"2001-03-07",8.340396,8.505178,8.309793,8.488701,724300,1.768747
"2001-03-08",8.516949,8.592278,8.474576,8.592278,545000,1.790328
"2001-03-09",8.568738,8.592278,8.403955,8.542844,449000,1.780028
"2001-03-12",8.59934,8.59934,8.411017,8.418079,584500,1.754031
"2001-03-13",8.418079,8.418079,8.027307,8.305085,742100,1.730487
"2001-03-14",8.269774,8.396893,7.949624,8.036723,712000,1.674569
"2001-03-15",8.050847,8.309793,7.991996,8.265066,772300,1.722149
"2001-03-16",8.062617,8.276836,8.062617,8.177966,1406100,1.704
"2001-03-19",8.286252,8.469868,8.239171,8.330979,1183100,1.735883
"2001-03-20",8.345103,8.615819,8.323917,8.403955,811800,1.751088
"2001-03-21",8.380414,8.455744,8.300377,8.319209,818200,1.73343
"2001-03-22",8.208569,8.208569,7.909605,7.980226,956200,1.662798
"2001-03-23",7.921375,8.156779,7.841337,8.145009,929500,1.697133
"2001-03-26",8.154426,8.44162,8.154426,8.321563,626600,1.733921
"2001-03-27",8.368644,8.403955,8.107345,8.340396,1042500,1.737844
"2001-03-28",8.286252,8.387477,8.121469,8.258004,815600,1.720677
"2001-03-29",8.239171,8.380414,8.18032,8.34275,556900,1.738335
"2001-03-30",8.356874,8.356874,8.123823,8.239171,954100,1.716753
"2001-04-02",8.20386,8.446327,8.182674,8.434558,2150800,1.757465
"2001-04-03",8.458097,8.458097,8.072034,8.123823,853400,1.692719
"2001-04-04",8.053202,8.408663,8.053202,8.34275,559900,1.738335
"2001-04-05",8.309793,8.519303,8.309793,8.509887,638500,1.773161
