"","PH.Open","PH.High","PH.Low","PH.Close","PH.Volume","PH.Adjusted"
"2001-04-23",30.066668,30.5,29.766666,30.040001,464800,20.937117
"2001-04-24",30.006666,30.673334,30.006666,30.34,418200,21.146198
"2001-04-25",30.34,30.626667,29.753334,30.573334,207700,21.30883
"2001-04-26",30.433332,31.033333,30.26,30.886667,499000,21.527224
"2001-04-27",30.886667,31.333334,30.526667,31.1,441000,21.675907
"2001-04-30",31.1,31.333334,30.733334,31.08,350100,21.661963
"2001-05-01",31.299999,31.299999,30.533333,31.24,438900,21.773478
"2001-05-02",31.333334,31.493334,30.4,31.053333,442200,21.643379
"2001-05-03",31.200001,31.200001,30.34,30.92,334800,21.550447
"2001-05-04",30.266666,31.42,30.266666,31.333334,387600,21.838533
"2001-05-07",31.333334,31.393333,30.953333,31.033333,455500,21.62944
"2001-05-08",31.033333,31.126667,30.066668,31,700900,21.606213
"2001-05-09",30.866667,30.9,30.426666,30.879999,307900,21.522573
"2001-05-10",30.879999,31.633333,30.666666,31.533333,352800,21.977926
"2001-05-11",31.566668,31.933332,31.1,31.406666,234400,21.889639
"2001-05-14",31.406666,31.533333,30.82,31.426666,228300,21.903587
"2001-05-15",31.126667,31.246666,30.799999,31.219999,437800,21.884888
"2001-05-16",31.133333,32.599998,30.886667,32.466667,645000,22.758795
"2001-05-17",32.466667,33.080002,32.266666,32.706665,441300,22.927032
"2001-05-18",32.706665,33.333332,32.593334,33.206665,817600,23.277533
"2001-05-21",33.133335,33.400002,32.733334,33.353333,731500,23.380329
"2001-05-22",33.200001,33.346668,32.966667,33.346668,326400,23.375658
"2001-05-23",33.200001,33.233334,32.666668,32.700001,721200,22.922356
"2001-05-24",32.700001,32.740002,32.366665,32.619999,280500,22.86627
"2001-05-25",32.333332,32.533333,32.126667,32.486668,256500,22.77281
"2001-05-29",32.433334,32.593334,32.166668,32.220001,233800,22.585882
"2001-05-30",32.220001,32.299999,31.226667,31.333334,579000,21.96434
"2001-05-31",31.5,32.246666,31.486666,32.206665,493300,22.576532
"2001-06-01",32.299999,32.299999,31.533333,31.986666,619600,22.422319
"2001-06-04",31.986666,32.48,31.366667,31.946667,444400,22.394276
"2001-06-05",32,32.566666,31.413334,32.473331,396000,22.763464
"2001-06-06",32.473331,32.799999,31.573334,31.733334,400900,22.244736
"2001-06-07",31.799999,32.266666,31.613333,31.953333,349000,22.398952
"2001-06-08",31.866667,31.893333,31.42,31.52,239800,22.095184
"2001-06-11",31.5,31.593334,30.946667,31.1,256200,21.800772
"2001-06-12",31.106667,31.280001,30.633333,31.126667,188100,21.819469
"2001-06-13",31.126667,31.366667,30.700001,30.946667,624300,21.693293
"2001-06-14",30.946667,30.946667,29.906666,30,688500,21.029682
"2001-06-15",29.666666,30.133333,29.666666,29.793333,776400,20.884809
"2001-06-18",29.799999,30.200001,29.593334,29.806667,411300,20.894161
"2001-06-19",29.806667,30,29.506666,29.626667,462000,20.767988
"2001-06-20",29.5,29.733334,29.280001,29.293333,828000,20.534317
"2001-06-21",29.393333,29.533333,29.166666,29.426666,681700,20.627783
"2001-06-22",29.433332,29.700001,28.706667,29,412900,20.328691
"2001-06-25",29.333334,29.453333,28.813334,28.906666,376200,20.263268
"2001-06-26",28.533333,29.033333,28.306667,28.873333,595500,20.239902
"2001-06-27",28.873333,28.993334,28.366667,28.58,438000,20.034271
"2001-06-28",28.533333,29,28.52,28.66,455500,20.090357
"2001-06-29",28.4,28.466667,27.940001,28.293333,7e+05,19.833328
"2001-07-02",27.333334,28.513334,27.166666,28.486666,1354800,19.968855
"2001-07-03",28.486666,29.473333,28.486666,29.333334,500200,20.562365
"2001-07-05",29.333334,29.953333,29.006666,29.753334,945700,20.856775
"2001-07-06",29.733334,29.733334,28.82,29.053333,835000,20.366087
"2001-07-09",29,29.466667,28.993334,29.306667,550600,20.543665
"2001-07-10",29.459999,29.593334,28.906666,29.18,672900,20.454874
"2001-07-11",29.18,29.200001,28.726667,29.166666,619800,20.445526
"2001-07-12",29.166666,30.280001,29.006666,30.219999,920500,21.183895
"2001-07-13",30.5,30.5,30.006666,30.366667,939900,21.286713
"2001-07-16",30.366667,30.366667,29.113333,29.133333,968200,20.422159
"2001-07-17",29.333334,30.073334,29.333334,30.033333,743500,21.053045
"2001-07-18",30,30.059999,29.666666,29.866667,568800,20.93623
"2001-07-19",29.986666,30.200001,29.833334,29.913334,563800,20.968935
"2001-07-20",30.4,30.433332,29.833334,29.92,566500,20.973604
"2001-07-23",30.040001,30.086666,29.299999,29.466667,540700,20.655823
"2001-07-24",29.700001,29.700001,28.799999,28.833334,759000,20.211864
"2001-07-25",28.893333,29.4,28.833334,29.1,456300,20.398787
"2001-07-26",29.166666,29.326666,28.9,29.033333,706800,20.352057
"2001-07-27",29.1,29.166666,28.833334,28.946667,602800,20.291311
"2001-07-30",30,30,29.013334,29.66,1169500,20.791353
"2001-07-31",29.633333,30.133333,29.5,29.799999,616900,20.889488
"2001-08-01",29.933332,29.966667,29.593334,29.700001,603900,20.819386
"2001-08-02",29.799999,30,29.733334,29.74,358300,20.847429
"2001-08-03",29.906666,30.186666,29.606667,30.126667,450900,21.118477
"2001-08-06",30.126667,30.126667,29.686666,29.733334,569200,20.842751
"2001-08-07",29.866667,30.093334,29.733334,29.913334,305500,20.968935
"2001-08-08",29.913334,29.966667,29.6,29.613333,365500,20.758635
"2001-08-09",29.613333,29.833334,29.613333,29.700001,404700,20.819386
"2001-08-10",29.733334,30.466667,29.373333,30.233334,365100,21.193249
"2001-08-13",30.466667,30.486666,30.153334,30.346666,734100,21.27269
"2001-08-14",30.433332,30.6,30.366667,30.553333,357100,21.417564
"2001-08-15",30.553333,30.866667,30.553333,30.700001,615600,21.520376
"2001-08-16",30.633333,30.713333,30.153334,30.58,581100,21.43626
"2001-08-17",30.533333,30.9,30.18,30.566668,502600,21.42692
"2001-08-20",30.633333,30.666666,30.200001,30.540001,285300,21.408216
"2001-08-21",30.533333,30.633333,30.066668,30.086666,249300,21.215475
"2001-08-22",30.106667,30.106667,28.786667,29.633333,948000,20.895815
"2001-08-23",29.633333,29.773333,29.4,29.533333,487000,20.825296
"2001-08-24",29.533333,30.053333,29.466667,29.853333,937500,21.050951
"2001-08-27",29.9,29.933332,29.726667,29.74,298900,20.971025
"2001-08-28",29.799999,29.799999,29.466667,29.733334,362800,20.966324
"2001-08-29",29.833334,29.833334,29.233334,29.373333,533400,20.712477
"2001-08-30",29.299999,29.566668,28.646667,28.866667,407100,20.3552
"2001-08-31",28.793333,29.34,28.639999,29.333334,333400,20.684275
"2001-09-04",29.333334,29.973333,29.333334,29.693333,907000,20.938126
"2001-09-05",29.666666,29.9,29.48,29.806667,571500,21.018034
"2001-09-06",29.799999,29.799999,28.926666,28.966667,519900,20.425713
"2001-09-07",28.466667,28.633333,27.6,27.6,786100,19.462015
"2001-09-10",27.6,27.813334,27.333334,27.506666,835500,19.3962
"2001-09-17",25.666666,25.666666,24.133333,24.433332,1044600,17.229057
"2001-09-18",25.166666,25.546667,24.666666,24.666666,1360900,17.393589
"2001-09-19",24.733334,24.92,22.959999,23.700001,1164000,16.711948
"2001-09-20",23.700001,23.719999,22.006666,22.126667,737100,15.602523
"2001-09-21",20.333334,21.219999,20.266666,21.1,1819900,14.878569
"2001-09-24",22.333334,22.926666,22.166666,22.666666,1489600,15.983294
"2001-09-25",23,23.466667,22.52,23.42,1328500,16.514509
"2001-09-26",23.766666,23.766666,22,22.246666,1880100,15.687143
"2001-09-27",22.246666,22.34,21.82,22.266666,1445200,15.701245
"2001-09-28",22.333334,23.26,22.166666,22.866667,1594900,16.124329
"2001-10-01",22.966667,23.013334,22.4,22.700001,681100,16.006805
"2001-10-02",22.933332,24.1,22.893333,24.006666,1161600,16.92819
"2001-10-03",24.006666,25.126667,23.946667,24.953333,680200,17.595728
"2001-10-04",25.066668,25.353333,24.766666,24.773333,665500,17.468809
"2001-10-05",24.706667,25.246666,24.533333,25.1,657000,17.699154
"2001-10-08",24.766666,24.773333,24.493334,24.633333,367300,17.370087
"2001-10-09",24.799999,24.799999,24.113333,24.173334,433800,17.045717
"2001-10-10",24.200001,25,24.139999,24.926666,715600,17.576925
"2001-10-11",25,25.940001,25,25.586666,630400,18.04232
"2001-10-12",25.606667,25.68,24.9,25.093334,695100,17.694456
"2001-10-15",24.933332,25.74,24.933332,25.693333,413400,18.117542
"2001-10-16",25.693333,26.5,25.266666,25.98,1202800,18.319672
"2001-10-17",26.4,26.433332,25.6,25.620001,1037500,18.065832
"2001-10-18",25.633333,25.766666,25.1,25.24,487900,17.797869
"2001-10-19",25.133333,25.166666,24.586666,24.586666,459700,17.337177
"2001-10-22",24.6,25.200001,24.6,25.133333,543400,17.722656
"2001-10-23",25.166666,25.5,24.986666,25.266666,382000,17.816673
"2001-10-24",25.4,25.466667,25.066668,25.326666,789700,17.858988
"2001-10-25",25.200001,25.4,24,25.120001,1294200,17.713261
"2001-10-26",25.333334,26.139999,25.166666,25.986666,489700,18.324379
"2001-10-29",26.200001,26.200001,24.98,24.986666,494800,17.619238
"2001-10-30",24.833334,24.853333,24.053333,24.106667,432000,16.998711
"2001-10-31",24.666666,24.666666,23.933332,23.933332,512100,16.876486
"2001-11-01",24.166666,24.846666,23.733334,24.780001,569400,17.473513
"2001-11-02",24.633333,25.633333,24.513334,25.493334,407400,17.976513
"2001-11-05",25.493334,26.126667,25.493334,26.046667,686700,18.366692
"2001-11-06",26,26.066668,25.559999,26.046667,582300,18.366692
"2001-11-07",26.173334,26.299999,25.633333,25.946667,517600,18.296167
"2001-11-08",26,26.466667,25.9,26.120001,532900,18.418398
"2001-11-09",26.233334,26.4,25.866667,26.08,307000,18.390196
"2001-11-12",26.1,26.1,25,25.24,1101700,17.797869
"2001-11-13",25.6,26.233334,25.5,26.166666,522000,18.451303
"2001-11-14",26.266666,26.833334,26.173334,26.440001,762700,18.644047
"2001-11-15",26.306667,26.6,26.166666,26.526667,444300,18.705158
"2001-11-16",26.633333,26.633333,26.24,26.393333,531300,18.611143
"2001-11-19",26.299999,27.326666,26.273333,27.046667,1285600,19.202797
"2001-11-20",27.113333,27.113333,26.540001,26.593334,715300,18.880943
"2001-11-21",26.700001,26.700001,25.966667,26.18,596100,18.587475
"2001-11-23",26.200001,26.66,26.200001,26.4,178300,18.743673
"2001-11-26",26.4,27,26.066668,26.946667,578200,19.131805
"2001-11-27",27.1,27.1,26.333334,26.74,482800,18.985067
"2001-11-28",26.68,27.066668,26.68,26.906666,892900,19.103399
"2001-11-29",26.74,27.213333,26.553333,27.186666,903600,19.302189
"2001-11-30",27.266666,27.700001,27.173334,27.366667,1045000,19.429991
"2001-12-03",27.433332,27.453333,26.966667,27.08,639600,19.226463
"2001-12-04",27.333334,27.866667,27.046667,27.866667,601900,19.784983
"2001-12-05",28.266666,29.133333,28.18,28.886667,861700,20.509174
"2001-12-06",29.433332,29.846666,28.9,29.299999,990100,20.802635
"2001-12-07",29.266666,29.286667,28.973333,29.086666,1380700,20.651169
"2001-12-10",29.333334,29.333334,28.799999,28.946667,976200,20.551769
"2001-12-11",29,29.633333,28.959999,29.326666,941400,20.821566
"2001-12-12",29.360001,29.386667,29.24,29.360001,1054500,20.845232
"2001-12-13",29.333334,29.52,29.26,29.280001,879600,20.788443
"2001-12-14",29.266666,29.413334,28.966667,29.273333,690400,20.783703
"2001-12-17",29.799999,30.333334,29.666666,30.200001,943900,21.441618
"2001-12-18",30.166666,31.033333,30.166666,30.673334,1241500,21.777685
"2001-12-19",30.686666,31.08,30.046667,31.013334,1295400,22.019077
"2001-12-20",30.866667,31.233334,30.566668,31.233334,1298400,22.175282
"2001-12-21",31.299999,31.299999,30.566668,30.66,843600,21.768219
"2001-12-24",30.626667,31.133333,30.626667,30.933332,208000,21.962284
"2001-12-26",30.933332,31.313334,30.873333,30.933332,315900,21.962284
"2001-12-27",31.1,31.540001,31.1,31.333334,330600,22.246275
"2001-12-28",31.333334,31.333334,30.846666,30.906666,749400,21.943352
"2001-12-31",31.066668,31.233334,30.586666,30.606667,674100,21.73035
"2002-01-02",30.613333,30.866667,30.333334,30.860001,1070400,21.910221
"2002-01-03",30.833334,31.459999,30.806667,31.366667,639100,22.269939
"2002-01-04",31.1,31.933332,31.1,31.733334,952600,22.530275
"2002-01-07",31.533333,32.299999,31.533333,31.76,1212600,22.5492
"2002-01-08",31.76,31.833334,30.833334,31.1,745300,22.080616
"2002-01-09",31,31.74,31,31.293333,711600,22.21788
"2002-01-10",31.16,31.386667,30.940001,31.166666,718300,22.127947
"2002-01-11",31.066668,31.066668,30.6,30.673334,606700,21.777685
"2002-01-14",30.666666,30.673334,30.1,30.1,692400,21.370626
"2002-01-15",30.4,30.4,30.173334,30.34,656700,21.541025
"2002-01-16",30.066668,30.233334,29.1,29.1,1510300,20.660641
"2002-01-17",29.1,30.200001,29.1,30.166666,1108900,21.417961
"2002-01-18",30.16,30.299999,29.9,30.153334,736900,21.408501
"2002-01-22",30.193333,30.433332,30.033333,30.34,514500,21.541025
"2002-01-23",30.353333,30.4,29.506666,30.1,1038100,21.370626
"2002-01-24",30.1,31.193333,30.1,31.113333,1026100,22.09008
"2002-01-25",31.133333,32.060001,31.026667,31.786667,1267600,22.568136
"2002-01-28",31.633333,32.313332,31.633333,32.273335,789900,22.913664
"2002-01-29",32.200001,32.333332,31.286667,31.393333,1200700,22.288879
"2002-01-30",31.333334,32.259998,31.333334,32.206665,889500,22.866335
"2002-01-31",32.200001,32.733334,32.106667,32.693333,558700,23.211861
"2002-02-01",32.693333,32.886665,32.366665,32.560001,1002700,23.117195
"2002-02-04",32.466667,32.713333,31.886667,32.099998,648400,22.7906
"2002-02-05",31.633333,32.139999,31.633333,31.846666,778600,22.610735
"2002-02-06",31.833334,32.333332,31.753334,32.139999,952900,22.819002
"2002-02-07",32.099998,32.366665,30.926666,30.933332,1925200,21.962284
"2002-02-08",30.933332,31.333334,30.6,31.233334,1446100,22.175282
"2002-02-11",31.233334,31.82,31.18,31.673334,920400,22.487671
"2002-02-12",31.666666,31.98,31.440001,31.733334,1031500,22.659048
"2002-02-13",31.733334,32.34,31.6,32.293335,924900,23.058916
"2002-02-14",32.293335,32.400002,32.033333,32.299999,722500,23.063667
"2002-02-15",32.233334,32.393333,32.166668,32.213333,498300,23.001785
"2002-02-19",32.213333,32.220001,31.846666,31.860001,616300,22.749493
"2002-02-20",31.9,32.566666,31.6,32.546665,780600,23.239798
"2002-02-21",32,33.066666,32,32.733334,1560900,23.373095
"2002-02-22",32.766666,33.599998,32.766666,33.413334,2189200,23.858644
"2002-02-25",33.566666,34.286667,33.566666,34.086666,2884200,24.339426
"2002-02-26",33.966667,34.126667,33.733334,34.073334,902200,24.329906
"2002-02-27",33.966667,34.066666,33.266666,33.413334,1130200,23.858644
"2002-02-28",33.333332,33.599998,33.166668,33.213333,969700,23.715832
"2002-03-01",33.060001,33.626667,32.900002,33.466667,1305300,23.896723
"2002-03-04",34,36.233334,34,35.900002,2553600,25.634228
"2002-03-05",35.833332,35.833332,34.533333,35,1436200,24.99159
"2002-03-06",35.166668,36.5,35.166668,36.279999,1485300,25.905573
"2002-03-07",36.279999,36.580002,35.673332,36,1024500,25.705629
"2002-03-08",36.200001,36.573334,35.773335,36.053333,884200,25.743719
"2002-03-11",36,36.573334,35.733334,36.173332,641800,25.829407
"2002-03-12",35.580002,36.446667,35.553333,36.419998,1151500,26.005539
"2002-03-13",36.419998,36.586666,35.733334,35.993332,843000,25.700874
"2002-03-14",35.833332,36.200001,35.799999,35.913334,753000,25.643747
"2002-03-15",33.333332,34.433334,33.166668,34,4037500,24.277544
"2002-03-18",33.706665,34.333332,33.466667,33.799999,2616300,24.134737
"2002-03-19",33.799999,34.200001,33.799999,34.119999,1923400,24.363232
"2002-03-20",34.233334,34.233334,33.666668,33.693333,903600,24.058575
"2002-03-21",33.306667,33.32,32.053333,32.506668,1268400,23.211243
"2002-03-22",32.560001,33.053333,31.986666,32.713333,1159200,23.35881
"2002-03-25",32.933334,32.933334,32.259998,32.299999,1069200,23.063667
"2002-03-26",32.266666,33.153332,32.206665,32.966667,740800,23.539696
"2002-03-27",32.966667,33.333332,32.706665,32.986668,802300,23.553984
"2002-03-28",33.153332,33.733334,33.053333,33.266666,1262100,23.75391
"2002-04-01",32.939999,33.046665,32.366665,32.993332,538600,23.558748
"2002-04-02",32.666668,32.700001,32.200001,32.52,796800,23.220757
"2002-04-03",31.333334,31.5,30,31.133333,4563900,22.230614
"2002-04-04",31.133333,32.173332,30.826666,32.139999,3187600,22.949425
"2002-04-05",32.833332,33.466667,32.700001,33.246666,2627700,23.739635
"2002-04-08",32.646667,33.066666,32.599998,32.98,1606000,23.549227
"2002-04-09",32.653332,32.993332,32.653332,32.726665,1806600,23.368336
"2002-04-10",32.733334,33.066666,32.566666,32.880001,1562200,23.477816
"2002-04-11",32.966667,33.046665,32.506668,32.606667,1460400,23.282646
"2002-04-12",32.733334,33,32.226665,32.98,1499700,23.549227
"2002-04-15",32.98,33.193333,32.233334,32.84,970900,23.449263
"2002-04-16",34.533333,34.566666,33.433334,33.606667,2012700,23.996683
"2002-04-17",34.333332,34.360001,33.166668,33.560001,1599000,23.963367
"2002-04-18",33.560001,33.779999,32.993332,33.533333,1907200,23.944326
"2002-04-19",34.026669,34.593334,33.946667,33.973331,1874700,24.258497
"2002-04-22",34,34.133335,33.233334,33.48,935800,23.906237
"2002-04-23",33.613335,33.613335,32.966667,33.220001,1300600,23.720591
"2002-04-24",33.113335,33.860001,33.113335,33.153332,737500,23.672989
"2002-04-25",32.933334,33.366665,32.433334,33.226665,892000,23.725355
"2002-04-26",33.233334,33.473331,32.986668,33.086666,522100,23.625385
"2002-04-29",32.779999,33.106667,32.506668,32.533333,1107100,23.230282
"2002-04-30",32.666668,33.726665,32.540001,33.299999,969700,23.77771
"2002-05-01",33.306667,33.560001,32.273335,33.32,940300,23.792
"2002-05-02",33.326668,33.733334,33.139999,33.566666,1344600,23.968128
"2002-05-03",33.619999,33.886665,33.406666,33.526669,1291900,23.939569
"2002-05-06",32.933334,32.946667,31.66,31.66,2209800,22.606682
"2002-05-07",32,32.52,31.666666,31.780001,2305800,22.692369
"2002-05-08",32.200001,33.033333,32.166668,33.013332,1039000,23.573017
"2002-05-09",33.006668,33.006668,32.060001,32.279999,744600,23.049389
"2002-05-10",32.446667,32.533333,31.753334,31.799999,730500,22.706648
"2002-05-13",31.733334,32.139999,31.593334,31.966667,981700,22.825657
"2002-05-14",32.466667,33.066666,32.466667,32.966667,957900,23.539696
"2002-05-15",32.833332,33.666668,32.799999,33.393333,1321500,23.844366
"2002-05-16",33.666668,33.733334,33.226665,33.293335,1198600,23.772959
"2002-05-17",33.726665,33.813332,33.459999,33.686668,1262500,24.053816
"2002-05-20",33.846668,33.846668,33,33.253334,515400,23.744396
"2002-05-21",33.299999,33.493332,32.599998,32.693333,870400,23.471577
"2002-05-22",32.693333,32.893333,32.333332,32.333332,1296600,23.213125
"2002-05-23",32.746666,33.333332,32.746666,33.266666,1274500,23.883192
"2002-05-24",33.533333,33.713333,33.133335,33.133335,1530700,23.787468
"2002-05-28",33.400002,33.400002,32.946667,33,659500,23.691751
"2002-05-29",32.933334,33.133335,32.546665,32.639999,673000,23.433287
"2002-05-30",32.200001,32.653332,32.200001,32.506668,1516500,23.33757
"2002-05-31",32.733334,32.973331,32.546665,32.666668,1095100,23.452444
"2002-06-03",32.533333,32.700001,31.799999,31.879999,502200,22.887665
"2002-06-04",31.926666,32.453335,31.766666,32.206665,1565800,23.12219
"2002-06-05",32.206665,32.759998,31.946667,32.700001,1165200,23.476368
"2002-06-06",31.866667,32.099998,31.153334,31.526667,2492800,22.633993
"2002-06-07",31.4,31.4,30.780001,30.940001,1746400,22.212805
"2002-06-10",31.066668,31.813334,30.9,31.459999,667900,22.586124
"2002-06-11",31.626667,32.033333,31.053333,31.073334,810100,22.308527
"2002-06-12",31.033333,31.306667,30.766666,30.966667,683800,22.231951
"2002-06-13",30.799999,30.946667,30.139999,30.166666,999600,21.657612
"2002-06-14",30.166666,30.4,29.513334,30.173334,1420300,21.662388
"2002-06-17",30.666666,31.633333,30.526667,31.453333,1125300,22.581345
"2002-06-18",30.799999,31.433332,30.666666,31.219999,1700200,22.41382
"2002-06-19",30.933332,31.846666,30.9,31.513334,973900,22.62442
"2002-06-20",31.166666,31.66,31.133333,31.5,2423200,22.614847
"2002-06-21",31.5,31.566668,31.299999,31.466667,2060800,22.590916
"2002-06-24",31.466667,31.666666,31.040001,31.526667,1659100,22.633993
"2002-06-25",31.626667,32.306667,31.573334,31.833334,2041900,22.85416
"2002-06-26",31.833334,31.833334,30.860001,31.426666,2206000,22.562199
"2002-06-27",31.466667,32.086666,31.453333,32.086666,942700,23.036032
"2002-06-28",31.666666,32.653332,31.16,31.860001,1571400,22.873308
"2002-07-01",31.200001,31.440001,30.506666,30.666666,2208000,22.016567
"2002-07-02",30.280001,30.540001,29.940001,30.280001,2047600,21.738974
"2002-07-03",30.113333,30.459999,29.120001,30.073334,1772800,21.590601
"2002-07-05",30.653334,31.533333,30.533333,31.533333,634900,22.638777
"2002-07-08",31.4,31.533333,30.860001,30.9,1291200,22.184088
"2002-07-09",30.906666,31.526667,30.82,30.84,2204100,22.141012
"2002-07-10",31.173334,31.173334,30.166666,30.233334,1980100,21.705469
"2002-07-11",30,30.466667,29.333334,30.193333,2068800,21.676746
"2002-07-12",30.126667,30.906666,29.986666,30.273333,1760400,21.734186
"2002-07-15",30.253334,30.253334,28.633333,29.766666,1587700,21.370432
"2002-07-16",29.133333,29.200001,28.313334,28.4,2087800,20.389259
"2002-07-17",29.113333,29.780001,28.266666,28.4,1665700,20.389259
"2002-07-18",28.620001,28.666666,27.846666,27.866667,1810900,20.006359
"2002-07-19",27.866667,27.866667,26.719999,26.846666,1855300,19.274071
"2002-07-22",26.846666,27.326666,25.6,26.166666,1575300,18.785879
"2002-07-23",25.6,26.653334,25.48,25.626667,1660300,18.398195
"2002-07-24",25.333334,27.366667,24.966667,27.360001,1864300,19.642612
"2002-07-25",27.200001,27.866667,26.266666,26.700001,2182600,19.168777
"2002-07-26",26.700001,26.706667,25.799999,26.206667,3563800,18.814596
"2002-07-29",26.366667,27.200001,26.366667,27.200001,2719300,19.527739
"2002-07-30",25.666666,27.266666,25.326666,26.813334,3360700,19.250137
"2002-07-31",26.766666,26.933332,26.073334,26.84,2473000,19.269281
