"","PH.Open","PH.High","PH.Low","PH.Close","PH.Volume","PH.Adjusted"
"2001-01-02",29.5,29.625,28.916666,29.333334,619000,20.315098
"2001-01-03",29.166666,30,28.333334,30,1282800,20.776802
"2001-01-04",29.666666,30.583334,29.666666,30.583334,1427400,21.180803
"2001-01-05",30.458334,31.166666,29.75,29.916666,1877500,20.719093
"2001-01-08",30,30.083334,29.416666,29.583334,1002700,20.488241
"2001-01-09",30,30,29.25,29.333334,528400,20.315098
"2001-01-10",29.583334,29.583334,28.416666,29.416666,682600,20.37281
"2001-01-11",29.25,29.583334,28.583334,29.5,726900,20.430523
"2001-01-12",29.5,29.5,28.5625,29,1724100,20.084255
"2001-01-16",27.833334,29.5,27.666666,29.25,1022100,20.257378
"2001-01-17",29.333334,29.625,29.208334,29.375,613500,20.343952
"2001-01-18",29.166666,29.208334,28.208334,28.958334,798900,20.055384
"2001-01-19",29.125,29.125,27.833334,28.625,1144200,19.824533
"2001-01-22",28.333334,28.333334,27.875,28.208334,942100,19.535967
"2001-01-23",28.208334,28.916666,27.958334,28.708334,500100,19.882254
"2001-01-24",28.708334,29.166666,28.5,29.041666,478800,20.113096
"2001-01-25",29.041666,30,29,29.75,978400,20.603668
"2001-01-26",29.75,29.75,28.5,28.625,980700,19.824533
"2001-01-29",28.559999,28.786667,28.120001,28.666666,672000,19.853384
"2001-01-30",28.666666,29.433332,28,29.433332,531100,20.384352
"2001-01-31",29.413334,30.066668,29.133333,29.200001,910600,20.22275
"2001-02-01",29.333334,29.726667,29.1,29.18,475600,20.2089
"2001-02-02",29.433332,29.6,28.813334,28.853333,577800,19.982666
"2001-02-05",28.853333,28.933332,28.433332,28.440001,891900,19.696413
"2001-02-06",28.440001,28.860001,28.440001,28.713333,720300,19.885714
"2001-02-07",28.666666,28.799999,28.200001,28.66,466900,19.848772
"2001-02-08",28.733334,28.733334,28.186666,28.42,498000,19.682558
"2001-02-09",28.42,28.466667,28,28.293333,292800,19.594835
"2001-02-12",28.200001,28.866667,28.200001,28.42,474300,19.682558
"2001-02-13",28.82,28.82,28.333334,28.540001,625500,19.891653
"2001-02-14",28.546667,28.58,28.093334,28.16,316500,19.626799
"2001-02-15",28.133333,28.726667,28.133333,28.673334,566700,19.984577
"2001-02-16",28.68,28.799999,28.013334,28.246666,423600,19.687208
"2001-02-20",28.246666,29.08,27.799999,28.540001,457200,19.891653
"2001-02-21",28.466667,28.526667,27.833334,27.886667,364300,19.436302
"2001-02-22",27.886667,27.886667,27.4,27.780001,325000,19.361952
"2001-02-23",27.833334,27.833334,27,27.673334,486900,19.287601
"2001-02-26",27.74,29.166666,27.673334,28.793333,536800,20.068222
"2001-02-27",29.02,29.233334,28.353333,28.866667,697800,20.119328
"2001-02-28",28.666666,28.9,27.833334,28.686666,824800,19.99387
"2001-03-01",28.833334,28.833334,28.226667,28.546667,964800,19.896296
"2001-03-02",28.299999,29.146667,28.299999,28.733334,1344600,20.026409
"2001-03-05",28.866667,30.066668,28.799999,29.799999,743700,20.76984
"2001-03-06",28.933332,29.693333,28.666666,29.440001,1001200,20.518921
"2001-03-07",29.446667,30.133333,29.166666,30.02,980400,20.92317
"2001-03-08",30,30.700001,29.813334,30.700001,728100,21.397112
"2001-03-09",30.4,30.4,29.799999,30,719100,20.909235
"2001-03-12",29.866667,30.266666,29.299999,29.84,723600,20.79772
"2001-03-13",29.766666,29.773333,28.673334,29.4,1120600,20.491053
"2001-03-14",29.266666,29.266666,28.533333,28.74,882100,20.031046
"2001-03-15",28.746666,29.713333,28.606667,29.4,691200,20.491053
"2001-03-16",28.733334,29.200001,28.366667,28.446667,1015000,19.826595
"2001-03-19",28.453333,29.166666,28.32,28.866667,571000,20.119328
"2001-03-20",28,28.933332,27.853333,27.860001,749800,19.417707
"2001-03-21",27.700001,27.733334,26.666666,26.873333,651900,18.730021
"2001-03-22",26.799999,27,25.046667,26.280001,844200,18.316488
"2001-03-23",26.833334,27.133333,25.719999,26.906666,676800,18.753258
"2001-03-26",26.766666,27.493334,26.733334,27.166666,490500,18.934462
"2001-03-27",27.16,27.16,26.200001,26.780001,1624600,18.664974
"2001-03-28",26.780001,26.84,26,26.5,742000,18.469824
"2001-03-29",26.366667,27.133333,26.186666,26.533333,669600,18.493055
"2001-03-30",26.533333,26.753334,25.84,26.48,360000,18.455879
"2001-04-02",26.333334,27.566668,26.266666,26.786667,625300,18.669622
"2001-04-03",26.120001,26.333334,25.9,26.026667,525300,18.139914
"2001-04-04",26.026667,26.66,25.666666,26.546667,553800,18.502354
"2001-04-05",26.546667,27.426666,26.426666,27.326666,742300,19.045982
"2001-04-06",26.333334,27.193333,26.333334,27.133333,622200,18.911245
"2001-04-09",27.299999,28.68,27.299999,27.733334,929700,19.329424
"2001-04-10",27.559999,28.266666,27.533333,28.113333,524800,19.594275
"2001-04-11",27.799999,28.153334,27.1,27.433332,439200,19.120331
"2001-04-12",27.566668,28.033333,27.266666,28.013334,564300,19.524582
"2001-04-16",27.833334,28.200001,27.566668,27.873333,392500,19.427004
"2001-04-17",27.873333,28.833334,27.799999,28.666666,562300,19.979944
"2001-04-18",28.833334,31.013334,28.799999,30.866667,1477600,21.513277
"2001-04-19",30.766666,30.773333,29.799999,30.200001,1050700,21.048622
"2001-04-20",30,30.166666,29.573334,30.066668,418600,20.9557
