"","DHR.Open","DHR.High","DHR.Low","DHR.Close","DHR.Volume","DHR.Adjusted"
"2001-01-02",12.959628,13.018859,12.568707,12.604245,4349000,8.134463
"2001-01-03",12.616092,12.92409,12.118556,12.829322,3614500,8.279722
"2001-01-04",12.876706,13.018859,12.462092,12.5924,2768800,8.126819
"2001-01-05",12.568707,12.568707,12.189632,12.248863,1828600,7.905108
"2001-01-08",11.56179,11.834249,10.910254,11.087945,14914700,7.155879
"2001-01-09",11.372252,11.644711,11.277483,11.478867,8042700,7.408172
"2001-01-10",11.395944,11.739481,11.265636,11.727634,7420100,7.568721
"2001-01-11",11.846095,12.083017,11.692097,12.035633,3484200,7.767494
"2001-01-12",12.083017,12.118556,11.869788,12.083017,2382600,7.798077
"2001-01-16",12.035633,12.047479,11.739481,12.047479,3652000,7.775143
"2001-01-17",11.703942,11.846095,11.502559,11.751327,6411900,7.584013
"2001-01-18",11.798711,11.929018,11.739481,11.810557,3179800,7.622239
"2001-01-19",11.857942,11.857942,11.597327,11.668404,4389600,7.530498
"2001-01-22",11.668404,11.775019,11.538097,11.668404,3741700,7.530498
"2001-01-23",11.715789,11.905326,11.609174,11.89348,7650700,7.675752
"2001-01-24",11.940865,12.071172,11.751327,11.89348,3557600,7.675752
"2001-01-25",11.846095,11.988249,11.822403,11.95271,4928300,7.71398
"2001-01-26",11.95271,12.000094,11.763173,11.95271,2032300,7.71398
"2001-01-29",11.904852,12.029947,11.861259,11.931387,1709400,7.70022
"2001-01-30",11.931387,12.058377,11.798711,12.056482,1455600,7.780952
"2001-01-31",12.009098,12.312358,12.009098,12.22138,3921100,7.887373
"2001-02-01",12.22138,12.270659,12.19674,12.228961,2429500,7.892266
"2001-02-02",12.240334,12.291509,12.168309,12.270659,4353200,7.919177
"2001-02-05",12.414708,12.414708,12.162623,12.251706,2285000,7.906943
"2001-02-06",12.31994,12.405231,12.253601,12.34837,2275000,7.969331
"2001-02-07",12.22517,12.310462,12.073541,12.14746,1203900,7.839668
"2001-02-08",12.158833,12.316149,12.158833,12.280136,1457700,7.925292
"2001-02-09",12.272555,12.272555,12.012889,12.075436,2849000,7.793185
"2001-02-12",12.058377,12.22517,12.04511,12.206217,2369400,7.877588
"2001-02-13",12.22517,12.244124,12.111448,12.187263,2154100,7.865356
"2001-02-14",12.187263,12.31994,12.158833,12.304776,2789900,7.941192
"2001-02-15",12.285823,12.594769,12.282032,12.509477,3647800,8.073303
"2001-02-16",12.507582,12.600455,11.997725,12.14746,1533700,7.839668
"2001-02-20",12.145565,12.261183,12.092494,12.206217,1900400,7.877588
"2001-02-21",12.19674,12.300985,12.092494,12.168309,3426200,7.853123
"2001-02-22",12.168309,12.318044,11.997725,12.043215,4286200,7.772389
"2001-02-23",12.043215,12.083017,11.775967,11.882108,3705300,7.668416
"2001-02-26",11.978772,12.263078,11.899166,12.255497,2310800,7.909391
"2001-02-27",12.257392,12.357847,12.098181,12.151251,2626300,7.842114
"2001-02-28",12.153147,12.156937,11.874526,12.024261,3356000,7.760155
"2001-03-01",12.024261,12.204322,12.024261,12.073541,6284200,7.791961
"2001-03-02",12.064064,12.126611,11.988249,12.033738,2494400,7.766273
"2001-03-05",12.033738,12.19674,12.033738,12.139878,2432200,7.834774
"2001-03-06",12.22517,12.329416,12.035633,12.035633,1919900,7.767494
"2001-03-07",12.083017,12.177786,12.058377,12.149356,3038900,7.840889
"2001-03-08",12.19674,12.300985,12.047006,12.181577,2322400,7.861684
"2001-03-09",12.181577,12.181577,11.656558,11.713419,3056900,7.559547
"2001-03-12",11.703942,11.703942,11.372252,11.393101,3942200,7.352821
"2001-03-13",11.400682,11.419636,11.116376,11.159969,4187000,7.202365
"2001-03-14",11.031084,11.040561,10.70887,10.869977,3737500,7.015211
"2001-03-15",10.869977,10.993176,10.869977,10.964746,3028900,7.076373
"2001-03-16",10.964746,10.964746,10.70887,10.813116,5041700,6.978517
"2001-03-19",10.813116,10.945792,10.80743,10.945792,3868800,7.064142
"2001-03-20",10.964746,11.063306,10.746778,10.746778,3962800,6.935701
"2001-03-21",10.746778,10.803639,10.40561,10.462472,6393400,6.752218
"2001-03-22",10.424564,10.452994,9.895755,10.38097,6313700,6.699618
"2001-03-23",10.367702,10.517437,10.293783,10.48332,2435900,6.765676
"2001-03-26",10.509856,10.898408,10.291888,10.8605,2723900,7.009096
"2001-03-27",10.803639,10.869977,10.746778,10.851024,2846900,7.002982
"2001-03-28",10.805534,10.841547,10.538286,10.591357,3438800,6.837785
"2001-03-29",10.551555,10.614101,10.386657,10.413192,2275000,6.722764
"2001-03-30",10.422668,10.424564,10.20091,10.341167,2196300,6.676262
"2001-04-02",10.386657,10.612206,10.223655,10.235026,3854100,6.607739
"2001-04-03",10.233131,10.233131,9.882486,9.884382,3768600,6.381363
"2001-04-04",9.903336,10.253981,9.903336,10.216073,3998600,6.595503
"2001-04-05",10.263457,10.462472,10.257771,10.426459,3177700,6.731327
"2001-04-06",10.424564,10.426459,10.199015,10.27862,3214100,6.635882
"2001-04-09",10.310842,10.471949,10.263457,10.344958,1527400,6.678708
"2001-04-10",10.392343,10.55724,10.329795,10.460576,3403000,6.753353
"2001-04-11",10.490902,10.490902,9.79909,9.850266,7154700,6.359338
"2001-04-12",9.865428,10.329795,9.763078,10.236922,6729500,6.608963
"2001-04-16",10.216073,10.310842,10.064443,10.20091,1607500,6.585711
"2001-04-17",10.235026,10.416983,10.142153,10.142153,1816500,6.547778
"2001-04-18",10.142153,11.192191,10.111827,11.173237,6729500,7.213449
"2001-04-19",11.16376,11.165656,10.689917,10.803639,5482200,6.974835
"2001-04-20",10.775208,10.830174,10.629265,10.688022,1293600,6.900189
"2001-04-23",10.727824,10.765732,10.597043,10.661486,1739400,6.88306
"2001-04-24",10.566717,10.689917,10.536391,10.55724,1144800,6.815761
"2001-04-25",10.547764,10.574299,10.415087,10.538286,2019100,6.803525
"2001-04-26",10.55724,10.652009,10.48332,10.576194,2791500,6.827996
"2001-04-27",10.70887,10.70887,10.339272,10.515542,2448500,6.788839
"2001-04-30",10.197119,10.678544,10.197119,10.615997,5820400,6.853693
"2001-05-01",10.703184,10.703184,10.502275,10.50796,2598400,6.783943
"2001-05-02",10.415087,10.443518,10.333586,10.422668,3873100,6.72888
"2001-05-03",10.422668,10.422668,10.111827,10.235026,6043100,6.607739
"2001-05-04",10.235026,10.684231,10.140258,10.500379,22749500,6.77905
"2001-05-07",10.502275,10.727824,10.502275,10.591357,3719500,6.837785
"2001-05-08",10.851024,11.089841,10.805534,10.960956,7204900,7.0764
