"","SLB.Open","SLB.High","SLB.Low","SLB.Close","SLB.Volume","SLB.Adjusted"
"2001-01-02",40.09375,41.40625,40.09375,40.875,6675800,26.916544
"2001-01-03",40.71875,40.75,39.375,39.875,12393800,26.258034
"2001-01-04",39.5,39.53125,37.5,38.84375,11791400,25.578951
"2001-01-05",38.84375,39.625,38.09375,38.375,6584200,25.270271
"2001-01-08",38.71875,39.21875,38.25,38.5,4615000,25.352589
"2001-01-09",39.28125,39.4375,38.1875,38.59375,7282400,25.414318
"2001-01-10",38.5,39.4375,38.4375,39.125,7696000,25.764145
"2001-01-11",39.59375,40.3125,39.1875,40.21875,9695000,26.484398
"2001-01-12",40,40.625,39.8125,40.53125,5219600,26.690176
"2001-01-16",40.53125,40.875,39.4375,40.28125,7114000,26.525553
"2001-01-17",39.25,39.25,37.8125,38.25,9685600,25.187956
"2001-01-18",38.28125,38.6875,36.1875,36.40625,10294000,23.973824
"2001-01-19",36.4375,37.03125,35.8125,36.84375,8969400,24.26193
"2001-01-22",37,37.5625,36.46875,36.8125,6045400,24.241354
"2001-01-23",37.28125,37.53125,36.53125,36.9375,6757200,24.323662
"2001-01-24",37.5,38.3125,36.78125,37.75,5649800,24.858696
"2001-01-25",37.78125,39.5,37.34375,39.46875,9040200,25.990505
"2001-01-26",39.4375,39.46875,38.28125,38.65625,7697000,25.455469
"2001-01-29",38.25,38.450001,37.580002,37.814999,5055800,24.901506
"2001-01-30",38.150002,38.375,37.349998,37.75,5095000,24.858696
"2001-01-31",37.875,38.424999,37.549999,38.400002,4706600,25.28673
"2001-02-01",37.900002,37.904999,37.32,37.755001,3812400,24.861992
"2001-02-02",38.255001,38.724998,38,38.5,4939600,25.352589
"2001-02-05",38.5,39.325001,38.5,39.005001,6697800,25.685137
"2001-02-06",39.18,39.775002,38.474998,39.645,6371800,26.106577
"2001-02-07",39.474998,39.955002,39,39.580002,8329200,26.06378
"2001-02-08",39.580002,39.939999,39.110001,39.195,5878200,25.810251
"2001-02-09",39.5,39.924999,38.880001,39.099998,4858200,25.747688
"2001-02-12",37.25,37.549999,34.25,34.5,30477000,22.718544
"2001-02-13",34,34.200001,31.9,32.009998,37295200,21.078857
"2001-02-14",32.369999,32.919998,31.75,32.720001,27961000,21.546404
"2001-02-15",32.75,32.75,31.690001,32.125,15092400,21.154591
"2001-02-16",32.5,32.695,31.775,32.25,17278800,21.236908
"2001-02-20",32.474998,32.849998,32.25,32.490002,11110000,21.520132
"2001-02-21",31.75,32.369999,31.6,31.65,11131800,20.963745
"2001-02-22",32.400002,32.650002,31,31.219999,11803000,20.678932
"2001-02-23",31.299999,31.625,29.855,30.004999,12068000,19.874165
"2001-02-26",30.950001,32.5,30.764999,32.325001,15737800,21.410843
"2001-02-27",32.349998,32.48,32,32.200001,8766200,21.328049
"2001-02-28",32.299999,32.369999,31.450001,31.875,7727000,21.112772
"2001-03-01",31.9,32.27,31.5,31.66,8348400,20.970373
"2001-03-02",31.799999,33,31.584999,32.700001,8198600,21.659227
"2001-03-05",32.740002,33.599998,32.525002,33.115002,5393600,21.934111
"2001-03-06",33,33.779999,32.75,33.544998,5632000,22.218924
"2001-03-07",33.549999,34.605,33.549999,34.599998,8284600,22.917713
"2001-03-08",34.375,34.779999,33.75,34.48,7693200,22.838232
"2001-03-09",34.299999,34.799999,33.919998,34.355,7160800,22.75543
"2001-03-12",34.360001,34.674999,33.215,33.994999,6853600,22.516989
"2001-03-13",33.799999,33.799999,32.924999,33.075001,6283200,21.907614
"2001-03-14",33,33.724998,32.330002,32.549999,6947200,21.55987
"2001-03-15",32.549999,32.799999,31.5,31.82,7691400,21.076344
"2001-03-16",31.049999,31.9,30.5,30.6,12111800,20.268265
"2001-03-19",30.924999,32,30.924999,31.73,6448000,21.016735
"2001-03-20",32.075001,33.150002,31.865,32.529999,7572400,21.546625
"2001-03-21",31.825001,32.529999,31.4,31.5,6491400,20.864388
"2001-03-22",31.26,31.334999,29.9,30.48,10645400,20.188784
"2001-03-23",30.924999,31.950001,30.385,31.405001,7771000,20.801474
"2001-03-26",31.700001,32.375,31.700001,31.9,6153000,21.129341
"2001-03-27",32.150002,32.365002,31.025,31.4,6205400,20.798159
"2001-03-28",31.299999,31.344999,30.15,30.27,6342600,20.049692
"2001-03-29",29.799999,29.91,28.65,28.895,10501200,19.138945
"2001-03-30",29,29.745001,28.76,28.805,14008800,19.079334
"2001-04-02",28.875,28.924999,27.309999,27.629999,10109000,18.301058
"2001-04-03",27.950001,28.049999,26.42,26.52,12499200,17.565826
"2001-04-04",26.75,27.754999,26.674999,27.014999,12803400,17.893694
"2001-04-05",27.684999,28.674999,27.41,28.495001,10900200,18.874001
"2001-04-06",28.035,29.48,27.705,28.975,12761800,19.191935
"2001-04-09",29.950001,30.200001,29.5,30.15,9108600,19.970203
"2001-04-10",30.5,30.895,29.785,30.85,11152000,20.433863
"2001-04-11",30.75,30.844999,30.09,30.09,6420800,19.930462
"2001-04-12",30.225,30.950001,30.225,30.605,10133400,20.271574
"2001-04-16",30.605,31.280001,30.424999,31.075001,4219600,20.58289
"2001-04-17",30.875,31.635,30.719999,31.32,6406600,20.745171
"2001-04-18",31.424999,31.995001,30.379999,30.559999,12383600,20.241774
"2001-04-19",30.700001,30.875,29.4,29.6,10390800,19.605904
"2001-04-20",30.004999,30.620001,29.65,30.385,8965800,20.125862
"2001-04-23",30.885,31.219999,30.799999,31.120001,6096600,20.61269
"2001-04-24",31.1,31.35,30.504999,30.815001,5730600,20.410673
"2001-04-25",30.82,31.6,30.35,31.504999,5394400,20.86771
"2001-04-26",32,33.695,32,33.68,10673600,22.30834
"2001-04-27",33.75,33.75,32.715,33,8228800,21.857929
"2001-04-30",33.099998,33.700001,32.700001,33.150002,5836600,21.957298
"2001-05-01",33.150002,33.224998,32.105,32.445,6225800,21.49032
"2001-05-02",31,31.075001,30.549999,30.780001,10264600,20.387487
"2001-05-03",31,31.35,30.375,30.860001,7375400,20.440481
"2001-05-04",31.305,31.700001,31.040001,31.475,4643600,20.847837
"2001-05-07",31.934999,32.049999,30.75,31.184999,4284600,20.655745
"2001-05-08",30.775,31.115,30.450001,30.905001,5327200,20.470293
"2001-05-09",31.245001,31.545,31.174999,31.475,6782600,20.847837
"2001-05-10",31.475,31.75,31,31.305,4658200,20.735241
"2001-05-11",31.200001,31.215,30.775,30.969999,3062400,20.513332
"2001-05-14",31.325001,31.875,31.145,31.875,4443400,21.112772
"2001-05-15",32.424999,33.055,32.240002,32.865002,6769800,21.768522
"2001-05-16",32.799999,33.25,32.575001,33.105,5467200,21.927485
"2001-05-17",33.275002,34.119999,32.709999,33.994999,8565000,22.516989
"2001-05-18",34.240002,34.625,33.834999,34.264999,7151800,22.695826
"2001-05-21",34.349998,34.525002,33.924999,34.224998,5602000,22.669329
"2001-05-22",34.23,34.240002,33.450001,33.625,6720200,22.271914
"2001-05-23",33.349998,33.355,32.450001,32.5,5735800,21.526751
"2001-05-24",32.5,32.5,31.66,31.924999,5385200,21.145887
"2001-05-25",32.25,32.435001,31.950001,32.029999,4415800,21.215441
"2001-05-29",32.349998,32.564999,31.565001,31.674999,6082400,20.980307
"2001-05-30",31.775,31.85,30.799999,31.165001,5217400,20.642506
"2001-05-31",30.924999,31.75,30.605,31.514999,6643200,20.874321
"2001-06-01",31.514999,31.700001,30.965,31.415001,4085600,20.808092
"2001-06-04",31.65,32.474998,31.635,32.459999,5687200,21.629419
"2001-06-05",32.459999,32.93,32.009998,32.740002,4721200,21.816
"2001-06-06",32.049999,32.049999,30.950001,30.950001,8314600,20.623251
"2001-06-07",30.950001,31.549999,30.445,30.575001,7744200,20.373371
"2001-06-08",30.975,30.99,30.059999,30.15,6429600,20.090176
"2001-06-11",30.48,30.549999,29.775,29.9,6405800,19.923586
"2001-06-12",30.25,30.43,29.975,30.299999,5616000,20.190134
"2001-06-13",30.924999,31.23,30.08,30.110001,5439200,20.06352
"2001-06-14",29.625,29.67,28,28.450001,15453200,18.957399
"2001-06-15",28.825001,29,28.375,28.65,8602200,19.090658
"2001-06-18",28.525,28.9,28.174999,28.309999,4120200,18.864111
"2001-06-19",28.674999,28.674999,27.834999,28.174999,4826400,18.774151
"2001-06-20",28.450001,28.59,27.434999,27.450001,5981600,18.291063
"2001-06-21",27.700001,27.75,26.059999,26.790001,12288400,17.851273
"2001-06-22",26.799999,27.4,26.299999,27.049999,10020200,18.024523
"2001-06-25",27.225,27.285,26.68,26.93,8094200,17.944551
"2001-06-26",26.950001,27.344999,26.799999,27.26,8447800,18.164448
"2001-06-27",27.125,27.125,26.525,26.525,7142000,17.674688
"2001-06-28",26.41,26.575001,25.575001,26.309999,12943000,17.531429
"2001-06-29",26.525,27.02,25.975,26.325001,8217400,17.54142
"2001-07-02",26.65,26.684999,25.725,26.049999,6965400,17.358189
