"","IR.Open","IR.High","IR.Low","IR.Close","IR.Volume","IR.Adjusted"
"2001-01-02",16.473642,16.498602,15.8746,16.224041,2373500,11.902634
"2001-01-03",16.099241,16.773163,15.77476,16.498602,2856800,12.104063
"2001-01-04",16.773163,17.696686,16.648363,17.596846,3233900,12.909782
"2001-01-05",17.671724,17.671724,16.798122,16.947884,3052100,12.433674
"2001-01-08",16.947884,16.972843,16.498602,16.673323,1808300,12.232244
"2001-01-09",16.823084,16.972843,16.698282,16.773163,1318100,12.30549
"2001-01-10",16.873003,16.897963,16.04932,16.598442,2439600,12.177312
"2001-01-11",16.723244,16.723244,16.124201,16.373802,2307900,12.012505
"2001-01-12",16.473642,16.473642,15.200679,15.47524,5340000,11.353279
"2001-01-16",15.57508,16.099241,15.3754,15.974441,2810900,11.719517
"2001-01-17",16.124201,16.124201,15.799721,15.92452,1249700,11.682894
"2001-01-18",15.92452,15.92452,15.400359,15.67492,1815600,11.499775
"2001-01-19",15.77476,15.77476,15.3754,15.52516,1966300,11.389904
"2001-01-22",15.3754,15.699881,15.275559,15.52516,2472100,11.389904
"2001-01-23",15.47524,15.8746,15.300519,15.600039,3072100,11.44484
"2001-01-24",15.974441,16.224041,15.849641,15.999401,4582300,11.737826
"2001-01-25",16.523561,17.122604,16.423721,17.047724,3273400,12.506922
"2001-01-26",17.072683,17.072683,16.473642,16.897963,1721200,12.397051
"2001-01-29",16.773163,17.116613,16.737221,16.932907,1223900,12.422686
"2001-01-30",17.112619,17.420128,16.721247,17.368212,1829600,12.742045
"2001-01-31",17.571884,17.931311,17.41214,17.695686,2682500,12.982293
"2001-02-01",17.683706,17.959265,17.496006,17.651756,1912300,12.950064
"2001-02-02",17.73163,17.959265,17.635782,17.735622,1551400,13.011591
"2001-02-05",17.551916,17.659744,17.448084,17.480032,1887200,12.82408
"2001-02-06",17.380192,17.51198,17.192492,17.392172,1459300,12.759618
"2001-02-07",17.492012,17.855431,17.472044,17.78754,1066200,13.049683
"2001-02-08",17.715654,17.863419,17.627796,17.83147,872600,13.081912
"2001-02-09",17.871407,17.871407,17.51198,17.595846,1102500,12.909045
"2001-02-12",17.595846,18.190895,17.595846,17.899361,1332100,13.131717
"2001-02-13",17.899361,18.142971,17.819489,17.819489,1641600,13.073119
"2001-02-14",17.823483,18.043131,17.472044,17.563898,2453100,12.885607
"2001-02-15",17.372204,18.178913,17.340256,18.178913,2703500,13.388564
"2001-02-16",18.079073,18.123003,17.571884,17.835463,1668900,13.135612
"2001-02-20",17.531948,17.811502,17.440096,17.595846,1327600,12.959136
"2001-02-21",17.59984,17.667732,17.492012,17.61182,2426100,12.970904
"2001-02-22",17.591852,17.651756,17.515974,17.64377,1776800,12.994431
"2001-02-23",17.579872,17.667732,17.180511,17.360224,1830600,12.785604
"2001-02-26",17.364218,17.971247,17.324282,17.83147,2855800,13.13267
"2001-02-27",17.51198,17.671724,17.432108,17.647764,2338700,12.997375
"2001-02-28",17.747604,17.771566,16.972843,17.3123,1535900,12.750309
"2001-03-01",17.21246,17.40016,16.988817,17.292332,1901000,12.735601
"2001-03-02",17.372204,17.667732,17.372204,17.61182,2599600,12.970904
"2001-03-05",17.711662,18.566294,17.711662,18.530352,3128700,13.647387
"2001-03-06",18.869808,18.901756,18.270767,18.370607,3426400,13.529742
"2001-03-07",18.430511,19.169329,18.430511,19.137381,3091600,14.094461
"2001-03-08",19.157349,19.508785,18.953674,19.361023,3949800,14.259169
"2001-03-09",19.209265,19.269169,18.941692,19.053514,2440300,14.032692
"2001-03-12",19.053514,19.053514,18.350639,18.354633,2307900,13.517975
"2001-03-13",18.610224,18.610224,18.011183,18.230831,2653700,13.426793
"2001-03-14",17.991215,18.286741,17.991215,18.111023,2931400,13.338563
"2001-03-15",18.111023,18.458466,17.991215,18.162939,2891100,13.376791
"2001-03-16",17.811502,18.162939,17.54393,17.551916,2215700,12.926783
"2001-03-19",17.551916,17.963259,17.332268,17.571884,3575900,12.941487
"2001-03-20",17.61182,17.923323,17.304314,17.304314,3875400,12.744427
"2001-03-21",17.292332,17.292332,16.473642,16.653355,2327900,12.265001
"2001-03-22",16.373802,16.413738,15.523163,15.982429,3126700,11.770875
"2001-03-23",16.19409,16.19409,15.615016,16.026358,2443900,11.803224
"2001-03-26",16.373802,16.533546,16.110224,16.341852,2963700,12.035584
"2001-03-27",16.573483,16.781151,16.142172,16.753195,1793300,12.338533
"2001-03-28",16.633387,16.693291,16.29393,16.645367,1702700,12.259119
"2001-03-29",15.075878,16.154154,15.075878,16.046326,5801200,11.817936
"2001-03-30",15.734824,15.978435,15.646965,15.858626,2227000,11.679694
"2001-04-02",15.894568,16.373802,15.399361,15.806709,1958100,11.641459
"2001-04-03",15.694888,15.694888,15.255591,15.315495,2585800,11.279685
"2001-04-04",15.515176,16.074282,15.415336,15.826677,2612600,11.656166
"2001-04-05",16.086262,16.673323,16.01837,16.553514,1950100,12.191472
"2001-04-06",16.353834,16.413738,15.862619,16.154154,1889200,11.897348
"2001-04-09",16.773163,17.076677,16.417732,16.805111,3001700,12.376774
"2001-04-10",16.773163,17.44409,16.593451,17.24441,3059600,12.700306
"2001-04-11",17.052715,17.052715,16.373802,16.557508,2614600,12.194417
"2001-04-12",16.593451,17.052715,16.417732,17.004793,1511100,12.523832
"2001-04-16",16.972843,17.164537,16.613419,17.040735,1065900,12.550306
"2001-04-17",16.940895,17.052715,16.773163,16.873003,1205100,12.426777
"2001-04-18",16.876997,18.470448,16.773163,18.314697,3857100,13.488564
"2001-04-19",17.891375,18.150959,17.791534,18.123003,2987500,13.347387
"2001-04-20",18.222843,18.270767,17.839457,18.083067,1860700,13.317972
"2001-04-23",18.130991,18.330671,18.059105,18.250799,1574200,13.441502
"2001-04-24",18.210863,18.298721,17.875399,17.951279,1586700,13.220906
"2001-04-25",17.951279,18.027157,17.492012,17.871407,1909500,13.162087
"2001-04-26",17.931311,18.65016,17.883387,18.430511,1974400,13.573854
"2001-04-27",18.250799,18.666134,18.234825,18.666134,1352900,13.747391
"2001-04-30",18.690096,18.769968,18.378593,18.769968,1837400,13.823861
"2001-05-01",18.530352,18.769968,18.326677,18.765974,2389300,13.820925
"2001-05-02",18.730032,18.730032,18.334665,18.59425,1176300,13.694448
"2001-05-03",18.65016,18.76198,18.41853,18.73802,1463800,13.800331
"2001-05-04",18.610224,18.714058,18.270767,18.686102,1017800,13.762097
"2001-05-07",18.75,18.76198,18.646166,18.658148,1224700,13.741508
"2001-05-08",18.610224,18.76198,18.46246,18.610224,1193600,13.706218
"2001-05-09",18.390575,18.60623,18.330671,18.486422,1155000,13.615038
"2001-05-10",18.41853,18.702076,18.41853,18.582268,2661500,13.685625
"2001-05-11",18.65016,18.789936,18.566294,18.753994,2206200,13.812102
"2001-05-14",18.785942,18.865814,18.610224,18.857828,1247400,13.939032
"2001-05-15",18.65016,18.70607,18.430511,18.690096,2211500,13.81505
"2001-05-16",18.730032,19.76837,18.710064,19.596645,2548300,14.485138
"2001-05-17",19.512779,19.928116,19.508785,19.648561,2573800,14.523519
"2001-05-18",19.928116,19.964058,19.572683,19.732428,1898000,14.585507
"2001-05-21",19.632587,19.94409,19.369009,19.88818,1854900,14.700629
"2001-05-22",19.884186,20.079872,19.816294,19.948084,2889600,14.744911
"2001-05-23",19.608625,19.948084,19.608625,19.696486,2682200,14.558934
"2001-05-24",19.568689,19.748402,19.380991,19.564697,1777500,14.461527
"2001-05-25",19.508785,19.704473,19.392971,19.476837,1592500,14.396587
"2001-05-29",19.468849,19.908148,19.468849,19.76837,1746700,14.612076
"2001-05-30",19.369009,19.596645,19.109425,19.189297,3209300,14.184047
"2001-05-31",19.089457,19.748402,19.089457,19.708466,2223500,14.567794
"2001-06-01",19.708466,19.76837,19.476837,19.708466,2459400,14.567794
"2001-06-04",19.71246,19.764378,19.516773,19.736422,1309500,14.58846
"2001-06-05",19.736422,19.968052,19.596645,19.880192,2693300,14.694728
"2001-06-06",19.828276,19.880192,19.369009,19.380991,2582100,14.325733
"2001-06-07",19.380991,19.740416,19.380991,19.736422,2004700,14.58846
"2001-06-08",19.788338,19.808308,19.408945,19.596645,2043500,14.485138
"2001-06-11",19.568689,19.572683,19.233227,19.309105,1950800,14.2726
"2001-06-12",19.269169,19.293131,18.989616,19.169329,1915500,14.169283
"2001-06-13",19.249201,19.349041,19.129393,19.133387,1902500,14.142714
"2001-06-14",19.069489,19.069489,18.686102,18.730032,2123300,13.844577
"2001-06-15",18.458466,18.654154,18.430511,18.434505,4291100,13.62613
"2001-06-18",18.438498,18.530352,18.166933,18.242811,2510700,13.484436
"2001-06-19",18.230831,18.302715,17.651756,17.887381,3798500,13.221707
"2001-06-20",17.851439,18.210863,17.79952,17.927317,2408300,13.251231
"2001-06-21",17.927317,18.390575,17.851439,18.362619,1975400,13.572988
"2001-06-22",18.362619,18.362619,17.811502,17.951279,1690700,13.26894
"2001-06-25",17.891375,18.031151,17.575878,17.575878,1075700,12.991457
"2001-06-26",17.372204,17.631788,17.112619,17.559904,2347700,12.979651
"2001-06-27",17.61182,17.667732,17.21246,17.3123,1486600,12.796633
"2001-06-28",17.352236,17.61182,17.292332,17.376198,1454500,12.84386
"2001-06-29",16.373802,16.713259,16.273962,16.453674,5642200,12.161963
"2001-07-02",16.453674,17.012779,16.226038,16.964857,3469500,12.539815
"2001-07-03",16.968849,17.30032,16.964857,17.252396,2091000,12.752357
"2001-07-05",17.352236,17.631788,17.216454,17.571884,2922400,12.988507
"2001-07-06",17.492012,17.492012,16.813099,16.873003,2147400,12.471925
"2001-07-09",16.972843,17.352236,16.892971,17.196486,2874000,12.71103
"2001-07-10",17.180511,17.332268,17.020767,17.032747,2372500,12.589997
"2001-07-11",17.032747,17.144569,16.833067,17.008785,1545200,12.572284
"2001-07-12",17.004793,17.751598,16.972843,17.6877,2896800,13.074118
"2001-07-13",17.6877,17.851439,17.34425,17.739616,1342100,13.112486
"2001-07-16",17.771566,17.771566,17.176517,17.216454,1498300,12.725784
"2001-07-17",17.316294,17.911343,17.172523,17.751598,3188000,13.121348
"2001-07-18",17.691692,17.791534,17.496006,17.751598,1473600,13.121348
"2001-07-19",17.83147,18.051119,17.619808,17.663738,2028700,13.056397
"2001-07-20",17.232428,17.683706,17.232428,17.603834,1514600,13.012126
"2001-07-23",17.691692,17.691692,17.032747,17.192492,1355900,12.70808
"2001-07-24",17.192492,17.3123,16.657349,16.789137,1908500,12.409927
"2001-07-25",16.653355,16.972843,16.653355,16.956869,1039600,12.533913
"2001-07-26",16.932907,17.120607,16.713259,17.088657,760400,12.631324
"2001-07-27",16.972843,17.080671,16.801119,16.904953,1316100,12.495537
"2001-07-30",17.072683,17.316294,16.972843,17.084665,1301300,12.62837
"2001-07-31",17.132587,17.51198,17.132587,17.44409,1619500,12.894051
"2001-08-01",17.448084,17.448084,17.092651,17.164537,1288800,12.687413
"2001-08-02",17.232428,17.376198,17.052715,17.152555,1770800,12.678552
"2001-08-03",17.284346,17.372204,16.912939,17.288338,1443800,12.778919
"2001-08-06",17.232428,17.272364,16.473642,16.569489,1516900,12.247572
"2001-08-07",16.569489,17.052715,16.465654,16.849041,2138400,12.454212
"2001-08-08",16.633387,16.805111,16.409744,16.425718,1117700,12.141301
"2001-08-09",16.573483,16.577477,16.253994,16.569489,1364900,12.247572
"2001-08-10",16.473642,17.020767,16.29393,16.892971,1179600,12.486685
"2001-08-13",16.892971,16.952875,16.693291,16.793131,1400900,12.412882
"2001-08-14",16.541534,16.573483,16.25,16.39377,1610300,12.166874
"2001-08-15",16.49361,16.765175,16.40575,16.533546,1928300,12.270617
"2001-08-16",16.49361,16.525558,16.317892,16.469648,898900,12.22319
"2001-08-17",16.385782,16.413738,15.914536,15.954473,2061000,11.840844
"2001-08-20",15.954473,15.966454,15.57508,15.714856,2197700,11.663009
"2001-08-21",15.854632,16.273962,15.790735,16.038338,1729000,11.903086
"2001-08-22",16.174122,16.50559,16.142172,16.49361,3001000,12.240971
"2001-08-23",16.49361,16.49361,16.178116,16.289936,1476300,12.089814
"2001-08-24",16.353834,16.749201,16.297924,16.621407,1459800,12.335821
"2001-08-27",16.653355,16.749201,16.597445,16.649361,1158100,12.356568
