"","GWW.Open","GWW.High","GWW.Low","GWW.Close","GWW.Volume","GWW.Adjusted"
"2001-03-12",35.700001,36.200001,35.099998,35.279999,283400,25.436256
"2001-03-13",35.200001,35.669998,33.799999,34.23,423700,24.679241
"2001-03-14",34.049999,34.049999,33.119999,33.490002,250700,24.145714
"2001-03-15",33.700001,33.84,33.52,33.669998,274600,24.275484
"2001-03-16",33,33.5,31.85,31.99,728200,23.064236
"2001-03-19",32,32,30.799999,31.09,813700,22.415346
"2001-03-20",31.09,32.200001,30.9,31.139999,400600,22.451401
"2001-03-21",31.26,31.379999,30.129999,30.280001,426300,21.831354
"2001-03-22",29.85,30.4,29.51,30.23,817600,21.795309
"2001-03-23",30.4,31.1,30.23,30.959999,564900,22.321621
"2001-03-26",30.9,32.5,30.790001,32.369999,559300,23.338209
"2001-03-27",32.299999,33.02,32,32.950001,436500,23.756374
"2001-03-28",32.549999,33.57,32.299999,33.02,448700,23.806845
"2001-03-29",33.02,34.450001,33.02,33.759998,487600,24.340366
"2001-03-30",33.77,34.099998,33.700001,33.849998,684000,24.40526
"2001-04-02",33.700001,34.130001,32.919998,33.040001,295100,23.821253
"2001-04-03",33.25,33.400002,32.150002,32.200001,258200,23.215645
"2001-04-04",32.200001,33.259998,32,32.900002,308100,23.720341
"2001-04-05",32.950001,34.299999,32.900002,34.169998,213200,24.635981
"2001-04-06",34.419998,34.419998,33.16,33.650002,454300,24.261068
"2001-04-09",33.5,34.669998,33.259998,33.98,264200,24.498991
"2001-04-10",33.900002,34.950001,33.849998,34.490002,322600,24.866703
"2001-04-11",34.599998,34.599998,33.889999,34.02,285100,24.527834
"2001-04-12",33.900002,34.029999,33.299999,33.419998,340000,24.095234
"2001-04-16",33.400002,33.970001,33.049999,33.400002,302900,24.080818
"2001-04-17",33.150002,33.580002,33.150002,33.509998,275000,24.160135
"2001-04-18",33.5,36.369999,33.200001,35.869999,565500,25.86165
"2001-04-19",36.200001,36.200001,35,35.470001,481100,25.573261
"2001-04-20",35.400002,35.5,34.900002,34.959999,221600,25.205555
"2001-04-23",34.950001,36.950001,34.950001,36.790001,905600,26.524954
"2001-04-24",37.349998,37.75,36.900002,37.5,718400,27.036861
"2001-04-25",37.849998,38.700001,37.849998,38,572400,27.397341
"2001-04-26",37.849998,38.599998,37.849998,38.490002,480900,27.750624
"2001-04-27",38.900002,39.25,38.549999,38.919998,339800,28.060648
"2001-04-30",39.049999,39.16,38.73,38.779999,693000,27.959707
"2001-05-01",38.799999,39.759998,38.799999,39.700001,424300,28.623007
"2001-05-02",39.599998,40.700001,39.470001,40.009998,552500,28.846525
"2001-05-03",39.450001,39.599998,38.549999,39,394600,28.241842
"2001-05-04",39,39.48,38.68,39.389999,228900,28.524263
"2001-05-07",39.139999,40.049999,39.139999,39.459999,412000,28.574959
"2001-05-08",39.75,40.299999,39.669998,39.889999,772700,28.886343
"2001-05-09",39.75,40.349998,39.700001,40.029999,466000,28.987728
"2001-05-10",40.25,41.049999,40.040001,40.830002,343000,29.567059
"2001-05-11",40.700001,41.380001,40.700001,40.810001,288200,29.552563
"2001-05-14",40.810001,40.810001,40.48,40.610001,433200,29.407742
"2001-05-15",40.700001,41.299999,40.650002,41,371600,29.690153
"2001-05-16",40.970001,41.700001,40.970001,41.66,669300,30.168093
"2001-05-17",41.66,42.470001,41.619999,42.349998,508700,30.667765
"2001-05-18",42.349998,42.799999,42.099998,42.799999,471300,30.993628
"2001-05-21",42.799999,43.610001,42.380001,43.599998,445200,31.572947
"2001-05-22",43.400002,43.529999,43,43.32,321000,31.370182
"2001-05-23",43.450001,43.450001,42.650002,42.919998,476100,31.080515
"2001-05-24",42.799999,43.099998,42,42.490002,363500,30.769152
"2001-05-25",42.549999,42.900002,42.299999,42.700001,277800,30.921206
"2001-05-29",42.700001,44.049999,42.450001,43.290001,951900,31.34844
"2001-05-30",43.299999,43.799999,43.299999,43.450001,565900,31.464333
"2001-05-31",43.459999,44.599998,43.459999,44.189999,697000,32.000195
"2001-06-01",44.599998,44.650002,43.709999,44.580002,531800,32.282623
"2001-06-04",44.18,44.959999,43.849998,44.790001,399800,32.434681
"2001-06-05",44.779999,45.02,44.32,44.91,557500,32.521564
"2001-06-06",44.950001,45.09,44.549999,44.610001,354000,32.304329
"2001-06-07",44.700001,45.669998,44.700001,45.669998,272000,33.071922
"2001-06-08",46.25,48,46.099998,46.349998,935200,33.56435
"2001-06-11",46.150002,46.299999,44.5,44.790001,1294700,32.434681
"2001-06-12",44.349998,44.470001,43.779999,44.049999,463000,31.898802
"2001-06-13",44.150002,44.5,43.599998,43.880001,391600,31.775702
"2001-06-14",43.880001,43.93,42.619999,42.720001,281300,30.935696
"2001-06-15",42,43.25,41.82,43.07,574200,31.189133
"2001-06-18",42.700001,43.150002,42.099998,42.349998,317800,30.667765
"2001-06-19",42.599998,43.07,41.610001,41.630001,358400,30.146376
"2001-06-20",41.610001,42.119999,41.509998,41.91,250100,30.349127
"2001-06-21",41.91,42.5,41.700001,42.439999,360300,30.732929
"2001-06-22",42.299999,42.5,41.939999,42.07,144600,30.464996
"2001-06-25",42.200001,42.360001,41.360001,41.490002,145300,30.044991
"2001-06-26",41,41.990002,40.84,41.849998,225700,30.305677
"2001-06-27",41.650002,41.950001,41.099998,41.529999,357400,30.073956
"2001-06-28",41.52,42.099998,41.52,41.849998,254100,30.305677
"2001-06-29",41.599998,41.810001,40.700001,41.16,529600,29.806017
"2001-07-02",41.299999,41.799999,40.799999,41.599998,310500,30.124643
"2001-07-03",41.799999,42.5,41.259998,42.41,113600,30.711203
"2001-07-05",42.25,42.540001,41.759998,42.5,392400,30.776367
"2001-07-06",42.5,42.5,40.209999,40.299999,501400,29.183247
"2001-07-09",40.369999,40.669998,39.450001,39.75,565800,28.784969
"2001-07-10",39.700001,39.990002,39.299999,39.560001,203000,28.647377
"2001-07-11",39.220001,39.5,38.77,39.18,393700,28.3722
"2001-07-12",39.18,40.900002,39.110001,40.599998,341700,29.400484
"2001-07-13",40.349998,40.650002,39.959999,40.189999,312600,29.103582
"2001-07-16",40.299999,41,40.25,40.34,202000,29.212223
"2001-07-17",40.25,41.360001,40.25,41.110001,311400,29.769819
"2001-07-18",40.799999,42.049999,40.799999,41.849998,242000,30.305677
"2001-07-19",42.299999,42.549999,41.889999,42.18,329700,30.544651
"2001-07-20",42,42.400002,41.549999,41.84,391700,30.298437
"2001-07-23",41.84,42.450001,40.950001,42.040001,336600,30.443262
"2001-07-24",42,42.150002,41.02,41.119999,296100,29.777054
"2001-07-25",41.110001,42,41.110001,41.959999,203300,30.385334
"2001-07-26",41.799999,42.419998,41.450001,42.349998,308100,30.667765
"2001-07-27",42.299999,42.389999,42,42.200001,441700,30.559124
"2001-07-30",42.25,42.48,41.900002,42.200001,257000,30.559124
"2001-07-31",42.099998,42.25,41.900002,42.099998,244200,30.486725
"2001-08-01",42.049999,42.98,42.029999,42.259998,217500,30.602568
"2001-08-02",42.450001,42.549999,41.23,41.630001,328000,30.146376
"2001-08-03",41.650002,41.73,41,41.400002,267600,29.979813
"2001-08-06",41.599998,42,40.75,41,178500,29.690153
"2001-08-07",40.5,41.220001,40.5,40.810001,174600,29.552563
"2001-08-08",40.82,40.990002,40.470001,40.5,172000,29.328085
"2001-08-09",40.700001,40.799999,40,40.279999,241400,29.295355
"2001-08-10",40.150002,40.450001,39.900002,40.099998,213700,29.164436
"2001-08-13",40.200001,40.240002,39.310001,39.650002,259000,28.837152
"2001-08-14",39.5,40.299999,39.5,39.900002,327600,29.018978
"2001-08-15",39.900002,40.599998,39.900002,40.57,409100,29.50626
"2001-08-16",40.509998,40.950001,40.369999,40.919998,438700,29.760809
"2001-08-17",40.919998,41,39.919998,40.330002,224100,29.33172
"2001-08-20",40.080002,41,40,40.98,518500,29.804461
"2001-08-21",40.98,41.939999,40.869999,41,235700,29.818995
"2001-08-22",41.150002,41.889999,40.5,41.450001,246300,30.146284
"2001-08-23",41.299999,42.25,41.25,41.799999,212900,30.400841
"2001-08-24",41.200001,41.68,41.02,41.380001,290500,30.095371
"2001-08-27",41.380001,41.380001,41.029999,41.119999,349200,29.906267
"2001-08-28",41.200001,41.439999,40.959999,41.439999,510400,30.139
"2001-08-29",42,42.009998,41.200001,41.32,190200,30.051735
"2001-08-30",42,42.450001,41.349998,41.810001,392500,30.40811
"2001-08-31",41.75,42.889999,41.580002,42.310001,288500,30.771753
"2001-09-04",42.650002,43.5,42.450001,42.619999,308200,30.997206
"2001-09-05",42.73,43.959999,42.5,43.450001,440400,31.600872
"2001-09-06",43.599998,45.25,43.119999,44.93,917800,32.677242
"2001-09-07",44.5,44.849998,43.75,43.799999,736500,31.855408
"2001-09-10",43.450001,44.23,42.5,43.139999,660600,31.375404
"2001-09-17",43.299999,43.299999,40.959999,41.009998,460100,29.826265
"2001-09-18",40.759998,42.240002,40.450001,41.459999,352600,30.153551
"2001-09-19",41.470001,42.400002,39.610001,40.880001,659500,29.731718
"2001-09-20",40.880001,41,39.220001,39.220001,538300,28.524418
"2001-09-21",39.23,39.23,36.860001,36.869999,1128700,26.815287
"2001-09-24",37.349998,38.23,37.27,38,768300,27.637117
"2001-09-25",37.799999,38.150002,37.73,38,518000,27.637117
"2001-09-26",38.25,38.450001,37.759998,37.900002,509000,27.564388
"2001-09-27",38.200001,38.25,37.98,38.119999,625300,27.72439
"2001-09-28",38.119999,39.240002,37.849998,38.849998,620300,28.255323
"2001-10-01",38.75,39.040001,37.849998,38.700001,305300,28.146223
"2001-10-02",38.700001,39.950001,38.700001,39.639999,357600,28.829895
"2001-10-03",39.439999,40.560001,39,40.169998,475100,29.21534
"2001-10-04",40.299999,40.98,40.150002,40.18,299000,29.22262
"2001-10-05",40.299999,40.889999,39.700001,40.73,213800,29.622625
"2001-10-08",40.98,41.150002,40.299999,40.720001,186100,29.615351
"2001-10-09",40.5,41,40.150002,40.43,169800,29.404438
"2001-10-10",40.43,42.799999,40.290001,42.5,427100,30.909937
"2001-10-11",42.599998,44,42.5,43.619999,499000,31.724497
"2001-10-12",42.919998,43.299999,42.450001,43.110001,235000,31.353579
"2001-10-15",42.950001,43.5,42.110001,42.630001,499700,31.004484
"2001-10-16",42.880001,43.650002,42.459999,43.419998,498500,31.579042
"2001-10-17",43.419998,43.5,43,43.25,581500,31.455408
"2001-10-18",43.150002,43.450001,43,43.07,632600,31.324486
"2001-10-19",43.060001,43.400002,43.060001,43.259998,340400,31.462696
"2001-10-22",43.400002,44.650002,43.400002,44.299999,297400,32.219074
"2001-10-23",43.5,43.73,42.25,42.639999,595400,31.011755
"2001-10-24",42.889999,43.48,42.529999,43.360001,284600,31.53541
"2001-10-25",42.900002,43.18,42.189999,43.02,350400,31.288122
"2001-10-26",42.93,43.599998,42.880001,43.43,355000,31.586329
"2001-10-29",43.150002,43.5,42.990002,43,349600,31.273586
"2001-10-30",43.25,43.43,42.700001,42.919998,313300,31.215401
"2001-10-31",42.799999,43.889999,42.720001,43.299999,398600,31.491768
"2001-11-01",43,43.799999,42.650002,43.68,281200,31.768143
"2001-11-02",43.549999,44.919998,43.529999,44.5,194500,32.364513
"2001-11-05",44.5,44.950001,44,44.77,410200,32.560894
"2001-11-06",44.52,45.75,44.450001,45.75,245500,33.27364
"2001-11-07",45.150002,45.610001,45,45.049999,614300,32.890358
"2001-11-08",45.400002,45.490002,45.02,45.09,404300,32.919544
"2001-11-09",44.950001,45.200001,44.799999,44.990002,159900,32.846546
"2001-11-12",44.75,44.75,43.779999,44.529999,354400,32.510704
"2001-11-13",44.299999,45.099998,44.299999,45.099998,320000,32.926838
"2001-11-14",45.099998,45.490002,45,45.360001,378400,33.11668
"2001-11-15",45.450001,45.610001,45.25,45.57,430100,33.27
"2001-11-16",45.5,45.830002,45.450001,45.689999,263800,33.357594
"2001-11-19",45.900002,46.200001,45.889999,46.049999,355000,33.620434
"2001-11-20",46.200001,46.200001,45.709999,45.93,240400,33.532833
"2001-11-21",45.939999,45.939999,45.150002,45.25,232100,33.036369
"2001-11-23",44.849998,45.580002,44.849998,45.52,232500,33.233479
"2001-11-26",45.700001,46.209999,45.400002,46.040001,453500,33.613129
"2001-11-27",46,47.700001,45.66,47.02,528400,34.328606
"2001-11-28",46.919998,47.150002,46.580002,46.91,250100,34.248302
"2001-11-29",46.91,47.75,46.560001,47.57,467500,34.730141
"2001-11-30",47.349998,47.360001,46.700001,46.799999,517600,34.167992
"2001-12-03",46.950001,47,45.59,46.32,325200,33.817543
"2001-12-04",46.299999,46.849998,46.25,46.700001,612400,34.09499
"2001-12-05",46.549999,48.169998,46.549999,47.849998,936100,34.93457
"2001-12-06",48.150002,48.150002,47.459999,47.900002,546400,34.971096
"2001-12-07",47.900002,48.5,47.59,48.029999,205200,35.066002
"2001-12-10",48.029999,48.049999,47.25,47.299999,235800,34.533051
"2001-12-11",46.849998,47.310001,46.599998,47.240002,348900,34.489246
"2001-12-12",47.419998,47.419998,46.349998,46.849998,517900,34.204479
"2001-12-13",45,46.099998,44.23,45.549999,1216000,33.255386
"2001-12-14",45.700001,46.82,45.290001,46.639999,692000,34.051174
"2001-12-17",46.889999,47.419998,46.700001,47.220001,339400,34.474636
"2001-12-18",47.799999,48.099998,47.48,47.619999,345800,34.766655
"2001-12-19",47.599998,47.610001,46.73,47.080002,386000,34.372417
"2001-12-20",47.25,47.439999,46.799999,47.080002,230200,34.372417
"2001-12-21",47.189999,48.049999,47.119999,47.950001,573100,35.007587
"2001-12-24",47.950001,48.720001,47.950001,48.299999,147600,35.263123
"2001-12-26",48.299999,48.75,47.709999,47.82,310300,34.912685
"2001-12-27",48.02,48.150002,47.439999,47.740002,405700,34.854275
"2001-12-28",47.740002,48.650002,47.5,48.52,446000,35.423737
"2001-12-31",48.049999,48.990002,48,48,198200,35.04409
"2002-01-02",47.5,47.860001,46.599998,47.810001,282000,34.905376
"2002-01-03",47.700001,49.150002,47.599998,48.889999,438500,35.693867
"2002-01-04",48.849998,49.450001,48.700001,49.18,344100,35.905598
"2002-01-07",49.5,49.599998,48.860001,49.029999,601100,35.796082
"2002-01-08",49,49.200001,48.810001,49.049999,232300,35.810688
"2002-01-09",49,49.869999,49,49.439999,375400,36.095413
"2002-01-10",49.299999,49.869999,49.299999,49.669998,407500,36.26334
"2002-01-11",49.200001,49.439999,48.549999,49.23,340000,35.942101
"2002-01-14",48.990002,49.099998,48.549999,48.970001,255800,35.752289
"2002-01-15",48.82,48.849998,48.290001,48.459999,571900,35.37994
"2002-01-16",48.549999,48.610001,48.18,48.18,412000,35.175522
"2002-01-17",48.5,48.5,47.950001,48.450001,314000,35.372623
"2002-01-18",48.279999,49.150002,48.279999,49.02,318400,35.78878
"2002-01-22",49.099998,50.09,49.099998,49.630001,416000,36.234135
"2002-01-23",49.639999,50.650002,49.59,50.150002,386100,36.613789
"2002-01-24",50.07,53.080002,50,52.740002,525500,38.504696
"2002-01-25",52.150002,53.48,51.66,53.310001,601800,38.920845
"2002-01-28",52.73,53.490002,52.34,53.43,658800,39.008461
"2002-01-29",53.900002,54.200001,52.240002,53.07,923000,38.745613
"2002-01-30",52.400002,52.950001,51.549999,52.779999,693400,38.533901
"2002-01-31",52.779999,54.299999,52.669998,54.299999,415400,39.643646
"2002-02-01",54.75,55.299999,53.610001,54.290001,485300,39.636337
"2002-02-04",54.299999,54.619999,53.700001,53.740002,571400,39.234779
"2002-02-05",53.049999,54.189999,52.849998,53.5,902300,39.059547
"2002-02-06",53.5,54.549999,53.5,54.060001,881100,39.46841
"2002-02-07",53.41,54.41,53.41,53.990002,406100,39.545315
"2002-02-08",53.700001,54.5,53.700001,54.470001,289700,39.896885
"2002-02-11",54.349998,54.950001,54.119999,54.259998,492000,39.743088
"2002-02-12",54.259998,54.450001,53.349998,54.41,355700,39.852951
"2002-02-13",54.32,54.549999,53.709999,54.110001,506500,39.633217
"2002-02-14",53.98,54.150002,53.529999,53.939999,455300,39.508694
"2002-02-15",54,55.240002,54,54.290001,472600,39.765064
"2002-02-19",54.290001,54.599998,53.380001,53.380001,613300,39.09853
"2002-02-20",53.380001,54.740002,53.259998,54.529999,401000,39.940849
"2002-02-21",54.529999,55.029999,53.970001,54.080002,479700,39.611248
"2002-02-22",53.900002,55.240002,53.799999,55.02,266900,40.299747
"2002-02-25",54.900002,56.650002,54.900002,54.900002,383500,40.211868
"2002-02-26",57.25,57.68,56.419998,57.07,647100,41.801289
"2002-02-27",57,58.5,56.450001,58.380001,888000,42.760799
"2002-02-28",58.380001,59.400002,58.380001,59.27,748700,43.412701
"2002-03-01",59.099998,59.290001,57,57.490002,1106200,42.108917
"2002-03-04",56.5,58.549999,56.5,58.41,722400,42.782776
"2002-03-05",58.529999,58.669998,57.650002,57.990002,583400,42.475159
"2002-03-06",57.900002,58.950001,57.900002,58.549999,377600,42.885323
"2002-03-07",58.549999,58.779999,57.450001,57.779999,320900,42.32132
"2002-03-08",57.950001,58.23,57.610001,58.16,383900,42.599659
"2002-03-11",58.049999,58.5,57.529999,58.5,448200,42.848705
"2002-03-12",58.25,58.299999,57.509998,57.880001,335500,42.394577
"2002-03-13",57.880001,57.889999,55.619999,56.009998,1028300,41.024883
"2002-03-14",56.299999,57.25,55.66,56.5,1128400,41.383797
"2002-03-15",56.400002,56.779999,56.150002,56.5,713400,41.383797
"2002-03-18",56.490002,56.5,55.700001,55.869999,436600,40.922348
"2002-03-19",55.900002,57.299999,55.900002,56.98,461900,41.735355
"2002-03-20",56.900002,58.200001,56.700001,57.98,331600,42.467819
"2002-03-21",57.98,58.139999,56,56.459999,338900,41.354485
"2002-03-22",56.209999,56.799999,55.5,56.099998,308200,41.090809
"2002-03-25",56,56.259998,54.599998,54.740002,169600,40.094654
"2002-03-26",54.709999,55.849998,54.709999,55.139999,428100,40.38765
"2002-03-27",55.150002,56,55.150002,55.389999,251900,40.570766
"2002-03-28",55.59,56.540001,55.59,56.23,330800,41.18602
"2002-04-01",56.049999,56.049999,54.549999,55.400002,361400,40.578079
"2002-04-02",55.299999,56.049999,55.099998,55.799999,377100,40.871056
"2002-04-03",55.900002,55.900002,54.599998,54.939999,377000,40.24115
"2002-04-04",54.84,56.400002,54.759998,56.290001,282400,41.229988
"2002-04-05",56.599998,57.41,56.25,56.830002,237600,41.625492
"2002-04-08",56,57.060001,55.900002,56.57,226200,41.435059
"2002-04-09",56.75,57.330002,56.720001,57.130001,242300,41.845242
"2002-04-10",57.349998,58.380001,57.299999,58.259998,280300,42.672905
"2002-04-11",58.200001,58.880001,57.599998,57.610001,225500,42.196812
"2002-04-12",57.610001,57.799999,56.82,57.360001,272700,42.013691
"2002-04-15",57.799999,57.990002,56.299999,56.5,418800,41.383797
"2002-04-16",56.900002,58.93,56.900002,58.82,456300,43.083084
"2002-04-17",58.950001,59,58.25,58.470001,530800,42.826714
"2002-04-18",58.650002,58.650002,56.59,56.880001,314700,41.662125
"2002-04-19",57.130001,58.02,57.049999,57.150002,278000,41.859898
"2002-04-22",57.23,57.23,54.549999,54.950001,542100,40.248482
"2002-04-23",54.950001,55.790001,54.59,54.610001,343400,39.999439
"2002-04-24",54.849998,55.110001,53.799999,53.990002,462700,39.545315
"2002-04-25",54,54.779999,53.990002,54.650002,477700,40.028744
"2002-04-26",54.700001,55.84,54.43,55.049999,325000,40.321716
"2002-04-29",55,55.400002,54.360001,54.439999,288600,39.874931
"2002-04-30",54.700001,57.09,54.599998,56.07,453200,41.068836
"2002-05-01",55.900002,56.400002,54.869999,55.360001,355200,40.548798
"2002-05-02",55.400002,55.790001,54.799999,54.970001,347500,40.394474
"2002-05-03",54.970001,54.98,53.5,53.900002,498200,39.608189
"2002-05-06",53.900002,53.900002,51.970001,52.209999,626200,38.366291
"2002-05-07",52.389999,54.599998,52.380001,54,748900,39.681667
"2002-05-08",54.150002,54.889999,54.02,54.599998,411100,40.122574
"2002-05-09",54.400002,54.400002,53.400002,53.400002,327500,39.240746
"2002-05-10",53.299999,53.41,52.200001,52.349998,277300,38.469162
"2002-05-13",52.349998,53.25,52.279999,52.700001,147900,38.726376
"2002-05-14",53.099998,54.419998,53.02,54.380001,404600,39.960918
"2002-05-15",54.130001,54.900002,53.849998,54.189999,190600,39.821285
"2002-05-16",54.200001,54.900002,54.150002,54.470001,276600,40.027042
"2002-05-17",54.700001,55.25,54.549999,55.25,438300,40.60022
"2002-05-20",55.25,55.650002,55,55.02,253200,40.431217
"2002-05-21",54.900002,55.400002,54.02,54.07,159700,39.733093
"2002-05-22",54.200001,55.099998,54.029999,54.43,168200,39.997639
"2002-05-23",54.439999,55.34,54.200001,55.299999,229300,40.636963
"2002-05-24",55.299999,55.799999,54.900002,54.900002,255900,40.343021
"2002-05-28",54.799999,54.799999,53.849998,53.889999,372500,39.600834
"2002-05-29",53.889999,54.040001,52.549999,52.880001,361900,38.858627
"2002-05-30",52.889999,53.400002,52,52.400002,359500,38.505909
"2002-05-31",52.599998,53.700001,52.490002,52.580002,323900,38.638176
"2002-06-03",52.799999,52.939999,51.919998,52.130001,355400,38.307499
"2002-06-04",52.099998,52.259998,50.610001,51.439999,381500,37.800468
"2002-06-05",51.549999,52.259998,51.200001,52.150002,288500,38.322208
"2002-06-06",52,52.200001,50.599998,51.130001,446500,37.572666
"2002-06-07",50.049999,50.84,50.049999,50.439999,508600,37.065617
"2002-06-10",50.240002,51.27,50.150002,50.560001,260200,37.153797
"2002-06-11",51.099998,52.099998,50.380001,50.580002,648000,37.168491
"2002-06-12",50.400002,51.119999,49.700001,51.02,344700,37.491817
"2002-06-13",50.799999,51.150002,50.150002,50.299999,236900,36.962727
"2002-06-14",50.200001,50.220001,49.299999,50.09,476900,36.808422
"2002-06-17",50.299999,51.299999,50.299999,51.27,204200,37.675549
"2002-06-18",51,51.299999,50.169998,50.330002,384800,36.984779
"2002-06-19",50.330002,51.150002,49.700001,49.740002,216600,36.551224
"2002-06-20",49.75,50.299999,48.990002,48.990002,350400,36.000092
"2002-06-21",48.25,49.200001,47.93,47.93,377100,35.221153
"2002-06-24",47.849998,48.720001,47.209999,48.009998,332600,35.279938
"2002-06-25",48.400002,49.549999,47.599998,47.619999,562000,34.993355
"2002-06-26",47.619999,48.200001,47.09,47.689999,426200,35.0448
"2002-06-27",47.849998,48.560001,47.75,48.450001,334800,35.603291
"2002-06-28",48.549999,50.349998,48.540001,50.099998,562700,36.815765
"2002-07-01",50.299999,50.740002,49.610001,49.630001,373100,36.470394
"2002-07-02",49.599998,49.709999,47.700001,47.700001,512600,35.052143
"2002-07-03",47.66,48.549999,47.5,48.330002,456500,35.515091
"2002-07-05",48.549999,50.200001,48.380001,50,164000,36.742279
"2002-07-08",49.849998,50.400002,49.200001,49.259998,121400,36.198498
"2002-07-09",49.299999,49.84,49.099998,49.099998,595700,36.080921
"2002-07-10",49.150002,49.169998,47.009998,47.009998,274100,34.545086
"2002-07-11",46.849998,47.5,45.509998,46.099998,631300,33.8764
"2002-07-12",46.099998,47.060001,45.799999,46.110001,287900,33.883732
"2002-07-15",46.200001,46.200001,44.200001,46,275800,33.80291
"2002-07-16",45.599998,45.599998,43.259998,43.740002,745200,32.142159
"2002-07-17",44.5,45.389999,44.189999,44.700001,575800,32.847599
"2002-07-18",44.650002,44.939999,43.27,43.450001,351900,31.929043
"2002-07-19",43.200001,44.450001,42.099998,42.220001,459500,31.025204
"2002-07-22",42.450001,43.400002,40.900002,40.900002,630000,30.055182
"2002-07-23",41.150002,42.029999,40.400002,41,782500,30.128685
"2002-07-24",40.700001,44,40.599998,44,753200,32.333199
"2002-07-25",44,46.689999,43.700001,46.41,1115900,34.104179
"2002-07-26",46.16,46.900002,45.25,46.689999,948700,34.309944
"2002-07-29",46.700001,48.509998,46.700001,48.509998,421400,35.647366
"2002-07-30",48.509998,49,47.5,48.709999,359100,35.794327
"2002-07-31",48.709999,49.040001,47.599998,49.040001,595000,36.036827
"2002-08-01",48.900002,49.799999,48.509998,49.200001,428900,36.154411
"2002-08-02",49.189999,49.189999,46.950001,47.200001,328000,34.684711
"2002-08-05",47,47.029999,44.98,44.98,665100,33.053356
"2002-08-06",45.299999,47.299999,45.299999,46.700001,405700,34.317295
"2002-08-07",47.049999,47.25,44.75,46.040001,610200,33.832298
"2002-08-08",45.400002,47.400002,45.400002,47.34,409500,34.924122
"2002-08-09",47.34,47.950001,46.48,47.470001,278700,35.02002
"2002-08-12",47.25,47.700001,46.41,47.279999,171800,34.879871
"2002-08-13",47.099998,47.599998,46.57,46.73,315600,34.474129
