"","GWW.Open","GWW.High","GWW.Low","GWW.Close","GWW.Volume","GWW.Adjusted"
"2001-01-02",35.75,36.8125,35.4375,36.0625,614000,25.880484
"2001-01-03",36.0625,37.5625,35.5625,37.5625,374700,26.956987
"2001-01-04",37.3125,38.125,36.9375,38,367800,27.270941
"2001-01-05",38.625,38.625,37.125,37.625,281900,27.001831
"2001-01-08",37.25,38,35.75,36.625,303800,26.284176
"2001-01-09",35.5,36.9375,35.5,36.0625,254900,25.880484
"2001-01-10",36.375,37.375,35.875,37.3125,218300,26.777557
"2001-01-11",36.8125,37.5,36.625,37.0625,167900,26.598139
"2001-01-12",37.125,37.625,36.5625,36.875,321900,26.463589
"2001-01-16",35.9375,36.5625,35.625,36.5,371300,26.194469
"2001-01-17",36.5,37.5,36.4375,36.6875,301800,26.329029
"2001-01-18",36.625,36.6875,35.375,36.0625,312400,25.880484
"2001-01-19",36.0625,36.6875,35.375,36.0625,191100,25.880484
"2001-01-22",35.5,36.125,35.1875,36,152200,25.83564
"2001-01-23",35.875,36.25,35.4375,35.875,206000,25.745935
"2001-01-24",35.625,37.0625,35.5,36.75,249000,26.37388
"2001-01-25",36.6875,37.125,35.875,36.8125,331400,26.418728
"2001-01-26",36.625,37,35.4375,36.125,271300,25.925344
"2001-01-29",36.200001,37,35.25,36,281400,25.83564
"2001-01-30",36.5,38.060001,36.5,37,608900,26.553288
"2001-01-31",37.5,39.779999,37.349998,39.380001,1086200,28.261305
"2001-02-01",38.200001,38.209999,37.049999,37.459999,699900,26.883411
"2001-02-02",37.25,37.599998,37.02,37.259998,261800,26.739878
"2001-02-05",37.349998,37.759998,37.080002,37.349998,342900,26.804482
"2001-02-06",37.509998,37.650002,36.049999,36.389999,404000,26.115513
"2001-02-07",35.900002,37.049999,35.900002,36.849998,207200,26.445637
"2001-02-08",36.799999,36.799999,35.82,36.400002,495300,26.243769
"2001-02-09",36.349998,36.549999,35.700001,35.959999,153000,25.926538
"2001-02-12",35.549999,35.959999,35.349998,35.849998,155600,25.847227
"2001-02-13",35.830002,36.439999,35.5,36.139999,175400,26.056313
"2001-02-14",35.700001,36.32,35.349998,35.689999,247600,25.731859
"2001-02-15",35.849998,36.5,35.560001,36.279999,272600,26.157257
"2001-02-16",36.509998,36.709999,34.400002,35.18,377300,25.364164
"2001-02-20",35,35.900002,34.900002,35.169998,248800,25.356956
"2001-02-21",35,35,34.16,34.189999,201400,24.650398
"2001-02-22",34.200001,34.240002,33.5,34.099998,237800,24.585514
"2001-02-23",34,34.009998,32.700001,33.439999,244400,24.10965
"2001-02-26",33.549999,35.099998,33.540001,35.02,281600,25.248817
"2001-02-27",35.5,35.700001,35,35.07,291800,25.284863
"2001-02-28",35.450001,35.540001,34.639999,35.009998,368400,25.241602
"2001-03-01",34.759998,35.099998,34.439999,35.009998,468600,25.241602
"2001-03-02",34.599998,36.5,34.5,35.939999,556200,25.912109
"2001-03-05",35.939999,37.150002,35.939999,36.82,732500,26.546583
"2001-03-06",36.82,37.18,36.5,36.66,230600,26.431225
"2001-03-07",36.91,37.16,36.799999,37.060001,279200,26.719616
"2001-03-08",37.5,37.5,36.849998,37.130001,183000,26.770077
"2001-03-09",36.349998,36.900002,36.209999,36.73,168700,26.481695
