"","WYNN.Open","WYNN.High","WYNN.Low","WYNN.Close","WYNN.Volume","WYNN.Adjusted"
"2003-03-24",14.48,14.48,14.11,14.31,135100,8.612001
"2003-03-25",14.34,15.5,14.33,15.4,150200,9.267983
"2003-03-26",14.9,15.37,14.9,15,64500,9.027255
"2003-03-27",15.07,15.07,14.35,14.63,129500,8.804584
"2003-03-28",14.6,15.25,14.55,15.04,65500,9.051328
"2003-03-31",15.01,15.5,14.92,15.4,163100,9.267983
"2003-04-01",15.25,15.4,14.68,14.91,172600,8.97309
"2003-04-02",15.02,15.31,14.92,15.01,115400,9.033272
"2003-04-03",15,15.05,14.76,14.85,601900,8.936983
"2003-04-04",15.01,15.4,14.99,15.34,53500,9.231874
"2003-04-07",15.35,15.89,15.33,15.87,131200,9.550838
"2003-04-08",15.78,16.290001,15.63,16.25,128400,9.779524
"2003-04-09",16.280001,17.27,16.25,16.530001,231300,9.948034
"2003-04-10",16.66,16.67,16,16.120001,160500,9.70129
"2003-04-11",16.139999,16.219999,15.77,16.219999,84100,9.761473
"2003-04-14",16.09,16.299999,15.88,16.15,78500,9.719344
"2003-04-15",16.129999,16.41,15.9,16.299999,93500,9.809614
"2003-04-16",16.4,16.4,15.97,16.110001,93700,9.69527
"2003-04-17",16.120001,16.219999,15.8,16.01,95200,9.635092
"2003-04-21",16,16,15.34,15.62,208700,9.400381
"2003-04-22",15.91,15.91,14.71,15.52,236700,9.340199
"2003-04-23",15.49,17.110001,15.49,16.92,390300,10.182746
"2003-04-24",16.870001,16.91,16.4,16.6,62500,9.990165
"2003-04-25",16.49,17.4,16.4,17.02,81100,10.242925
"2003-04-28",16.959999,17.4,16.799999,17.370001,211900,10.453563
"2003-04-29",17.15,17.42,17.07,17.24,68200,10.375325
"2003-04-30",17.43,17.43,16.85,17,99400,10.230887
"2003-05-01",17,17.290001,16.379999,17.16,170900,10.32718
"2003-05-02",17.07,17.17,16.940001,17.15,173000,10.32116
"2003-05-05",17.200001,17.25,17.1,17.25,98000,10.381344
"2003-05-06",17.200001,17.690001,17.190001,17.57,196400,10.573926
"2003-05-07",17.48,17.6,17.389999,17.540001,182700,10.555871
"2003-05-08",17.6,17.629999,17.110001,17.209999,326800,10.357267
"2003-05-09",17.26,17.5,16.75,16.9,168800,10.170705
"2003-05-12",16.9,17.549999,16.879999,17.299999,252200,10.411435
"2003-05-13",17.33,17.4,17.129999,17.4,184700,10.471613
"2003-05-14",17.43,17.93,17.129999,17.9,167400,10.772522
"2003-05-15",17.91,17.969999,17.540001,17.959999,265100,10.808633
"2003-05-16",17.92,19.1,17.790001,19.01,580300,11.440541
"2003-05-19",18.9,19.110001,18.85,18.950001,219100,11.404433
"2003-05-20",18.950001,19.049999,18.809999,19,303300,11.434519
"2003-05-21",19.040001,19.040001,18.41,18.82,187600,11.326195
"2003-05-22",18.709999,19,18.610001,18.98,168800,11.422484
"2003-05-23",18.299999,18.76,18.15,18.639999,427500,11.21787
"2003-05-27",18.549999,18.799999,18.4,18.57,136700,11.175743
"2003-05-28",18.620001,18.700001,18.5,18.530001,99800,11.151668
"2003-05-29",18.700001,18.709999,18.469999,18.65,79000,11.22389
"2003-05-30",18.65,18.9,18.610001,18.83,113100,11.332212
"2003-06-02",18.9,19,18.809999,18.950001,145800,11.404433
"2003-06-03",18.99,18.99,18.450001,18.51,161900,11.139633
"2003-06-04",18.549999,18.559999,18.049999,18.25,260500,10.983159
"2003-06-05",18.24,18.5,18.049999,18.33,81600,11.031306
"2003-06-06",18.5,18.700001,18.41,18.6,202100,11.193798
"2003-06-09",18.6,18.6,18,18.27,63900,10.995196
"2003-06-10",18.4,18.450001,17.959999,18,148800,10.832707
"2003-06-11",18.049999,18.120001,17.799999,18,530800,10.832707
"2003-06-12",18.139999,18.139999,17.719999,17.959999,212900,10.808633
"2003-06-13",18.1,18.190001,17.860001,17.92,428000,10.78456
"2003-06-16",18,18.1,17.85,17.99,263900,10.826689
"2003-06-17",17.969999,18,17.860001,17.92,137900,10.78456
"2003-06-18",17.940001,18.15,17.9,17.99,179700,10.826689
"2003-06-19",18.110001,18.110001,17.91,18,230900,10.832707
"2003-06-20",17.99,18,17.82,18,228300,10.832707
"2003-06-23",17.99,17.99,17.43,17.48,179100,10.519764
"2003-06-24",17.5,17.549999,17.450001,17.48,181100,10.519764
"2003-06-25",17.530001,17.610001,17.200001,17.26,178300,10.38736
"2003-06-26",17.299999,17.5,17.049999,17.42,221500,10.48365
"2003-06-27",17.5,17.790001,17.440001,17.75,295000,10.682252
"2003-06-30",17.75,18.07,17.43,17.74,989000,10.676233
"2003-07-01",16.4,17.780001,15.9,17.57,8665700,10.573926
"2003-07-02",17.92,18,17.32,17.700001,1350700,10.652164
"2003-07-03",17.389999,17.75,17.25,17.379999,302500,10.459582
"2003-07-07",17.5,17.85,17.370001,17.51,385900,10.537814
"2003-07-08",17.5,17.969999,17.459999,17.9,1057800,10.772522
"2003-07-09",17.950001,17.950001,17.51,17.82,284200,10.72438
"2003-07-10",17.73,17.799999,17.629999,17.700001,118500,10.652164
"2003-07-11",17.75,17.75,17.459999,17.49,72400,10.525779
"2003-07-14",17.49,17.799999,17.200001,17.290001,143000,10.405416
"2003-07-15",17.280001,17.6,17.280001,17.549999,74800,10.561889
"2003-07-16",17.5,17.629999,16.799999,16.870001,149500,10.152652
"2003-07-17",16.950001,17.52,16.27,16.889999,352400,10.16469
"2003-07-18",16.9,17,16.5,16.66,169000,10.026271
"2003-07-21",16.6,17.08,16.6,16.709999,319000,10.05636
"2003-07-22",16.889999,16.889999,16.4,16.549999,266900,9.960071
"2003-07-23",16.42,16.59,16,16.26,79700,9.785546
"2003-07-24",16.299999,16.48,16.25,16.35,74300,9.839707
"2003-07-25",16.34,16.530001,16.219999,16.4,87700,9.869798
"2003-07-28",16.5,16.620001,16.32,16.5,101600,9.92998
"2003-07-29",16.57,16.959999,16.32,16.950001,270300,10.200798
"2003-07-30",17,17.139999,16.84,16.98,167400,10.218852
"2003-07-31",17.02,17.16,16.9,17.049999,424500,10.260979
"2003-08-01",17.09,17.27,16.700001,16.719999,95100,10.062381
"2003-08-04",16.91,17.09,16.690001,16.799999,278600,10.110521
"2003-08-05",16.799999,16.889999,16.23,16.23,323800,9.767488
"2003-08-06",16.200001,16.389999,16.1,16.389999,172600,9.863781
"2003-08-07",16.27,16.309999,15.85,16.030001,583700,9.647125
"2003-08-08",15.99,16.09,15.5,15.5,238200,9.328163
"2003-08-11",15.65,16,15.47,15.63,266100,9.406398
"2003-08-12",15.71,15.75,15.48,15.57,500400,9.370292
"2003-08-13",15.75,15.8,15.25,15.29,365000,9.20178
"2003-08-14",15.3,15.44,14.99,15.31,561100,9.213819
"2003-08-15",15.27,15.65,15.2,15.6,98300,9.388347
"2003-08-18",15.51,15.75,15.4,15.49,408700,9.322144
"2003-08-19",15.58,15.58,15.31,15.58,257300,9.376311
"2003-08-20",15.5,15.75,15.36,15.6,318800,9.388347
"2003-08-21",15.56,15.64,15.5,15.51,185200,9.334183
"2003-08-22",15.6,16.809999,15.51,16.66,589200,10.026271
"2003-08-25",16.73,16.99,16.280001,16.370001,258600,9.851744
"2003-08-26",16.299999,16.700001,16.25,16.35,240400,9.839707
"2003-08-27",16.27,16.299999,15.99,16.040001,344800,9.653146
"2003-08-28",16,16.209999,15.75,16.16,802800,9.725361
"2003-08-29",16.25,16.700001,16.25,16.65,293800,10.020252
"2003-09-02",16.700001,16.84,16.32,16.65,202700,10.020252
"2003-09-03",16.65,16.790001,16.459999,16.5,236500,9.92998
"2003-09-04",16.639999,16.83,16.26,16.290001,244400,9.803599
"2003-09-05",16.5,16.5,16.24,16.32,195500,9.821655
"2003-09-08",16.5,17.290001,16.280001,16.959999,270600,10.206817
"2003-09-09",16.700001,16.959999,16.67,16.67,437300,10.032289
"2003-09-10",16.809999,16.92,16.459999,16.639999,1050300,10.014235
"2003-09-11",16.57,16.74,16.51,16.66,227000,10.026271
"2003-09-12",16.700001,16.969999,16.42,16.969999,231000,10.212834
"2003-09-15",16.85,17.209999,16.85,17.139999,670900,10.315144
"2003-09-16",17.23,17.450001,16.950001,17.35,484100,10.441523
"2003-09-17",17.299999,18.07,17.219999,17.940001,299400,10.796598
"2003-09-18",18.040001,18.049999,17.73,17.76,340100,10.688269
"2003-09-19",17.73,17.969999,17.629999,17.93,337300,10.790581
"2003-09-22",17.98,17.98,17.639999,17.66,597200,10.628088
"2003-09-23",17.65,18.5,17.41,18.4,249100,11.073433
"2003-09-24",18.5,18.5,18.15,18.309999,136300,11.01927
"2003-09-25",18.35,18.450001,18.18,18.309999,216000,11.01927
"2003-09-26",18.200001,18.299999,18.07,18.08,703600,10.880851
"2003-09-29",18.059999,18.469999,18.059999,18.280001,458500,11.001213
"2003-09-30",18.4,18.48,18,18.18,198000,10.941032
"2003-10-01",18.190001,18.620001,18.190001,18.6,163300,11.193798
"2003-10-02",18.48,19.040001,18.33,18.950001,392700,11.404433
"2003-10-03",18.99,19.209999,18.85,19,126200,11.434519
"2003-10-06",19.17,19.309999,18.98,19.1,152600,11.494706
"2003-10-07",19.110001,19.290001,18.780001,19.040001,231600,11.458594
"2003-10-08",19.16,19.200001,18.639999,18.799999,370000,11.314158
"2003-10-09",18.91,19.030001,18.540001,18.91,388300,11.380354
"2003-10-10",19.02,19.040001,18.639999,18.85,169100,11.344251
"2003-10-13",18.99,19.110001,18.75,19.01,81300,11.440541
"2003-10-14",19.120001,19.26,18.93,19.25,263400,11.584978
"2003-10-15",19.299999,19.77,18.860001,19.49,318100,11.729414
"2003-10-16",19.6,19.99,19.35,19.879999,386600,11.96412
"2003-10-17",19.99,20.24,19.74,20.049999,233000,12.066429
"2003-10-20",20.219999,20.219999,19.77,20,158000,12.03634
"2003-10-21",19.799999,19.99,19.76,19.85,61500,11.94607
"2003-10-22",19.969999,20,19.690001,19.889999,76500,11.970141
"2003-10-23",19.77,20.02,19.68,19.77,175800,11.897922
"2003-10-24",19.809999,20.209999,19.709999,20.209999,383000,12.162723
"2003-10-27",20.23,20.65,20.120001,20.65,117100,12.427526
"2003-10-28",20.67,21.48,20.51,21.459999,889000,12.91499
"2003-10-29",21.4,22.9,21.33,22.49,610800,13.534868
"2003-10-30",22.280001,22.280001,20.799999,21.1,1249800,12.698342
"2003-10-31",21.049999,21.1,20.120001,20.16,256000,12.13263
"2003-11-03",20.25,20.299999,19.26,19.75,480800,11.885884
"2003-11-04",19.780001,20.17,19.75,19.99,449800,12.030322
"2003-11-05",20.01,20.01,19.780001,19.85,296300,11.94607
"2003-11-06",19.940001,20.07,19.82,19.91,258600,11.982174
"2003-11-07",19.969999,20.1,19.950001,20,154500,12.03634
"2003-11-10",20.040001,20.049999,19.6,19.959999,107700,12.012272
"2003-11-11",19.99,20.25,19.950001,20.01,121300,12.042355
"2003-11-12",20.049999,20.049999,19.9,19.950001,442500,12.00625
"2003-11-13",19.9,20.35,19.629999,19.99,176400,12.030322
"2003-11-14",20.030001,20.280001,19.969999,20,209600,12.03634
"2003-11-17",19.950001,20.1,19.790001,19.940001,127100,12.000231
"2003-11-18",19.940001,20.23,19.68,20.15,733400,12.126613
"2003-11-19",20.15,20.24,19.76,20.18,470600,12.144665
"2003-11-20",20.24,22,20.059999,21.5,1730300,12.939066
"2003-11-21",21.620001,21.879999,21.379999,21.5,519400,12.939066
"2003-11-24",21.379999,21.799999,21.23,21.57,754300,12.98119
"2003-11-25",21.68,23.629999,21.57,23.5,1659400,14.142699
"2003-11-26",23.49,24.51,23.450001,24.309999,791800,14.630169
"2003-11-28",24.379999,24.99,24.190001,24.889999,219700,14.979222
"2003-12-01",24.99,24.99,24.5,24.690001,459500,14.858861
"2003-12-02",24.84,24.9,24.459999,24.77,384600,14.907005
"2003-12-03",24.76,26.799999,24.76,26,883200,15.647243
"2003-12-04",26.18,26.290001,25.48,25.85,442300,15.556971
"2003-12-05",26.059999,26.059999,25.4,25.610001,321400,15.412537
"2003-12-08",25.6,25.870001,25.469999,25.530001,475500,15.364389
"2003-12-09",25.42,26,25.370001,25.870001,197100,15.569009
"2003-12-10",26.139999,26.17,25.85,26.15,363800,15.737513
"2003-12-11",25.85,26.35,25.85,26.26,243300,15.803707
"2003-12-12",26.379999,27.68,26.27,27.610001,634100,16.616169
"2003-12-15",27.83,28.25,26.969999,27.120001,585700,16.32128
"2003-12-16",27.540001,27.59,26.43,26.719999,321300,16.080551
"2003-12-17",26.790001,26.790001,25.99,26.59,447100,16.002314
"2003-12-18",26.309999,27.1,26.24,26.870001,514100,16.170828
"2003-12-19",26.92,27.41,26.620001,27.23,204100,16.387472
"2003-12-22",27.280001,27.42,26.870001,26.950001,408700,16.218967
"2003-12-23",26.950001,27.200001,26.889999,26.959999,205700,16.224979
"2003-12-24",27.1,27.1,26.549999,26.709999,71200,16.074532
"2003-12-26",26.879999,27.549999,26.690001,27.51,183500,16.555984
"2003-12-29",27.530001,27.99,26.959999,27.85,169300,16.760601
"2003-12-30",27.860001,28.18,27.629999,28.18,232100,16.959208
"2003-12-31",27.99,28.610001,27.99,28.01,262500,16.856894
"2004-01-02",28.02,28.559999,27.959999,28.360001,161600,17.067528
"2004-01-05",28.25,29.219999,28,28.700001,249200,17.272146
"2004-01-06",28.75,28.75,27.889999,28.27,519100,17.013367
"2004-01-07",28.35,28.76,27.940001,28.52,552800,17.163824
"2004-01-08",28.540001,29,28.370001,28.389999,306100,17.085583
"2004-01-09",28.309999,28.35,27.85,27.92,200800,16.802731
"2004-01-12",27.85,28.450001,27.85,28.1,338200,16.911057
"2004-01-13",28.200001,28.299999,27.549999,27.59,629400,16.604134
"2004-01-14",27.9,28.639999,27.6,28.629999,403700,17.230017
"2004-01-15",28.35,28.6,28,28.1,233600,16.911057
"2004-01-16",28.120001,28.59,28.059999,28.34,94800,17.055494
"2004-01-20",28.27,28.91,28,28.620001,316700,17.224003
"2004-01-21",28.83,28.83,28.16,28.24,187300,16.995312
"2004-01-22",28.07,28.299999,27.879999,27.9,134900,16.790693
"2004-01-23",27.860001,28,27.5,27.799999,116900,16.730505
"2004-01-26",28.98,30.120001,28.76,30.120001,819000,18.126726
"2004-01-27",29.950001,30.15,29.09,29.950001,484300,18.024422
"2004-01-28",30.049999,30.129999,29.25,29.25,160800,17.603149
"2004-01-29",29.51,29.549999,28.709999,29.35,407200,17.66333
"2004-01-30",29.4,29.549999,29.4,29.530001,230700,17.771656
"2004-02-02",29.48,30.129999,29.35,29.98,551200,18.042473
"2004-02-03",29.6,30.65,29.5,30.450001,459800,18.325329
"2004-02-04",30.4,31.469999,30.27,31.030001,662900,18.674379
"2004-02-05",30.940001,31.77,30.940001,31.530001,757300,18.975286
"2004-02-06",31.780001,32.849998,31.01,32.799999,439200,19.739595
"2004-02-09",32.75,35.259998,32.68,35.259998,1259400,21.220066
"2004-02-10",35.200001,35.259998,34.049999,34.369999,833600,20.684454
"2004-02-11",34.189999,35.099998,33.77,34.400002,555300,20.702509
"2004-02-12",34.700001,34.830002,33.849998,34.650002,591400,20.852962
"2004-02-13",34.669998,36.080002,34.669998,35.93,552300,21.623285
"2004-02-17",36.049999,36.869999,35.900002,36.279999,638400,21.833921
"2004-02-18",36.509998,36.509998,35.080002,35.880001,931800,21.593197
"2004-02-19",35.91,36.169998,35.59,35.669998,155900,21.466816
"2004-02-20",35.580002,35.849998,33.759998,34.18,652700,20.570105
"2004-02-23",34.040001,34.470001,32.860001,33.439999,580100,20.124762
"2004-02-24",33.369999,33.5,32.84,33.110001,366300,19.926167
"2004-02-25",33.349998,33.75,32.830002,33.349998,418600,20.070601
"2004-02-26",33.599998,34.970001,32.799999,34.91,946800,21.009428
"2004-02-27",34.970001,36.529999,34.82,36.34,792200,21.870031
"2004-03-01",35.950001,38.119999,35.950001,37.580002,786300,22.616282
"2004-03-02",37.919998,38.349998,37.119999,37.52,532200,22.580172
"2004-03-03",37.66,38,37.009998,37.91,336200,22.814882
"2004-03-04",38.099998,38.610001,37.419998,38.5,392700,23.169956
"2004-03-05",38.25,39.369999,38.119999,39.16,360700,23.56716
"2004-03-08",39.27,40.259998,38.599998,38.959999,479300,23.446795
"2004-03-09",39.189999,39.400002,38.5,39.139999,600600,23.555115
"2004-03-10",39.009998,40,38.560001,39.16,804300,23.56716
"2004-03-11",38.939999,39,35.799999,35.849998,985600,21.575138
"2004-03-12",35.639999,36.34,35.279999,36.099998,771800,21.72559
"2004-03-15",36.099998,36.279999,34.689999,34.939999,655900,21.027481
"2004-03-16",35.150002,36,34.990002,35.18,593700,21.171919
"2004-03-17",35.25,36.849998,35.130001,36.529999,681000,21.984371
"2004-03-18",36.130001,36.490002,35.52,36.029999,370000,21.683462
"2004-03-19",36.009998,36.049999,35.049999,35.41,336400,21.310339
"2004-03-22",35.25,35.25,34.040001,34.470001,571300,20.744635
"2004-03-23",34.650002,34.650002,33.66,33.970001,551100,20.443722
"2004-03-24",34,36.369999,33.880001,36,644900,21.665415
"2004-03-25",36,36.080002,35.439999,35.950001,325100,21.635328
"2004-03-26",35.950001,36.630001,35.709999,35.880001,520100,21.593197
"2004-03-29",35.950001,36.209999,35.189999,35.450001,435400,21.334414
"2004-03-30",34.48,35.290001,34.25,34.990002,522000,21.057579
"2004-03-31",34.75,35.34,34.439999,35,561900,21.063593
"2004-04-01",35.18,35.279999,34.599998,34.599998,1717700,20.82287
"2004-04-02",34.75,35.169998,34.700001,35.009998,459000,21.069614
"2004-04-05",35.009998,37.23,34.939999,36.84,770300,22.170938
"2004-04-06",36.799999,37.860001,36.709999,37.450001,536400,22.538046
"2004-04-07",37.529999,37.540001,36.700001,37.09,431600,22.32139
"2004-04-08",37.029999,37.389999,36.32,36.84,245300,22.170938
"2004-04-12",37.290001,37.740002,36.509998,37.169998,275200,22.369543
"2004-04-13",37.349998,37.759998,36.66,36.709999,337400,22.092701
"2004-04-14",36.32,37.400002,36.049999,36.619999,260500,22.03854
"2004-04-15",36.700001,37.110001,34.93,35.349998,501800,21.274227
"2004-04-16",35.349998,36.419998,34.959999,36.419998,277500,21.918173
"2004-04-19",36.330002,37,36.25,36.959999,124800,22.243156
"2004-04-20",36.77,37.599998,36.650002,37.080002,292200,22.315372
"2004-04-21",37.25,37.43,36.900002,37.25,246100,22.417688
"2004-04-22",37.27,39.169998,37.150002,39,599800,23.47086
"2004-04-23",38.939999,39.32,38.830002,39.220001,429900,23.603268
"2004-04-26",39.23,40.279999,39.16,39.889999,529600,24.006481
"2004-04-27",39.759998,40.200001,39.669998,39.849998,419900,23.982405
"2004-04-28",39.849998,39.869999,38.790001,38.970001,931800,23.452808
"2004-04-29",38.849998,39.919998,38.849998,39.849998,389900,23.982405
"2004-04-30",40.130001,40.900002,39.41,39.93,776000,24.030552
"2004-05-03",40.560001,42.080002,39.84,41.59,1144300,25.02957
"2004-05-04",41.490002,42.16,39.849998,40,1218900,24.07268
"2004-05-05",40.330002,41.040001,40.16,40.75,464000,24.524033
"2004-05-06",40.75,40.75,39.860001,40.27,410100,24.23517
"2004-05-07",38.490002,38.73,37.91,38.25,1853500,23.019503
"2004-05-10",38.200001,38.25,35.82,36.82,1351800,22.158907
"2004-05-11",37,37.849998,36.84,37.84,778700,22.772755
"2004-05-12",37.860001,38.490002,36.970001,38.32,728500,23.061623
"2004-05-13",38.369999,38.419998,37.599998,38.150002,743500,22.959314
"2004-05-14",38.400002,38.450001,37.450001,37.869999,283400,22.790813
"2004-05-17",37.549999,37.799999,36.540001,37.240002,619500,22.411661
"2004-05-18",37.900002,39,37.599998,38.84,811200,23.374573
"2004-05-19",39.349998,41,39.25,39.580002,1143900,23.819914
"2004-05-20",39.41,40.5,39.41,40.380001,762200,24.301365
"2004-05-21",40.639999,40.830002,40.139999,40.32,411300,24.265261
"2004-05-24",40.84,41.490002,39.799999,40.43,930300,24.331463
"2004-05-25",40.599998,40.849998,40.209999,40.5,768400,24.373589
"2004-05-26",39.77,40.560001,38.740002,39,1071900,23.47086
"2004-05-27",39.029999,39.25,37.610001,38.470001,1333200,23.151903
"2004-05-28",38.470001,39.619999,38.310001,38.66,539500,23.266247
"2004-06-01",38.75,40.189999,38.709999,39.959999,1389500,24.048607
"2004-06-02",40.200001,40.700001,39.360001,40.07,613000,24.114811
"2004-06-03",40.099998,40.150002,39.68,39.900002,422900,24.012501
"2004-06-04",40.049999,40.599998,39.610001,40.599998,803100,24.433767
"2004-06-07",42.349998,43.32,40.48,43.16,3047500,25.974411
"2004-06-08",43.119999,43.450001,42.66,43.150002,508700,25.96841
"2004-06-09",43.189999,43.77,42.5,43.02,676400,25.890167
"2004-06-10",43.060001,43.299999,41.400002,41.57,521400,25.017527
"2004-06-14",41.5,41.599998,40.119999,40.259998,908600,24.229153
"2004-06-15",40.259998,40.48,39.799999,39.91,1168400,24.01852
"2004-06-16",40,40,38.990002,39.07,522500,23.512995
"2004-06-17",39.049999,39.279999,38.290001,38.5,414500,23.169956
"2004-06-18",38.240002,38.700001,38.16,38.310001,405300,23.055613
"2004-06-21",38.650002,38.650002,37.400002,37.470001,776700,22.550079
"2004-06-22",37.43,37.48,36.919998,37.189999,526100,22.381575
"2004-06-23",37.389999,37.830002,37.009998,37.799999,445300,22.748678
"2004-06-24",37.799999,38.400002,37.419998,37.68,292700,22.676468
"2004-06-25",37.919998,38.830002,37.810001,38.41,392000,23.115791
