"","WYNN.Open","WYNN.High","WYNN.Low","WYNN.Close","WYNN.Volume","WYNN.Adjusted"
"2002-10-25",13,13.15,12.85,13.01,13965800,7.829638
"2002-10-28",13.01,13.05,12.96,13.01,5505900,7.829638
"2002-10-29",13,13.01,12.04,12.64,2235800,7.606967
"2002-10-30",12.61,12.62,12.13,12.5,905800,7.522713
"2002-10-31",12.56,13.02,12.5,12.61,298900,7.58891
"2002-11-01",12.59,12.7,12.57,12.61,268800,7.58891
"2002-11-04",12.66,12.95,12.65,12.91,1307600,7.769457
"2002-11-05",12.91,13.24,12.89,13.02,2384700,7.835655
"2002-11-06",13.03,13.2,13,13,204300,7.823622
"2002-11-07",13.08,13.16,12.36,13.05,724200,7.853712
"2002-11-08",13.02,13.03,12.83,12.93,106400,7.781494
"2002-11-11",13,13,12.65,12.71,110500,7.649096
"2002-11-12",12.73,12.74,11.86,11.96,540700,7.197731
"2002-11-13",12.05,12.09,10.76,11.1,685600,6.68017
"2002-11-14",11.13,11.25,10.88,11.09,462800,6.67415
"2002-11-15",11.1,11.56,11.08,11.55,460700,6.950988
"2002-11-18",11.58,13.05,11.57,12.18,325400,7.330132
"2002-11-19",12.36,12.8,12.02,12.6,211400,7.582894
"2002-11-20",12.56,12.6,12.23,12.41,92700,7.468547
"2002-11-21",12.54,12.85,12.54,12.85,91300,7.733345
"2002-11-22",12.85,12.86,12.5,12.65,55300,7.612986
"2002-11-25",12.8,13,12.66,12.93,111000,7.781494
"2002-11-26",12.94,12.94,12.74,12.74,59300,7.667148
"2002-11-27",12.9,12.9,12.5,12.5,94300,7.522713
"2002-11-29",12.78,12.89,12.6,12.82,35400,7.715294
"2002-12-02",12.94,12.95,12.35,12.41,93600,7.468547
"2002-12-03",12.5,12.5,12.31,12.37,31100,7.444476
"2002-12-04",12.45,12.6,12.31,12.6,42300,7.582894
"2002-12-05",12.85,13.3,12.76,13.28,366100,7.99213
"2002-12-06",13.15,13.38,12.99,13.18,129300,7.931948
"2002-12-09",13.29,13.3,12.87,13,106900,7.823622
"2002-12-10",13,13.19,12.93,13,48300,7.823622
"2002-12-11",13.1,13.39,13.02,13.25,189700,7.974075
"2002-12-12",13.39,13.8,13.27,13.74,361400,8.268968
"2002-12-13",13.72,14.39,13.53,13.6,615500,8.18471
"2002-12-16",13.74,14.07,13.66,13.68,170900,8.232856
"2002-12-17",13.91,13.91,13.31,13.48,95100,8.11249
"2002-12-18",13.5,13.59,13.06,13.32,110800,8.016202
"2002-12-19",13.5,13.5,12.5,12.75,233700,7.673167
"2002-12-20",12.79,13.4,12.69,13.08,134900,7.871768
"2002-12-23",13.09,13.59,13.01,13.45,65300,8.094438
"2002-12-24",13.6,13.91,13.32,13.51,52300,8.130545
"2002-12-26",13.66,13.66,12.96,13.25,16300,7.974075
"2002-12-27",13.29,13.29,12.95,13,42500,7.823622
"2002-12-30",13.09,13.36,13,13.1,26700,7.883806
"2002-12-31",13.35,13.5,13.1,13.11,72000,7.889821
"2003-01-02",13.01,13.5,13,13.5,89700,8.124528
"2003-01-03",13.5,13.6,13.32,13.4,73200,8.064349
"2003-01-06",13.4,13.56,13.29,13.29,90700,7.998147
"2003-01-07",13.36,13.52,13.2,13.31,99300,8.010183
"2003-01-08",13.11,13.2,12.76,13.02,159100,7.835655
"2003-01-09",13.07,13.13,12.85,13,125900,7.823622
"2003-01-10",13.08,13.1,12.95,13,70500,7.823622
"2003-01-13",13.1,13.33,13,13.33,194700,8.022222
"2003-01-14",13.33,13.61,13.29,13.45,131200,8.094438
"2003-01-15",13.59,13.67,13.44,13.67,80300,8.226835
"2003-01-16",13.67,13.91,13.45,13.91,95500,8.371272
"2003-01-17",13.8,14.01,13.47,13.48,71300,8.11249
"2003-01-21",13.53,13.91,13.46,13.72,107700,8.256927
"2003-01-22",13.73,14.3,13.58,14.26,121500,8.581912
"2003-01-23",14.3,14.8,14.2,14.25,185500,8.575891
"2003-01-24",14.4,14.4,13.95,14,130500,8.42544
"2003-01-27",13.99,14.49,13.97,14.13,74000,8.503673
"2003-01-28",14.2,14.4,14,14.26,65700,8.581912
"2003-01-29",14.19,14.31,14,14.03,102800,8.443493
"2003-01-30",14,14.17,13.76,13.77,62600,8.287021
"2003-01-31",13.9,13.96,13.66,13.75,184000,8.274984
"2003-02-03",13.78,13.87,13.63,13.64,120100,8.208786
"2003-02-04",13.5,13.59,13.35,13.58,121800,8.172674
"2003-02-05",13.6,13.71,13.35,13.55,60200,8.15462
"2003-02-06",13.76,14.65,13.6,14.4,110600,8.666165
"2003-02-07",14.4,14.56,13.79,13.95,129500,8.395347
"2003-02-10",14.06,14.14,13.7,13.71,54600,8.250913
"2003-02-11",13.79,14.54,13.71,14.31,231000,8.612001
"2003-02-12",14.31,14.31,13.94,13.94,190500,8.389328
"2003-02-13",14.04,14.17,13.95,13.98,107800,8.413402
"2003-02-14",13.96,14.49,13.86,14.33,61100,8.624036
"2003-02-18",14.35,14.49,14.06,14.45,91100,8.696252
"2003-02-19",14.39,14.49,13.96,14.29,93500,8.599966
"2003-02-20",14.15,14.39,14,14.06,46800,8.46155
"2003-02-21",14.18,14.35,13.93,14.06,71500,8.46155
"2003-02-24",14.18,14.23,13.98,14,38800,8.42544
"2003-02-25",14.04,14.24,13.78,14.18,121100,8.533764
"2003-02-26",14.2,14.2,13.81,13.95,47600,8.395347
"2003-02-27",14,14.05,13.85,13.95,36500,8.395347
"2003-02-28",14,14.29,13.85,14.22,42700,8.557837
"2003-03-03",14.1,14.34,13.96,14.08,248400,8.473584
"2003-03-04",14.12,14.14,13.95,14.05,258400,8.455528
"2003-03-05",14.15,14.15,13.85,13.92,45500,8.377291
"2003-03-06",13.86,14.05,13.85,14,31300,8.42544
"2003-03-07",14.01,14.2,13.95,14.16,45300,8.521731
"2003-03-10",14.15,14.3,14.08,14.16,26700,8.521731
"2003-03-11",14.27,14.27,14.02,14.08,93400,8.473584
"2003-03-12",14.11,14.14,13.82,13.83,175200,8.323127
"2003-03-13",13.87,14.13,13.86,14.07,40800,8.467565
"2003-03-14",14,14.2,14,14.05,193100,8.455528
"2003-03-17",14.18,14.19,13.85,14.12,119900,8.497656
"2003-03-18",13.96,14.2,13.96,14.14,101900,8.509691
"2003-03-19",14.18,14.2,14.1,14.12,24100,8.497656
"2003-03-20",14.16,14.29,14.1,14.2,50400,8.5458
"2003-03-21",14.25,14.59,14.1,14.57,358200,8.768474
