"","MPC.Open","MPC.High","MPC.Low","MPC.Close","MPC.Volume","MPC.Adjusted"
"2011-10-06",15.76,16.674999,15.55,16.645,7978400,12.344968
"2011-10-07",16.860001,16.99,15.625,15.8,8532800,11.718262
"2011-10-10",16.139999,16.735001,16.040001,16.485001,5005200,12.226301
"2011-10-11",16.34,16.805,16.215,16.575001,6615000,12.293052
"2011-10-12",16.709999,17.065001,16.639999,16.785,7544200,12.4488
"2011-10-13",16.665001,16.945,16.415001,16.885,6341200,12.522964
"2011-10-14",17.215,18.1,17.174999,18.07,6739600,13.401834
"2011-10-17",18.02,18.24,17.424999,17.469999,4717600,12.956836
"2011-10-18",17.375,18.27,17.084999,18.094999,4533600,13.420375
"2011-10-19",18.094999,18.530001,17.725,17.799999,6033800,13.201587
"2011-10-20",17.799999,18.33,17.645,18.245001,4675400,13.531629
"2011-10-21",18.450001,18.84,18.25,18.674999,6436200,13.850541
"2011-10-24",18.775,19.235001,17.77,17.924999,6574200,13.294291
"2011-10-25",17.325001,17.325001,15.705,16.485001,18550600,12.226301
"2011-10-26",16.91,17.475,16.6,17.365,7477000,12.878962
"2011-10-27",17.635,18.860001,17.635,18.665001,7724200,13.843126
"2011-10-28",18.59,18.809999,18.129999,18.66,7260000,13.839416
"2011-10-31",18.504999,18.504999,17.709999,17.950001,6581200,13.312836
"2011-11-01",17.75,19.059999,17.145,18,13188600,13.349918
"2011-11-02",18.450001,19.215,18.375,19.165001,9171400,14.213956
"2011-11-03",19.5,19.775,19.049999,19.334999,7802600,14.340038
"2011-11-04",19.1,19.360001,18.745001,19.309999,5657600,14.321494
"2011-11-07",19.065001,19.525,19.065001,19.459999,4111000,14.432745
"2011-11-08",19.514999,19.719999,18.860001,19.055,5019200,14.132374
"2011-11-09",18.51,19.495001,18.27,18.51,6974000,13.728168
"2011-11-10",18.844999,18.945,18,18.85,6920800,13.98033
"2011-11-11",19.135,19.59,18.82,18.885,8037200,14.006292
"2011-11-14",18.815001,18.815001,17.684999,18.355,8146400,13.795837
"2011-11-15",18.254999,18.66,18.120001,18.49,5613800,13.897306
"2011-11-16",17.370001,17.530001,16.1,16.32,24769400,12.266307
"2011-11-17",16.360001,16.665001,15.62,15.81,15642000,11.882988
"2011-11-18",15.925,16.475,15.805,16.41,6335800,12.333954
"2011-11-21",16.165001,16.655001,15.65,16.42,6564600,12.341469
"2011-11-22",16.545,16.775,16.115,16.76,6095600,12.597017
"2011-11-23",16.49,16.715,16.245001,16.415001,8240200,12.337712
"2011-11-25",16.32,16.360001,16.094999,16.135,2732200,12.127261
"2011-11-28",16.809999,17.094999,16.334999,16.639999,7631000,12.506825
"2011-11-29",16.754999,16.805,16.389999,16.584999,7627400,12.465486
"2011-11-30",17.055,17.264999,16.225,16.695,12317400,12.548162
"2011-12-01",16.959999,17.165001,16.68,16.975,5997200,12.758615
"2011-12-02",17.209999,17.385,16.565001,16.655001,7471200,12.5181
"2011-12-05",17.014999,17.725,16.93,17.200001,9112200,12.927729
"2011-12-06",17.285,17.389999,17,17.32,5930600,13.017921
"2011-12-07",17.23,17.299999,16.905001,17.25,8031400,12.96531
"2011-12-08",17.165001,17.285,16.745001,17.01,9874800,12.784923
"2011-12-09",17.014999,17.455,16.9,17.440001,6378600,13.108113
"2011-12-12",17.209999,17.295,16.950001,17.295,10916400,12.999128
"2011-12-13",17.055,17.445,16.725,16.975,7383400,12.758615
"2011-12-14",16.834999,16.92,16.014999,16.34,7003800,12.281343
"2011-12-15",16.504999,16.635,16.165001,16.264999,3495800,12.22497
"2011-12-16",16.424999,16.625,15.895,15.98,8456800,12.010762
"2011-12-19",16,16.41,15.86,15.97,6274600,12.003243
"2011-12-20",16.334999,16.48,15.905,16.1,6291000,12.100954
"2011-12-21",16.025,16.424999,16,16.334999,4308800,12.277582
"2011-12-22",16.465,16.705,16.334999,16.655001,3693000,12.5181
"2011-12-23",16.66,16.790001,16.605,16.764999,1841000,12.600773
"2011-12-27",16.775,16.99,16.695,16.825001,1539800,12.645871
"2011-12-28",16.795,16.92,16.370001,16.57,3285000,12.454211
"2011-12-29",16.674999,16.68,16.43,16.639999,2127000,12.506825
"2011-12-30",16.665001,16.75,16.504999,16.645,2165600,12.510583
"2012-01-03",17.275,17.475,16.68,16.705,5043200,12.555681
"2012-01-04",16.65,16.945,16.605,16.879999,5791400,12.687211
"2012-01-05",16.530001,16.565001,15.5,15.96,12392000,11.995728
"2012-01-06",15.985,16.014999,15.565,15.83,7554600,11.89802
"2012-01-09",15.815,15.85,15.12,15.48,9679000,11.634952
"2012-01-10",15.755,15.94,15.485,15.915,6008800,11.961905
"2012-01-11",15.785,16.540001,15.535,16.445,11263400,12.360259
"2012-01-12",16.475,16.665001,16.25,16.32,5585800,12.266307
"2012-01-13",16.25,16.65,16.165001,16.514999,6199600,12.412872
"2012-01-17",16.715,16.975,16.469999,16.77,4440600,12.604533
"2012-01-18",16.719999,17.924999,16.6,17.73,7981200,13.326084
"2012-01-19",17.834999,18.045,17.540001,17.924999,6292800,13.472643
"2012-01-20",18.629999,18.889999,18.379999,18.584999,9676800,13.968706
"2012-01-23",18.584999,19.004999,18.504999,18.934999,5406600,14.231772
"2012-01-24",18.74,19.52,18.559999,19.52,7422000,14.671465
"2012-01-25",19.379999,19.424999,18.969999,19.379999,10327400,14.566241
"2012-01-26",19.49,19.495001,18.674999,18.754999,6187600,14.096481
"2012-01-27",18.700001,19.030001,18.605,18.764999,6156600,14.103997
"2012-01-30",18.49,18.82,18.450001,18.74,3700400,14.085213
"2012-01-31",19.375,19.375,18.639999,19.110001,10394400,14.363306
"2012-02-01",20.85,21.74,20.334999,20.940001,22295000,15.738756
"2012-02-02",20.725,21.495001,20.504999,21.280001,7455400,15.994305
"2012-02-03",21.555,22.139999,21.5,21.99,10732600,16.527946
"2012-02-06",22.105,22.52,21.879999,22.209999,10961600,16.6933
"2012-02-07",22.15,22.495001,21.6,21.959999,11722200,16.505398
"2012-02-08",22.075001,22.709999,22.055,22.475,15936400,16.892487
"2012-02-09",22.379999,22.620001,21.915001,22.42,7108000,16.851139
"2012-02-10",22.184999,22.385,21.895,22.040001,7004800,16.565533
"2012-02-13",22.105,22.309999,21.565001,21.74,8935200,16.340046
"2012-02-14",21.549999,22.33,21.535,22.01,1749600,16.73543
"2012-02-15",22.205,22.504999,21.725,21.85,8360600,16.61377
"2012-02-16",21.809999,22.245001,21.780001,22.045,6863600,16.762039
"2012-02-17",22.15,22.25,21.629999,21.719999,7105000,16.514931
"2012-02-21",21.74,22.025,21.639999,21.905001,6473600,16.655594
"2012-02-22",21.940001,22.209999,21.74,21.76,7642400,16.54534
"2012-02-23",21.700001,22.17,21.65,21.844999,5967200,16.60997
"2012-02-24",21.934999,22,21.395,21.43,5858400,16.294426
"2012-02-27",21.309999,21.57,21.09,21.305,9289800,16.199383
"2012-02-28",21.27,21.295,20.655001,20.834999,15318400,15.842014
"2012-02-29",20.85,21.219999,20.719999,20.775,10255600,15.796389
"2012-03-01",20.785,21.41,20.785,21.360001,10728800,16.241199
"2012-03-02",21.264999,21.555,20.985001,21.09,5396600,16.035904
"2012-03-05",21.135,21.440001,20.85,21.375,4690800,16.252604
"2012-03-06",21.129999,21.360001,20.895,20.995001,5533200,15.963673
"2012-03-07",20.91,21.629999,20.91,21.275,5973600,16.176565
"2012-03-08",21.549999,21.915001,21.275,21.82,11870200,16.590963
"2012-03-09",21.834999,22,21.57,21.950001,5795400,16.689808
"2012-03-12",21.875,21.945,21.525,21.889999,6024400,16.644186
"2012-03-13",21.955,22.16,21.815001,22.02,8265600,16.743034
"2012-03-14",22.055,22.184999,21.844999,21.955,5444800,16.693611
"2012-03-15",22.02,22.209999,21.75,21.950001,5544400,16.689808
"2012-03-16",22.120001,22.200001,21.805,22.094999,7662200,16.80006
"2012-03-19",22.055,22.475,22.045,22.275,3862800,16.93693
"2012-03-20",22.165001,22.165001,21.834999,21.895,4488800,16.647993
"2012-03-21",21.885,22.01,21.625,21.84,5243400,16.606173
"2012-03-22",21.575001,21.85,21.459999,21.684999,6900000,16.488312
"2012-03-23",21.629999,22.18,21.6,22,4814800,16.727827
"2012-03-26",22.379999,22.674999,22.219999,22.605,8456000,17.18784
"2012-03-27",22.65,22.695,21.985001,22,6284800,16.727827
"2012-03-28",21.875,21.959999,21.57,21.780001,7307800,16.560551
"2012-03-29",21.58,21.74,21.450001,21.620001,5025000,16.438892
"2012-03-30",21.764999,21.995001,21.635,21.68,7078400,16.48451
"2012-04-02",21.695,21.844999,21.504999,21.719999,9149800,16.514931
"2012-04-03",21.735001,21.780001,21.004999,21.200001,12358200,16.119541
"2012-04-04",21.055,21.33,20.879999,21.295,7821400,16.191776
"2012-04-05",21.135,21.465,20.895,21.065001,5284800,16.016895
"2012-04-09",20.805,21.389999,20.805,21.23,5659000,16.142351
"2012-04-10",21.174999,21.315001,20.889999,20.915001,7827800,15.902843
"2012-04-11",21.145,21.16,20.67,20.754999,6066800,15.781181
"2012-04-12",20.709999,21.305,20.610001,20.879999,12313400,15.876227
"2012-04-13",20.85,21.075001,20.735001,20.809999,5088600,15.823003
"2012-04-16",20.389999,20.58,19.985001,20.004999,11498000,15.210917
"2012-04-17",20.115,20.424999,19.995001,19.995001,7423000,15.203312
"2012-04-18",19.9,19.995001,19.715,19.93,6830800,15.153888
"2012-04-19",19.99,20.225,19.790001,19.870001,4941600,15.108268
"2012-04-20",19.924999,20.105,19.834999,19.950001,5271400,15.169099
"2012-04-23",19.605,20.094999,19.58,20,4998800,15.207114
"2012-04-24",20.040001,20.200001,19.945,20.129999,3121800,15.305959
"2012-04-25",20.280001,20.385,19.855,20.055,3938400,15.248937
"2012-04-26",20,20.385,19.969999,20.325001,3327400,15.454231
"2012-04-27",20.51,20.825001,20.495001,20.645,5680200,15.697546
"2012-04-30",20.73,20.995001,20.655001,20.805,6763600,15.8192
"2012-05-01",21.365,21.434999,20.52,20.605,9434200,15.667125
"2012-05-02",20.57,20.934999,20.475,20.745001,5194600,15.773577
"2012-05-03",20.735001,20.75,20.065001,20.18,6800000,15.343979
"2012-05-04",20.045,20.17,19.674999,19.870001,7031600,15.108268
"2012-05-07",19.715,19.975,19.635,19.83,7366600,15.077856
"2012-05-08",19.795,19.795,19.1,19.26,7880800,14.644453
"2012-05-09",19.004999,19.305,18.965,19.105,7387800,14.526596
"2012-05-10",19.084999,19.5,19,19.1,6077600,14.522792
"2012-05-11",19.02,19.030001,18.565001,18.605,7818600,14.146417
"2012-05-14",18.25,18.375,17.85,17.91,8644800,13.803451
"2012-05-15",17.924999,18.094999,17.594999,17.65,7119800,13.603065
"2012-05-16",17.74,18.105,17.434999,17.635,7299800,13.591507
"2012-05-17",17.639999,17.885,17.434999,17.434999,6667800,13.437362
"2012-05-18",17.525,17.795,17.219999,17.459999,10113000,13.456631
"2012-05-21",17.475,18.049999,17.43,17.98,4373200,13.857401
"2012-05-22",18.049999,18.26,17.58,17.695,5883600,13.637751
"2012-05-23",17.565001,17.74,17.200001,17.709999,5765600,13.649312
"2012-05-24",17.805,17.9,17.6,17.9,5162200,13.795743
"2012-05-25",17.815001,18.52,17.815001,18.440001,6079000,14.211927
"2012-05-29",18.57,18.690001,18.415001,18.615,6731200,14.346805
"2012-05-30",18.42,18.475,18.15,18.290001,5839000,14.096323
"2012-05-31",18.35,18.365,17.639999,18.035,7846000,13.899795
"2012-06-01",17.68,17.865,17.52,17.620001,5773800,13.579947
"2012-06-04",17.610001,17.735001,16.825001,17.139999,6215600,13.210003
"2012-06-05",17.139999,17.674999,17.129999,17.6,5363600,13.564529
"2012-06-06",17.809999,18.530001,17.764999,18.16,5932000,13.996128
"2012-06-07",18.545,19.025,18.395,18.620001,7936800,14.350657
"2012-06-08",18.469999,18.700001,18.309999,18.68,4541400,14.3969
"2012-06-11",18.959999,19.18,18.67,18.940001,6475000,14.597286
"2012-06-12",18.940001,19.66,18.934999,19.535,8485400,15.055864
"2012-06-13",19.4,19.48,19.145,19.379999,5741000,14.936399
"2012-06-14",19.434999,19.82,19.344999,19.700001,3945000,15.183028
"2012-06-15",19.485001,20.094999,19.485001,20.075001,8010400,15.472043
"2012-06-18",19.945,20.01,19.530001,19.92,7128800,15.352583
"2012-06-19",20.094999,20.6,19.875,20.434999,7763600,15.749499
"2012-06-20",20.844999,21.424999,20.709999,21.4,13889400,16.493238
"2012-06-21",21.450001,21.49,20.565001,20.665001,8412800,15.926762
"2012-06-22",20.855,20.959999,20.440001,20.895,13357400,16.104023
"2012-06-25",20.735001,20.735001,20.165001,20.67,5611200,15.93062
"2012-06-26",20.67,21.405001,20.66,21.275,7313200,16.396898
"2012-06-27",21.375,21.42,20.969999,21.26,5665600,16.38534
"2012-06-28",21.129999,22.125,21.025,22.094999,8631800,17.028887
"2012-06-29",22.455,22.674999,22.014999,22.459999,10990000,17.310192
"2012-07-02",22.799999,23.26,22.440001,23.035,7390600,17.753353
"2012-07-03",23.18,23.18,22.5,22.68,7438000,17.47975
"2012-07-05",22.5,22.549999,22.059999,22.1,8391200,17.032738
"2012-07-06",21.85,22.275,21.665001,22.254999,4713000,17.152195
"2012-07-09",22.275,22.275,21.985001,22.195,5588400,17.105953
"2012-07-10",22.33,22.49,21.905001,21.995001,5399800,16.951807
"2012-07-11",22.055,22.485001,21.790001,22.190001,7089200,17.102102
"2012-07-12",21.645,21.879999,21.299999,21.715,9387000,16.73601
"2012-07-13",21.84,22.514999,21.719999,22.475,8647200,17.321756
"2012-07-16",22.379999,22.475,22.129999,22.424999,5437600,17.283218
"2012-07-17",22.51,22.815001,22.275,22.725,6909600,17.514435
"2012-07-18",22.629999,23.575001,22.629999,23.415001,6735800,18.046223
"2012-07-19",23.475,23.74,22.67,22.754999,7953800,17.537552
"2012-07-20",22.684999,22.865,22.530001,22.780001,3373200,17.55682
"2012-07-23",22.424999,23.045,22.295,22.93,4756200,17.672424
"2012-07-24",22.83,22.924999,21.809999,22.219999,7523800,17.125216
"2012-07-25",22.360001,22.42,22.07,22.254999,4708200,17.152195
"2012-07-26",22.655001,23.08,22.540001,22.91,5176400,17.657015
"2012-07-27",22.889999,23.545,22.889999,23.52,5084800,18.127148
"2012-07-30",23.42,23.969999,23.1,23.735001,5355600,18.292852
"2012-07-31",23.700001,24.440001,23.389999,23.65,9495400,18.227339
"2012-08-01",23.805,23.905001,22.18,23.4,18801000,18.03466
"2012-08-02",23.125,24.094999,23.120001,24,9223600,18.497091
"2012-08-03",24.459999,24.83,24.15,24.695,7230800,19.032736
"2012-08-06",24.785,24.834999,24.43,24.674999,4207600,19.017317
"2012-08-07",24.85,25.395,24.745001,25.219999,6975800,19.437359
"2012-08-08",24.975,25,24.365,24.735001,5830400,19.063562
"2012-08-09",24.75,24.75,24.370001,24.395,5698200,18.801516
"2012-08-10",24.16,24.805,23.975,24.780001,5729600,19.098244
"2012-08-13",24.780001,24.9,24.41,24.780001,4855000,19.098244
"2012-08-14",24.795,24.795,24.365,24.565001,4362800,19.203779
"2012-08-15",24.58,24.915001,24.325001,24.860001,5189400,19.434395
"2012-08-16",24.83,25.02,24.6,24.855,6093200,19.430485
"2012-08-17",24.875,25.075001,24.51,24.625,6760000,19.250687
"2012-08-20",24.67,24.940001,24.525,24.775,5108800,19.367947
"2012-08-21",24.855,25.09,24.379999,24.459999,5700200,19.121696
"2012-08-22",24.465,24.684999,24.07,24.625,3986200,19.250687
"2012-08-23",24.549999,24.625,24.275,24.52,2757200,19.168606
"2012-08-24",24.42,24.469999,24.025,24.375,3465000,19.055246
"2012-08-27",24.504999,25.25,24.48,24.799999,5755600,19.387491
"2012-08-28",24.764999,25.245001,24.725,24.915001,5283000,19.477394
"2012-08-29",24.955,25.110001,24.82,24.860001,3183400,19.434395
"2012-08-30",24.719999,25.495001,24.575001,25.405001,5627000,19.860456
"2012-08-31",25.514999,25.969999,25.42,25.875,7878200,20.227875
"2012-09-04",25.870001,25.875,25.139999,25.395,5189200,19.852644
"2012-09-05",25.375,25.415001,25.105,25.16,5202600,19.668926
"2012-09-06",25.365,25.809999,25.254999,25.459999,5433000,19.90345
"2012-09-07",25.584999,25.99,25.51,25.945,3713400,20.2826
"2012-09-10",25.955,26.305,25.955,26.18,3613600,20.466311
"2012-09-11",26.25,26.754999,26.225,26.674999,5511200,20.853279
"2012-09-12",26.825001,27.145,26.725,26.74,6444200,20.904097
"2012-09-13",26.805,27.41,26.42,27.334999,5895400,21.369232
"2012-09-14",27.455,28.110001,27.379999,27.805,6450600,21.73666
"2012-09-17",27.575001,27.575001,26.459999,26.82,7284200,20.966637
"2012-09-18",26.040001,26.445,25.360001,26.035,13020800,20.352959
"2012-09-19",26,26.745001,25.99,26.605,7473400,20.798555
"2012-09-20",26.465,26.805,26.184999,26.684999,5248200,20.861097
"2012-09-21",26.815001,27.059999,26.705,26.860001,6562000,20.997911
"2012-09-24",26.76,26.99,26.6,26.725,3611600,20.892376
"2012-09-25",26.91,27.25,26.805,26.825001,7181200,20.970547
"2012-09-26",26.764999,27,26,26.5,6965400,20.716473
"2012-09-27",26.49,27.264999,26.375,27.264999,4347400,21.314516
"2012-09-28",27.18,27.33,26.91,27.295,4748400,21.337971
"2012-10-01",27.440001,27.945,27.125,27.67,5216600,21.631126
"2012-10-02",27.719999,27.895,27.584999,27.695,4060200,21.650669
"2012-10-03",27.700001,27.700001,27.225,27.26,4393800,21.310608
"2012-10-04",27.389999,27.885,27.325001,27.795,5612800,21.728844
"2012-10-05",28,28.459999,27.370001,27.434999,6537800,21.447412
"2012-10-08",28.610001,30.02,28.24,28.959999,18623800,22.639589
"2012-10-09",29.27,29.5,28.555,28.565001,8248000,22.330795
"2012-10-10",28.375,28.83,27.389999,27.65,10620600,21.615488
"2012-10-11",28.245001,28.325001,27.315001,27.33,7215000,21.365332
"2012-10-12",27.325001,27.475,26.365,27.15,8333200,21.224609
"2012-10-15",27.120001,27.424999,26.790001,27.190001,4308600,21.255886
"2012-10-16",27.405001,27.735001,27.25,27.525,3856800,21.517773
"2012-10-17",27.665001,28.045,27.530001,27.875,4023800,21.791388
"2012-10-18",27.809999,28,27.325001,27.395,5600400,21.416147
"2012-10-19",27.58,27.825001,27.225,27.469999,4888000,21.474773
"2012-10-22",27.594999,27.75,26.85,27.26,4712800,21.310608
"2012-10-23",26.75,26.860001,26.299999,26.625,5155400,20.814196
"2012-10-24",26.785,27.275,26.674999,26.85,3486200,20.990088
"2012-10-25",26.99,27.25,26.68,26.98,2833600,21.091717
"2012-10-26",27.275,27.860001,27.195,27.805,4881800,21.73666
"2012-10-31",27.825001,27.895,27,27.465,5480800,21.470867
"2012-11-01",27.440001,27.594999,26.290001,27.014999,7261800,21.119083
"2012-11-02",27.280001,27.280001,26.18,26.525,6790200,20.736017
"2012-11-05",26.530001,27.645,26.525,27.379999,6718800,21.404413
"2012-11-06",27.705,28.594999,27.48,28.49,8509200,22.272167
"2012-11-07",28.02,28.385,27.434999,27.73,5502400,21.678028
"2012-11-08",27.719999,28.059999,27.115,27.155001,5078800,21.228521
"2012-11-09",26.790001,26.934999,26.325001,26.559999,6529400,20.763378
"2012-11-12",26.75,27.370001,26.75,26.940001,5293400,21.060444
"2012-11-13",26.815001,27.465,26.629999,26.950001,4391800,21.068262
"2012-11-14",27.145,27.225,26.49,26.565001,5887200,20.767286
"2012-11-15",26.635,27.190001,26.52,27.030001,6306200,21.130804
"2012-11-16",27.014999,27.26,26.745001,27.17,7317800,21.240252
"2012-11-19",27.43,28.344999,27.42,28.285,6946800,22.400467
"2012-11-20",28.280001,28.9,28.165001,28.5,6521600,22.57074
"2012-11-21",28.74,29,28.57,28.915001,4167000,22.899399
"2012-11-23",29.110001,29.5,29.07,29.49,2007600,23.354771
"2012-11-26",29.375,29.545,29.165001,29.530001,4679400,23.38645
"2012-11-27",29.674999,29.684999,29.245001,29.295,5961400,23.200338
"2012-11-28",28.98,29.780001,28.844999,29.625,5923800,23.461681
"2012-11-29",29.719999,29.955,29.555,29.725,5291800,23.54088
"2012-11-30",29.615,29.875,29.43,29.77,5146600,23.576521
"2012-12-03",29.9,29.950001,29.450001,29.775,5783400,23.580479
"2012-12-04",29.684999,29.945,29.540001,29.58,4738200,23.426044
"2012-12-05",29.700001,29.934999,28.754999,29.055,6379800,23.010273
"2012-12-06",28.969999,29.825001,28.875,29.700001,8582200,23.521082
"2012-12-07",29.93,30.370001,29.68,30.35,8382000,24.035854
"2012-12-10",30.25,31.245001,30.24,31.004999,8624200,24.554586
"2012-12-11",31.059999,31.379999,30.584999,30.709999,8740000,24.320955
"2012-12-12",30.91,31.110001,30.315001,30.76,7966400,24.360554
"2012-12-13",30.754999,31.025,30.504999,30.885,6203400,24.459547
"2012-12-14",30.85,31.495001,30.85,31.415001,6894600,24.879284
"2012-12-17",31.469999,31.68,31.219999,31.48,5535800,24.930765
"2012-12-18",31.565001,31.690001,31.375,31.5,4907400,24.9466
"2012-12-19",31.495001,31.719999,31.08,31.110001,8451000,24.637737
"2012-12-20",31.209999,31.32,30.975,31.129999,5211200,24.653572
"2012-12-21",30.67,31.25,30.58,31.07,8528800,24.606058
"2012-12-24",30.924999,31.495001,30.885,31.184999,2139000,24.697134
"2012-12-26",31.315001,31.32,30.690001,30.83,2978800,24.415991
"2012-12-27",30.85,31.075001,30.389999,31.01,3663200,24.558548
"2012-12-28",30.764999,30.875,30.51,30.555,3272400,24.198208
"2012-12-31",30.485001,31.504999,30.440001,31.5,4202800,24.9466
"2013-01-02",32.075001,32.099998,31.405001,32.005001,6321400,25.34654
"2013-01-03",31.950001,31.995001,30.98,31.110001,7296400,24.637737
"2013-01-04",31.200001,31.57,30.504999,31.275,6589200,24.76841
"2013-01-07",31.040001,31.040001,30.02,30.125,11086800,23.857668
"2013-01-08",30.225,30.865,30.139999,30.775,9818800,24.372431
"2013-01-09",31.030001,31.33,30.879999,31.209999,7302200,24.716928
"2013-01-10",31.440001,31.495001,31.025,31.395,6480800,24.863447
"2013-01-11",31.35,31.49,30.85,30.995001,6742600,24.546667
"2013-01-14",31.1,31.32,30.950001,31.309999,4476400,24.796129
"2013-01-15",31.16,32.220001,31.1,32.130001,5688600,25.445532
"2013-01-16",31.995001,32.685001,31.98,32.369999,5761200,25.635599
"2013-01-17",32.605,33.044998,32.52,32.689999,7048800,25.88903
"2013-01-18",32.84,32.955002,31.950001,32.599998,7196800,25.817743
"2013-01-22",32.630001,33.82,32.57,33.555,6046400,26.574072
"2013-01-23",33.615002,34.044998,33.259998,33.790001,7568200,26.760178
"2013-01-24",33.775002,34.540001,33.775002,34.325001,5068200,27.183876
"2013-01-25",34.439999,34.5,34.044998,34.334999,4657000,27.191793
"2013-01-28",34.285,34.59,33.310001,34.325001,5798400,27.183876
