"","MPC.Open","MPC.High","MPC.Low","MPC.Close","MPC.Volume","MPC.Adjusted"
"2011-06-24",19.375,19.575001,18.42,18.625,1675400,13.665757
"2011-06-27",18.344999,18.975,18.295,18.825001,895200,13.812505
"2011-06-28",19.17,19.995001,18.85,19.35,4151800,14.197717
"2011-06-29",19.5,20.485001,19.35,20.035,3695200,14.70032
"2011-06-30",20.334999,21,20.09,20.700001,3025600,15.188253
"2011-07-01",20.6,23.715,20.5,21.1,8334200,15.481746
"2011-07-05",21.105,21.5,20.825001,21.105,11823000,15.485417
"2011-07-06",20.799999,21.125,20.504999,20.945,10983000,15.368014
"2011-07-07",21.094999,21.629999,20.855,20.889999,16707600,15.327662
"2011-07-08",20.4,21.299999,20.26,20.705,16417000,15.191922
"2011-07-11",20.395,20.395,19.754999,20.049999,9495200,14.711329
"2011-07-12",19.93,20.495001,19.719999,20.24,8011200,14.850732
"2011-07-13",20.26,20.620001,19.620001,19.98,11642800,14.659964
"2011-07-14",19.985001,20.01,19.105,19.32,11528400,14.175699
"2011-07-15",19.5,19.735001,19.049999,19.58,9938400,14.366472
"2011-07-18",19.365,19.795,18.875,19.559999,8311600,14.351798
"2011-07-19",19.629999,19.969999,19.565001,19.870001,6423000,14.579255
"2011-07-20",19.895,19.969999,19.700001,19.764999,5449000,14.502215
"2011-07-21",19.764999,20.120001,19.555,20.049999,7249200,14.711329
"2011-07-22",20.139999,20.41,19.955,20.285,6645600,14.883755
"2011-07-25",20.625,21.059999,20.325001,20.684999,8898600,15.177246
"2011-07-26",20.695,21.860001,20.635,21.525,11324200,15.793581
"2011-07-27",21.51,21.65,20.985001,21.030001,6998400,15.430388
"2011-07-28",21.215,21.469999,21.094999,21.389999,6654600,15.694525
"2011-07-29",21.174999,22.305,20.985001,21.895,10709600,16.065062
"2011-08-01",22.52,22.690001,21.995001,22.485001,11518400,16.497971
"2011-08-02",22.264999,22.450001,21.125,21.165001,10995600,15.529439
"2011-08-03",21.639999,22.700001,19.51,20.715,13413800,15.199262
"2011-08-04",20.355,20.355,18.615,19.209999,15377800,14.094995
"2011-08-05",19.455,19.610001,16.719999,18.655001,12348600,13.687776
"2011-08-08",17.620001,18,14.74,16.165001,16543000,11.860781
"2011-08-09",16.535,18.205,16.209999,18.049999,12054200,13.24386
"2011-08-10",17.775,18.42,17.059999,17.559999,9682600,12.884335
"2011-08-11",17.950001,19.299999,17.715,18.67,8756400,13.698775
"2011-08-12",18.795,19.559999,18.450001,18.705,5906800,13.724457
"2011-08-15",18.945,19.825001,18.945,19.549999,5365400,14.499495
"2011-08-16",19.18,19.719999,19.059999,19.43,6532400,14.410498
"2011-08-17",19.815001,19.98,19.405001,19.549999,5627600,14.499495
"2011-08-18",19.055,19.254999,17.705,18.305,7501400,13.576127
"2011-08-19",17.889999,18.334999,17.32,17.495001,9878600,12.975378
"2011-08-22",17.91,18,16.174999,16.285,10774000,12.077968
"2011-08-23",16.315001,17.35,16.025,17.125,10360000,12.700966
"2011-08-24",17.200001,18.014999,16.855,17.915001,6723400,13.286876
"2011-08-25",18.094999,18.450001,16.959999,17.190001,6376000,12.749173
"2011-08-26",17.200001,18.379999,17.035,17.434999,5880400,12.930879
"2011-08-29",17.635,18.18,17.52,18,4175000,13.349918
"2011-08-30",17.945,18.190001,17.375,18.014999,4385200,13.361046
"2011-08-31",18.254999,18.725,18.254999,18.530001,5731000,13.742999
"2011-09-01",18.715,19.110001,18.455,18.504999,4515400,13.724456
"2011-09-02",17.915001,18.495001,17.559999,17.709999,3594200,13.134838
"2011-09-06",17.115,17.700001,16.645,17.5,5723400,12.979088
"2011-09-07",17.790001,18.465,17.625,18.145,5212200,13.457459
"2011-09-08",18.08,19.075001,17.785,18.865,4086600,13.991456
"2011-09-09",18.309999,18.889999,17.965,18.174999,5889000,13.479712
"2011-09-12",17.67,18.440001,17.445,18.33,3919200,13.59467
"2011-09-13",18.200001,18.315001,17.219999,17.67,7147000,13.105171
"2011-09-14",17.620001,17.655001,17.23,17.514999,7640600,12.990213
"2011-09-15",17.940001,18.48,17.615,17.709999,6081400,13.134838
"2011-09-16",17.764999,17.834999,17.43,17.549999,7195400,13.016169
"2011-09-19",17.09,17.280001,16.549999,16.775,5096200,12.441383
"2011-09-20",16.785,17.115,16.75,16.844999,3859200,12.493298
"2011-09-21",16.674999,17.23,16.17,16.200001,4013000,12.014927
"2011-09-22",15.58,15.7,14.42,14.735,11073600,10.928391
"2011-09-23",14.59,15.16,14.53,14.765,6768000,10.950642
"2011-09-26",14.95,15.18,14.75,15.05,7971000,11.162014
"2011-09-27",15.415,15.91,14.85,14.915,9412400,11.061889
"2011-09-28",14.985,15.32,14.46,14.49,8844400,10.746686
"2011-09-29",14.835,14.925,13.175,13.92,10516800,10.323936
"2011-09-30",13.685,13.965,13.415,13.53,9626800,10.03469
"2011-10-03",13.455,13.9,13.305,13.575,8648200,10.068064
"2011-10-04",13.4,14.405,13.335,14.38,10200000,10.6651
"2011-10-05",14.535,15.89,14.265,15.74,10463800,11.673763
