"","MET.Open","MET.High","MET.Low","MET.Close","MET.Volume","MET.Adjusted"
"2001-01-02",31.25,31.305704,30.135918,30.30303,2783300,19.995104
"2001-01-03",30.525846,32.642601,30.525846,31.082888,3738100,20.509684
"2001-01-04",31.082888,31.194296,27.963459,29.077539,5671700,19.18648
"2001-01-05",29.745989,29.857397,27.907755,28.130569,3510600,18.561634
"2001-01-08",28.130569,29.634581,28.130569,29.300356,2685800,19.3335
"2001-01-09",29.857397,30.637255,29.745989,30.191622,3772500,19.921591
"2001-01-10",30.080214,30.135918,29.300356,29.690285,2963400,19.590788
"2001-01-11",30.191622,30.191622,28.799019,28.966131,3961800,19.112968
"2001-01-12",29.021835,29.133244,27.127897,27.629234,3873100,18.230829
"2001-01-16",26.960785,28.297682,26.960785,27.57353,3011500,18.194078
"2001-01-17",27.796347,28.074867,27.629234,27.796347,1760500,18.341097
"2001-01-18",28.130569,28.910427,27.406418,28.130569,2401700,18.561634
"2001-01-19",28.130569,28.241978,27.462122,27.684938,2499500,18.26759
"2001-01-22",28.186274,29.411764,27.963459,29.244652,11278400,19.296745
"2001-01-23",29.411764,29.801693,28.799019,29.35606,1604900,19.370258
"2001-01-24",29.634581,30.247326,29.244652,30.024509,1356000,19.811327
"2001-01-25",30.247326,30.30303,29.300356,29.690285,1375400,19.590788
"2001-01-26",29.857397,29.913101,28.910427,29.300356,1696400,19.3335
"2001-01-29",29.304813,29.857397,29.16221,29.56328,1600800,19.506994
"2001-01-30",29.188948,30.124777,29.019608,29.848484,998100,19.695177
"2001-01-31",29.76827,29.76827,29.135473,29.251337,2941800,19.301163
"2001-02-01",29.269163,29.857397,29.251337,29.857397,1894400,19.701059
"2001-02-02",30.080214,30.16934,29.411764,29.76827,1847500,19.64225
"2001-02-05",29.991087,30.080214,29.233511,30.080214,1092400,19.848082
"2001-02-06",30.080214,30.080214,28.520498,29.135473,1287400,19.224709
"2001-02-07",29.135473,30.026737,29.135473,29.919786,1010100,19.742229
"2001-02-08",29.500891,29.714794,28.787878,28.966131,1049600,19.112968
"2001-02-09",29.411764,29.500891,28.520498,28.921568,1924000,19.083563
"2001-02-12",28.698751,29.634581,28.074867,29.509804,1849300,19.471701
"2001-02-13",29.411764,29.946524,28.698751,28.805704,1893200,19.007113
"2001-02-14",29.233511,29.411764,28.787878,28.966131,1256700,19.112968
"2001-02-15",28.609625,28.832441,27.896614,28.074867,3758800,18.524878
"2001-02-16",28.253119,29.117647,28.253119,28.654188,2721500,18.907139
"2001-02-20",28.743315,28.787878,27.807487,27.985741,1499800,18.466072
"2001-02-21",27.629234,28.342245,27.272728,27.584671,2061700,18.201433
"2001-02-22",26.916222,27.344028,26.336899,26.880569,3494400,17.736828
"2001-02-23",26.898396,27.352942,26.363636,27.040998,1498400,17.842695
"2001-02-26",27.718361,27.976828,27.174688,27.647058,2452000,18.242594
"2001-02-27",27.869875,28.199644,27.094475,27.566845,1868500,18.189663
"2001-02-28",27.789661,27.852051,27.139038,27.495544,1032500,18.142611
"2001-03-01",27.450981,27.700535,27.183601,27.629234,1131300,18.230829
"2001-03-02",27.584671,28.618538,27.228165,28.368984,1340100,18.718945
"2001-03-05",28.368984,28.698751,27.807487,28.475935,1196000,18.78952
"2001-03-06",28.475935,28.565062,27.905525,28.172905,1361300,18.589563
"2001-03-07",28.342245,28.565062,28.074867,28.395721,1030300,18.736589
"2001-03-08",28.475935,28.832441,28.342245,28.672014,684600,18.91889
"2001-03-09",28.672014,28.921568,28.163992,28.903744,1607300,19.071804
"2001-03-12",29.322638,29.322638,27.352942,27.495544,2496800,18.142611
"2001-03-13",27.629234,28.253119,27.272728,28.235294,1486600,18.63073
"2001-03-14",25.178253,26.292336,25.080214,25.623886,6566500,16.907631
"2001-03-15",25.980392,26.024956,25.597149,25.846703,2934200,17.054649
"2001-03-16",25.713013,25.846703,25.30303,25.311943,3000900,16.701797
"2001-03-19",25.26738,25.276293,24.59893,24.759357,1772100,16.337175
"2001-03-20",24.955437,25.044563,24.081997,24.242424,2679400,15.996089
