"","IRM.Open","IRM.High","IRM.Low","IRM.Close","IRM.Volume","IRM.Adjusted"
"2001-01-02",1.491482,1.491482,1.319388,1.376752,512207700,0.560017
"2001-01-03",1.387182,1.468014,1.387182,1.436725,294176200,0.584412
"2001-01-04",1.439332,1.44194,1.413257,1.415865,88412700,0.575927
"2001-01-05",1.42108,1.481052,1.42108,1.462799,210163600,0.595018
"2001-01-08",1.454977,1.457585,1.447154,1.454977,155889200,0.591836
"2001-01-09",1.449762,1.457585,1.434117,1.439332,62675700,0.585472
"2001-01-10",1.439332,1.449762,1.413257,1.434117,132552300,0.583351
"2001-01-11",1.434117,1.452369,1.423687,1.44194,144420800,0.586533
"2001-01-12",1.439332,1.457585,1.418472,1.454977,99347700,0.591836
"2001-01-16",1.447154,1.470622,1.439332,1.460192,475802500,0.593957
"2001-01-17",1.465407,1.507127,1.465407,1.501912,262704900,0.610928
"2001-01-18",1.501912,1.538416,1.496697,1.507127,246835900,0.613049
"2001-01-19",1.507127,1.509734,1.488874,1.488874,172691700,0.605625
"2001-01-22",1.478444,1.499304,1.470622,1.499304,42005900,0.609867
"2001-01-23",1.496697,1.512342,1.496697,1.509734,197361900,0.61411
"2001-01-24",1.507127,1.530594,1.501912,1.527987,130018800,0.621534
"2001-01-25",1.522772,1.525379,1.514949,1.522772,136553000,0.619413
"2001-01-26",1.517557,1.537113,1.516253,1.533202,33737900,0.623655
"2001-01-29",1.533202,1.570749,1.533202,1.554062,215231200,0.63214
"2001-01-30",1.554062,1.606211,1.554062,1.557816,169624300,0.633668
"2001-01-31",1.557816,1.574921,1.551141,1.551975,116816700,0.631292
"2001-02-01",1.562405,1.562405,1.512342,1.547803,126684900,0.629595
"2001-02-02",1.543631,1.554062,1.5186,1.552393,146154300,0.631462
"2001-02-05",1.552393,1.554062,1.543631,1.554062,29203900,0.63214
"2001-02-06",1.554062,1.593695,1.554062,1.591609,125351400,0.647413
"2001-02-07",1.591609,1.591609,1.568663,1.583682,39872200,0.644189
"2001-02-08",1.583682,1.632912,1.570749,1.575338,272572800,0.640795
"2001-02-09",1.581179,1.614555,1.581179,1.595364,239634700,0.648941
"2001-02-12",1.595364,1.595364,1.581179,1.591609,38672100,0.647413
"2001-02-13",1.591609,1.597867,1.591609,1.593695,155622400,0.648262
"2001-02-14",1.595781,1.599953,1.591609,1.595781,39472100,0.649111
"2001-02-15",1.587437,1.591609,1.581179,1.589523,26136900,0.646565
"2001-02-16",1.585351,1.589523,1.572418,1.585351,32271100,0.644868
"2001-02-20",1.581179,1.593695,1.572835,1.581179,256970600,0.643171
"2001-02-21",1.581179,1.605794,1.581179,1.599953,124151100,0.650808
"2001-02-22",1.597867,1.600788,1.584517,1.595364,155489200,0.648941
"2001-02-23",1.595364,1.610383,1.577007,1.602039,55874600,0.651656
"2001-02-26",1.602039,1.602039,1.585351,1.597867,144687600,0.649959
"2001-02-27",1.589523,1.593695,1.585351,1.592026,286841600,0.647583
"2001-02-28",1.592026,1.631243,1.592026,1.627488,584618300,0.662008
"2001-03-01",1.618727,1.652103,1.616641,1.650851,179092600,0.671511
"2001-03-02",1.650851,1.691737,1.650017,1.687982,188693800,0.686615
"2001-03-05",1.687565,1.712596,1.687565,1.706339,279240500,0.694082
"2001-03-06",1.702167,1.779348,1.702167,1.740132,388723100,0.707828
"2001-03-07",1.735542,1.737628,1.723027,1.73137,137353100,0.704264
"2001-03-08",1.733456,1.735542,1.706339,1.706339,280840600,0.694082
"2001-03-09",1.708424,1.710511,1.670877,1.674214,90412800,0.681014
"2001-03-12",1.670877,1.670877,1.652103,1.656275,146554400,0.673717
"2001-03-13",1.643759,1.644176,1.618727,1.624985,131885700,0.66099
"2001-03-14",1.625402,1.625402,1.577007,1.581179,362852500,0.643171
"2001-03-15",1.581179,1.581179,1.531116,1.537374,167757600,0.625352
"2001-03-16",1.541546,1.543631,1.485224,1.538208,215364600,0.625692
"2001-03-19",1.535287,1.539877,1.524858,1.539877,235100700,0.626371
"2001-03-20",1.539877,1.540294,1.50817,1.514428,214831100,0.616019
"2001-03-21",1.5186,1.537374,1.501912,1.506084,218698300,0.612625
"2001-03-22",1.503998,1.504415,1.449762,1.481052,118950600,0.602443
"2001-03-23",1.481469,1.543631,1.481052,1.520686,218164900,0.618564
"2001-03-26",1.5186,1.554062,1.510256,1.540711,160956500,0.62671
"2001-03-27",1.537374,1.551975,1.537374,1.551975,216031300,0.631292
"2001-03-28",1.551975,1.560319,1.541546,1.554896,82545100,0.63248
"2001-03-29",1.54989,1.556147,1.537791,1.555313,181626300,0.63265
"2001-03-30",1.555313,1.599536,1.546135,1.598701,158289600,0.650298
"2001-04-02",1.593695,1.593695,1.543631,1.564491,180426000,0.636383
"2001-04-03",1.568663,1.568663,1.49774,1.501495,226299400,0.610758
"2001-04-04",1.501495,1.5186,1.472708,1.491482,214431100,0.606685
"2001-04-05",1.491482,1.524858,1.481469,1.522772,86012200,0.619413
