"","LH.Open","LH.High","LH.Low","LH.Close","LH.Volume","LH.Adjusted"
"2001-01-02",43.734375,43.75,37,37,2699200,37
"2001-01-03",35.875,39.375,35.875,37.9375,3658400,37.9375
"2001-01-04",37.75,37.8125,32.375,34.625,3702800,34.625
"2001-01-05",34.75,34.875,31.25,33,3762800,33
"2001-01-08",33,34.875,33,34.0625,1639200,34.0625
"2001-01-09",34,36.46875,33.625,35.6875,1533600,35.6875
"2001-01-10",35.5,37.21875,35.5,36.75,1446800,36.75
"2001-01-11",36.5,37.65625,36.5,36.90625,1580800,36.90625
"2001-01-12",36.9375,36.9375,32,33.734375,2382400,33.734375
"2001-01-16",33.625,34.984375,33.375,33.5625,1916000,33.5625
"2001-01-17",33.75,35.1875,31.875,32.484375,2807200,32.484375
"2001-01-18",32.53125,32.53125,29.90625,31.625,4117600,31.625
"2001-01-19",31.9375,32.0625,29.875,30.296875,2761200,30.296875
"2001-01-22",30.65625,31.75,30.625,31,1904400,31
"2001-01-23",31.125,33.390625,30.453125,32.875,2132400,32.875
"2001-01-24",33,35.875,33,34.75,2795200,34.75
"2001-01-25",34.5,34.9375,33.78125,34.25,1384400,34.25
"2001-01-26",34.5,36.015625,34.40625,35.59375,766400,35.59375
"2001-01-29",35.875,36.5625,35.025002,35.075001,1032400,35.075001
"2001-01-30",34.825001,36.174999,34.75,35.424999,1460800,35.424999
"2001-01-31",35.674999,35.9375,34,34.055,1245600,34.055
"2001-02-01",34.625,34.747501,33.625,33.915001,1201600,33.915001
"2001-02-02",33.915001,34.349998,32.825001,33.0625,1520800,33.0625
"2001-02-05",32.875,33.3125,32.727501,33.287498,998400,33.287498
"2001-02-06",33.25,34.875,33.25,33.674999,1100800,33.674999
"2001-02-07",33.5,35.125,33.474998,34.127499,1102400,34.127499
"2001-02-08",34.25,34.3125,33.212502,33.325001,692000,33.325001
"2001-02-09",33.125,33.875,32.799999,33.625,1108800,33.625
"2001-02-12",33.625,35.220001,33.25,34.799999,1100400,34.799999
"2001-02-13",34.924999,35.112499,34.5,34.987499,786000,34.987499
"2001-02-14",35.174999,35.75,34.262501,35.689999,1214000,35.689999
"2001-02-15",36.5,37.485001,35.055,35.224998,2072800,35.224998
"2001-02-16",35.5,36.494999,35.1875,36.3125,1094000,36.3125
"2001-02-20",36.4375,36.875,36.25,36.622501,1826800,36.622501
"2001-02-21",36.625,37.299999,36.5625,36.875,1500000,36.875
"2001-02-22",36.787498,36.982498,36.450001,36.8125,1290800,36.8125
"2001-02-23",36.6875,37.122501,35.5,36.75,1276800,36.75
"2001-02-26",36.75,39.625,36.625,38.662498,2412400,38.662498
"2001-02-27",39,40.5,38.875,39.924999,2556000,39.924999
"2001-02-28",39.987499,40.185001,38.977501,40.125,1586000,40.125
"2001-03-01",40,40.4375,37.862499,38.487499,1682400,38.487499
"2001-03-02",38,39.875,38,39.427502,1114000,39.427502
"2001-03-05",39.674999,39.674999,38.400002,38.805,739200,38.805
"2001-03-06",38.807499,39.237499,37.900002,38,1336400,38
"2001-03-07",37.75,38,35.625,36.325001,1583200,36.325001
"2001-03-08",36.5,36.5,34.125,35.517502,3369600,35.517502
"2001-03-09",35.575001,36.1875,35.375,35.599998,773600,35.599998
"2001-03-12",35.4375,35.560001,34.125,34.125,1737200,34.125
"2001-03-13",34.375,35.1875,33.775002,34.25,1598800,34.25
"2001-03-14",33.724998,34.849998,33.389999,33.674999,1493600,33.674999
"2001-03-15",33.924999,34.125,31.375,31.799999,2680000,31.799999
"2001-03-16",31.120001,31.120001,31.120001,31.120001,2636000,31.120001
"2001-03-19",31.012501,31.85,30.975,31.75,1198800,31.75
"2001-03-20",31.8125,31.975,30.75,31.025,1258000,31.025
"2001-03-21",31.125,31.125,28.125,28.172501,2137600,28.172501
"2001-03-22",28,28.172501,24.875,27.955,4296800,27.955
"2001-03-23",28.5,30.137501,28.377501,29.75,2256400,29.75
"2001-03-26",29.125,29.75,28.375,28.965,2041600,28.965
