"","GE.Open","GE.High","GE.Low","GE.Close","GE.Volume","GE.Adjusted"
"2001-01-02",44.951923,45.072117,40.985577,42.067307,38311200,23.337929
"2001-01-03",42.548077,46.09375,42.127403,45.973557,40774000,25.50503
"2001-01-04",45.49279,46.875,45.3125,46.213943,28003400,25.638386
"2001-01-05",45.91346,45.973557,44.35096,45.49279,23702000,25.238306
"2001-01-08",45.432693,45.432693,42.908653,43.810097,24139300,24.304789
"2001-01-09",44.170673,44.471153,42.067307,42.908653,20868600,23.804703
"2001-01-10",42.427883,43.389423,41.526443,42.96875,25797500,23.838028
"2001-01-11",43.870193,45.192307,43.509617,44.771633,24543000,24.838232
"2001-01-12",45.01202,45.13221,43.26923,43.93029,17475000,24.371471
"2001-01-16",43.93029,45.733173,43.870193,45.552883,20548800,25.271648
"2001-01-17",46.153847,46.634617,44.651443,44.891827,25388400,24.904913
"2001-01-18",45.552883,46.213943,44.83173,45.79327,20061900,25.405014
"2001-01-19",45.973557,46.27404,44.83173,45.192307,20134500,25.071615
"2001-01-22",45.072117,45.552883,43.689903,43.990383,21519500,24.404808
"2001-01-23",44.71154,45.3125,44.35096,44.891827,21966400,24.904913
"2001-01-24",44.71154,45.372597,44.05048,44.53125,19910900,24.704868
"2001-01-25",44.591347,45.372597,44.05048,44.170673,21644500,24.504841
"2001-01-26",44.651443,45.01202,42.848557,42.908653,27932800,23.804703
"2001-01-29",43.14423,44.471153,42.307693,42.673077,23948200,23.674004
"2001-01-30",43.03846,44.490383,42.71154,44.471153,20636800,24.671528
"2001-01-31",44.951923,45.14423,43.807693,44.21154,22199900,24.527504
"2001-02-01",44.71154,44.932693,44.134617,44.451923,18290300,24.660852
"2001-02-02",44.471153,45.096153,44.08654,44.5,16682100,24.687538
"2001-02-05",44.596153,46.25,44.278847,46.009617,22720800,25.525024
"2001-02-06",46.009617,46.240383,45.384617,45.76923,16601100,25.391676
"2001-02-07",45.83654,45.96154,44.826923,45.14423,13552300,25.044933
"2001-02-08",45.91346,46.298077,45.221153,45.326923,18416800,25.146296
"2001-02-09",45.326923,45.33654,43.64423,43.903847,19217800,24.356798
"2001-02-12",43.903847,45.98077,43.903847,45.682693,18671300,25.343655
"2001-02-13",45.826923,46.14423,45.317307,45.346153,14894900,25.15696
"2001-02-14",45.346153,45.375,44.346153,44.48077,13769200,24.67687
"2001-02-15",44.51923,46.25,44.375,46.134617,24972000,25.594387
"2001-02-16",44.71154,45.509617,44.48077,45.192307,17593600,25.071615
"2001-02-20",45.384617,46.451923,45.35577,45.85577,20833500,25.439684
"2001-02-21",45.865383,46.58654,45.403847,45.48077,19237400,25.231636
"2001-02-22",45.528847,45.673077,44.28846,45.28846,23817300,25.124969
"2001-02-23",44.759617,45.192307,43.28846,44.403847,24303200,24.634188
"2001-02-26",45.192307,46.16346,44.423077,46.134617,21916500,25.594387
"2001-02-27",45.653847,46.153847,45.192307,46.153847,23482000,25.605043
"2001-02-28",46.153847,46.384617,43.846153,44.71154,27615500,24.804888
"2001-03-01",43.75,44.298077,43.182693,44.14423,24916100,24.490156
"2001-03-02",43.60577,43.903847,42.807693,42.85577,22860300,23.775352
"2001-03-05",43.028847,43.615383,42.884617,43.346153,17338700,24.134045
"2001-03-06",44.471153,44.807693,43.576923,43.673077,16319200,24.316074
"2001-03-07",43.721153,44.48077,43.721153,44.21154,14445000,24.615879
"2001-03-08",44.375,44.576923,43.26923,44.10577,17234900,24.556984
"2001-03-09",43.509617,43.625,41.778847,42.125,20686900,23.45413
"2001-03-12",41.346153,41.634617,37.115383,38.076923,47536600,21.200279
"2001-03-13",39.903847,40.865383,39.182693,40.701923,44657200,22.661808
"2001-03-14",39.182693,40.625,38.557693,39.451923,36854500,21.965836
"2001-03-15",39.903847,40.240383,39.134617,39.5,25841600,21.992613
"2001-03-16",38.846153,40.14423,38.557693,39.03846,46645000,21.735632
"2001-03-19",39.134617,40.01923,38.60577,39.51923,21665000,22.003319
"2001-03-20",39.903847,40.48077,38.46154,38.509617,23217300,21.441187
"2001-03-21",38.509617,39.03846,37.375,37.5,27914400,20.879063
"2001-03-22",37.259617,37.317307,35.01923,36.25,58179000,20.183077
"2001-03-23",37.259617,38.451923,36.682693,38.451923,47566000,21.409067
"2001-03-26",38.942307,39.423077,38.509617,38.682693,32389600,21.537548
"2001-03-27",39.182693,40.615383,38.990383,40.298077,38014300,22.436958
"2001-03-28",39.66346,40,39.23077,39.951923,27938400,22.244228
"2001-03-29",39.71154,39.884617,39.134617,39.807693,28043200,22.163925
"2001-03-30",40.14423,40.307693,39.634617,40.25,30605200,22.410187
"2001-04-02",39.923077,41.009617,39.307693,40.192307,25218300,22.378057
"2001-04-03",39.951923,39.990383,37.75,38.153847,24543200,21.243099
"2001-04-04",38.028847,39.326923,37.53846,38.076923,27904500,21.200279
"2001-04-05",39.423077,40.625,39.03846,40.48077,24746400,22.538671
"2001-04-06",39.951923,40.096153,38.798077,39.58654,25639300,22.040787
"2001-04-09",39.846153,40.76923,39.634617,40.384617,18492500,22.485149
"2001-04-10",41.10577,43.778847,40.96154,42.14423,27155500,23.464849
"2001-04-11",42.692307,42.78846,41.10577,41.60577,20953800,23.165045
