"","GD.Open","GD.High","GD.Low","GD.Close","GD.Volume","GD.Adjusted"
"2001-01-02",39.09375,39.09375,37.40625,37.53125,2653800,23.654999
"2001-01-03",37.53125,37.53125,36.0625,36.46875,2961800,22.985336
"2001-01-04",36.46875,36.46875,33.75,34.65625,4954200,21.842958
"2001-01-05",34.59375,35.1875,34.3125,34.59375,2352800,21.803568
"2001-01-08",34.53125,34.96875,34.5,34.78125,1317200,21.921745
"2001-01-09",34.71875,35.3125,34.6875,34.90625,1227200,22.000536
"2001-01-10",34.9375,36.0625,34.65625,35,2106000,22.059614
"2001-01-11",34.9375,35,34.1875,34.21875,1876000,21.567219
"2001-01-12",34.25,34.5,33.65625,33.78125,1801600,21.29147
"2001-01-16",33.96875,34.5,33.375,34.3125,1666200,21.62631
"2001-01-17",34.21875,34.59375,32.6875,33.375,2158200,21.196033
"2001-01-18",33.5,34.28125,33.5,33.9375,2372800,21.55327
"2001-01-19",34,34.625,33.71875,34.1875,1576600,21.712048
"2001-01-22",34.3125,35.0625,34.03125,34.96875,1443400,22.2082
"2001-01-23",34.96875,35.03125,34.5,34.6875,1226000,22.029589
"2001-01-24",34.96875,35.4375,34.625,34.9375,2170200,22.188366
"2001-01-25",34.9375,36.4375,34.90625,36.1875,3306400,22.982214
"2001-01-26",36.25,36.375,35.65625,35.875,1019000,22.78376
"2001-01-29",35.575001,35.599998,35,35.400002,1347600,22.482077
"2001-01-30",35.450001,35.450001,35.049999,35.34,1708600,22.443977
"2001-01-31",35.375,35.634998,35.349998,35.490002,2576800,22.539249
"2001-02-01",35.5,35.5,34.634998,34.965,1710200,22.205818
"2001-02-02",34.994999,35.044998,34.75,34.939999,2064600,22.189947
"2001-02-05",34.650002,34.830002,33.575001,34.049999,2425000,21.62472
"2001-02-06",34.174999,34.174999,33.5,33.650002,1766000,21.370678
"2001-02-07",33.650002,33.650002,32.5,32.93,2945800,20.913422
"2001-02-08",33.424999,34,33.349998,33.740002,3000400,21.427839
"2001-02-09",33.75,33.880001,33.150002,33.375,1483400,21.196033
"2001-02-12",33.380001,33.400002,32.705002,33.205002,2297200,21.088074
"2001-02-13",33.625,34.375,33.450001,34.125,2029800,21.672346
"2001-02-14",34.5,34.645,34.224998,34.575001,1981600,21.958149
"2001-02-15",34.400002,34.544998,34.099998,34.455002,2667600,21.881927
"2001-02-16",34.799999,35.375,34.105,35.294998,2281400,22.415403
"2001-02-20",35.400002,35.470001,34.775002,34.994999,1735000,22.224869
"2001-02-21",34.994999,35.525002,34.759998,34.904999,1894800,22.167717
"2001-02-22",34.974998,35.075001,34.125,34.465,917600,21.888273
"2001-02-23",34.465,34.689999,34,34.685001,1680600,22.028004
"2001-02-26",34.685001,35.375,34.634998,35.34,1296000,22.443977
"2001-02-27",34.950001,35.25,34.830002,34.860001,1632600,22.139141
