"","EOG.Open","EOG.High","EOG.Low","EOG.Close","EOG.Volume","EOG.Adjusted"
"2001-01-02",13.609375,13.875,13.15625,13.390625,8253200,12.020159
"2001-01-03",13.25,13.46875,12.140625,12.25,10621200,10.996274
"2001-01-04",12.25,12.359375,11.375,11.59375,14894000,10.407187
"2001-01-05",11.84375,12.109375,11.59375,11.953125,6247200,10.729782
"2001-01-08",12,12.609375,12,12.28125,7047200,11.024322
"2001-01-09",12.4375,12.453125,11.890625,12.09375,7630000,10.85601
"2001-01-10",12.125,12.59375,12.09375,12.171875,4845600,10.926145
"2001-01-11",12.3125,12.484375,11.84375,11.90625,4665600,10.687701
"2001-01-12",11.875,11.875,11.59375,11.703125,6849600,10.513089
"2001-01-16",11.4375,12.078125,11.375,11.984375,4787200,10.765742
"2001-01-17",11.921875,11.921875,11.078125,11.171875,7710800,10.035863
"2001-01-18",10.9375,10.9375,10.265625,10.875,14735600,9.769176
"2001-01-19",10.75,11.1875,10.546875,11.0625,9270400,9.937612
"2001-01-22",11.0625,11.375,11.0625,11.25,3670000,10.106038
"2001-01-23",11.328125,11.609375,11.3125,11.5,5634400,10.330623
"2001-01-24",11.515625,11.734375,11.375,11.5,6909600,10.330623
"2001-01-25",11.5,11.890625,11.453125,11.828125,3667600,10.625381
"2001-01-26",11.765625,11.953125,11.640625,11.71875,4761200,10.527129
"2001-01-29",11.7175,11.875,11.345,11.345,3847600,10.191382
"2001-01-30",11.3475,11.3975,10.93,11.125,4783200,9.993755
"2001-01-31",11.125,11.31,10.875,10.935,6278000,9.823077
"2001-02-01",11.0375,11.12,10.55,10.8125,4325600,9.713033
"2001-02-02",10.875,11.375,10.875,11.3625,7096000,10.207106
"2001-02-05",11.075,11.5375,11.075,11.3125,3293200,10.162187
"2001-02-06",11.4375,11.6875,11.245,11.5275,3076800,10.355328
"2001-02-07",11.725,11.95,11.315,11.84,4278000,10.636052
"2001-02-08",11.75,11.9375,11.5,11.525,2854400,10.353082
"2001-02-09",11.5275,11.9925,11.4975,11.8675,3979200,10.660757
"2001-02-12",12.1375,12.1875,11.55,11.6425,3979200,10.458636
"2001-02-13",11.4625,11.835,11.375,11.79,3431600,10.591133
"2001-02-14",11.8,12.08,11.75,11.7675,3619200,10.570922
"2001-02-15",11.765,11.765,11.25,11.325,4911200,10.17342
"2001-02-16",11.575,11.8,11.4325,11.51,4524400,10.339605
"2001-02-20",11.5125,11.6875,11.4375,11.46,3381200,10.294692
"2001-02-21",11.575,11.8125,11.175,11.175,6849600,10.038674
"2001-02-22",11.2375,11.325,11,11.025,3140400,9.903923
"2001-02-23",11.0275,11.22,10.775,10.8975,3176400,9.789388
"2001-02-26",10.9625,11.125,10.8875,11.07,4626000,9.944348
"2001-02-27",11.06,11.2375,11.0375,11.0925,2584400,9.964557
"2001-02-28",11.0925,11.0925,10.75,10.9,3330000,9.791633
"2001-03-01",10.8125,10.9875,10.75,10.91,4851200,9.800612
"2001-03-02",11.075,11.3075,10.975,11.275,9336000,10.128501
"2001-03-05",11.4,11.625,11.375,11.43,2931200,10.267739
"2001-03-06",11.6,11.725,11.575,11.5875,4499600,10.409226
"2001-03-07",11.8875,12.3,11.825,12.195,8378800,10.954949
"2001-03-08",12.425,12.5775,11.95,12.5625,5651200,11.285083
"2001-03-09",12.5,12.675,12.36,12.6025,6679200,11.321013
"2001-03-12",12.475,12.5,11.855,11.875,4880800,10.667486
"2001-03-13",11.8725,11.8975,11.4925,11.73,6553200,10.537238
"2001-03-14",11.45,11.6375,11.3,11.3875,4060400,10.229563
"2001-03-15",11.6,11.625,11.125,11.1975,3136400,10.058885
"2001-03-16",11.125,11.3475,11.065,11.2,4697600,10.061127
"2001-03-19",11.15,11.4975,11.15,11.4175,2903600,10.256511
"2001-03-20",11.48,11.8725,11.365,11.675,5006800,10.487826
"2001-03-21",11.7,11.7325,10.975,11.025,5675600,9.903923
"2001-03-22",11.025,11.0375,10.4,10.71,4847600,9.620955
"2001-03-23",10.735,11.0625,10.625,10.87,3486400,9.764685
"2001-03-26",10.8725,11.0625,10.8,10.8575,4236000,9.753461
"2001-03-27",10.875,10.955,10.5125,10.585,11815600,9.508667
"2001-03-28",10.625,10.735,10.4,10.485,2657200,9.418833
"2001-03-29",10.3125,10.315,9.825,10.0225,6588000,9.003364
"2001-03-30",10.0225,10.3625,10.0225,10.3075,5249200,9.259379
"2001-04-02",10.37,10.4,9.8575,9.915,8120800,8.906793
"2001-04-03",9.9125,9.925,9.415,9.4725,5719600,8.509291
"2001-04-04",9.625,9.8925,9.475,9.785,7132400,8.790011
"2001-04-05",9.8,10.105,9.725,10.0825,8214800,9.057263
"2001-04-06",10.1,10.12,9.7875,10.0875,3359200,9.061752
"2001-04-09",10.275,10.5,10.275,10.5,2413600,9.43231
"2001-04-10",10.65,10.785,10.505,10.7425,4311600,9.650152
"2001-04-11",10.925,10.925,10.64,10.66,3938000,9.584958
"2001-04-12",10.7225,10.875,10.6625,10.84,3683600,9.746807
"2001-04-16",10.825,11.2125,10.825,11.1525,3398800,10.027793
"2001-04-17",11.15,11.35,11,11.3275,5079600,10.185144
"2001-04-18",11.33,11.4575,11.1,11.1225,8219600,10.000819
"2001-04-19",11.06,11.075,10.4375,10.815,8235200,9.724331
"2001-04-20",10.7875,11.025,10.6875,10.925,3693600,9.823236
"2001-04-23",11,11.7375,10.975,11.725,9175200,10.542557
"2001-04-24",11.5625,11.9,11.5625,11.6625,6566400,10.486362
"2001-04-25",11.875,11.9975,11.7125,11.9225,5232000,10.720137
"2001-04-26",12.15,12.255,11.9575,11.9575,4258000,10.751613
"2001-04-27",11.96,11.9975,11.6875,11.825,4216000,10.63247
"2001-04-30",11.8,12,11.35,11.5975,5856800,10.427916
"2001-05-01",11.56,11.56,11.25,11.3625,7300000,10.216618
"2001-05-02",11.25,11.2525,10.6025,10.61,9256000,9.540002
"2001-05-03",10.625,10.8,10.2875,10.5275,6272400,9.465824
"2001-05-04",10.5625,11,10.5625,10.9075,6524400,9.8075
"2001-05-07",11.1,11.15,10.8875,10.9125,5735200,9.812003
"2001-05-08",10.9375,11.05,10.7825,11,2998000,9.890674
"2001-05-09",11,11.3,11,11.3,3400000,10.160419
"2001-05-10",11.275,11.35,11.1,11.145,4598000,10.021054
"2001-05-11",11.15,11.15,11.0275,11.1025,4509200,9.982838
"2001-05-14",11.2675,11.3625,11.1625,11.3625,3010000,10.216618
"2001-05-15",11.3625,11.8625,11.3625,11.79,5835600,10.601003
"2001-05-16",11.85,12.1225,11.8,11.82,7744400,10.627974
"2001-05-17",11.6275,12.1,11.5375,12.0225,5707200,10.810055
"2001-05-18",12.0225,12.3725,12.0125,12.305,3606400,11.064067
"2001-05-21",12.33,12.465,12.3075,12.445,3418800,11.189944
"2001-05-22",12.4375,12.4375,12.1775,12.345,4126000,11.100034
"2001-05-23",12.125,12.2,11.675,11.6925,9073600,10.513332
"2001-05-24",11.445,11.575,11.25,11.4975,9324400,10.338001
"2001-05-25",11.375,11.525,11.275,11.37,5101600,10.223359
"2001-05-29",11.49,11.625,11.1625,11.28,3372000,10.142435
"2001-05-30",11.28,11.28,10.875,11.25,6669200,10.11546
