"","EOG.Open","EOG.High","EOG.Low","EOG.Close","EOG.Volume","EOG.Adjusted"
"2001-05-31",11.1875,11.32,11.0275,11.2225,4746000,10.090734
"2001-06-01",11.2625,11.3625,10.95,11.25,3074000,10.11546
"2001-06-04",11.4375,11.5175,11.3625,11.4075,2226800,10.257077
"2001-06-05",11.1875,11.3525,11.17,11.2625,5043200,10.126698
"2001-06-06",11.125,11.1275,10.375,10.44,11105200,9.387149
"2001-06-07",10.44,10.44,10.2125,10.29,12032400,9.252277
"2001-06-08",10.41,10.4625,9.98,10.3325,7369200,9.290486
"2001-06-11",10.425,10.5375,10.25,10.47,6295200,9.414122
"2001-06-12",10.7,10.8125,10.555,10.6875,6145200,9.609685
"2001-06-13",10.775,10.935,10.3775,10.395,4375600,9.346688
"2001-06-14",10.3975,10.3975,10.1875,10.205,3242000,9.175844
"2001-06-15",10.0525,10.3625,10.0525,10.18,2508000,9.153368
"2001-06-18",10.175,10.175,9.86,9.875,6752000,8.879124
"2001-06-19",10,10,9.8075,9.9675,6956400,8.962297
"2001-06-20",9.9975,10.12,9.745,9.7775,4713600,8.791461
"2001-06-21",9.84,9.85,9,9.2375,7860400,8.30592
"2001-06-22",9.275,9.525,9.0875,9.505,7061600,8.546439
"2001-06-25",9.35,9.575,9.35,9.3825,6090800,8.436296
"2001-06-26",9.375,9.525,9.25,9.49,4338000,8.532953
"2001-06-27",9.365,9.365,9.1,9.1775,4978800,8.251967
"2001-06-28",9.2025,9.2025,8.7275,8.785,7068000,7.899049
"2001-06-29",8.975,9.0475,8.8,8.8875,6892800,7.991216
"2001-07-02",9.0125,9.025,8.625,8.715,4527600,7.83611
"2001-07-03",8.715,8.8975,8.7,8.845,3196000,7.953
"2001-07-05",8.85,9.2,8.85,9.0125,3009200,8.103606
"2001-07-06",9.1225,9.2475,8.885,9.2,2991600,8.272203
"2001-07-09",9.15,9.15,8.825,8.85,6753200,7.957496
"2001-07-10",8.925,9,8.6875,8.74,10427200,7.85859
"2001-07-11",8.5625,8.5625,8.15,8.4375,6388000,7.586595
"2001-07-12",8.4625,8.625,8.18,8.315,5466400,7.47645
"2001-07-13",8.275,8.6525,8.2125,8.4975,3511600,7.649744
"2001-07-16",8.3725,8.575,8.085,8.1525,3558800,7.339163
"2001-07-17",7.875,8.1,7.875,7.955,8650800,7.161368
"2001-07-18",7.9575,7.9725,7.7,7.8325,5303600,7.05109
"2001-07-19",7.85,7.985,7.75,7.8675,3556000,7.082598
"2001-07-20",7.905,8.0875,7.8875,8.03,5237200,7.228884
"2001-07-23",8.125,8.24,8,8.025,4372000,7.224384
"2001-07-24",8.03,8.03,7.7,7.72,3461600,6.949812
"2001-07-25",7.855,8.47,7.6875,8.4675,7194000,7.622737
"2001-07-26",8.5,8.6875,8.44,8.625,5642800,7.764522
"2001-07-27",8.75,9.125,8.485,9.0975,6578400,8.189887
"2001-07-30",8.95,9.2225,8.8475,8.85,5908000,7.967077
"2001-07-31",9.125,9.125,8.625,8.8375,4961200,7.955825
"2001-08-01",8.925,9.0725,8.6,8.65,6032400,7.787027
"2001-08-02",8.6875,8.825,8.525,8.8,4145200,7.922065
"2001-08-03",8.75,8.7725,8.525,8.5925,2132800,7.735268
"2001-08-06",8.5675,8.705,8.41,8.48,2708400,7.633992
"2001-08-07",8.5,8.6175,8.4025,8.4025,2272000,7.564222
"2001-08-08",8.4375,8.5125,8.0275,8.0425,2886000,7.240139
"2001-08-09",8.0425,8.155,7.94,8.0375,3616000,7.235635
"2001-08-10",8.0625,8.2375,8.0125,8.1275,1857600,7.316658
"2001-08-13",8,8.3225,8,8.18,5830000,7.363921
"2001-08-14",8.375,8.375,8.2775,8.375,3488400,7.539465
"2001-08-15",8.325,9.0525,8.325,9.05,8561200,8.147124
"2001-08-16",9.0375,9.04,8.77,9.02,7024800,8.120115
"2001-08-17",9.02,9.02,8.625,8.815,2636400,7.935571
"2001-08-20",8.8125,8.815,8.525,8.5375,2693200,7.685755
"2001-08-21",8.625,8.6475,8.4625,8.525,1725600,7.674496
"2001-08-22",8.6125,8.925,8.375,8.4275,4884400,7.586732
"2001-08-23",8.4775,8.4775,8.2875,8.3175,5970800,7.487703
"2001-08-24",8.255,8.3,8.1,8.185,3474000,7.368421
"2001-08-27",8.1875,8.2275,8.0375,8.13,4073600,7.318908
"2001-08-28",8.0675,8.14,8.025,8.035,3018000,7.233386
"2001-08-29",8.12,8.195,7.875,8.05,4306000,7.246888
"2001-08-30",8.1,8.11,7.7525,7.895,6051200,7.107351
"2001-08-31",7.895,7.9875,7.8125,7.905,3770800,7.116357
"2001-09-04",8.125,8.1375,8,8.125,3626800,7.314405
"2001-09-05",8.0625,8.065,7.815,7.9375,6250800,7.145613
"2001-09-06",7.95,8.225,7.8875,8.145,3097600,7.332412
"2001-09-07",8.075,8.275,8.025,8.1675,3075600,7.352664
"2001-09-10",8.08,8.27,8.055,8.1825,4176800,7.366169
"2001-09-17",8.2,8.2975,7.675,7.6925,4968800,6.925057
"2001-09-18",7.4925,7.66,7.1575,7.2475,6273600,6.52445
"2001-09-19",7.2475,7.3,6.755,7.0225,7279200,6.321899
"2001-09-20",6.9875,7.245,6.9025,6.9725,4937600,6.276887
"2001-09-21",6.6875,7.145,6.6625,7.0975,4749600,6.389414
"2001-09-24",7.475,7.475,6.775,6.7875,9009200,6.110342
"2001-09-25",6.7525,6.825,6.575,6.6675,5164000,6.002314
"2001-09-26",6.7475,6.75,6.545,6.66,5196800,5.995563
"2001-09-27",6.45,6.925,6.45,6.825,6070400,6.144103
"2001-09-28",7.0375,7.3525,6.985,7.2325,4646800,6.510948
"2001-10-01",7.1525,7.1875,6.9125,7.06,5650400,6.35566
"2001-10-02",6.975,7.25,6.975,7.225,2577200,6.504198
"2001-10-03",7.05,7.45,7.0025,7.385,4257600,6.648232
"2001-10-04",7.4425,7.9,7.4425,7.78,4872000,7.003828
"2001-10-05",7.875,7.9325,7.675,7.8675,5476800,7.082598
"2001-10-08",7.855,8.15,7.775,8.005,3940800,7.206381
"2001-10-09",8.0025,8.1325,7.8275,8.0375,3540400,7.235635
"2001-10-10",8.05,8.5,8.05,8.5,5016000,7.651994
"2001-10-11",8.5,8.6625,8.3475,8.495,3843200,7.647496
"2001-10-12",8.5,8.625,8.275,8.5025,4282800,7.654244
"2001-10-15",8.5,8.5,8.0625,8.225,3646800,7.413151
"2001-10-16",8.25,8.6225,8.25,8.5225,3622000,7.681284
"2001-10-17",8.6475,8.8,8.475,8.4975,6595200,7.658752
"2001-10-18",8.3,8.3625,8.1625,8.2925,4246800,7.473988
"2001-10-19",8.125,8.5525,8.015,8.5,4238800,7.661004
"2001-10-22",8.375,8.6225,8.3475,8.5975,4129600,7.74888
"2001-10-23",8.5475,8.9425,8.4125,8.575,7611600,7.728603
"2001-10-24",8.575,8.825,8.43,8.7225,27489200,7.861543
"2001-10-25",8.7225,9.225,8.7,9.2225,14452000,8.312193
"2001-10-26",9.025,9.625,9.025,9.425,14991200,8.494699
"2001-10-29",9.85,9.85,9.4725,9.4775,13771200,8.542019
"2001-10-30",9.275,9.2775,8.7475,8.895,12000400,8.017019
"2001-10-31",8.8475,9.115,8.5125,8.8425,5996800,7.969699
"2001-11-01",8.775,9.025,8.6625,8.9925,4149600,8.104893
"2001-11-02",8.9425,8.9675,8.6,8.645,5805600,7.791693
"2001-11-05",8.525,8.6575,8.425,8.4575,3276400,7.6227
"2001-11-06",8.325,8.525,8.225,8.515,3922000,7.674521
"2001-11-07",8.375,8.8925,8.375,8.82,6844000,7.94942
"2001-11-08",8.875,9,8.8125,8.8325,4969600,7.96068
"2001-11-09",9.05,9.5,9.025,9.1525,4692400,8.249103
"2001-11-12",9.1,9.1225,8.7975,9.025,4659600,8.134182
"2001-11-13",9.0275,9.065,8.825,9.02,2283600,8.129683
"2001-11-14",8.75,8.775,8.49,8.5025,6393200,7.663258
"2001-11-15",8.25,8.2525,7.625,7.9475,10120800,7.163039
"2001-11-16",7.9475,8.245,7.815,8.1825,4586000,7.374844
"2001-11-19",8.1325,8.25,7.8775,8.1875,4305600,7.37935
"2001-11-20",8.35,8.7,8.35,8.61,6112400,7.760144
"2001-11-21",8.6,8.75,8.44,8.58,6645200,7.733107
"2001-11-23",8.475,8.825,8.45,8.785,2258000,7.917872
"2001-11-26",8.66,8.6875,8.475,8.65,6841600,7.796198
"2001-11-27",8.525,8.85,8.5,8.645,4650000,7.791693
"2001-11-28",8.475,8.9125,8.325,8.5925,17070000,7.744375
"2001-11-29",8.65,8.8125,8.5875,8.795,6272000,7.926888
"2001-11-30",8.7925,8.815,8.4475,8.745,12771600,7.88182
"2001-12-03",8.375,9.05,8.35,9.005,7028400,8.116164
"2001-12-04",9,9.325,8.9375,9.3075,8112000,8.388803
"2001-12-05",9.75,9.915,9.6025,9.7775,13107200,8.812413
"2001-12-06",9.7775,9.7775,9.5175,9.65,5495200,8.697494
"2001-12-07",9.5,9.6225,9.38,9.54,5978800,8.598351
"2001-12-10",9.25,9.4375,9.25,9.34,3517600,8.418095
"2001-12-11",9.3375,9.34,8.9725,9.1,7650800,8.201782
"2001-12-12",8.85,8.92,8.6625,8.9175,5752000,8.037294
"2001-12-13",8.75,8.9725,8.6,8.805,4260000,7.935897
"2001-12-14",8.85,9.1075,8.745,9.03,3004400,8.138694
"2001-12-17",9.1375,9.1525,8.915,8.95,3640000,8.066587
"2001-12-18",8.8,9.2,8.79,9.1725,3732800,8.267125
"2001-12-19",9.1725,9.4325,9.135,9.3975,3374800,8.469919
"2001-12-20",9.325,9.575,9.2925,9.3,4220800,8.382041
"2001-12-21",9.425,9.5,9.3775,9.3775,3864800,8.451891
"2001-12-24",9.5375,9.5725,9.45,9.4775,1420000,8.542019
"2001-12-26",9.7275,9.7825,9.6275,9.75,7409200,8.787623
"2001-12-27",9.7,9.86,9.6375,9.7425,3221200,8.780865
"2001-12-28",9.7425,9.91,9.7025,9.8125,2848000,8.843953
"2001-12-31",9.75,9.89,9.7,9.7775,2345200,8.812413
"2002-01-02",9.55,9.6025,9.265,9.5225,4561600,8.582582
"2002-01-03",9.475,9.5,9.285,9.3375,3991600,8.415835
"2002-01-04",9.375,9.475,9.2875,9.4475,4360400,8.514982
"2002-01-07",9.4125,9.5975,9.3575,9.53,4524400,8.589338
"2002-01-08",9.4125,9.5075,9.175,9.4325,4264800,8.501462
"2002-01-09",9.3675,9.425,9.2575,9.375,5834000,8.449641
"2002-01-10",9.375,9.375,9.1875,9.28,4418400,8.364016
"2002-01-11",9.05,9.125,8.9075,8.9075,3900400,8.028283
"2002-01-14",8.6,8.77,8.525,8.65,9906000,7.796198
"2002-01-15",8.7,8.84,8.68,8.775,5401600,7.918016
"2002-01-16",8.6875,8.725,8.4725,8.5875,7443600,7.748825
"2002-01-17",8.6575,8.6575,8.2775,8.4,5520400,7.579638
"2002-01-18",8.405,8.4375,8.105,8.1875,11287600,7.387892
"2002-01-22",8.5,8.5,8.125,8.175,3518400,7.376612
"2002-01-23",8.2,8.4625,8.1675,8.3925,4778000,7.572873
"2002-01-24",8.375,8.5975,8.35,8.535,3725600,7.70145
"2002-01-25",8.55,8.6575,8.47,8.5675,4284800,7.730784
"2002-01-28",8.6925,8.7175,8.28,8.2925,4206800,7.482639
"2002-01-29",8.2925,8.2925,7.9025,7.985,5836800,7.20517
"2002-01-30",7.7975,8.32,7.625,8.225,10376400,7.421728
"2002-01-31",8.355,8.5925,8.295,8.4975,4880800,7.667618
"2002-02-01",8.4975,8.575,8.1925,8.3175,6167600,7.505193
"2002-02-04",8.2825,8.375,8.1375,8.2525,4694400,7.446544
"2002-02-05",8.2825,8.3125,8.0475,8.21,3127600,7.408197
"2002-02-06",8.26,8.4,8.1275,8.1725,1988400,7.374358
"2002-02-07",8.1375,8.14,7.94,7.95,2368400,7.173587
"2002-02-08",7.925,8.05,7.79,8.0475,4426800,7.261565
"2002-02-11",8.0225,8.325,7.975,8.2675,2796400,7.460075
"2002-02-12",8.1625,8.225,8.04,8.1,2726400,7.308938
"2002-02-13",8.0375,8.1625,7.9375,8.1325,2482000,7.338265
"2002-02-14",8.055,8.3475,8.01,8.245,3496400,7.439774
"2002-02-15",8.245,8.25,8.075,8.1625,3966400,7.365335
"2002-02-19",8.075,8.285,8.0075,8.205,2703200,7.403686
"2002-02-20",8.225,8.2475,8.0175,8.11,3503200,7.317959
"2002-02-21",8.15,8.4125,8.15,8.3275,3438000,7.51422
"2002-02-22",8.3525,8.5625,8.325,8.505,3172000,7.674383
"2002-02-25",8.4525,8.7675,8.4525,8.72,3995200,7.868388
"2002-02-26",8.745,8.7475,8.5625,8.655,3006800,7.809732
"2002-02-27",8.68,8.725,8.5925,8.625,2803600,7.782664
"2002-02-28",8.6625,8.925,8.63,8.7975,6206800,7.938318
"2002-03-01",8.875,8.875,8.675,8.7875,2804800,7.929297
"2002-03-04",8.8125,8.9975,8.8125,8.925,5098400,8.053366
"2002-03-05",8.975,9.0225,8.8875,8.9775,3886800,8.100739
"2002-03-06",9.125,9.525,9.0325,9.4875,6314800,8.560928
"2002-03-07",9.65,9.9175,9.6125,9.7475,7192000,8.79554
"2002-03-08",9.75,9.825,9.655,9.74,8809200,8.788776
"2002-03-11",9.875,9.9925,9.7625,9.8725,3783600,8.908334
"2002-03-12",9.75,9.895,9.725,9.8875,4924400,8.92187
"2002-03-13",9.925,10.045,9.9,9.9575,7961600,8.985027
"2002-03-14",9.9575,9.9575,9.6575,9.8375,3557600,8.87675
"2002-03-15",9.75,9.9125,9.7425,9.8125,4609200,8.854192
"2002-03-18",9.9125,9.975,9.8,9.97,4224400,8.996308
"2002-03-19",10,10.2125,9.9975,10.1925,3495600,9.197082
"2002-03-20",10.1725,10.2475,10.005,10.1075,3099600,9.120375
"2002-03-21",10.03,10.33,10.005,10.2875,2851600,9.282805
"2002-03-22",10.2,10.25,10,10.04,4213600,9.059473
"2002-03-25",9.9,10.1725,9.8775,9.97,2678000,8.996308
"2002-03-26",9.8875,10.0425,9.765,9.825,2808000,8.865465
"2002-03-27",9.8725,10.225,9.8725,10.1675,2808800,9.174519
"2002-03-28",10.17,10.255,10.055,10.14,3432000,9.149705
"2002-04-01",10.215,10.3925,10.215,10.3475,2731200,9.336943
"2002-04-02",10.4725,10.6225,10.4,10.5825,4323200,9.548991
"2002-04-03",10.475,10.4775,10.2025,10.2775,3335600,9.27378
"2002-04-04",10.3,10.4675,9.84,9.9275,3795600,8.95796
"2002-04-05",9.99,10.05,9.675,9.8125,2259200,8.854192
"2002-04-08",9.975,10.27,9.9125,10.0575,1640000,9.075266
"2002-04-09",10.06,10.06,9.7275,9.7575,2324800,8.804565
"2002-04-10",9.7575,10.075,9.7375,10.0275,1749200,9.048197
"2002-04-11",9.965,10.17,9.85,10.0075,2887600,9.03015
"2002-04-12",9.775,9.845,9.4325,9.5075,3609600,8.58756
"2002-04-15",9.7,9.87,9.7,9.7325,2804000,8.79079
"2002-04-16",9.775,9.87,9.7,9.7125,3043200,8.772725
"2002-04-17",9.815,10.0975,9.8,10.035,4204000,9.064016
"2002-04-18",10.1925,10.265,10.0625,10.1625,2611600,9.17918
"2002-04-19",10.165,10.37,10.05,10.3275,3096400,9.328218
"2002-04-22",10.3025,10.42,10.2625,10.335,3533600,9.334991
"2002-04-23",10.335,10.58,10.26,10.425,3115600,9.416279
"2002-04-24",10.25,10.3975,10.2325,10.2525,3294800,9.260472
"2002-04-25",10.2875,10.5625,10.175,10.4425,3359200,9.432088
"2002-04-26",10.46,10.55,10.3875,10.5325,2897600,9.51338
"2002-04-29",10.5275,10.59,10.335,10.5275,1563600,9.50886
"2002-04-30",10.59,10.7375,10.5,10.6375,3080400,9.608223
"2002-05-01",10.325,10.6475,10.3,10.64,4236400,9.610479
"2002-05-02",10.5625,10.8,10.505,10.8,2901200,9.754996
"2002-05-03",10.8425,11.025,10.7925,10.9425,3870400,9.883712
"2002-05-06",10.8,10.8025,10.5225,10.555,5366000,9.533704
"2002-05-07",10.575,10.63,10.4375,10.595,2861200,9.569833
"2002-05-08",10.75,10.8875,10.7,10.865,2126800,9.81371
"2002-05-09",10.8,10.9025,10.67,10.6775,2115200,9.644351
"2002-05-10",10.73,10.775,10.6475,10.6875,1789600,9.653385
"2002-05-13",10.6125,10.91,10.575,10.91,1897200,9.854354
"2002-05-14",11,11.0375,10.895,10.925,4055200,9.867907
"2002-05-15",10.81,10.8675,10.6125,10.6525,3450000,9.621775
"2002-05-16",10.6525,10.8575,10.6525,10.8225,2520000,9.775317
"2002-05-17",10.6875,10.715,10.4925,10.6,4073600,9.57435
"2002-05-20",10.5375,10.71,10.48,10.675,1949200,9.642095
"2002-05-21",10.575,10.7975,10.5625,10.6275,2787200,9.599187
"2002-05-22",10.63,10.7525,10.56,10.7525,3114800,9.712092
"2002-05-23",10.8375,10.8375,10.6475,10.785,1988400,9.741452
"2002-05-24",10.65,10.7225,10.495,10.5375,2731600,9.517894
"2002-05-28",10.5375,10.5875,10.3775,10.455,1764400,9.44338
"2002-05-29",10.305,10.4875,10.265,10.46,2674800,9.447898
"2002-05-30",10.3975,10.4375,10.0975,10.1775,3001600,9.192729
"2002-05-31",10.255,10.4325,10.25,10.25,2980000,9.258215
"2002-06-03",10.285,10.285,9.94,10.0275,2884000,9.057245
"2002-06-04",10.05,10.075,9.8425,9.955,3129600,8.991763
"2002-06-05",9.825,9.905,9.78,9.89,2780400,8.933051
"2002-06-06",9.975,10.15,9.7,9.815,3050400,8.865301
"2002-06-07",9.815,9.985,9.7525,9.9475,2970800,8.984983
"2002-06-10",9.925,9.98,9.6075,9.6075,2596000,8.677881
"2002-06-11",9.65,9.7325,9.3675,9.4425,3304400,8.528843
"2002-06-12",9.5375,9.6075,9.425,9.4625,3863600,8.546911
"2002-06-13",9.5,9.61,9.3625,9.5125,4900000,8.592077
"2002-06-14",9.475,9.615,9.2775,9.5825,4630800,8.655306
"2002-06-17",9.755,9.8625,9.7175,9.8025,1826400,8.854016
"2002-06-18",9.8025,9.885,9.7575,9.7875,2447600,8.840466
"2002-06-19",9.8625,9.9375,9.675,9.76,3892400,8.815627
"2002-06-20",9.8125,9.9225,9.73,9.745,5856000,8.802077
"2002-06-21",9.8075,9.85,9.5375,9.695,3721200,8.756914
"2002-06-24",9.695,9.8325,9.6375,9.775,4274400,8.829175
"2002-06-25",9.8625,9.945,9.775,9.78,3310800,8.833692
"2002-06-26",9.7625,9.845,9.6475,9.83,3859600,8.878853
"2002-06-27",9.8925,9.9175,9.625,9.7925,3539600,8.84498
"2002-06-28",9.8275,9.925,9.785,9.925,3910800,8.964663
"2002-07-01",9.9,9.92,9.6625,9.675,2336800,8.738852
"2002-07-02",9.675,9.7475,9.3675,9.4175,2313200,8.506266
"2002-07-03",9.38,9.5675,9.3,9.4525,1974000,8.53788
"2002-07-05",9.4275,9.6225,9.4275,9.6225,1086800,8.691434
"2002-07-08",9.5375,9.5775,9.32,9.35,2282400,8.445302
"2002-07-09",9.33,9.455,9.2475,9.2475,2368400,8.352715
"2002-07-10",9.35,9.37,8.955,8.99,2562000,8.120129
"2002-07-11",8.8875,8.945,8.7525,8.865,3558000,8.007228
"2002-07-12",8.895,9.0375,8.6825,8.805,2415600,7.953031
"2002-07-15",8.7375,8.8375,8.44,8.8375,3983200,7.991459
"2002-07-16",8.725,8.915,8.5325,8.7875,3604000,7.946253
"2002-07-17",9.025,9.125,8.6575,8.785,3699200,7.94399
"2002-07-18",8.75,8.9025,8.7075,8.72,1995200,7.885214
"2002-07-19",8.69,8.725,8.475,8.485,4438800,7.672709
"2002-07-22",8.4875,8.5625,7.87,7.9075,5596400,7.150496
"2002-07-23",7.875,8.06,7.7275,7.7325,4390000,6.992249
"2002-07-24",7.5375,8.225,7.505,8.2,5108400,7.414996
"2002-07-25",8.1625,8.2675,7.7,7.9375,9980400,7.177624
"2002-07-26",7.9,8.1175,7.7775,8.105,2932400,7.329088
"2002-07-29",8.35,8.5775,8.225,8.575,2815600,7.754094
"2002-07-30",8.575,8.645,8.32,8.5825,2232400,7.76088
"2002-07-31",8.5625,8.675,8.4425,8.5725,2261200,7.751833
"2002-08-01",8.6725,8.6725,8.2975,8.3125,2866400,7.516723
"2002-08-02",8.245,8.4575,8.15,8.2775,2893200,7.485075
"2002-08-05",8.2675,8.435,7.9675,7.985,2321600,7.220576
"2002-08-06",8.2,8.385,8.1725,8.2975,2284400,7.503161
"2002-08-07",8.4375,8.4625,8.1825,8.415,1716400,7.609413
"2002-08-08",8.4375,8.755,8.3625,8.74,1604800,7.903297
