"","FISV.Open","FISV.High","FISV.Low","FISV.Close","FISV.Volume","FISV.Adjusted"
"2001-04-12",7.878334,8.08,7.775,8.026667,6151600,8.026667
"2001-04-16",8.041667,8.116667,7.76,7.878334,5538400,7.878334
"2001-04-17",7.83,8.156667,7.83,8.095,6949600,8.095
"2001-04-18",8.19,8.821667,8.166667,8.506667,8162400,8.506667
"2001-04-19",8.536667,8.56,8.25,8.38,7516800,8.38
"2001-04-20",8.298333,8.438334,8.1,8.43,5612800,8.43
"2001-04-23",8.448334,8.571667,8.405,8.445,4958400,8.445
"2001-04-24",8.508333,8.791667,8.391666,8.396667,5363200,8.396667
"2001-04-25",8.416667,9.14,8.416667,9.05,9114000,9.05
"2001-04-26",9.063334,9.083333,8.75,8.87,5155200,8.87
"2001-04-27",8.898334,9.015,8.808333,8.883333,3448000,8.883333
"2001-04-30",8.991667,9.448334,8.928333,9.223333,7267200,9.223333
"2001-05-01",9.1,9.1,8.808333,9.065,7691200,9.065
"2001-05-02",9.121667,9.213333,8.586667,8.666667,8196400,8.666667
"2001-05-03",8.625,8.765,8.555,8.643333,4546800,8.643333
"2001-05-04",8.558333,8.921667,8.416667,8.833333,4123600,8.833333
"2001-05-07",8.751667,8.916667,8.666667,8.805,6810400,8.805
"2001-05-08",8.875,8.891666,8.64,8.801666,4781200,8.801666
"2001-05-09",8.768333,8.875,8.65,8.683333,3856000,8.683333
"2001-05-10",8.668333,8.85,8.536667,8.673333,4618800,8.673333
"2001-05-11",8.608334,8.766666,8.6,8.7,4158400,8.7
"2001-05-14",8.658334,8.848333,8.63,8.701667,3024400,8.701667
"2001-05-15",8.705,8.9,8.696667,8.736667,3227200,8.736667
"2001-05-16",8.786667,9.181666,8.638333,9.165,5580400,9.165
"2001-05-17",9.125,9.203333,9.033334,9.093333,7786000,9.093333
"2001-05-18",9.081667,9.125,8.975,9.011666,3896800,9.011666
"2001-05-21",9.185,9.581667,9.183333,9.568334,9142000,9.568334
"2001-05-22",9.566667,9.58,9.36,9.548333,4360800,9.548333
"2001-05-23",9.506667,9.541667,9.13,9.303333,4722000,9.303333
"2001-05-24",9.093333,9.476666,9.063334,9.206667,8455200,9.206667
"2001-05-25",9.24,9.291667,8.958333,8.961667,4088800,8.961667
"2001-05-29",9.001667,9.133333,8.925,8.96,7703200,8.96
"2001-05-30",8.925,9.123333,8.9,9.113334,6292000,9.113334
"2001-05-31",9.103333,9.418333,9.101666,9.185,6756000,9.185
"2001-06-01",9.206667,9.433333,9,9.34,4208400,9.34
"2001-06-04",9.398334,9.483334,9.166667,9.396667,2353600,9.396667
"2001-06-05",9.4,9.583333,9.326667,9.523334,4114800,9.523334
"2001-06-06",9.493333,9.666667,9.103333,9.291667,4330800,9.291667
"2001-06-07",9.316667,9.413333,9.155,9.368333,2485200,9.368333
"2001-06-08",9.498333,9.5,9.083333,9.201667,3590400,9.201667
"2001-06-11",9.201667,9.458333,9.183333,9.383333,5282800,9.383333
"2001-06-12",9.378333,9.583333,9.026667,9.466666,5257600,9.466666
"2001-06-13",9.521667,9.875,9.5,9.635,7986000,9.635
"2001-06-14",9.601666,9.608334,9.246667,9.286667,6406000,9.286667
"2001-06-15",9.27,9.691667,9.138333,9.528334,11186400,9.528334
"2001-06-18",9.536667,9.85,9.5,9.758333,5140000,9.758333
"2001-06-19",9.79,10.036667,9.775,10.015,11390400,10.015
"2001-06-20",10,10.3,9.945,10.248333,14238000,10.248333
"2001-06-21",10.233334,10.375,10.081667,10.14,10816800,10.14
"2001-06-22",10.14,10.25,9.945,10.108334,9446400,10.108334
"2001-06-25",10.18,10.343333,10.178333,10.34,5352000,10.34
"2001-06-26",10.185,10.408334,10.145,10.398334,8448400,10.398334
"2001-06-27",10.375,10.383333,10.208333,10.34,6679200,10.34
"2001-06-28",10.348333,10.64,10.336667,10.518333,10891200,10.518333
"2001-06-29",10.408334,10.771667,10.315,10.663333,6999600,10.663333
"2001-07-02",10.5,10.5,10.175,10.256667,10741600,10.256667
"2001-07-03",10.166667,10.168333,9.888333,9.916667,6788800,9.916667
"2001-07-05",9.873333,9.933333,9.485,9.605,9792400,9.605
"2001-07-06",9.591666,9.9,9.47,9.755,10574400,9.755
"2001-07-09",9.766666,10.05,9.75,9.99,9166000,9.99
"2001-07-10",10.016666,10.13,9.911667,9.99,7911600,9.99
"2001-07-11",9.875,10.29,9.85,10.268333,8508400,10.268333
"2001-07-12",10.313334,10.531667,10.23,10.53,6888400,10.53
"2001-07-13",10.413333,10.416667,10.113334,10.175,6398400,10.175
"2001-07-16",10.175,10.333333,10.008333,10.035,4278400,10.035
"2001-07-17",10.118333,10.291667,9.991667,10.14,5188000,10.14
"2001-07-18",10.178333,10.188334,9.915,10.006667,3658000,10.006667
"2001-07-19",10.163333,10.333333,10.115,10.316667,4426800,10.316667
"2001-07-20",10.246667,10.333333,10.175,10.208333,4088800,10.208333
"2001-07-23",10.225,10.25,9.883333,9.99,6211600,9.99
"2001-07-24",9.98,10,9.056666,9.661667,25982400,9.661667
"2001-07-25",9.671667,9.671667,9.386666,9.616667,15666000,9.616667
"2001-07-26",9.566667,9.586667,9.393333,9.505,10327200,9.505
"2001-07-27",9.5,9.508333,9.383333,9.501667,6307200,9.501667
"2001-07-30",9.51,9.675,9.418333,9.563334,5212800,9.563334
"2001-07-31",9.601666,9.773334,9.323334,9.563334,6526800,9.563334
"2001-08-01",9.54,9.55,9.206667,9.361667,12545200,9.361667
"2001-08-02",9.083333,9.306666,9.008333,9.25,8746000,9.25
"2001-08-03",9.34,9.35,9.016666,9.146667,10312000,9.146667
"2001-08-06",9.116667,9.2,9,9.113334,5039200,9.113334
"2001-08-07",9.128333,9.216666,9.058333,9.116667,5752800,9.116667
"2001-08-08",9,9.166667,8.83,8.896667,5253600,8.896667
"2001-08-09",8.876667,9.081667,8.85,8.985,3546400,8.985
"2001-08-10",8.966666,9.091666,8.808333,8.986667,4772400,8.986667
"2001-08-13",8.958333,9.25,8.953333,9.201667,4363200,9.201667
"2001-08-14",9.233334,9.348333,9.085,9.215,4056400,9.215
"2001-08-15",9.25,9.318334,9.073334,9.17,3178000,9.17
"2001-08-16",9.015,9.166667,8.998333,9.106667,4830000,9.106667
"2001-08-17",8.916667,9.091666,8.76,8.821667,3767200,8.821667
"2001-08-20",8.88,9.026667,8.798333,9.008333,3898800,9.008333
"2001-08-21",8.983334,9.05,8.841666,8.88,4277200,8.88
"2001-08-22",8.895,9.133333,8.833333,9.076667,3543600,9.076667
"2001-08-23",9.12,9.21,8.98,9,3374800,9
"2001-08-24",9.008333,9.375,9,9.266666,5150400,9.266666
"2001-08-27",9.216666,9.49,9.198334,9.41,3932400,9.41
"2001-08-28",9.433333,9.465,9.073334,9.088333,4346400,9.088333
"2001-08-29",9.088333,9.231667,8.985,9.126667,2546400,9.126667
"2001-08-30",9.165,9.366667,8.986667,9.041667,3552000,9.041667
"2001-08-31",9.031667,9.246667,9.018333,9.028334,3235600,9.028334
"2001-09-04",9,9.1325,8.5375,8.555,8375200,8.555
"2001-09-05",8.575,8.705,8.4125,8.64,6942400,8.64
"2001-09-06",8.51,8.715,8.27,8.495,7354400,8.495
"2001-09-07",8.3,8.5925,8.1925,8.4575,6054800,8.4575
"2001-09-10",8.265,8.6425,8.22,8.55,4292800,8.55
"2001-09-17",8.0375,8.525,7.875,8.2475,8541600,8.2475
"2001-09-18",8.3125,8.7475,8.23,8.55,7074800,8.55
"2001-09-19",8.6025,8.8125,8.125,8.5375,7142400,8.5375
"2001-09-20",8.41,8.6,8.125,8.18,5398000,8.18
"2001-09-21",7.5275,8.6325,7.5125,8.3,9824800,8.3
"2001-09-24",8.4,8.735,8.385,8.5975,4336000,8.5975
"2001-09-25",8.5375,8.6375,8.125,8.3675,4729200,8.3675
"2001-09-26",8.475,8.5875,8.0275,8.2425,3192400,8.2425
"2001-09-27",8.24,8.6875,7.9525,8.5975,4270000,8.5975
"2001-09-28",8.6375,8.8875,8.4375,8.55,9094800,8.55
"2001-10-01",8.4575,8.4575,7.89,7.9975,11658400,7.9975
"2001-10-02",7.975,8.02,7.63,7.9825,9309200,7.9825
"2001-10-03",7.7375,8.7875,7.575,8.605,8925600,8.605
"2001-10-04",8.675,8.9075,8.3,8.3775,10536400,8.3775
"2001-10-05",8.415,8.765,8.305,8.7025,4951600,8.7025
"2001-10-08",8.5875,8.8,8.2825,8.4725,3684000,8.4725
"2001-10-09",8.4875,8.85,8.4125,8.455,4208400,8.455
"2001-10-10",8.53,9.07,8.53,9.0375,5784400,9.0375
"2001-10-11",9.0725,9.075,8.7525,8.975,7605600,8.975
"2001-10-12",8.955,8.975,8.3275,8.7625,4805200,8.7625
"2001-10-15",8.6375,8.8425,8.4825,8.755,3411200,8.755
"2001-10-16",8.835,8.9375,8.5275,8.78,5822400,8.78
"2001-10-17",8.98,9.0625,8.3475,8.5675,6944800,8.5675
"2001-10-18",8.54,8.8125,8.375,8.805,5719200,8.805
"2001-10-19",8.6525,9.0225,8.65,9.0025,3714800,9.0025
"2001-10-22",8.9875,9.085,8.8475,8.98,6108800,8.98
"2001-10-23",9.1525,9.6225,9.125,9.5025,13195200,9.5025
"2001-10-24",9.565,9.9675,9.4375,9.5,8854000,9.5
"2001-10-25",9.425,9.8225,9.325,9.7775,6228800,9.7775
"2001-10-26",9.775,9.9375,9.4875,9.5075,4980000,9.5075
"2001-10-29",9.425,9.4925,9.1875,9.225,5326800,9.225
"2001-10-30",9.2025,9.325,9.0425,9.1375,4681600,9.1375
"2001-10-31",9.14,9.5625,9.1375,9.2975,4706800,9.2975
"2001-11-01",9.2525,9.7325,9.0975,9.575,4259600,9.575
"2001-11-02",9.4975,9.76,9.375,9.7175,2291200,9.7175
"2001-11-05",9.7925,10.065,9.745,10.0625,5964000,10.0625
"2001-11-06",9.9725,10.2875,9.785,10.2475,5555600,10.2475
"2001-11-07",10.2125,10.3275,9.9675,10.0575,5832000,10.0575
"2001-11-08",10.245,10.3375,9.9375,10.01,6041200,10.01
"2001-11-09",10,10.01,9.795,9.9625,4908800,9.9625
"2001-11-12",9.8825,9.9475,9.5625,9.8975,4314800,9.8975
"2001-11-13",9.965,10.1925,9.9425,10.0675,4795600,10.0675
"2001-11-14",10.215,10.245,9.9,10.085,2781600,10.085
"2001-11-15",10.04,10.185,9.9125,10.055,4883600,10.055
"2001-11-16",10.12,10.125,9.6925,9.8925,5077200,9.8925
"2001-11-19",9.9075,10.015,9.825,9.8975,4349600,9.8975
"2001-11-20",9.8875,9.8975,9.625,9.7775,4714000,9.7775
"2001-11-21",9.725,9.9375,9.6975,9.81,3676800,9.81
"2001-11-23",9.8125,10.0275,9.76,9.9225,1101200,9.9225
"2001-11-26",9.9975,10.11,9.885,10.025,7396400,10.025
"2001-11-27",9.9775,10.03,9.69,9.8175,4073600,9.8175
"2001-11-28",9.81,9.89,9.5625,9.6,4246800,9.6
"2001-11-29",9.5875,9.75,9.4575,9.735,4121600,9.735
"2001-11-30",9.7375,9.7825,9.525,9.77,4954000,9.77
"2001-12-03",9.75,9.825,9.625,9.7,4623600,9.7
"2001-12-04",9.7,9.925,9.65,9.8975,5722800,9.8975
"2001-12-05",9.9675,10.4375,9.95,10.3,8544000,10.3
"2001-12-06",10.365,10.5375,10.2325,10.48,4852000,10.48
"2001-12-07",10.4575,10.58,10.315,10.43,3654800,10.43
"2001-12-10",10.375,10.6125,10.25,10.4225,5052800,10.4225
"2001-12-11",10.465,10.5875,10.3375,10.49,3068000,10.49
"2001-12-12",10.4475,10.6175,10.3375,10.5175,5836800,10.5175
"2001-12-13",10.4475,10.48,10.225,10.2725,4024800,10.2725
"2001-12-14",10.225,10.4375,10.2125,10.32,3193200,10.32
"2001-12-17",10.4225,10.97,10.3625,10.9425,7503600,10.9425
"2001-12-18",10.98,11.1525,10.8975,11.0975,7685600,11.0975
"2001-12-19",11.0575,11.125,10.8175,11.085,4770000,11.085
"2001-12-20",10.9975,11.0125,10.8225,10.8225,5712800,10.8225
"2001-12-21",11.0625,11.0875,10.5675,10.63,10737200,10.63
"2001-12-24",10.6175,10.75,10.6125,10.675,3319600,10.675
"2001-12-26",10.74,10.7825,10.64,10.7,4206800,10.7
"2001-12-27",10.7,10.8725,10.68,10.705,3202400,10.705
"2001-12-28",10.7,10.965,10.675,10.905,6234400,10.905
"2001-12-31",10.93,10.935,10.5125,10.58,6270000,10.58
"2002-01-02",10.625,10.8,10.3725,10.7225,7925600,10.7225
"2002-01-03",10.705,10.8075,10.455,10.625,12130400,10.625
"2002-01-04",10.6175,10.675,10.425,10.4625,7230800,10.4625
"2002-01-07",10.4575,10.675,10.39,10.55,7717200,10.55
"2002-01-08",10.5975,10.6,10.4425,10.5375,3146800,10.5375
"2002-01-09",10.55,10.6825,10.35,10.3875,5334800,10.3875
"2002-01-10",10.31,10.54,10.1925,10.425,7234400,10.425
"2002-01-11",10.4925,10.655,10.1725,10.5,5642000,10.5
"2002-01-14",10.4525,10.55,10.29,10.3775,3794400,10.3775
"2002-01-15",10.42,10.7525,10.4075,10.7175,4385600,10.7175
"2002-01-16",10.735,10.75,10.425,10.4275,5508000,10.4275
"2002-01-17",10.4375,10.8675,10.43,10.8025,6976400,10.8025
"2002-01-18",10.71,10.845,10.4825,10.4975,6459200,10.4975
"2002-01-22",10.5225,10.59,10.3575,10.4,6742000,10.4
"2002-01-23",10.425,10.875,10.3825,10.825,8230400,10.825
"2002-01-24",10.825,10.875,10.63,10.8125,7797200,10.8125
"2002-01-25",10.79,10.8225,10.505,10.625,3931200,10.625
"2002-01-28",10.7525,10.7675,10.4775,10.5925,4998000,10.5925
"2002-01-29",10.625,10.65,10.0125,10.235,6810400,10.235
"2002-01-30",10.2575,10.485,10.15,10.4725,5638400,10.4725
"2002-01-31",10.4775,10.63,10.365,10.61,4245200,10.61
"2002-02-01",10.5725,10.575,10.1175,10.22,6724800,10.22
"2002-02-04",10.175,10.3125,9.9625,10.2825,6608400,10.2825
"2002-02-05",10.3175,10.6875,10.3175,10.4125,6244400,10.4125
"2002-02-06",10.46,10.55,10.2375,10.5,6556000,10.5
"2002-02-07",10.4625,10.65,10.2875,10.31,5310000,10.31
"2002-02-08",10.325,10.6125,10.25,10.6,6391600,10.6
"2002-02-11",10.5175,10.5375,10.2,10.295,6990400,10.295
"2002-02-12",10.2475,10.4,10.0225,10.2675,5399600,10.2675
"2002-02-13",10.305,10.4925,10.225,10.3925,3894400,10.3925
"2002-02-14",10.395,10.55,10.3175,10.43,4074800,10.43
"2002-02-15",10.5025,10.555,10.2525,10.275,2951600,10.275
"2002-02-19",10.2725,10.3475,9.9025,9.98,5323600,9.98
"2002-02-20",10.0625,10.26,9.9875,10.1975,3839200,10.1975
"2002-02-21",10.14,10.23,9.925,9.97,4557200,9.97
"2002-02-22",10.0925,10.475,10.055,10.43,6202000,10.43
"2002-02-25",10.4175,10.7325,10.375,10.725,5450000,10.725
"2002-02-26",10.7125,10.725,10.2875,10.5425,6509600,10.5425
"2002-02-27",10.6125,10.71,10.375,10.4025,3969200,10.4025
"2002-02-28",10.4625,10.85,10.45,10.685,8417600,10.685
"2002-03-01",10.725,11,10.6375,10.9825,6174000,10.9825
"2002-03-04",11.04,11.175,10.9325,11.11,9886800,11.11
"2002-03-05",11.04,11.1175,10.81,10.8225,8380000,10.8225
"2002-03-06",10.79,11.0875,10.7525,11.0025,4764000,11.0025
"2002-03-07",11.06,11.3375,10.99,11.225,8994800,11.225
"2002-03-08",11.3425,11.395,11.02,11.1575,9006800,11.1575
"2002-03-11",11.1375,11.46,11.0625,11.405,6650000,11.405
"2002-03-12",11.3425,11.5575,11.25,11.485,5879200,11.485
"2002-03-13",11.475,11.57,11.175,11.2175,5139600,11.2175
"2002-03-14",11.1975,11.355,11.15,11.205,4211200,11.205
"2002-03-15",11.3075,11.5,11.2625,11.49,8268400,11.49
"2002-03-18",11.4925,11.81,11.365,11.6225,7167600,11.6225
"2002-03-19",11.725,11.775,11.565,11.65,2836000,11.65
"2002-03-20",11.6,11.6675,11.3375,11.3725,5182400,11.3725
"2002-03-21",11.3425,11.5,11.21,11.4775,3826800,11.4775
"2002-03-22",11.495,11.6275,11.25,11.355,4744400,11.355
"2002-03-25",11.375,11.465,11.0825,11.2975,5753600,11.2975
"2002-03-26",11.225,11.625,11.225,11.5675,5062400,11.5675
"2002-03-27",11.545,11.6125,11.3725,11.46,5495600,11.46
"2002-03-28",11.5375,11.605,11.405,11.4975,4061200,11.4975
"2002-04-01",11.4475,11.5625,11.25,11.52,4589200,11.52
"2002-04-02",11.5575,11.5625,11.3175,11.3575,5570400,11.3575
"2002-04-03",11.3575,11.515,11.15,11.2575,5754000,11.2575
"2002-04-04",11.2725,11.3,11.02,11.195,5757200,11.195
"2002-04-05",11.235,11.2575,10.865,11.0025,9944000,11.0025
"2002-04-08",10.875,11.25,10.8575,11.25,5412000,11.25
"2002-04-09",11.2675,11.2675,10.65,10.6625,10772000,10.6625
"2002-04-10",10.7075,10.875,10.675,10.7625,10360000,10.7625
"2002-04-11",10.7625,10.7625,10.46,10.525,5369600,10.525
"2002-04-12",10.5625,10.6975,10.415,10.5975,6625600,10.5975
"2002-04-15",10.6725,10.675,10.4825,10.54,3788800,10.54
"2002-04-16",10.675,10.7275,10.4425,10.5,10333200,10.5
"2002-04-17",10.5425,10.5475,10.1825,10.235,8763600,10.235
"2002-04-18",10.2425,10.37,10.045,10.315,9355200,10.315
"2002-04-19",10.3675,10.7925,10.2525,10.7275,9020800,10.7275
"2002-04-22",10.68,10.92,10.495,10.575,9798000,10.575
"2002-04-23",10.7025,10.885,10.66,10.7,7729600,10.7
"2002-04-24",10.84,11.1075,10.79,10.9,5888400,10.9
"2002-04-25",10.9125,11.04,10.755,10.9725,6664400,10.9725
"2002-04-26",11.0225,11.0225,10.775,10.82,8216400,10.82
"2002-04-29",10.7975,10.9525,10.6375,10.71,5925200,10.71
"2002-04-30",10.8275,11.25,10.7875,11.115,7750800,11.115
"2002-05-01",11.1525,11.3325,10.865,11.195,6094400,11.195
"2002-05-02",11.16,11.335,11.0275,11.04,6152400,11.04
"2002-05-03",11.0375,11.245,10.8125,10.89,5766800,10.89
"2002-05-06",11.08,11.1575,10.8,10.8,4557200,10.8
"2002-05-07",10.9675,11.0975,10.91,10.925,7112800,10.925
"2002-05-08",11.0275,11.17,10.79,11.1675,8622800,11.1675
"2002-05-09",11.1125,11.135,10.8875,10.8925,4840800,10.8925
"2002-05-10",10.975,11.075,10.7525,10.7725,4814400,10.7725
"2002-05-13",10.825,11.1725,10.745,11.17,5537600,11.17
"2002-05-14",11.25,11.3225,11.1,11.145,8520400,11.145
"2002-05-15",11.13,11.595,11.125,11.3725,9956000,11.3725
"2002-05-16",11.465,11.5525,11.3325,11.5025,5428800,11.5025
"2002-05-17",11.6,11.6425,11.32,11.4525,4648400,11.4525
"2002-05-20",11.1375,11.2875,10.88,10.9125,13953600,10.9125
"2002-05-21",10.9375,10.9875,10.58,10.71,10660000,10.71
"2002-05-22",10.6375,10.685,10.2975,10.655,7337200,10.655
"2002-05-23",10.6875,10.895,10.4625,10.895,6040000,10.895
"2002-05-24",10.8875,10.91,10.4325,10.54,5415600,10.54
"2002-05-28",10.5925,10.5975,10.2375,10.49,4511600,10.49
"2002-05-29",10.485,10.6625,10.3975,10.4225,4168400,10.4225
"2002-05-30",10.385,10.56,10.2825,10.5075,5428400,10.5075
"2002-05-31",10.6075,10.75,10.4675,10.635,9604800,10.635
"2002-06-03",10.6375,10.75,10.4625,10.5375,5732000,10.5375
"2002-06-04",10.4875,10.71,10.43,10.5725,6305600,10.5725
"2002-06-05",10.6025,10.7,10.2875,10.49,7570000,10.49
"2002-06-06",10.4875,10.5,10.25,10.32,6827600,10.32
"2002-06-07",10.315,10.685,10.3125,10.4725,7523200,10.4725
"2002-06-10",10.47,10.5225,10.3,10.36,6537200,10.36
"2002-06-11",10.4,10.445,9.89,9.9025,7667200,9.9025
"2002-06-12",9.8925,9.895,9.425,9.72,13920800,9.72
"2002-06-13",9.7,9.73,9.3825,9.4475,6842400,9.4475
"2002-06-14",9.3975,9.86,9.1425,9.8575,15671200,9.8575
"2002-06-17",9.875,10.035,9.7075,9.9275,8094800,9.9275
"2002-06-18",9.8375,10.1,9.63,9.675,10550000,9.675
"2002-06-19",9.7075,9.825,9.4625,9.4875,6346400,9.4875
"2002-06-20",9.4975,9.72,9.345,9.355,8148000,9.355
"2002-06-21",9.2825,9.2875,8.955,9.0225,11691600,9.0225
"2002-06-24",8.94,9.1975,8.85,9.0625,13794400,9.0625
"2002-06-25",9.1325,9.1875,8.7,8.79,9686800,8.79
"2002-06-26",8.74,8.955,8.55,8.95,15734800,8.95
"2002-06-27",9.125,9.125,8.755,9.025,10390000,9.025
"2002-06-28",8.9725,9.3425,8.93,9.1775,9771200,9.1775
"2002-07-01",9.145,9.3175,8.7625,8.8325,7332800,8.8325
"2002-07-02",8.83,8.9175,8.5,8.55,9752800,8.55
"2002-07-03",8.5375,8.86,8.45,8.765,6754000,8.765
"2002-07-05",8.835,9.2475,8.8125,9.24,3492400,9.24
"2002-07-08",9.1425,9.23,8.4425,8.5975,9127200,8.5975
"2002-07-09",8.685,8.8725,8.415,8.4325,7536800,8.4325
"2002-07-10",8.43,8.4925,8.0225,8.0625,12932800,8.0625
"2002-07-11",8.0875,8.4825,7.9625,8.46,9934400,8.46
"2002-07-12",8.5125,8.6125,8.195,8.33,8091200,8.33
"2002-07-15",8.33,8.4625,8.055,8.4025,12143600,8.4025
"2002-07-16",8.43,8.745,8.375,8.675,11780800,8.675
"2002-07-17",8.79,8.9225,8.5625,8.895,10754800,8.895
"2002-07-18",8.8575,8.875,8.1375,8.1825,12234400,8.1825
"2002-07-19",8.2475,8.25,7.94,8.075,9950000,8.075
"2002-07-22",8.11,8.135,7.6475,7.85,10640400,7.85
"2002-07-23",7.8025,7.9475,7.5175,7.6325,11520800,7.6325
"2002-07-24",7.625,8.105,7.55,8.105,12390000,8.105
"2002-07-25",8.015,8.2125,7.715,7.8975,11803200,7.8975
"2002-07-26",7.8625,8.1225,7.8,8.0425,9768000,8.0425
"2002-07-29",8.215,8.5475,8.175,8.4925,7958400,8.4925
"2002-07-30",8.3875,8.825,8.3125,8.555,8162800,8.555
"2002-07-31",8.69,8.6975,8.1775,8.6025,9309200,8.6025
"2002-08-01",8.6075,8.61,8.255,8.33,7579200,8.33
"2002-08-02",8.2625,8.3125,7.9975,8.095,6755600,8.095
"2002-08-05",8.1175,8.2825,7.85,7.875,5021600,7.875
"2002-08-06",7.975,8.675,7.9,8.42,9445600,8.42
"2002-08-07",8.5375,8.625,8.1925,8.5125,8138000,8.5125
