Code,Industry
600000.SS,FIN
600008.SS,PU
600009.SS,IND
600010.SS,BM
600011.SS,PU
600015.SS,FIN
600016.SS,FIN
600018.SS,IND
600019.SS,BM
600021.SS,PU
600028.SS,EN
600029.SS,IND
600030.SS,FIN
600031.SS,IND
600036.SS,FIN
600038.SS,IND
600048.SS,FIN
600050.SS,COM
600061.SS,FIN
600066.SS,CC
600068.SS,IND
600074.SS,TECH
600085.SS,NCC
600089.SS,IND
600100.SS,TECH
600104.SS,CC
600109.SS,FIN
600111.SS,BM
600115.SS,IND
600118.SS,IND
600153.SS,IND
600157.SS,EN
600170.SS,IND
600177.SS,CC
600188.SS,EN
600196.SS,NCC
600208.SS,FIN
600219.SS,BM
600221.SS,IND
600233.SS,IND
600271.SS,TECH
600276.SS,NCC
600297.SS,CC
600309.SS,BM
600332.SS,NCC
600352.SS,BM
600362.SS,BM
600369.SS,FIN
600372.SS,IND
600373.SS,COM
600376.SS,FIN
600383.SS,FIN
600390.SS,FIN
600406.SS,IND
600415.SS,IND
600436.SS,NCC
600482.SS,IND
600485.SS,COM
600489.SS,BM
600498.SS,COM
600518.SS,NCC
600519.SS,NCC
600522.SS,COM
600535.SS,NCC
600547.SS,BM
600549.SS,BM
600570.SS,TECH
600583.SS,EN
600585.SS,BM
600588.SS,TECH
600606.SS,FIN
600637.SS,COM
600649.SS,FIN
600660.SS,CC
600663.SS,FIN
600674.SS,PU
600682.SS,CC
600685.SS,IND
600688.SS,EN
600690.SS,CC
600703.SS,TECH
600704.SS,IND
600739.SS,IND
600741.SS,CC
600795.SS,PU
600804.SS,TECH
600816.SS,FIN
600820.SS,IND
600827.SS,CC
600837.SS,FIN
600871.SS,EN
600886.SS,PU
600887.SS,NCC
600893.SS,IND
600895.SS,FIN
600900.SS,PU
601006.SS,IND
601009.SS,FIN
601088.SS,EN
601099.SS,FIN
601111.SS,IND
601166.SS,FIN
601169.SS,FIN
601186.SS,IND
601318.SS,FIN
601328.SS,FIN
601333.SS,IND
601390.SS,IND
601398.SS,FIN
601600.SS,BM
601601.SS,FIN
601628.SS,FIN
601766.SS,IND
601857.SS,EN
601866.SS,IND
601872.SS,IND
601898.SS,EN
601899.SS,BM
601919.SS,IND
601939.SS,FIN
601958.SS,BM
601988.SS,FIN
601991.SS,PU
601998.SS,FIN
000001.SZ,FIN
000002.SZ,FIN
000008.SZ,IND
000060.SZ,BM
000063.SZ,COM
000069.SZ,CC
000100.SZ,CC
000157.SZ,IND
000338.SZ,IND
000402.SZ,FIN
000413.SZ,TECH
000415.SZ,IND
000423.SZ,NCC
000425.SZ,IND
000503.SZ,TECH
000538.SZ,NCC
000540.SZ,FIN
000559.SZ,CC
000568.SZ,NCC
000623.SZ,NCC
000625.SZ,CC
000627.SZ,FIN
000630.SZ,BM
000671.SZ,FIN
000686.SZ,FIN
000709.SZ,BM
000723.SZ,EN
000725.SZ,TECH
000728.SZ,FIN
000738.SZ,IND
000750.SZ,FIN
000768.SZ,IND
000783.SZ,FIN
000792.SZ,BM
000826.SZ,IND
000839.SZ,COM
000858.SZ,NCC
000876.SZ,NCC
000895.SZ,NCC
000898.SZ,BM
000938.SZ,TECH
000959.SZ,BM
000961.SZ,FIN
000963.SZ,NCC
000983.SZ,EN
002007.SZ,NCC
002008.SZ,TECH
002024.SZ,CC
002027.SZ,COM
002044.SZ,NCC
002065.SZ,TECH
002074.SZ,IND
002081.SZ,IND
002142.SZ,FIN
002146.SZ,FIN
002153.SZ,TECH
002174.SZ,TECH
002202.SZ,IND
002230.SZ,TECH
002236.SZ,TECH
002241.SZ,TECH
