"","COP.Open","COP.High","COP.Low","COP.Close","COP.Volume","COP.Adjusted"
"2001-01-02",21.773666,22.393049,21.678377,21.749844,2363800,9.497692
"2001-01-03",21.535442,21.726023,21.058994,21.178106,2812400,9.248021
"2001-01-04",20.963705,21.035173,20.201389,20.916061,2767300,9.133593
"2001-01-05",20.892239,21.678377,20.892239,21.297218,2212700,9.300035
"2001-01-08",21.321041,21.714111,21.225752,21.321041,1424000,9.310438
"2001-01-09",21.273396,21.321041,20.606369,20.987528,2215800,9.1648
"2001-01-10",20.82077,20.963705,20.51108,20.606369,1889500,8.998354
"2001-01-11",20.868416,21.154285,20.725481,20.82077,2183600,9.091982
"2001-01-12",20.796949,21.011351,20.701658,21.011351,2763100,9.175202
"2001-01-16",21.10664,21.678377,21.082817,21.654554,3681600,9.456075
"2001-01-17",21.892778,21.892778,21.10664,21.130463,4978700,9.227212
"2001-01-18",21.249575,21.249575,20.82077,21.011351,1864300,9.175202
"2001-01-19",21.035173,21.201929,20.844593,21.058994,2495800,9.196011
"2001-01-22",21.178106,21.726023,21.154285,21.51162,2802700,9.393657
"2001-01-23",21.583088,21.821312,21.487799,21.726023,2349400,9.487282
"2001-01-24",21.7022,21.868956,21.535442,21.630732,2860700,9.445672
"2001-01-25",22.035713,22.416872,21.964247,22.131002,3971000,9.664133
"2001-01-26",22.202469,22.29776,21.654554,21.678377,3363400,9.466476
"2001-01-29",21.91279,21.91279,21.592617,21.828934,1728400,9.532224
"2001-01-30",21.992832,22.030949,21.524008,21.954718,1818900,9.587149
"2001-01-31",22.488338,22.488338,22.10718,22.347309,2984800,9.758587
"2001-02-01",22.29776,22.29776,21.847992,22.122427,2119000,9.660386
"2001-02-02",22.198658,22.377802,22.091934,22.156731,2125100,9.675364
"2001-02-05",20.144215,20.41865,19.705883,20.334795,35424600,8.879764
"2001-02-06",20.468199,20.582546,20.163273,20.582546,17784700,8.987952
"2001-02-07",20.582546,20.982763,20.487257,20.906532,13989700,9.129431
"2001-02-08",20.906532,20.940836,20.681648,20.887474,10950000,9.121109
"2001-02-09",21.039936,21.287689,20.994198,21.249575,8208900,9.279229
"2001-02-12",21.573559,21.600239,21.344864,21.474457,10666400,9.377431
"2001-02-13",21.474457,21.798443,21.344864,21.787006,7761800,9.513912
"2001-02-14",21.764137,21.783195,21.295313,21.558311,12059800,9.414051
"2001-02-15",21.64979,21.64979,21.249575,21.38298,10194100,9.337485
"2001-02-16",21.47827,21.516384,21.16572,21.333429,6016100,9.466368
"2001-02-20",21.333429,21.569748,21.230516,21.341051,4012500,9.469751
"2001-02-21",21.329617,21.360109,21.104734,21.154285,4923400,9.386872
"2001-02-22",21.241951,21.295313,21.066618,21.116169,5810900,9.36996
"2001-02-23",21.11998,21.169531,20.799807,20.978952,5598700,9.309075
"2001-02-26",21.036125,21.116169,20.94846,20.963705,5439900,9.302309
"2001-02-27",21.150473,21.1924,20.872227,20.963705,4170900,9.302309
"2001-02-28",20.963705,20.967518,20.27762,20.319548,5163200,9.016469
"2001-03-01",20.2052,20.559677,20.201389,20.391968,5786300,9.04861
"2001-03-02",20.411026,21.039936,20.334795,20.94846,5594500,9.29554
"2001-03-05",20.952271,21.1924,20.914154,21.108545,4833100,9.366581
"2001-03-06",21.108545,21.222893,20.906532,21.123793,3839600,9.373344
"2001-03-07",21.226704,21.436342,21.200024,21.417284,6389700,9.503577
"2001-03-08",21.421095,21.966152,21.360109,21.962339,8868200,9.745437
"2001-03-09",21.966152,22.164354,21.764137,21.908978,5198600,9.721759
"2001-03-12",21.878485,21.882298,21.413471,21.447777,4501200,9.517108
"2001-03-13",21.447777,21.451588,20.860792,21.02088,3986000,9.327678
"2001-03-14",20.883661,20.906532,20.666403,20.849358,4478700,9.251567
"2001-03-15",20.959894,21.036125,20.677837,20.982763,3510600,9.310766
"2001-03-16",20.982763,21.043749,20.85317,20.94846,5779200,9.29554
"2001-03-19",20.963705,21.38298,20.963705,21.161907,5184100,9.390258
"2001-03-20",21.161907,21.64979,20.925589,21.253386,5073400,9.430848
"2001-03-21",21.257196,21.257196,20.723576,20.967518,4785600,9.304
"2001-03-22",20.959894,20.959894,20.010809,20.330982,5963900,9.021546
"2001-03-23",20.449142,20.795996,20.201389,20.73501,6403600,9.20083
"2001-03-26",20.73501,20.887474,20.548243,20.552053,5290900,9.119644
"2001-03-27",20.620663,20.887474,20.597794,20.63591,4863000,9.156853
"2001-03-28",20.593983,20.616852,20.399591,20.426271,4812400,9.063827
"2001-03-29",20.411026,20.411026,19.877405,20.35004,6272100,9.030005
"2001-03-30",20.369099,21.078053,20.369099,20.982763,4520900,9.310766
"2001-04-02",21.005632,21.154285,20.319548,20.380533,4936500,9.043534
"2001-04-03",20.411026,20.544432,20.117535,20.197577,4655800,8.962347
"2001-04-04",20.391968,20.887474,20.376722,20.571112,5641400,9.128101
"2001-04-05",20.571112,21.16572,20.506315,21.150473,6166200,9.385182
"2001-04-06",21.150473,21.150473,20.544432,20.990387,4512500,9.314148
"2001-04-09",21.180965,21.447777,21.180965,21.443964,3638300,9.515414
"2001-04-10",21.726023,22.057631,21.687906,21.950905,5933200,9.74036
"2001-04-11",21.950905,22.0805,21.497328,21.524008,9834200,9.550935
"2001-04-12",21.497328,21.798443,21.47827,21.573559,11834700,9.572922
"2001-04-16",21.756516,22.145296,21.726023,22.141485,7899000,9.824929
"2001-04-17",22.141485,22.202469,21.992832,22.137672,7590800,9.823239
"2001-04-18",22.133862,22.332064,21.878485,22.030949,7211100,9.775881
"2001-04-19",22.10718,22.259644,21.859426,21.859426,9925700,9.699769
"2001-04-20",21.863239,22.202469,21.79463,21.828934,4575500,9.686239
"2001-04-23",22.10718,22.526455,22.053818,22.366367,6189000,9.924714
"2001-04-24",22.518831,22.678917,22.488338,22.564569,4463700,10.012667
"2001-04-25",22.659861,22.842815,22.511208,22.812323,4821600,10.122602
"2001-04-26",22.861874,22.964787,22.793264,22.861874,6251200,10.298074
"2001-04-27",22.907612,22.983845,22.724657,22.869497,5588200,10.301506
"2001-04-30",22.869497,23.041018,22.705599,22.717033,6873700,10.232829
"2001-05-01",22.720844,22.789454,22.484528,22.583628,4859900,10.172738
"2001-05-02",22.259644,22.263454,21.497328,21.584993,8008400,9.722905
"2001-05-03",21.592617,21.611675,21.116169,21.4554,5372300,9.664531
"2001-05-04",21.592617,21.943281,21.588804,21.901354,4454800,9.865412
"2001-05-07",22.10718,22.194847,21.882298,22.072876,3188100,9.94267
"2001-05-08",22.072876,22.332064,21.886108,22.191034,3213600,9.995895
"2001-05-09",22.301571,22.717033,22.29776,22.690351,6014000,10.220817
"2001-05-10",22.694164,22.945728,22.606497,22.675106,5563500,10.213949
"2001-05-11",22.678917,22.705599,22.488338,22.68273,3150600,10.217381
"2001-05-14",22.75515,23.353567,22.743715,23.300205,4478700,10.495524
"2001-05-15",23.300205,23.818581,23.250654,23.753784,6085600,10.699829
"2001-05-16",24.009159,24.512289,23.936741,24.451303,11710000,11.014029
"2001-05-17",24.546593,25.442316,24.432245,25.106895,11562300,11.309338
"2001-05-18",25.156446,25.918762,25.156446,25.735807,9554000,11.592629
"2001-05-21",25.735807,25.735807,25.484243,25.640518,6153600,11.549709
"2001-05-22",25.644329,25.880648,25.465185,25.484243,6922300,11.479317
"2001-05-23",25.461372,25.613836,25.232677,25.282228,6398900,11.388316
"2001-05-24",25.347025,25.38133,25.080215,25.11833,6380500,11.31449
"2001-05-25",25.042099,25.095461,24.573275,24.771477,5395900,11.158247
"2001-05-29",24.866766,25.011606,24.672375,24.767666,4763600,11.15653
"2001-05-30",24.756229,24.775288,24.546593,24.718115,3611800,11.134213
"2001-05-31",24.721926,24.813404,24.439869,24.676188,7017500,11.115327
"2001-06-01",24.622826,24.679998,24.432245,24.577085,3546500,11.070689
"2001-06-04",24.775288,24.962055,24.63426,24.718115,5125900,11.134213
"2001-06-05",24.714302,24.714302,24.417,24.592333,4184000,11.077555
"2001-06-06",24.29884,24.29884,23.692799,24.127319,5403200,10.868093
"2001-06-07",24.146378,24.161623,23.738537,23.738537,4664200,10.692967
"2001-06-08",23.860508,23.993914,23.540335,23.822392,2620900,10.730738
"2001-06-11",23.917683,24.001537,23.650871,23.76903,4129200,10.7067
"2001-06-12",23.746161,23.917683,23.708044,23.910059,3873400,10.770226
"2001-06-13",23.871943,23.971045,23.448858,23.67374,3626500,10.663777
"2001-06-14",23.677553,23.688988,23.128685,23.162989,2892200,10.433711
"2001-06-15",22.945728,23.422176,22.945728,23.124872,4722400,10.416541
"2001-06-18",23.227785,23.227785,22.831381,22.873308,4705600,10.303226
"2001-06-19",22.968597,23.098192,22.728468,23.04483,3145100,10.380488
"2001-06-20",23.006714,23.243032,22.720844,22.770395,3891500,10.256867
"2001-06-21",22.78183,22.793264,21.93947,22.164354,6015800,9.983878
"2001-06-22",22.164354,22.373991,21.787006,22.335875,4853600,10.061138
"2001-06-25",22.335875,22.362556,21.916601,21.924225,6600400,9.87571
"2001-06-26",21.969963,22.10718,21.897543,22.061441,4084600,9.937523
"2001-06-27",21.802254,21.806065,21.135227,21.325806,6147500,9.606157
"2001-06-28",21.306747,21.356298,21.062807,21.1924,7420500,9.546062
"2001-06-29",21.268633,21.821312,21.1924,21.726023,5680300,9.786432
"2001-07-02",21.79463,21.851805,21.459211,21.543066,4780400,9.70402
"2001-07-03",21.821312,21.821312,21.466835,21.668848,1991000,9.760677
"2001-07-05",21.84037,22.0805,21.642166,21.916601,5153200,9.872278
"2001-07-06",22.01189,22.164354,21.745079,21.889919,4466900,9.860257
"2001-07-09",21.916601,21.916601,21.592617,21.657413,4629300,9.755526
"2001-07-10",21.653603,21.84037,21.516384,21.710775,5101500,9.779563
"2001-07-11",21.573559,21.573559,21.177155,21.344864,3958100,9.614739
"2001-07-12",21.249575,21.748892,21.001822,21.154285,4400500,9.528896
"2001-07-13",21.154285,21.615486,21.02088,21.276255,5615500,9.583837
"2001-07-16",21.180965,21.341051,20.944647,20.963705,4835200,9.443049
"2001-07-17",20.963705,20.963705,20.414837,20.456764,5824600,9.214699
"2001-07-18",20.411026,20.460577,20.113722,20.247128,7687800,9.120265
"2001-07-19",20.582546,20.80743,20.430084,20.582546,3969700,9.271354
"2001-07-20",20.754068,21.013256,20.754068,20.929401,3931900,9.427598
"2001-07-23",21.078053,21.211458,20.719765,21.02088,3997500,9.468801
"2001-07-24",21.024691,21.024691,20.048925,20.197577,6338800,9.097948
"2001-07-25",20.296679,21.211458,20.220448,21.196213,5602900,9.547784
"2001-07-26",21.325806,21.527819,21.302937,21.447777,4324700,9.82802
"2001-07-27",21.512573,21.802254,21.177155,21.714586,2789300,9.950278
"2001-07-30",21.84037,22.00808,21.706964,21.893732,4175400,10.03237
"2001-07-31",21.916601,22.065252,21.706964,21.760326,3708600,9.97124
"2001-08-01",22.050007,22.274889,21.672659,21.710775,4967400,9.948532
"2001-08-02",21.821312,21.947094,21.451588,21.93947,4103500,10.053329
"2001-08-03",22.103369,22.103369,21.592617,21.596428,3694700,9.896136
"2001-08-06",21.611675,21.729834,21.344864,21.447777,2379500,9.82802
"2001-08-07",21.611675,21.908978,21.573559,21.783195,5053500,9.981715
"2001-08-08",22.030949,22.030949,21.611675,21.726023,5819600,9.95552
"2001-08-09",21.64979,21.806065,21.554501,21.672659,4246000,9.931066
"2001-08-10",21.783195,22.126238,21.729834,22.084311,4007200,10.119699
"2001-08-13",22.1796,22.229151,21.916601,21.93947,2851800,10.053329
"2001-08-14",21.962339,22.095745,21.916601,22.069065,3420800,10.11271
"2001-08-15",22.29776,22.617931,22.10718,22.572193,5757900,10.34326
"2001-08-16",22.488338,22.564569,22.263454,22.46928,4161500,10.296103
"2001-08-17",22.278702,22.316816,22.038572,22.114803,2078600,10.13367
"2001-08-20",22.114803,22.160542,21.962339,21.992832,2013500,10.077779
"2001-08-21",22.088121,22.316816,21.98521,22.03476,2257000,10.096992
"2001-08-22",22.29776,22.678917,21.935659,21.973774,4693300,10.069045
"2001-08-23",22.069065,22.454035,22.030949,22.335875,8206300,10.23497
"2001-08-24",22.526455,22.678917,22.373991,22.629368,2833700,10.369457
"2001-08-27",22.640802,22.770395,22.393049,22.39686,3356300,10.262919
"2001-08-28",22.488338,22.488338,22.171978,22.210093,2411500,10.177334
"2001-08-29",22.488338,22.766584,22.271078,22.29776,3331100,10.217505
"2001-08-30",22.431164,22.640802,22.160542,22.194847,4223400,10.170352
"2001-08-31",22.183413,22.335875,21.916601,21.916601,4131300,10.04285
"2001-09-04",22.10718,22.488338,22.088121,22.320629,3461500,10.227985
"2001-09-05",22.454035,22.633179,22.088121,22.560759,3489100,10.338018
"2001-09-06",22.560759,22.816135,22.488338,22.640802,3850300,10.374699
