"","FAST.Open","FAST.High","FAST.Low","FAST.Close","FAST.Volume","FAST.Adjusted"
"2001-01-02",3.429688,3.429688,3.214844,3.253906,3912000,2.336181
"2001-01-03",3.192383,3.3125,3.03125,3.261719,12102400,2.34179
"2001-01-04",3.210938,3.21875,3.03125,3.035156,9368000,2.179127
"2001-01-05",3.050781,3.109375,3.023438,3.058594,8500800,2.195954
"2001-01-08",3.046875,3.09375,2.964844,3.058594,5556800,2.195954
"2001-01-09",3.054688,3.125,2.9375,2.957031,3801600,2.123036
"2001-01-10",2.941406,3.117188,2.9375,3.035156,3152000,2.179127
"2001-01-11",3.0625,3.15625,3.035156,3.114258,3534400,2.235919
"2001-01-12",3.089844,3.257813,3.058594,3.074219,4568000,2.207171
"2001-01-16",3.011719,3.03125,2.933594,3.027344,8881600,2.173518
"2001-01-17",2.953125,3.195313,2.949219,3.035156,7094400,2.179127
"2001-01-18",3.042969,3.234375,3,3.164063,4196800,2.271677
"2001-01-19",3.164063,3.191406,3.09375,3.15625,3232000,2.266067
"2001-01-22",3.15625,3.1875,3.054688,3.082031,2780800,2.212782
"2001-01-23",3.085938,3.234375,3.083008,3.223633,3555200,2.314446
"2001-01-24",3.230469,3.285156,3.15625,3.167969,2513600,2.274482
"2001-01-25",3.171875,3.335938,3.164063,3.273438,2360000,2.350205
"2001-01-26",3.242188,3.289063,3.195313,3.238281,1608000,2.324963
"2001-01-29",3.230469,3.414063,3.230469,3.402344,2356800,2.442754
"2001-01-30",3.384766,3.617188,3.367188,3.558594,6844800,2.554935
"2001-01-31",3.597656,3.632813,3.484375,3.535156,2075200,2.538109
"2001-02-01",3.515625,3.554688,3.476563,3.550781,1284800,2.549325
"2001-02-02",3.5,3.625,3.5,3.589844,1414400,2.577371
"2001-02-05",3.589844,3.683594,3.574219,3.625,2512000,2.602612
"2001-02-06",3.628906,3.6875,3.601563,3.605469,2355200,2.588591
"2001-02-07",3.585938,3.6875,3.554688,3.640625,1729600,2.61383
"2001-02-08",3.632813,3.644531,3.523438,3.5625,1648000,2.55774
"2001-02-09",3.542969,3.71875,3.507813,3.617188,1736000,2.597004
"2001-02-12",3.601563,3.621094,3.546875,3.617188,1600000,2.597004
"2001-02-13",3.578125,3.707031,3.578125,3.640625,3076800,2.61383
"2001-02-14",3.650391,3.734375,3.648438,3.6875,1819200,2.647485
"2001-02-15",3.707031,3.890625,3.679688,3.824219,3200000,2.745643
