"","FAST.Open","FAST.High","FAST.Low","FAST.Close","FAST.Volume","FAST.Adjusted"
"2001-02-16",3.8125,3.816406,3.742188,3.75,3518400,2.692358
"2001-02-20",3.746094,3.756836,3.644531,3.652344,3923200,2.622245
"2001-02-21",3.640625,3.640625,3.554688,3.558594,2782400,2.55888
"2001-02-22",3.547852,3.554688,3.460938,3.496094,3222400,2.513937
"2001-02-23",3.457031,3.507813,3.457031,3.480469,2105600,2.502703
"2001-02-26",3.492188,3.621094,3.46875,3.621094,3126400,2.603822
"2001-02-27",3.625,3.6875,3.570313,3.679688,2542400,2.645954
"2001-02-28",3.683594,3.773438,3.644531,3.75,14265600,2.696514
"2001-03-01",3.671875,3.785156,3.609375,3.757813,10980800,2.702132
"2001-03-02",3.714844,3.796875,3.714844,3.757813,8603200,2.702132
"2001-03-05",3.578125,3.730469,3.5625,3.722656,28040000,2.676852
"2001-03-06",3.695313,3.78125,3.660156,3.761719,13014400,2.704941
"2001-03-07",3.757813,3.945313,3.753906,3.898438,12046400,2.803252
"2001-03-08",3.867188,3.917969,3.867188,3.902344,13848000,2.80606
"2001-03-09",3.859375,3.882813,3.789063,3.832031,6379200,2.755501
"2001-03-12",3.803711,3.804688,3.726563,3.757813,9550400,2.702132
"2001-03-13",3.726563,3.882813,3.71875,3.811523,15926400,2.740755
"2001-03-14",3.71875,3.847656,3.695313,3.804688,8944000,2.735838
"2001-03-15",3.859375,3.958008,3.785156,3.902344,14036800,2.80606
"2001-03-16",3.875,4.003906,3.832031,3.851563,14393600,2.769545
"2001-03-19",3.851563,3.854492,3.636719,3.716797,19009600,2.672639
"2001-03-20",3.75,3.78125,3.550781,3.550781,12331200,2.553261
"2001-03-21",3.550781,3.578125,3.390625,3.433594,15651200,2.468996
"2001-03-22",3.415039,3.429688,3.300781,3.332031,15889600,2.395966
"2001-03-23",3.359375,3.453125,3.359375,3.382813,6128000,2.432481
"2001-03-26",3.380859,3.5,3.378906,3.499023,6590400,2.516044
"2001-03-27",3.496094,3.515625,3.4375,3.472656,7536000,2.497084
"2001-03-28",3.4375,3.472656,3.40625,3.445313,6968000,2.477423
"2001-03-29",3.4375,3.53125,3.4375,3.523438,4411200,2.5336
"2001-03-30",3.522461,3.523438,3.398438,3.40625,7830400,2.449333
"2001-04-02",3.421875,3.464844,3.421875,3.433594,7483200,2.468996
"2001-04-03",3.375,3.397461,3.257813,3.269531,14022400,2.351023
"2001-04-04",3.167969,3.285156,3.0625,3.171875,44849600,2.280803
"2001-04-05",3.1875,3.359375,3.1875,3.308594,13692800,2.379112
"2001-04-06",3.28125,3.320313,3.25,3.289063,5888000,2.365068
"2001-04-09",3.26875,3.346875,3.190625,3.200625,6851200,2.301475
"2001-04-10",3.225,3.409375,3.225,3.350625,5545600,2.409336
"2001-04-11",3.350625,3.491875,3.35,3.453125,10252800,2.483041
"2001-04-12",3.4225,3.476875,3.40625,3.445625,5337600,2.477647
"2001-04-16",3.4375,3.5,3.4375,3.4575,3740800,2.486186
"2001-04-17",3.454375,3.5075,3.4375,3.46375,5273600,2.49068
"2001-04-18",3.474375,3.875,3.473125,3.8575,14174400,2.773815
"2001-04-19",3.81,4.078125,3.776875,4.02125,15105600,2.891563
"2001-04-20",3.953125,4.013125,3.865625,3.986875,9081600,2.866844
"2001-04-23",3.895625,3.915625,3.865625,3.873125,6620800,2.785051
"2001-04-24",3.876875,3.925,3.829375,3.829375,6267200,2.753591
"2001-04-25",3.874375,3.921875,3.829375,3.8425,3603200,2.763028
"2001-04-26",3.85,4,3.84375,3.973125,5041600,2.856956
"2001-04-27",3.97625,4.125,3.97625,4.015625,4456000,2.887518
"2001-04-30",4.016875,4.06875,4.01625,4.053125,7696000,2.914483
"2001-05-01",4.05,4.196875,3.99375,4.186875,5465600,3.010658
"2001-05-02",4.1525,4.18125,4.0625,4.090625,14500800,2.941447
"2001-05-03",4.01625,4.0275,3.840625,3.879375,15011200,2.789544
"2001-05-04",3.874375,3.993125,3.725,3.975,5832000,2.858305
"2001-05-07",3.96375,3.966875,3.83625,3.914375,3116800,2.814711
"2001-05-08",3.9,3.9375,3.815625,3.815625,3107200,2.743703
"2001-05-09",3.81,3.875,3.806875,3.85625,2617600,2.772915
"2001-05-10",3.8325,3.95625,3.8325,3.8875,2780800,2.795387
"2001-05-11",3.89125,3.93875,3.8125,3.851875,2164800,2.769769
"2001-05-14",3.853125,3.853125,3.7875,3.803125,4268800,2.734715
"2001-05-15",3.803125,3.890625,3.780625,3.803125,6864000,2.734715
"2001-05-16",3.800625,3.919375,3.73125,3.825625,8342400,2.750894
"2001-05-17",3.813125,4.1125,3.813125,4.088125,10524800,2.93965
"2001-05-18",4.06375,4.118125,4.040625,4.105625,4686400,2.952234
"2001-05-21",4.13625,4.481875,4.125,4.4175,10748800,3.176494
"2001-05-22",4.396875,4.5625,4.396875,4.46375,8660800,3.209752
"2001-05-23",4.410625,4.414375,4.244375,4.34125,4806400,3.121665
"2001-05-24",4.340625,4.39375,4.26875,4.319375,5209600,3.105934
"2001-05-25",4.303125,4.4,4.3,4.399375,2347200,3.163461
"2001-05-29",4.285,4.328125,4.18,4.2475,7603200,3.054252
"2001-05-30",4.24,4.260625,4.148125,4.2025,7131200,3.021895
"2001-05-31",4.20625,4.25,4.18375,4.194375,6902400,3.016051
"2001-06-01",4.193125,4.223125,4.1325,4.180625,4092800,3.006164
"2001-06-04",4.159375,4.24,4.07875,4.21625,2590400,3.031781
"2001-06-05",4.185,4.215625,4.0625,4.0675,15172800,2.924819
"2001-06-06",4.0625,4.180625,4.03125,4.18,5142400,3.005713
"2001-06-07",4.121875,4.121875,4.05625,4.0575,4544000,2.917629
"2001-06-08",4.056875,4.148125,4.046875,4.108125,1814400,2.954032
"2001-06-11",4.108125,4.10875,3.98125,4.013125,5891200,2.88572
"2001-06-12",3.96875,4.03125,3.89625,3.896875,9129600,2.802128
"2001-06-13",3.896875,3.96875,3.88125,3.928125,12112000,2.824599
"2001-06-14",3.890625,3.935625,3.859375,3.889375,7028800,2.796734
"2001-06-15",3.625,3.78125,3.624375,3.72875,17857600,2.681234
"2001-06-18",3.71375,3.8125,3.71375,3.7675,2257600,2.709098
"2001-06-19",3.78,3.80625,3.75,3.77125,4627200,2.711794
"2001-06-20",3.76875,3.815625,3.753125,3.775625,1761600,2.714941
"2001-06-21",3.775,3.809375,3.75125,3.77,1900800,2.710896
"2001-06-22",3.765625,3.78125,3.7375,3.780625,3347200,2.718536
"2001-06-25",3.686875,3.756875,3.686875,3.6875,4996800,2.651572
"2001-06-26",3.688125,3.695625,3.61875,3.63125,2964800,2.611125
"2001-06-27",3.638125,3.685,3.595625,3.63125,3259200,2.611125
"2001-06-28",3.6375,3.825,3.631875,3.750625,2940800,2.696963
"2001-06-29",3.748125,3.87375,3.74375,3.87375,3102400,2.785499
"2001-07-02",3.845625,3.950625,3.8125,3.93875,5054400,2.832238
"2001-07-03",3.90625,3.9375,3.875,3.909375,2912000,2.811116
"2001-07-05",3.909375,3.921875,3.879375,3.9,8059200,2.804375
"2001-07-06",3.89375,3.9,3.785625,3.80875,4352000,2.73876
"2001-07-09",3.811875,3.90625,3.775,3.846875,1904000,2.766173
"2001-07-10",3.871875,3.890625,3.83375,3.85375,6292800,2.771117
"2001-07-11",3.856875,3.890625,3.781875,3.859375,6732800,2.775163
"2001-07-12",3.84375,3.96875,3.84375,3.921875,1744000,2.820105
"2001-07-13",3.909375,3.95,3.895,3.943125,1320000,2.835385
"2001-07-16",3.938125,3.969375,3.929375,3.969375,2304000,2.854261
"2001-07-17",3.944375,3.965625,3.915625,3.925,3369600,2.822351
"2001-07-18",3.91375,4.01125,3.90125,4.006875,2377600,2.881226
"2001-07-19",4.01125,4.09125,4.00625,4.034375,1803200,2.901
"2001-07-20",4.0875,4.09375,4.03125,4.075625,4300800,2.930662
"2001-07-23",4.0925,4.1125,4.05125,4.051875,3582400,2.913583
"2001-07-24",4.044375,4.05875,3.971875,3.99375,2769600,2.871787
"2001-07-25",4.0025,4.07,3.971875,4.005625,4236800,2.880327
"2001-07-26",4,4.09375,4,4.068125,1430400,2.925268
"2001-07-27",4.093125,4.09375,4.025,4.075,1174400,2.930212
"2001-07-30",4.08125,4.1125,4.025,4.10875,3142400,2.95448
"2001-07-31",4.121875,4.153125,4.06875,4.09375,1721600,2.943695
"2001-08-01",4.078125,4.13125,4.050625,4.071875,1500800,2.927965
"2001-08-02",4.08125,4.08125,4.0125,4.07125,4726400,2.927515
"2001-08-03",4.036875,4.0375,3.93,3.96875,4545600,2.853811
"2001-08-06",3.970625,3.993125,3.93875,3.953125,4979200,2.842575
"2001-08-07",3.955625,4,3.9375,3.98625,940800,2.866395
"2001-08-08",3.98375,4,3.934375,3.9375,2532800,2.83134
"2001-08-09",3.938125,3.99875,3.93125,3.9425,1532800,2.834936
"2001-08-10",3.940625,3.980625,3.9375,3.975,2392000,2.858305
"2001-08-13",3.96875,3.96875,3.916875,3.95,4012800,2.840329
"2001-08-14",3.9375,3.974375,3.9375,3.945,2904000,2.836734
"2001-08-15",3.93125,3.95625,3.894375,3.940625,4993600,2.833587
"2001-08-16",3.925625,4.01375,3.925625,3.991875,3635200,2.87044
"2001-08-17",3.975,4,3.959375,3.971875,3144000,2.856058
"2001-08-20",3.96,4.09375,3.96,4.0625,3512000,2.921224
"2001-08-21",4.05,4.175,4.05,4.129375,6588800,2.969312
"2001-08-22",4.125,4.17125,4.109375,4.13125,1897600,2.970659
"2001-08-23",4.12,4.165,4.08125,4.088125,1508800,2.93965
"2001-08-24",4.12125,4.203125,4.094375,4.200625,1331200,3.020546
"2001-08-27",4.15625,4.24375,4.15625,4.23625,4246400,3.046162
"2001-08-28",4.219375,4.25,4.206875,4.215625,4614400,3.031331
"2001-08-29",4.236875,4.245625,4.159375,4.1875,6993600,3.011108
"2001-08-30",4.16875,4.1875,4.0625,4.09375,2955200,2.943695
"2001-08-31",4.075625,4.15,4.0625,4.109375,3110400,2.95493
"2001-09-04",4.125,4.21875,4.080625,4.141875,2545600,2.978299
"2001-09-05",4.12625,4.175,4.056875,4.10625,2704000,2.952683
"2001-09-06",4.064375,4.1,3.9475,3.9825,9457600,2.863698
"2001-09-07",3.966875,3.970625,3.813125,3.86875,9667200,2.781904
"2001-09-10",3.87875,3.87875,3.66,3.725,6140800,2.678537
"2001-09-17",3.6275,3.628125,3.45,3.544375,8571200,2.548655
"2001-09-18",3.543125,3.660625,3.504375,3.526875,2729600,2.536073
"2001-09-19",3.561875,3.625,3.350625,3.4575,10507200,2.486186
"2001-09-20",3.4575,3.4575,3.25625,3.313125,13740800,2.38237
"2001-09-21",3.24375,3.34375,3.154375,3.28125,8582400,2.35945
"2001-09-24",3.2875,3.453125,3.265625,3.41875,2686400,2.458323
"2001-09-25",3.4375,3.55625,3.41875,3.49,2838400,2.509555
"2001-09-26",3.4925,3.521875,3.39125,3.439375,2243200,2.473153
"2001-09-27",3.4375,3.474375,3.330625,3.38125,4739200,2.431357
"2001-09-28",3.3875,3.584375,3.375,3.56125,7966400,2.56079
"2001-10-01",3.553125,3.561875,3.415,3.485,3510400,2.50596
"2001-10-02",3.495625,3.516875,3.4375,3.515625,3792000,2.527983
"2001-10-03",3.456875,3.770625,3.45625,3.71875,7681600,2.674043
"2001-10-04",3.74375,3.85,3.683125,3.694375,3108800,2.656516
"2001-10-05",3.689375,3.725625,3.628125,3.696875,3065600,2.658314
"2001-10-08",3.65,3.77375,3.59375,3.683125,2214400,2.648427
"2001-10-09",3.734375,3.734375,3.59375,3.630625,2433600,2.610676
"2001-10-10",3.5375,3.605,3.47375,3.480625,21377600,2.502815
"2001-10-11",3.51625,3.6175,3.446875,3.6075,12704000,2.594047
"2001-10-12",3.624375,3.62875,3.455,3.59375,5766400,2.58416
"2001-10-15",3.60625,3.671875,3.575625,3.6325,4704000,2.612023
"2001-10-16",3.61625,3.671875,3.590625,3.63875,3305600,2.616518
"2001-10-17",3.61,3.725,3.61,3.6225,3744000,2.604833
"2001-10-18",3.625,3.701875,3.608125,3.628125,2620800,2.608878
"2001-10-19",3.60875,3.67,3.55,3.65625,3364800,2.629101
"2001-10-22",3.631875,3.71,3.59375,3.68625,2049600,2.650674
"2001-10-23",3.706875,3.80875,3.69625,3.7325,3201600,2.683931
"2001-10-24",3.7775,3.808125,3.709375,3.73125,1904000,2.683032
"2001-10-25",3.716875,3.81125,3.628125,3.79625,3302400,2.729771
"2001-10-26",3.79375,3.84125,3.74625,3.7625,3126400,2.705503
"2001-10-29",3.740625,3.740625,3.683125,3.684375,1806400,2.649326
"2001-10-30",3.690625,3.690625,3.646875,3.653125,1889600,2.626854
"2001-10-31",3.690625,3.763125,3.685,3.690625,3387200,2.653819
"2001-11-01",3.671875,3.771875,3.63,3.728125,4137600,2.680785
"2001-11-02",3.704375,3.8125,3.704375,3.73875,2409600,2.688425
"2001-11-05",3.7525,3.805625,3.71875,3.73375,6665600,2.684828
"2001-11-06",3.7225,3.74625,3.640625,3.718125,5654400,2.673594
"2001-11-07",3.714375,3.7775,3.655,3.71375,2460800,2.670449
"2001-11-08",3.746875,3.778125,3.68125,3.68375,1779200,2.648876
"2001-11-09",3.711875,3.7125,3.641875,3.646875,2736000,2.62236
"2001-11-12",3.646875,3.65,3.578125,3.62875,4440000,2.609327
"2001-11-13",3.640625,3.7375,3.639375,3.7075,2756800,2.665954
"2001-11-14",3.725625,3.795625,3.715,3.77,2532800,2.710896
"2001-11-15",3.765625,3.765625,3.720625,3.763125,3752000,2.705953
"2001-11-16",3.7625,3.77375,3.68875,3.71875,2003200,2.674043
"2001-11-19",3.7175,3.75,3.673125,3.691875,4054400,2.654718
"2001-11-20",3.694375,3.694375,3.659375,3.674375,7390400,2.642134
"2001-11-21",3.679375,3.679375,3.61875,3.635,5201600,2.613822
"2001-11-23",3.6425,3.704375,3.635,3.685,8e+05,2.649775
"2001-11-26",3.690625,3.740625,3.665625,3.711875,3310400,2.6691
"2001-11-27",3.690625,3.725,3.644375,3.715625,3206400,2.671797
"2001-11-28",3.720625,3.721875,3.64875,3.67625,3536000,2.643483
"2001-11-29",3.676875,3.758125,3.67625,3.75625,4548800,2.701008
"2001-11-30",3.753125,3.8125,3.699375,3.768125,4116800,2.709548
"2001-12-03",3.75,3.750625,3.605,3.625625,4176000,2.60708
"2001-12-04",3.6425,3.6875,3.604375,3.675625,2571200,2.643034
"2001-12-05",3.6525,3.805625,3.651875,3.79875,6561600,2.731569
"2001-12-06",3.798125,4.085625,3.766875,3.933125,15124800,2.828194
"2001-12-07",3.93125,3.9375,3.87625,3.88,2494400,2.789993
"2001-12-10",3.87375,3.926875,3.810625,3.84875,1816000,2.767522
"2001-12-11",3.8525,3.90375,3.76,3.7875,3067200,2.723478
"2001-12-12",3.809375,3.84375,3.750625,3.8275,1585600,2.752243
"2001-12-13",3.8,3.855,3.73875,3.775,2350400,2.714492
"2001-12-14",3.79,3.875,3.751875,3.860625,1582400,2.776061
"2001-12-17",3.85,4.03125,3.85,3.998125,4441600,2.874933
"2001-12-18",4.03125,4.06875,4.010625,4.06875,3958400,2.925717
"2001-12-19",4.06875,4.10875,4.0375,4.061875,2601600,2.920774
"2001-12-20",4.058125,4.09375,3.990625,4.040625,1808000,2.905495
"2001-12-21",4.059375,4.109375,4.03125,4.03125,6510400,2.898753
"2001-12-24",4.02625,4.060625,4.010625,4.046875,2596800,2.909989
"2001-12-26",4.049375,4.15,4.04,4.11375,2793600,2.958076
"2001-12-27",4.125,4.1875,4.109375,4.155625,2539200,2.988187
"2001-12-28",4.1425,4.215625,4.1375,4.2,4104000,3.020096
"2001-12-31",4.2,4.234375,4.151875,4.151875,3248000,2.985491
"2002-01-02",4.218125,4.22625,4.096875,4.11875,5659200,2.961672
"2002-01-03",4.095625,4.19,4.086875,4.12125,5515200,2.963469
"2002-01-04",4.1225,4.265625,4.1225,4.2625,4308800,3.065038
"2002-01-07",4.264375,4.29375,4.23625,4.2675,3769600,3.068634
"2002-01-08",4.27,4.27125,4.161875,4.2,3539200,3.020096
"2002-01-09",4.195,4.286875,4.1875,4.2525,3163200,3.057848
"2002-01-10",4.25625,4.29375,4.225,4.259375,1848000,3.06279
"2002-01-11",4.263125,4.26375,4.23,4.254375,3753600,3.059196
"2002-01-14",4.24375,4.259375,4.1225,4.12625,4435200,2.967065
"2002-01-15",4.1225,4.125,4.035,4.05875,6480000,2.918526
"2002-01-16",4.050625,4.1025,3.954375,3.99125,2956800,2.869991
"2002-01-17",3.990625,4.05875,3.984375,4.0525,1678400,2.914033
"2002-01-18",4.00875,4.066875,4.008125,4.02375,2748800,2.89336
"2002-01-22",4.061875,4.2125,4.03875,4.15,7904000,2.984142
"2002-01-23",4.136875,4.261875,4.136875,4.2375,3734400,3.047061
"2002-01-24",4.241875,4.290625,4.20625,4.226875,2702400,3.039422
"2002-01-25",4.24875,4.24875,4.161875,4.19125,2948800,3.013804
"2002-01-28",4.203125,4.210625,4.13625,4.184375,3966400,3.00886
"2002-01-29",4.18125,4.235625,4.17,4.19625,2929600,3.0174
"2002-01-30",4.200625,4.25,4.18125,4.249375,4491200,3.055598
"2002-01-31",4.2075,4.2325,4.180625,4.181875,5712000,3.007062
"2002-02-01",4.201875,4.275625,4.18875,4.215625,2188800,3.031331
"2002-02-04",4.2,4.269375,4.19125,4.208125,3640000,3.025939
"2002-02-05",4.196875,4.385,4.159375,4.366875,6982400,3.140091
"2002-02-06",4.414375,4.46875,4.33125,4.363125,7481600,3.137394
"2002-02-07",4.36375,4.4375,4.331875,4.385,3153600,3.153123
"2002-02-08",4.38125,4.41875,4.269375,4.398125,4553600,3.162561
"2002-02-11",4.328125,4.45625,4.32125,4.453125,3707200,3.20211
"2002-02-12",4.43125,4.475,4.38125,4.45875,3763200,3.206155
"2002-02-13",4.46875,4.53125,4.435625,4.525,4216000,3.253795
"2002-02-14",4.51,4.54375,4.456875,4.486875,2566400,3.22638
"2002-02-15",4.465625,4.480625,4.37,4.393125,4072000,3.158967
"2002-02-19",4.369375,4.4125,4.369375,4.38875,2745600,3.155821
"2002-02-20",4.4125,4.453125,4.378125,4.436875,2745600,3.194975
"2002-02-21",4.4075,4.45875,4.396875,4.410625,2267200,3.176073
"2002-02-22",4.41375,4.443125,4.36875,4.4325,3859200,3.191825
"2002-02-25",4.43125,4.5625,4.39375,4.536875,2880000,3.266985
"2002-02-26",4.560625,4.696875,4.5375,4.68125,7233600,3.37095
"2002-02-27",4.681875,4.716875,4.65,4.66875,5662400,3.361947
"2002-02-28",4.671875,4.718125,4.649375,4.67125,3265600,3.363747
"2002-03-01",4.674375,4.6875,4.609375,4.64625,3492800,3.345746
"2002-03-04",4.6425,4.690625,4.614375,4.684375,7376000,3.373201
"2002-03-05",4.671875,4.8125,4.65625,4.6875,6385600,3.375449
"2002-03-06",4.678125,4.731875,4.675625,4.725625,6403200,3.402904
"2002-03-07",4.740625,4.79125,4.705625,4.775,4793600,3.438458
"2002-03-08",4.783125,4.833125,4.70125,4.748125,3873600,3.419105
"2002-03-11",4.75,4.75,4.62875,4.72625,4126400,3.403353
"2002-03-12",4.70625,4.70625,4.676875,4.689375,4681600,3.3768
"2002-03-13",4.693125,4.71875,4.675625,4.696875,4323200,3.3822
"2002-03-14",4.724375,4.75,4.665625,4.68125,2470400,3.37095
"2002-03-15",4.61125,4.745625,4.610625,4.709375,4996800,3.391202
"2002-03-18",4.719375,4.768125,4.664375,4.70625,2299200,3.388952
"2002-03-19",4.694375,4.818125,4.69375,4.80125,2780800,3.457361
"2002-03-20",4.778125,4.855,4.7775,4.819375,2939200,3.470411
"2002-03-21",4.834375,4.855,4.765625,4.77875,2124800,3.441159
"2002-03-22",4.791875,4.809375,4.7375,4.77375,4816000,3.437558
"2002-03-25",4.74375,4.785625,4.6625,4.685625,1691200,3.3741
"2002-03-26",4.68625,4.738125,4.645625,4.69375,3304000,3.379951
"2002-03-27",4.6925,4.7,4.6725,4.678125,2275200,3.368698
"2002-03-28",4.66875,4.740625,4.668125,4.7075,1836800,3.389851
"2002-04-01",4.7,4.71875,4.60625,4.674375,3043200,3.365999
"2002-04-02",4.67375,4.69125,4.5975,4.621875,1828800,3.328194
"2002-04-03",4.61,4.615,4.51875,4.534375,3528000,3.265184
"2002-04-04",4.53625,4.62,4.519375,4.60125,1635200,3.313341
"2002-04-05",4.604375,4.76125,4.590625,4.661875,2390400,3.356998
"2002-04-08",4.671875,4.695,4.625,4.691875,4030400,3.3786
"2002-04-09",4.698125,4.8725,4.698125,4.8375,11604800,3.483464
"2002-04-10",4.8875,5.155625,4.871875,5.124375,12040000,3.690043
"2002-04-11",5.054375,5.130625,5.035,5.081875,5249600,3.659438
"2002-04-12",5.084375,5.09125,4.978125,5.02875,6537600,3.621182
"2002-04-15",5.02375,5.093125,4.96,5.039375,5732800,3.628833
"2002-04-16",5.0625,5.18375,5.044375,5.148125,5350400,3.707144
"2002-04-17",5.1525,5.2025,5.0625,5.078125,3043200,3.656737
"2002-04-18",5.063125,5.110625,5.00625,5.055,1694400,3.640085
"2002-04-19",5.05625,5.10625,5.034375,5.081875,2268800,3.659438
"2002-04-22",5.078125,5.091875,5,5.041875,2939200,3.630635
"2002-04-23",4.9875,5.153125,4.9875,5.115,4256000,3.683291
"2002-04-24",5.1625,5.31875,5.11625,5.28375,8052800,3.804806
"2002-04-25",5.2675,5.396875,5.234375,5.395,5100800,3.884919
"2002-04-26",5.378125,5.405,5.291875,5.29625,7555200,3.813808
"2002-04-29",5.299375,5.331875,5.21125,5.233125,6131200,3.768351
"2002-04-30",5.225625,5.249375,5.146875,5.2275,9702400,3.764301
"2002-05-01",5.22,5.26,5.146875,5.15375,5609600,3.711195
"2002-05-02",5.1475,5.268125,5.146875,5.2425,9340800,3.775104
"2002-05-03",5.24625,5.259375,5.17625,5.25125,6241600,3.781404
"2002-05-06",5.256875,5.31875,5.225,5.230625,7710400,3.766551
"2002-05-07",5.264375,5.35625,5.2375,5.32375,7596800,3.833612
"2002-05-08",5.393125,5.419375,5.180625,5.235,6996800,3.769701
"2002-05-09",5.23375,5.31,5.1925,5.228125,3483200,3.764751
"2002-05-10",5.24625,5.246875,5.10375,5.1375,2046400,3.699492
"2002-05-13",5.205,5.20625,5.05,5.095,2673600,3.668888
"2002-05-14",5.125,5.2625,5.12375,5.24375,4492000,3.776005
"2002-05-15",5.24125,5.2925,5.1675,5.225,2210400,3.762501
"2002-05-16",5.24875,5.2775,5.205,5.27,1383200,3.794906
"2002-05-17",5.25125,5.31875,5.25,5.31875,2513600,3.83001
"2002-05-20",5.255,5.3325,5.25,5.2525,1897600,3.782303
"2002-05-21",5.25125,5.2625,5.15,5.16625,2240800,3.720196
"2002-05-22",5.1675,5.2475,5.125,5.13625,2218400,3.698594
"2002-05-23",5.13,5.18375,5.09375,5.12375,1396800,3.689593
"2002-05-24",5.11875,5.2025,5.07625,5.085,1696000,3.661688
"2002-05-28",5.12375,5.15,5.0175,5.05,1414400,3.636484
"2002-05-29",5.01,5.0825,4.9125,4.9475,1643200,3.562675
"2002-05-30",4.985,4.98625,4.795,4.87375,3195200,3.509567
"2002-05-31",4.8775,5,4.87625,4.93875,2473600,3.556374
"2002-06-03",4.9675,4.9675,4.75375,4.76375,3712800,3.430359
"2002-06-04",4.78875,4.81875,4.595,4.64125,6135200,3.342146
"2002-06-05",4.63,4.79625,4.61875,4.78,6752800,3.442058
"2002-06-06",4.7875,4.90625,4.7625,4.7875,6153600,3.447459
"2002-06-07",4.7775,4.91875,4.7625,4.88625,3065600,3.51857
"2002-06-10",4.95,5.005,4.91875,4.97125,3156800,3.579777
"2002-06-11",4.96375,5.01875,4.9125,4.91375,3158400,3.538371
"2002-06-12",4.9125,4.96875,4.8125,4.84625,2513600,3.489764
"2002-06-13",4.84875,4.84875,4.75,4.75375,1759200,3.423157
"2002-06-14",4.755,4.7725,4.645,4.72125,3168800,3.399754
"2002-06-17",4.7625,4.86,4.68375,4.79375,1814400,3.45196
"2002-06-18",4.7875,4.8325,4.775,4.79375,3060000,3.45196
"2002-06-19",4.80875,4.9225,4.745,4.84375,4053600,3.487966
"2002-06-20",4.84375,4.905,4.8175,4.8425,2777600,3.487065
"2002-06-21",4.89875,4.91375,4.81875,4.83375,3352800,3.480764
"2002-06-24",4.85625,4.88125,4.765,4.84375,4106400,3.487966
"2002-06-25",4.82375,4.89625,4.6575,4.69375,3420000,3.379951
"2002-06-26",4.65625,4.8125,4.61875,4.66875,3942400,3.361947
"2002-06-27",4.67875,4.84625,4.64375,4.76125,3288000,3.428558
"2002-06-28",4.75875,4.89625,4.75,4.81375,5127200,3.466362
"2002-07-01",4.78,4.91875,4.78,4.81375,2947200,3.466362
"2002-07-02",4.775,4.86875,4.66125,4.67625,3988800,3.367349
"2002-07-03",4.705,4.81875,4.5925,4.79375,4033600,3.45196
"2002-07-05",4.8725,5.0875,4.8225,5.01625,4433600,3.612182
"2002-07-08",4.9925,5.03375,4.92125,4.9725,5779200,3.580678
"2002-07-09",4.99375,5.03625,4.8475,4.865,3805600,3.503266
"2002-07-10",4.9,5.225,4.9,5.04625,12272800,3.633784
"2002-07-11",5.045,5.095,4.86875,4.9375,8473600,3.555475
"2002-07-12",4.85625,5.0125,4.71875,4.90375,5057600,3.53117
"2002-07-15",4.875,4.89875,4.725,4.81,3837600,3.463661
