"","ESV.Open","ESV.High","ESV.Low","ESV.Close","ESV.Volume","ESV.Adjusted"
"2001-02-21",160.199997,161.919998,153.679993,154,223800,118.384308
"2001-02-22",160,160.199997,149.919998,151.600006,547100,116.539352
"2001-02-23",152,155.039993,147.720001,149.679993,299300,115.063385
"2001-02-26",149.720001,159.199997,149.479996,157.520004,376800,121.090263
"2001-02-27",158,160.800003,154.479996,156.440002,197200,120.336388
"2001-02-28",158,158.399994,150.440002,152.440002,220100,117.259521
"2001-03-01",152,154.800003,151.320007,151.559998,201200,116.582619
"2001-03-02",153.199997,159.399994,152.600006,159.160004,170700,122.428696
"2001-03-05",161,166,159.600006,164.440002,454100,126.490173
"2001-03-06",163.600006,169.520004,161.199997,168.479996,298900,129.597809
"2001-03-07",168.479996,177.919998,168.119995,177.759995,629300,136.736145
"2001-03-08",177.600006,177.800003,173.399994,175.639999,388800,135.105392
"2001-03-09",175.679993,177.960007,168,171.080002,305100,131.597763
"2001-03-12",172.039993,173.199997,166.399994,166.600006,231700,128.151703
"2001-03-13",166,166.479996,158.600006,159,311500,122.305618
"2001-03-14",155.600006,162,151.600006,154.039993,477700,118.490318
"2001-03-15",154.279999,155.600006,139.880005,143,706700,109.998085
"2001-03-16",146.399994,149.720001,142,146.600006,360700,112.767281
"2001-03-19",146.600006,152.800003,146.279999,149.520004,200600,115.013443
"2001-03-20",151.199997,159.119995,150.759995,151.479996,271400,116.521065
"2001-03-21",150.800003,152.600006,144,145.199997,327600,111.690376
"2001-03-22",145.199997,145.399994,137.039993,141.919998,453900,109.167374
"2001-03-23",145.600006,151.600006,139.320007,148.800003,322400,114.459557
"2001-03-26",151.800003,154.759995,147.759995,148.240005,192600,114.028847
"2001-03-27",150.199997,150.199997,143.600006,147.800003,256700,113.690369
"2001-03-28",145.199997,146,136.919998,137.759995,373900,105.967422
"2001-03-29",137.800003,138.080002,131.080002,133.720001,405400,102.859802
"2001-03-30",140,142.800003,138.800003,140,360300,107.690475
"2001-04-02",142,142,131.080002,132.039993,322200,101.567505
"2001-04-03",133,136.399994,124.639999,126.360001,244000,97.198318
"2001-04-04",128.399994,136,128.399994,130.720001,336500,100.552124
"2001-04-05",134,140.800003,131.600006,138.600006,296000,106.613586
"2001-04-06",138.559998,141.800003,132.039993,136.839996,266200,105.259712
"2001-04-09",140,144.839996,139.600006,142.399994,224600,109.536583
"2001-04-10",144,149.399994,139.600006,147.199997,299800,113.228844
"2001-04-11",146.800003,148.839996,142.399994,143.839996,319000,110.644257
"2001-04-12",145,149.800003,145,146.639999,186800,112.798027
"2001-04-16",147.440002,151.039993,144.960007,147.279999,234200,113.290337
"2001-04-17",147.880005,151.559998,144.440002,151.559998,154200,116.582619
"2001-04-18",146,149.800003,140.520004,144.039993,552900,110.798111
"2001-04-19",144.039993,145.759995,140.399994,141,382600,108.459732
"2001-04-20",142.600006,146.240005,140.800003,141.759995,366500,109.044296
"2001-04-23",142.759995,147.759995,142.759995,145.919998,258000,112.244225
"2001-04-24",146.600006,149.720001,142,143.919998,289100,110.705795
"2001-04-25",143,148.360001,141.399994,147.800003,177000,113.690369
"2001-04-26",149.199997,159.199997,149.199997,156.800003,321300,120.613373
"2001-04-27",156.600006,157.600006,153.520004,155.479996,216900,119.597961
"2001-04-30",155.479996,161.759995,154,155.600006,206100,119.690201
"2001-05-01",155.600006,155.960007,152.080002,153.160004,157900,117.813347
"2001-05-02",144.160004,144.679993,138,138,442800,106.152046
"2001-05-03",139.960007,141,134.839996,138.639999,292500,106.644318
"2001-05-04",138.960007,141.800003,138.960007,141.399994,251000,108.767365
"2001-05-07",145.199997,145.199997,136.600006,138.479996,241100,106.521294
"2001-05-08",136,137.720001,133.399994,136.759995,219200,105.198212
"2001-05-09",136.759995,140.800003,136.759995,139,257100,106.921272
"2001-05-10",139,140.399994,135.039993,137.800003,209800,105.998192
"2001-05-11",137.399994,137.399994,133.800003,135.399994,156500,104.152061
"2001-05-14",136.399994,140.199997,136.080002,139.759995,199400,107.505829
"2001-05-15",141,143.880005,140.399994,142.800003,184900,109.844299
"2001-05-16",142.399994,147,142,143.639999,246300,110.490402
"2001-05-17",143.800003,149,140.800003,147.600006,348400,113.536552
"2001-05-18",148.199997,153.479996,148,150.199997,461500,115.536507
"2001-05-21",150.600006,151.839996,147.240005,148.080002,341300,113.905754
"2001-05-22",147.960007,147.960007,144,145.919998,345200,112.244225
"2001-05-23",145.919998,145.919998,140.720001,140.759995,249000,108.275093
"2001-05-24",136,136.039993,132,133.800003,620600,102.921303
"2001-05-25",136,139.559998,133,134.559998,275700,103.505928
"2001-05-29",136,136.600006,127.720001,129.800003,685500,99.84446
"2001-05-30",125.199997,126,122,123.599998,890000,95.075302
"2001-05-31",121,129.479996,121,128.839996,516000,99.10598
"2001-06-01",128.600006,130.360001,126.199997,127.199997,252400,97.920456
"2001-06-04",130,132.600006,127,128,873300,98.536301
"2001-06-05",128.479996,131.960007,125.760002,129.199997,478300,99.460083
"2001-06-06",127.199997,127.199997,122.599998,123.639999,434200,95.179932
"2001-06-07",122.080002,124.800003,118.760002,119.400002,530600,91.915909
"2001-06-08",119.599998,121.199997,118.400002,119.120003,407200,91.700386
"2001-06-11",121,121.440002,116.080002,117.760002,637100,90.653404
"2001-06-12",118.199997,122,116.839996,119.32,684900,91.85434
"2001-06-13",122,124.599998,118.279999,118.519997,635600,91.238495
"2001-06-14",119,119.800003,116.279999,116.839996,348300,89.945206
"2001-06-15",116.599998,119.879997,115.160004,116.32,456900,89.544922
"2001-06-18",115,116.599998,113,114.040001,428000,87.789734
"2001-06-19",114.400002,114.879997,109.839996,111.559998,503900,85.8806
"2001-06-20",111.559998,114.32,108.599998,109.760002,476800,84.494919
"2001-06-21",110.32,110.32,102.519997,104.480003,1148700,80.430298
"2001-06-22",104.800003,105.879997,98.32,100.800003,1373000,77.597336
"2001-06-25",100,103.919998,99,102.279999,1027500,78.736679
"2001-06-26",101.279999,105.199997,101.199997,103.68,492500,79.814468
"2001-06-27",102,102,97.199997,97.199997,496700,74.826004
"2001-06-28",97.199997,97.879997,91.519997,94,915600,72.362625
"2001-06-29",97.199997,97.599998,92.559998,93.599998,755900,72.054688
"2001-07-02",94.720001,94.959999,88,88.599998,828100,68.205627
"2001-07-03",89.599998,90.239998,86.400002,88.559998,588600,68.17485
"2001-07-05",89.519997,90.959999,87.959999,88.360001,830100,68.020851
"2001-07-06",89.32,90.480003,84.839996,89.559998,509600,68.944618
"2001-07-09",87.800003,88.599998,83.599998,85,795100,65.434303
"2001-07-10",85.959999,88.800003,83.400002,85.879997,764800,66.111694
"2001-07-11",82.599998,84.400002,80,84.400002,1204900,64.972404
"2001-07-12",83,85.199997,77.480003,78.599998,1182700,60.507462
"2001-07-13",77.599998,81.720001,76.599998,80.559998,983200,62.016296
"2001-07-16",81,83.440002,73.440002,74.519997,1340800,57.366611
"2001-07-17",77,78.080002,73.599998,77.279999,1079100,59.491306
"2001-07-18",75.400002,78.919998,73.32,77,1053100,59.275753
"2001-07-19",77.919998,79.160004,76.480003,78.080002,761300,60.107151
"2001-07-20",80.400002,87,79.800003,87,1037000,66.973938
"2001-07-23",87,88,85.199997,86.120003,674400,66.296463
"2001-07-24",86.400002,86.400002,82.480003,84,458200,64.664444
"2001-07-25",86,88.599998,81.800003,88,805700,67.743729
"2001-07-26",87.400002,89.599998,84.199997,86.879997,451000,66.881516
"2001-07-27",87.199997,89,84.239998,87.800003,405700,67.589783
"2001-07-30",88,89.800003,87.120003,88.519997,452500,68.144035
"2001-07-31",89,89.800003,82,82.760002,817000,63.7099
"2001-08-01",85.199997,85.279999,79,79.959999,652300,61.55442
"2001-08-02",80.760002,82.720001,79,82.199997,733700,63.278793
"2001-08-03",81.400002,82.480003,80.639999,81,488100,62.355019
"2001-08-06",81.199997,84,80.199997,82.040001,380400,63.155632
"2001-08-07",83,83.400002,79.400002,79.400002,538600,61.123318
"2001-08-08",80.599998,82,74.559998,75.599998,656500,58.198013
"2001-08-09",74.599998,77,74,75.599998,483700,58.198013
"2001-08-10",75.199997,78.199997,74.760002,77.599998,343000,59.737667
"2001-08-13",77.599998,78.400002,74.800003,76.199997,331400,58.659904
"2001-08-14",76.800003,77.800003,75.839996,76.599998,387900,58.967831
"2001-08-15",77.199997,84.160004,76.68,83.919998,793500,64.602898
"2001-08-16",83.599998,85.959999,80.040001,81.400002,625700,62.662922
"2001-08-17",80.800003,82,79.68,80.440002,300200,61.923946
"2001-08-20",80.440002,80.599998,78.68,78.760002,209900,60.630634
"2001-08-21",79.400002,81,78.559998,79.199997,307100,60.969357
"2001-08-22",81.599998,84.400002,78,79.199997,913900,60.969357
"2001-08-23",81,81,77.360001,77.68,330000,59.799263
"2001-08-24",77.199997,79.120003,76.800003,78.639999,265900,60.538277
"2001-08-27",80,80,78.400002,78.639999,291300,60.538277
"2001-08-28",77.800003,77.959999,75.839996,76.040001,321500,58.536739
"2001-08-29",76.800003,77.360001,74.800003,75.760002,660700,58.32119
"2001-08-30",75.400002,75.599998,70.239998,70.400002,673000,54.266624
"2001-08-31",72,73.800003,70.400002,72.959999,595800,56.239941
"2001-09-04",74,75.199997,73.120003,73.599998,452900,56.733284
"2001-09-05",73.400002,73.760002,71.519997,71.720001,314400,55.284092
"2001-09-06",72,75.480003,71.639999,74.440002,628100,57.380787
"2001-09-07",74.800003,75.599998,72.68,72.839996,335700,56.147442
"2001-09-10",72,75.040001,72,74.400002,224800,57.349941
"2001-09-17",78.400002,78.959999,67.879997,69.800003,601900,53.804108
"2001-09-18",67.800003,68,63,63.52,763100,48.963291
"2001-09-19",63.52,65.199997,56.799999,59.040001,799900,45.50996
"2001-09-20",58.599998,60.400002,57,57.48,929800,44.307461
"2001-09-21",54,61.439999,54,61.200001,720100,47.174946
"2001-09-24",59.200001,60,57,58.400002,403900,45.016621
"2001-09-25",58.799999,59.799999,55.119999,56.200001,889000,43.320789
"2001-09-26",55.880001,56.200001,52.599998,52.799999,1200800,40.699944
"2001-09-27",53,55.400002,51.240002,54.599998,584400,42.08746
"2001-09-28",55.599998,59.200001,55.599998,58.48,545200,45.078297
"2001-10-01",58.240002,58.799999,55.639999,56.48,309900,43.536625
"2001-10-02",57.599998,58.599998,56.279999,58.240002,317400,44.893291
"2001-10-03",57.200001,60.360001,56.279999,59.599998,449700,45.941605
"2001-10-04",61,65.519997,60.400002,64.480003,752400,49.703289
"2001-10-05",65,66,61.599998,64.440002,439500,49.672459
"2001-10-08",64.32,67.199997,62.720001,64.199997,412300,49.48745
"2001-10-09",65.199997,66.400002,64.199997,65.32,268700,50.350784
"2001-10-10",66,69.199997,65.120003,68.480003,484000,52.786617
"2001-10-11",69.199997,70.959999,66.639999,68,918100,52.416615
"2001-10-12",68.720001,70.760002,67.68,70.559998,444300,54.38995
"2001-10-15",71.199997,71.400002,68,68.120003,602600,52.509113
"2001-10-16",69.32,74.199997,68.080002,72.040001,456200,55.530785
"2001-10-17",73.400002,74.599998,71.879997,72.800003,668400,56.116592
"2001-10-18",72.199997,73,68.959999,69.639999,597600,53.680775
"2001-10-19",69.599998,74.32,67.199997,73.599998,609300,56.733284
"2001-10-22",74.400002,78,72.879997,77.599998,461500,59.816628
"2001-10-23",77.199997,82.199997,75.599998,79.839996,493300,61.543293
"2001-10-24",79.199997,79.839996,76,78.400002,553500,60.433292
"2001-10-25",76.199997,82.360001,76.199997,82.080002,765200,63.269924
"2001-10-26",82.599998,88.879997,82.599998,88.879997,855400,68.511604
"2001-10-29",88.879997,93.239998,87.480003,90.279999,823000,69.590782
"2001-10-30",84,86,80,81.440002,710700,62.77663
"2001-10-31",81.879997,83.919998,77,79.199997,703900,61.049946
"2001-11-01",79.199997,82.400002,76.400002,79.919998,459800,61.604931
"2001-11-02",80.199997,80.199997,76.599998,78.760002,318100,60.71077
"2001-11-05",78,81.599998,74,74.760002,428200,57.627453
"2001-11-06",73,74.959999,71.480003,74.400002,562200,57.349941
"2001-11-07",74.400002,81.199997,73.720001,80,590800,61.666615
"2001-11-08",81.199997,86,81.080002,83.279999,467600,64.194923
"2001-11-09",86,88.199997,85.080002,87.440002,491400,67.401611
"2001-11-12",85.199997,89.800003,82.519997,89.800003,604700,69.220787
"2001-11-13",90.800003,92,87.239998,89.959999,703900,69.344109
"2001-11-14",86.800003,86.839996,82.599998,82.800003,772900,63.824932
"2001-11-15",80,80.040001,68.800003,71.559998,1152500,55.16077
"2001-11-16",72.559998,74.480003,69.199997,73.279999,805800,56.486603
"2001-11-19",72,75.400002,69.199997,73.839996,786200,56.918285
"2001-11-20",76.400002,80,76.080002,79.559998,648500,61.327408
"2001-11-21",79.559998,80.559998,76.760002,77.919998,397500,60.06329
"2001-11-23",75.599998,80.919998,74.800003,80.68,168500,62.190765
"2001-11-26",78.440002,79.199997,76,77.800003,275600,59.97076
"2001-11-27",77.080002,80.919998,75.800003,78.32,505000,60.371593
"2001-11-28",78.32,80.800003,76.480003,78,350500,60.124935
"2001-11-29",78.199997,80.720001,76.879997,80.160004,251500,61.789944
"2001-11-30",80.080002,82.559998,78.400002,80.480003,474800,62.114094
"2001-12-03",80.599998,84.400002,79.199997,81.919998,469200,63.225506
"2001-12-04",82.400002,85.519997,80,85.32,350200,65.849579
"2001-12-05",87.400002,90.199997,87.400002,88.68,632400,68.442795
"2001-12-06",89.199997,89.199997,81.199997,84.400002,568900,65.139534
"2001-12-07",84.360001,84.800003,81,84.080002,684000,64.892517
"2001-12-10",84.040001,86.599998,83.32,83.760002,307900,64.645584
"2001-12-11",83.199997,85.720001,82.800003,85.599998,384900,66.065666
"2001-12-12",85.599998,88.400002,83.360001,88.400002,421500,68.226753
"2001-12-13",85,90,84.239998,87,479500,67.146225
"2001-12-14",87.400002,91.199997,85.919998,89.879997,295200,69.36898
"2001-12-17",89.080002,90.760002,85.839996,87.440002,288000,67.485802
"2001-12-18",87.440002,89.480003,86.599998,89.279999,434300,68.905899
"2001-12-19",90,94.800003,90,94.400002,452400,72.857483
"2001-12-20",95.400002,98,94.040001,94.040001,560600,72.579651
"2001-12-21",94.080002,96.440002,93.279999,94.279999,481100,72.764832
"2001-12-24",96,99.199997,95.800003,97.959999,152900,75.60508
"2001-12-26",100.400002,104.839996,99.959999,103.800003,551800,80.112366
"2001-12-27",101.800003,101.839996,98.599998,100.120003,438000,77.272156
"2001-12-28",102.400002,104.919998,99.400002,100.599998,351700,77.642609
"2001-12-31",100.599998,103.199997,97.599998,99.400002,379300,76.716469
"2002-01-02",98,98,91.599998,92.519997,728800,71.406502
"2002-01-03",92.519997,94.519997,89.919998,91.160004,497300,70.356834
"2002-01-04",93,96.559998,90.800003,95.080002,460600,73.382324
"2002-01-07",95.080002,97.120003,92.800003,95.440002,362000,73.660164
"2002-01-08",93.800003,95,92.160004,93.239998,216500,71.962204
"2002-01-09",93.239998,95.440002,91,94.599998,484400,73.011841
"2002-01-10",95,95.480003,91.599998,92.480003,241400,71.375656
"2002-01-11",92.480003,92.519997,88,88,265400,67.917999
"2002-01-14",86,87.879997,84.080002,85.120003,346300,65.695229
"2002-01-15",85.919998,89.400002,85.400002,88.199997,313400,68.072342
"2002-01-16",87.599998,87.639999,84.080002,85.160004,386700,65.726089
"2002-01-17",86.160004,87,84.199997,86.400002,289600,66.683113
"2002-01-18",87.800003,87.959999,85.519997,85.519997,177500,66.003929
"2002-01-22",86.400002,87.400002,83.480003,84.160004,233900,64.954285
"2002-01-23",85.160004,87.639999,83.839996,87.440002,378500,67.485802
"2002-01-24",87.599998,91.400002,87.559998,91.279999,505800,70.449478
"2002-01-25",92.199997,95.720001,91.160004,94,692300,72.548775
"2002-01-28",92.800003,94,90.360001,90.519997,373400,69.86293
"2002-01-29",89.599998,91.519997,87.68,89.239998,370500,68.875031
"2002-01-30",88.239998,92,86.519997,91.32,468000,70.480362
"2002-01-31",91.32,96.959999,91.32,95.199997,463800,73.474907
"2002-02-01",95.239998,98.400002,94.199997,95.199997,409800,73.474907
"2002-02-04",95.199997,96,92.160004,92.800003,208600,71.622658
"2002-02-05",92.400002,92.440002,89,91.239998,305100,70.418594
"2002-02-06",91.279999,95,91.279999,92.800003,226500,71.622658
"2002-02-07",91.199997,92.32,88.639999,88.760002,311700,68.504593
"2002-02-08",88.400002,90.32,87.279999,89.800003,353300,69.307243
"2002-02-11",89.800003,95,88.199997,94.080002,395300,72.610535
"2002-02-12",93.599998,95.720001,92,92.599998,336400,71.468277
"2002-02-13",92.599998,95.599998,90.599998,94,253300,72.548775
"2002-02-14",94.599998,97,92.800003,94.519997,236500,72.950096
"2002-02-15",95.199997,95.879997,92.519997,94.599998,237900,73.011841
"2002-02-19",94.199997,95.519997,91.599998,94,219800,72.548775
"2002-02-20",93,94.599998,91.199997,92.199997,239700,71.159538
"2002-02-21",93.400002,97.519997,93.400002,96.199997,358100,74.246727
"2002-02-22",96.080002,101,95.599998,99.559998,620400,76.91993
"2002-02-25",100.400002,105.400002,100.400002,104.800003,526800,80.968338
"2002-02-26",102,103.360001,101.480003,102.760002,592000,79.392212
"2002-02-27",103.519997,103.800003,99.760002,100.919998,282300,77.970642
"2002-02-28",101.400002,105,101.400002,101.879997,310700,78.712334
"2002-03-01",102.400002,103.040001,100.599998,101.919998,333500,78.743233
"2002-03-04",102.080002,106,101.120003,106,462900,81.895439
"2002-03-05",107.199997,107.480003,105,106.639999,323700,82.389885
"2002-03-06",106.639999,109,103.400002,108.919998,501600,84.151428
"2002-03-07",112.400002,115.360001,110.080002,110.919998,636600,85.696617
"2002-03-08",107.199997,108.800003,106.599998,108.400002,428300,83.74968
"2002-03-11",111.400002,112.040001,109.279999,111,354500,85.758423
"2002-03-12",109,113.800003,108.199997,112.720001,279400,87.087296
"2002-03-13",114.599998,115.879997,109.959999,110.400002,385100,85.294861
"2002-03-14",108.919998,109.360001,105.760002,108.160004,335300,83.564224
"2002-03-15",108.400002,112.720001,107.800003,111.68,328500,86.283821
"2002-03-18",111.919998,115.599998,110.599998,115.199997,323600,89.003334
"2002-03-19",116,120.32,114.68,120.279999,826300,92.928146
"2002-03-20",119.599998,122.400002,118.040001,118.800003,523200,91.784691
"2002-03-21",118,120.519997,116.040001,120.040001,383800,92.742729
"2002-03-22",116.599998,116.639999,113.199997,113.599998,402500,87.767197
"2002-03-25",112.800003,117.160004,112.68,114,280500,88.076225
"2002-03-26",114.279999,115.599998,111.199997,113,277900,87.303635
"2002-03-27",115.400002,120.400002,115.400002,120.360001,441100,92.98996
"2002-03-28",118.800003,122.800003,118,120.559998,337400,93.144478
"2002-04-01",124,124,120,121.919998,370400,94.195198
"2002-04-02",122.599998,126.800003,122.400002,122.599998,450300,94.720604
"2002-04-03",121.199997,121.199997,118.639999,119.559998,373300,92.371864
"2002-04-04",120.400002,121.160004,115,116.919998,532100,90.332245
"2002-04-05",117.400002,118.400002,114.599998,115.559998,382100,89.281471
"2002-04-08",118,119.720001,116,117.080002,331500,90.455826
"2002-04-09",115,116.360001,113.239998,113.800003,260500,87.921722
"2002-04-10",113.800003,117.839996,112.720001,115.199997,346300,89.003334
"2002-04-11",113.199997,116.360001,113.040001,114.599998,331200,88.539818
"2002-04-12",112,112.599998,107.800003,109.599998,630900,84.676811
"2002-04-15",116.400002,117,114.800003,115.720001,472200,89.405106
"2002-04-16",117,123.800003,116.599998,122.279999,599400,94.473335
"2002-04-17",126,130.800003,125.519997,129.839996,812800,100.314201
"2002-04-18",129.880005,132.800003,128,131.119995,589300,101.303116
"2002-04-19",130.199997,133.399994,128.800003,132.440002,383100,102.322922
"2002-04-22",132.440002,135.199997,129.919998,132.320007,404400,102.23027
"2002-04-23",131.600006,135.479996,131,135,339300,104.300819
"2002-04-24",130,135.199997,130,131.800003,565500,101.828491
"2002-04-25",132.600006,136.880005,131.600006,135.960007,477600,105.042496
"2002-04-26",135.960007,137.600006,133.880005,136.960007,401500,105.815102
"2002-04-29",136.600006,137.399994,135.440002,136,262200,105.073395
"2002-04-30",135.639999,136.919998,132.839996,135.039993,386100,104.331718
"2002-05-01",133.199997,137.639999,133.080002,137.199997,635300,106.000542
"2002-05-02",137.199997,139.559998,135.039993,139.160004,281600,107.514816
"2002-05-03",139.160004,140.800003,138,140.160004,515800,108.287384
"2002-05-06",136.800003,137.199997,132.960007,133.080002,345400,102.817444
"2002-05-07",133,133.600006,130.199997,131.520004,463500,101.612198
"2002-05-08",135,139.039993,134.800003,138,350900,106.618614
"2002-05-09",138,138,134.199997,134.600006,317900,103.99176
"2002-05-10",135,140.800003,134.839996,139.440002,493000,107.731117
"2002-05-13",138.440002,141.440002,137.199997,141.119995,296300,109.029106
"2002-05-14",141.119995,142,139.639999,141.440002,472000,109.276344
"2002-05-15",137,138,131.600006,132.479996,853500,102.353821
"2002-05-16",133.119995,134.399994,130.800003,133.199997,532300,102.91011
"2002-05-17",132.800003,132.800003,127.400002,128.800003,471000,99.510696
"2002-05-20",128,131.279999,126.400002,130,229700,100.437813
"2002-05-21",128.600006,130,127.080002,127.120003,214600,98.212723
"2002-05-22",125.199997,130.800003,125.040001,130.679993,281700,100.96315
"2002-05-23",132,133.520004,130.520004,133,348900,102.755592
"2002-05-24",132,133,130.520004,132.279999,273700,102.199303
"2002-05-28",132.600006,134.119995,132.440002,132.919998,351100,102.693771
"2002-05-29",131.919998,134.600006,129.720001,134,531600,103.528229
"2002-05-30",131.199997,133.600006,129,130.479996,332100,100.808678
"2002-05-31",131.399994,132.080002,129.039993,131,363300,101.288025
"2002-06-03",131,131,123.120003,123.199997,549200,95.257141
"2002-06-04",123.879997,124.879997,118,120.480003,553900,93.154091
"2002-06-05",118.599998,119.120003,113,115.839996,874600,89.566475
"2002-06-06",118.199997,120,112.879997,115.360001,733100,89.195282
"2002-06-07",115.360001,120.480003,113.199997,120.080002,432200,92.844765
"2002-06-10",119.800003,120.800003,114.440002,114.559998,386100,88.576752
"2002-06-11",114.599998,115.199997,107.720001,108.080002,597200,83.56649
"2002-06-12",110,110.879997,107.720001,109.120003,540600,84.370605
"2002-06-13",109.120003,114,107.199997,111.160004,629200,85.947929
"2002-06-14",110.800003,113.760002,106.800003,113.760002,431300,87.958237
"2002-06-17",116.279999,119.32,115.959999,117.279999,384200,90.679825
"2002-06-18",117.279999,119.199997,115.599998,115.68,272700,89.442764
"2002-06-19",115.519997,119.279999,114.199997,116.800003,465200,90.308716
"2002-06-20",119.279999,120.360001,115.480003,117.040001,502700,90.494286
"2002-06-21",118.040001,119,111.400002,117.080002,610300,90.525208
"2002-06-24",117.199997,119,114.720001,117.199997,374100,90.617973
"2002-06-25",124,124,115.32,115.599998,397200,89.38089
"2002-06-26",114,117.760002,112,117.68,480000,90.989136
"2002-06-27",118.68,119.959999,111.760002,113.120003,401700,87.463371
"2002-06-28",111.199997,114.160004,109.040001,109.040001,433300,84.308777
"2002-07-01",108.639999,110,106.32,106.400002,463000,82.267517
"2002-07-02",107.959999,109.480003,103.400002,104.800003,523000,81.030441
"2002-07-03",104.800003,108.519997,102.440002,108.040001,332800,83.535583
"2002-07-05",108.440002,113,108.440002,112.879997,189500,87.277802
"2002-07-08",111.279999,113.400002,106.959999,107.32,328400,82.978882
"2002-07-09",107.32,110,106.199997,108.68,307300,84.030388
"2002-07-10",111.800003,112.639999,105.559998,105.599998,353400,81.648956
"2002-07-11",104.080002,105.400002,99.440002,101.199997,455800,78.246948
"2002-07-12",102.400002,104.199997,97.32,99.199997,492300,76.700554
"2002-07-15",98.800003,100.400002,91.160004,96.959999,408600,74.96862
"2002-07-16",96,100.160004,93.440002,99.279999,351100,76.762413
"2002-07-17",102.599998,104,98.800003,100,414200,77.319122
"2002-07-18",99.879997,105.160004,99.879997,102.480003,397300,79.236649
"2002-07-19",102,102.480003,96.760002,97.760002,456500,75.587151
"2002-07-22",97.199997,100,90.239998,91.120003,483800,70.453178
"2002-07-23",92,94,87.440002,87.519997,398900,67.669678
"2002-07-24",84.800003,98.599998,84.760002,98.599998,615300,76.236649
"2002-07-25",97.68,100.599998,95,96.68,446600,74.752129
"2002-07-26",97.68,98.599998,94.400002,97,267900,74.99955
"2002-07-29",99.199997,105.720001,99,105.239998,301400,81.370605
"2002-07-30",104,108,103.080002,107.040001,428700,82.762383
"2002-07-31",106.800003,107.519997,101.800003,103.400002,315500,79.947968
"2002-08-01",103,104.599998,98.199997,98.440002,366400,76.1129
"2002-08-02",98.199997,99.879997,91.599998,92.360001,346700,71.411949
"2002-08-05",92.360001,95,89.080002,90,287000,69.587196
"2002-08-06",92,96.400002,92,95.559998,254400,73.886131
"2002-08-07",94.800003,96,88.959999,93.599998,569200,72.370674
"2002-08-08",93.599998,97.879997,92.599998,97,1144800,74.99955
"2002-08-09",97,101.120003,94.400002,100.599998,689500,77.783005
"2002-08-12",99.599998,105.720001,95.68,103.639999,405400,80.133537
"2002-08-13",103.800003,107.519997,102.480003,104.400002,435900,80.721138
"2002-08-14",106.800003,107,102,106.720001,505800,82.514977
"2002-08-15",107.279999,114.599998,106.720001,112.400002,660300,86.906677
"2002-08-16",110,111.919998,108.160004,110.760002,423200,85.638657
"2002-08-19",111.160004,114.400002,107.120003,112.160004,396400,86.721085
"2002-08-20",111.400002,111.440002,106.360001,106.639999,518600,82.453087
"2002-08-21",106.400002,107.839996,103.599998,107.839996,387000,83.380928
"2002-08-22",108.800003,114.760002,106.800003,112.519997,638700,86.999458
"2002-08-23",112,114.400002,110.599998,111.800003,493200,86.442749
"2002-08-26",112.120003,114.440002,109.279999,114.440002,312100,88.483986
"2002-08-27",115.400002,115.919998,109.599998,111.120003,340800,85.917007
