"","DE.Open","DE.High","DE.Low","DE.Close","DE.Volume","DE.Adjusted"
"2001-01-02",22.75,22.875,22.1875,22.40625,1556800,13.366164
"2001-01-03",22.09375,22.46875,21.65625,22.15625,2407000,13.217036
"2001-01-04",22.375,23.0625,22.28125,22.8125,3177600,13.608511
"2001-01-05",22.9375,22.9375,21.6875,22.09375,2105000,13.179751
"2001-01-08",21.9375,22.125,21.65625,21.96875,1209400,13.105186
"2001-01-09",22.1875,22.25,21.6875,22.0625,1143600,13.161109
"2001-01-10",21.625,22.125,21.03125,21.84375,2097600,13.030615
"2001-01-11",22.125,22.125,21.0625,21.53125,2177600,12.844195
"2001-01-12",21.53125,21.53125,19.96875,20.4375,3416000,12.19173
"2001-01-16",20.375,21.0625,20.03125,21,2464000,12.527287
"2001-01-17",20.875,20.9375,20.21875,20.625,2227600,12.303589
"2001-01-18",19.9375,20.4375,19.59375,20.21875,2339800,12.061243
"2001-01-19",20.25,20.3125,19.6875,20.0625,1618400,11.968032
"2001-01-22",19.8125,20.21875,19.1875,20,4272600,11.930749
"2001-01-23",20.03125,21.03125,20.03125,20.8125,2635400,12.415435
"2001-01-24",20.8125,21.15625,20.65625,20.90625,1639600,12.471362
"2001-01-25",21,21.4375,20.84375,21.34375,1740000,12.732348
"2001-01-26",21.0625,21.1875,20.59375,20.84375,1126400,12.434076
"2001-01-29",20.950001,21.125,20.799999,21.035,957000,12.548162
"2001-01-30",20.924999,21.549999,20.51,21.455,1087600,12.798712
"2001-01-31",21.4,22.040001,21.375,21.459999,2128000,12.801692
"2001-02-01",21.455,21.700001,21.004999,21.184999,1914200,12.637648
"2001-02-02",21.280001,21.4,21.075001,21.25,1098000,12.67642
"2001-02-05",21.299999,21.299999,21.004999,21.18,977000,12.63466
"2001-02-06",21,21.049999,20.725,20.945,1153800,12.494473
"2001-02-07",20.950001,21.275,20.950001,21.205,1109000,12.649575
"2001-02-08",21.254999,21.275,20.875,21.120001,1488200,12.598875
"2001-02-09",21.120001,21.48,20.959999,21.415001,1836800,12.774851
"2001-02-12",21.299999,21.34,20.799999,20.855,1957200,12.440789
"2001-02-13",20.625,21.424999,20.530001,21.075001,3221000,12.572022
"2001-02-14",21.5,21.535,20.559999,20.98,3402600,12.515357
"2001-02-15",20.98,21.25,20.799999,21.025,2338800,12.542198
"2001-02-16",21.025,21.424999,20.764999,20.924999,1421800,12.482544
"2001-02-20",20.475,20.775,19.705,20.205,3438400,12.053038
"2001-02-21",20.205,20.299999,19.625,19.875,1921800,11.856178
"2001-02-22",19.875,20.049999,19.549999,19.815001,1945800,11.820392
"2001-02-23",19.865,19.875,19.35,19.655001,2090400,11.72495
"2001-02-26",19.700001,20.549999,19.635,20.434999,1714400,12.190242
"2001-02-27",20.174999,20.65,20.125,20.434999,1523200,12.190242
"2001-02-28",20.440001,20.799999,19.985001,20.35,1996200,12.139537
"2001-03-01",20,20.545,20,20.309999,1901000,12.115677
"2001-03-02",20.4,20.889999,20.34,20.65,1216200,12.318501
"2001-03-05",20.6,21.475,20.6,21.205,2462200,12.649575
"2001-03-06",21.950001,21.950001,21.200001,21.365,1692800,12.745026
"2001-03-07",22,22.75,21.875,22.66,5113400,13.51754
"2001-03-08",22.6,22.98,22.52,22.955,2367600,13.693517
"2001-03-09",22.75,22.75,22.014999,22.235001,2481400,13.264009
"2001-03-12",21.75,22.075001,21.125,21.299999,2512800,12.706246
"2001-03-13",21.299999,22.004999,21.299999,21.775,2407800,12.989605
"2001-03-14",21.424999,21.424999,20.85,21.120001,2768200,12.598875
"2001-03-15",21.120001,21.504999,20.98,21.030001,3300000,12.545186
"2001-03-16",20.575001,20.85,20.450001,20.639999,2923800,12.312533
"2001-03-19",20.540001,20.780001,20.34,20.684999,2570000,12.339377
"2001-03-20",20.6,20.799999,20.025,20.165001,3225200,12.029178
"2001-03-21",19.5,19.504999,17.924999,19.084999,9092000,11.384919
"2001-03-22",18.825001,18.9,18.43,18.83,4081000,11.232804
"2001-03-23",18.375,18.75,17.959999,18.07,4688000,10.779429
"2001-03-26",18.174999,19,18.125,18.25,4727600,10.88681
"2001-03-27",18.375,18.6,18.120001,18.559999,3290600,11.071734
"2001-03-28",18.450001,18.875,18.129999,18.684999,2716000,11.280008
"2001-03-29",18.375,18.6,18.15,18.424999,2111800,11.123054
"2001-03-30",18.43,18.5,18.049999,18.17,2181600,10.969103
"2001-04-02",18.200001,18.65,17.805,18,2233200,10.866479
"2001-04-03",17.9,18,17.225,17.299999,2616200,10.443893
"2001-04-04",17.299999,17.93,17.27,17.719999,2827200,10.697445
"2001-04-05",17.719999,18.51,17.700001,18.4,2341600,11.107954
"2001-04-06",18.275,18.5,17.924999,18.4,2992400,11.107954
"2001-04-09",18.299999,18.875,18.299999,18.549999,2307600,11.198509
"2001-04-10",18.525,19.1,18.5,19.01,3180400,11.476213
"2001-04-11",19,19,18.299999,18.41,1827000,11.113992
"2001-04-12",18.415001,19,18.299999,19,1944600,11.470174
"2001-04-16",18.924999,19.285,18.915001,19.264999,1951800,11.630145
"2001-04-17",19.200001,19.325001,19.025,19.275,2375000,11.636189
"2001-04-18",19.275,20.58,19.125,20.215,2053400,12.203662
"2001-04-19",20.200001,20.200001,19.504999,19.584999,2136600,11.82333
"2001-04-20",19.584999,19.825001,19.295,19.764999,1572200,11.932001
"2001-04-23",19.799999,19.799999,19.424999,19.5,873000,11.772019
"2001-04-24",19.495001,19.674999,19.15,19.275,1524400,11.636189
"2001-04-25",19.225,19.59,18.975,19.555,1467800,11.805221
"2001-04-26",20.025,20.355,19.450001,20.25,2294800,12.224787
"2001-04-27",20.575001,20.620001,20.424999,20.525,1433800,12.390801
"2001-04-30",20.875,20.875,20.4,20.535,1477800,12.396838
"2001-05-01",20.5,20.85,20.200001,20.75,1264600,12.526632
"2001-05-02",20.825001,20.875,20.26,20.52,1486400,12.387782
"2001-05-03",20.395,20.395,19.924999,19.959999,1497600,12.049718
"2001-05-04",19.75,20.059999,19.52,20,1714200,12.073867
"2001-05-07",19.975,20.445,19.924999,20.15,946200,12.164417
"2001-05-08",20.025,20.285,19.975,20.135,1002000,12.155364
"2001-05-09",20.200001,20.475,19.975,20.450001,1201400,12.345531
"2001-05-10",20.5,20.73,20.375,20.575001,986800,12.420991
"2001-05-11",20.475,20.674999,20.355,20.5,789800,12.375711
"2001-05-14",20.375,20.620001,20.200001,20.504999,825400,12.378731
"2001-05-15",19.5,19.504999,18.9,19.26,6469200,11.627137
"2001-05-16",19.190001,19.99,19.049999,19.805,3614200,11.956144
"2001-05-17",19.780001,19.924999,19.424999,19.455,2019600,11.744854
"2001-05-18",19.5,19.625,19.4,19.475,2346400,11.756931
"2001-05-21",19.549999,19.549999,19.075001,19.280001,1693400,11.63921
"2001-05-22",19.25,19.639999,19.200001,19.48,2149000,11.759942
"2001-05-23",19.48,19.575001,19.035,19.08,1251000,11.51847
"2001-05-24",19.08,19.139999,18.575001,18.645,2521400,11.255858
"2001-05-25",18.65,18.65,18.280001,18.465,1209800,11.147201
"2001-05-29",18.450001,18.889999,18.355,18.495001,2233600,11.165307
"2001-05-30",18.450001,18.525,18.135,18.165001,1227600,10.966091
"2001-05-31",18.129999,18.785,18.055,18.68,2421200,11.276994
"2001-06-01",18.575001,18.799999,18.5,18.75,1684400,11.319247
"2001-06-04",18.825001,18.85,18.450001,18.67,1035800,11.270953
"2001-06-05",18.6,19.075001,18.450001,19,2015800,11.470174
"2001-06-06",18.9,19.1,18.775,18.950001,3001600,11.439993
"2001-06-07",18.924999,19.040001,18.764999,19.040001,1042400,11.494321
"2001-06-08",19,19.18,18.875,19.09,1856800,11.524508
"2001-06-11",19.094999,19.120001,18.65,18.66,895000,11.264915
"2001-06-12",18.665001,18.924999,18.5,18.85,1476400,11.379619
"2001-06-13",18.9,19.1,18.875,19.014999,2229800,11.479223
"2001-06-14",19.014999,19.4,18.924999,19.4,3034400,11.711648
"2001-06-15",19.4,19.51,19.200001,19.370001,2747200,11.693543
"2001-06-18",19.35,19.65,19.299999,19.49,1514600,11.765981
"2001-06-19",19.5,19.565001,19.450001,19.52,1407000,11.784096
"2001-06-20",19.52,19.855,19.35,19.459999,1744000,11.747873
"2001-06-21",19.5,19.975,19.355,19.715,2475600,11.901814
"2001-06-22",19.715,19.85,19.455,19.475,1179800,11.756931
"2001-06-25",19.5,19.559999,19.049999,19.094999,1472000,11.527526
"2001-06-26",19,19.1,18.674999,19.004999,1964200,11.473189
"2001-06-27",18.950001,19.15,18.9,19,1347400,11.604507
"2001-06-28",19.049999,19.174999,18.48,18.52,1914000,11.31134
"2001-06-29",18.375,19,18.205,18.924999,2532600,11.558696
"2001-07-02",18.75,19.040001,18.549999,18.934999,1473200,11.564806
"2001-07-03",18.934999,19.025,18.75,18.955,714200,11.577022
