"","OKE.Open","OKE.High","OKE.Low","OKE.Close","OKE.Volume","OKE.Adjusted"
"2001-01-02",10.478682,10.492361,10.095649,10.136688,869400,2.662576
"2001-01-03",10.191407,10.396603,10.095649,10.164047,1107900,2.669763
"2001-01-04",10.136688,10.136688,9.384302,9.49374,846500,2.493696
"2001-01-05",9.480061,10.341884,9.411662,10.300845,1015100,2.705695
"2001-01-08",10.300845,10.57444,10.246126,10.396603,878500,2.730848
"2001-01-09",10.355564,10.56076,10.355564,10.437642,990900,2.741627
"2001-01-10",10.410283,10.656518,10.410283,10.57444,907300,2.77756
"2001-01-11",10.57444,10.57444,9.986211,10.01357,888100,2.630238
"2001-01-12",10.451322,10.465002,9.603178,9.931492,1765300,2.608679
"2001-01-16",9.972531,9.972531,9.575819,9.849414,1354600,2.587119
"2001-01-17",9.890452,9.917812,9.685257,9.835733,613100,2.583526
"2001-01-18",9.917812,9.945171,9.589499,9.726295,729100,2.55478
"2001-01-19",9.767335,9.958852,9.603178,9.726295,522600,2.55478
"2001-01-22",9.657897,10.164047,9.657897,10.02725,526700,2.633831
"2001-01-23",10.02725,10.328204,10.02725,10.136688,524400,2.662576
"2001-01-24",10.136688,10.287165,10.123008,10.259806,561000,2.694914
"2001-01-25",10.218766,10.478682,10.218766,10.396603,401500,2.730848
"2001-01-26",10.410283,10.465002,9.917812,10.081969,446300,2.648203
"2001-01-29",10.015759,10.203992,9.958852,10.052968,329800,2.724355
"2001-01-30",10.0661,10.085799,9.917265,10.037646,276800,2.720203
"2001-01-31",10.01357,10.01357,9.761863,9.781562,390600,2.650803
"2001-02-01",9.794695,9.801261,9.564875,9.707144,522600,2.630636
"2001-02-02",9.707144,9.772807,9.685257,9.694012,647300,2.627077
"2001-02-05",9.689634,9.869112,9.689634,9.853791,729100,2.670377
"2001-02-06",9.958852,9.958852,9.764051,9.796884,321100,2.654955
"2001-02-07",9.847224,10.068289,9.829715,9.980739,340800,2.70478
"2001-02-08",10.002626,10.287165,10.002626,10.287165,530400,2.787822
"2001-02-09",10.276221,10.495097,10.199615,10.263089,539100,2.781297
"2001-02-12",10.276221,10.27841,10.15584,10.24339,699900,2.775958
"2001-02-13",10.256522,10.370337,10.177727,10.206182,317500,2.765875
"2001-02-14",10.203992,10.203992,10.035458,10.052968,210100,2.724355
"2001-02-15",9.947907,10.068289,9.849414,9.899755,557300,2.682833
"2001-02-16",9.92602,10.042025,9.92602,10.015759,524900,2.714271
"2001-02-20",9.685257,9.704955,9.59114,9.60865,1107000,2.603945
"2001-02-21",9.641481,9.783751,9.60865,9.632727,904100,2.610469
"2001-02-22",9.64367,9.739976,9.497024,9.5211,501100,2.580218
"2001-02-23",9.523289,9.60865,9.337244,9.488268,751500,2.571321
"2001-02-26",9.510156,9.718088,9.481702,9.562686,942500,2.591488
"2001-02-27",9.562686,9.691823,9.562686,9.634915,554600,2.611062
"2001-02-28",9.685257,9.729032,9.477324,9.619594,603000,2.60691
"2001-03-01",9.652425,9.726843,9.632727,9.669935,569200,2.620553
"2001-03-02",9.669935,9.871301,9.654613,9.799072,545500,2.655548
"2001-03-05",9.827526,9.941341,9.685257,9.709332,261300,2.63123
"2001-03-06",9.718088,9.718088,9.60865,9.613028,241600,2.605131
"2001-03-07",9.613028,9.910699,9.50359,9.665558,706300,2.619366
"2001-03-08",9.707144,9.739976,9.582385,9.604273,639600,2.602758
"2001-03-09",9.604273,9.604273,9.359132,9.363509,880800,2.537511
"2001-03-12",9.37883,9.446682,9.280336,9.302224,572000,2.520904
"2001-03-13",9.345999,9.345999,9.122746,9.159954,437200,2.482347
"2001-03-14",9.006742,9.105235,8.755034,8.962966,797700,2.428964
"2001-03-15",8.952023,9.313168,8.952023,9.149011,429400,2.479382
"2001-03-16",9.127123,9.328489,8.97391,8.976099,631400,2.432523
"2001-03-19",8.976099,9.124934,8.886359,9.118368,540900,2.471077
"2001-03-20",9.017685,9.192786,8.919191,8.919191,542700,2.417101
"2001-03-21",8.908247,8.910436,8.669673,8.669673,427100,2.349482
"2001-03-22",8.689371,8.689371,7.93425,8.236299,1054000,2.232037
"2001-03-23",8.271318,8.40921,8.218788,8.387322,549100,2.272964
"2001-03-26",8.470495,8.820697,8.470495,8.693748,853400,2.356006
"2001-03-27",8.711259,8.779111,8.645597,8.715636,406100,2.361937
"2001-03-28",8.700315,8.733147,8.634652,8.649974,388300,2.344144
"2001-03-29",8.678428,8.851339,8.652163,8.785677,565600,2.380919
"2001-03-30",8.765978,8.954211,8.765978,8.949834,633200,2.425405
"2001-04-02",8.930135,9.033007,8.755034,8.765978,672000,2.37558
"2001-04-03",8.765978,8.765978,8.452986,8.695938,861200,2.356598
"2001-04-04",8.695938,8.886359,8.678428,8.809753,715400,2.387443
"2001-04-05",8.809753,9.122746,8.809753,9.035195,1107000,2.448538
"2001-04-06",8.995797,9.017685,8.814131,8.914813,810000,2.415914
"2001-04-09",8.897304,9.192786,8.877604,9.159954,543600,2.482347
"2001-04-10",9.192786,9.453248,9.186219,9.402906,956200,2.548187
"2001-04-11",9.389774,9.391963,9.072404,9.157765,578800,2.481754
"2001-04-12",9.192786,9.352565,9.181842,9.34381,501100,2.532172
"2001-04-16",9.341621,9.628348,9.341621,9.553931,983600,2.589116
"2001-04-17",9.542987,9.783751,9.532043,9.774996,550000,2.649024
"2001-04-18",9.761863,9.76624,9.516722,9.569252,1118800,2.593267
"2001-04-19",9.60865,9.847224,9.400718,9.623971,915500,2.608096
"2001-04-20",9.62616,9.62616,9.348187,9.413851,967600,2.551154
"2001-04-23",9.444493,9.532043,9.30879,9.532043,450400,2.583184
"2001-04-24",9.529855,9.652425,9.499212,9.586762,442200,2.598013
"2001-04-25",9.586762,9.755297,9.575819,9.707144,312900,2.630636
"2001-04-26",9.641481,9.739976,9.553931,9.641481,736900,2.699035
