"","CRM.Open","CRM.High","CRM.Low","CRM.Close","CRM.Volume","CRM.Adjusted"
"2004-09-13",3.6,3.875,3.6,3.8,4345200,3.8
"2004-09-14",3.8,4.0225,3.75,3.9775,2052000,3.9775
"2004-09-15",3.98,4.285,3.925,4.085,4147200,4.085
"2004-09-16",4.0875,4.1225,4.015,4.065,2518400,4.065
"2004-09-17",4.05,4.0525,3.71,3.9175,4487600,3.9175
"2004-09-20",3.9375,4.025,3.9225,4.0025,597200,4.0025
"2004-09-21",4.0125,4.225,4.0125,4.09,2327200,4.09
"2004-09-22",4.075,4.075,3.9525,4.0175,2076800,4.0175
"2004-09-23",4.0175,4.0175,3.9125,3.9275,1117600,3.9275
"2004-09-24",3.99,4.2125,3.95,4.01,2796000,4.01
"2004-09-27",4,4.0175,3.8775,3.8975,1380000,3.8975
"2004-09-28",3.88,3.885,3.6925,3.75,1862800,3.75
"2004-09-29",3.7625,3.9675,3.7625,3.9375,1700400,3.9375
"2004-09-30",3.9375,3.9775,3.905,3.9075,4521200,3.9075
"2004-10-01",3.9075,4.195,3.88,4.1625,2613600,4.1625
"2004-10-04",4.2875,4.46,4.14,4.2175,3153200,4.2175
"2004-10-05",4.22,4.28,4.15,4.225,1360800,4.225
"2004-10-06",4.225,4.3125,4.1225,4.3125,1433600,4.3125
"2004-10-07",4.475,4.705,4.4025,4.625,5887200,4.625
"2004-10-08",4.615,4.615,4.3675,4.405,2528400,4.405
"2004-10-11",4.41,4.5875,4.4,4.545,1064800,4.545
"2004-10-12",4.5,4.5975,4.4175,4.5975,897200,4.5975
"2004-10-13",4.65,4.8075,4.6025,4.625,1728000,4.625
