"","UTX.Open","UTX.High","UTX.Low","UTX.Close","UTX.Volume","UTX.Adjusted"
"2001-01-02",38.875,38.875,37.28125,37.625,3390400,23.889282
"2001-01-03",37.375,38.125,36.59375,37.5625,4980800,23.849596
"2001-01-04",38.0625,38.125,36.34375,36.78125,4876200,23.353556
"2001-01-05",37,37,35.53125,35.5625,4172000,22.579733
"2001-01-08",35.6875,36.71875,35.59375,36.1875,3778600,22.976568
"2001-01-09",36.78125,36.84375,35.125,35.3125,4020400,22.420992
"2001-01-10",35.125,36.34375,34.546848,36.125,3798600,22.936888
"2001-01-11",36.53125,37.03125,36.40625,36.9375,3635400,23.452761
"2001-01-12",36.9375,36.9375,34.75,35.34375,4717600,22.440842
"2001-01-16",35.5,36,34.65625,35.46875,4627400,22.52021
"2001-01-17",36.1875,36.6875,35.8125,36.0625,4700800,22.8972
"2001-01-18",36.0625,36.84375,36.0625,36.53125,11040400,23.194824
"2001-01-19",36,36.1875,35.09375,35.53125,4991800,22.559904
"2001-01-22",35.875,36,34.875,35.9375,3640600,22.817833
"2001-01-23",35.9375,36.9375,35.6875,36.375,5645400,23.09561
"2001-01-24",36.5,36.78125,36.15625,36.5,3137400,23.174982
"2001-01-25",37.09375,38.1875,36.90625,37.78125,2904200,23.988491
"2001-01-26",37.8125,37.8125,36.5,36.5625,4381000,23.214666
"2001-01-29",37.150002,37.494999,36.799999,36.799999,2493800,23.365456
"2001-01-30",37.125,37.400002,36.75,37.209999,3231400,23.625786
"2001-01-31",37.5,37.549999,36.935001,37.490002,4252400,23.803572
"2001-02-01",37.490002,37.490002,36.52,37.075001,2666600,23.540073
"2001-02-02",37.200001,37.5,36.735001,36.98,2918800,23.479736
"2001-02-05",37.125,37.48,36.889999,37.099998,3123600,23.555944
"2001-02-06",36.974998,38.384998,36.84,37.18,3809000,23.606737
"2001-02-07",37.18,37.799999,36.935001,37.130001,3239800,23.574999
"2001-02-08",37.174999,37.790001,36.935001,37.505001,2037200,23.813095
"2001-02-09",38,38.075001,37.294998,37.439999,3192600,23.771814
"2001-02-12",37.875,37.895,37.43,37.5,2596200,23.809912
"2001-02-13",37.525002,39.025002,37.5,38.700001,5008800,24.571825
"2001-02-14",38.625,39.150002,38.275002,38.5,3899000,24.587791
"2001-02-15",38.75,39.875,38.724998,39.5,4406800,25.22644
"2001-02-16",39.5,39.799999,38.924999,39.125,3787000,24.986948
"2001-02-20",39.5,39.775002,39.375,39.375,4321800,25.146616
"2001-02-21",39.200001,40.200001,38.924999,39.560001,3908000,25.264759
"2001-02-22",39.560001,39.689999,38.75,39.224998,5653600,25.050808
"2001-02-23",38.849998,38.904999,38.095001,38.625,3859800,24.667633
"2001-02-26",38.200001,39.25,38.060001,39.224998,5035000,25.050808
"2001-02-27",39.25,40,38.849998,39.825001,6928800,25.433998
"2001-02-28",39.875,39.924999,38.299999,38.955002,4934800,24.878374
"2001-03-01",38.799999,39.415001,38.34,39.005001,4533600,24.910301
"2001-03-02",38.880001,39.459999,38.5,39.025002,3744400,24.923088
"2001-03-05",39.5,40.549999,39.400002,40.049999,5644400,25.577686
"2001-03-06",40.450001,40.950001,40.09,40.185001,5661000,25.663918
"2001-03-07",40.189999,41.200001,40.005001,40.845001,3747000,26.085424
"2001-03-08",40.974998,41.25,40.505001,41.040001,4535000,26.209957
"2001-03-09",41.040001,41.060001,40.599998,40.849998,2645000,26.088604
"2001-03-12",40.599998,40.605,39.125,39.200001,4882000,25.034828
"2001-03-13",39.25,39.625,38.724998,39.625,5033800,25.306271
"2001-03-14",38.549999,38.875,36.764999,37.5,11076600,23.949152
"2001-03-15",38.5,38.525002,37.27,37.875,7019600,24.188643
"2001-03-16",38,38.119999,35.625,35.715,8756000,22.80917
"2001-03-19",35.799999,36.549999,35.625,36.525002,5198800,23.326473
"2001-03-20",36.775002,37.224998,35.825001,35.915001,4253600,22.936907
"2001-03-21",35.849998,35.855,34.849998,34.860001,4205800,22.263142
"2001-03-22",34.75,34.75,32.450001,33.674999,9875600,21.506344
"2001-03-23",33.674999,34.200001,32.715,33.5,7726200,21.394579
"2001-03-26",34,36.25,33.75,35.880001,8473800,22.914549
"2001-03-27",35.880001,37.5,35.5,37.23,8149000,23.776711
"2001-03-28",36.950001,37.099998,36.099998,36.599998,5992200,23.374374
"2001-03-29",36.599998,37.625,36.224998,37.275002,4960000,23.805464
"2001-03-30",37.375,37.5,36.375,36.650002,4716800,23.406301
"2001-04-02",36.799999,37.424999,36.165001,36.700001,4580800,23.438234
"2001-04-03",36.299999,36.564999,35.189999,35.415001,5855200,22.617584
"2001-04-04",35.299999,36.369999,35,35.700001,4320600,22.799597
"2001-04-05",36.299999,37.700001,36.299999,37.575001,3674400,23.997053
"2001-04-06",37,37.5,36.599998,36.889999,3218400,23.559576
"2001-04-09",37,37.93,37,37.459999,2754000,23.923609
"2001-04-10",36.5,37.615002,36.115002,37.299999,6334000,23.821423
"2001-04-11",37.125,37.235001,36.169998,36.424999,4532200,23.262606
"2001-04-12",36.950001,37.689999,36.625,37.689999,2995600,24.070501
"2001-04-16",37.674999,38.325001,37.299999,37.645,2628200,24.041756
"2001-04-17",37.525002,38,37.150002,37.799999,2283800,24.140739
"2001-04-18",38.299999,39.924999,38.150002,39.049999,4444000,24.939056
"2001-04-19",38.924999,38.93,38.150002,38.650002,4559000,24.683596
"2001-04-20",38.049999,38.599998,38.049999,38.365002,3202800,24.501583
"2001-04-23",38.75,38.75,38.139999,38.330002,2067200,24.479227
"2001-04-24",38.275002,38.924999,38.25,38.25,2580800,24.428127
"2001-04-25",38.375,38.470001,37.474998,38.224998,2512200,24.41218
