"","LMT.Open","LMT.High","LMT.Low","LMT.Close","LMT.Volume","LMT.Adjusted"
"2001-01-02",33.950001,34.75,33.709999,34.099998,1625000,21.087032
"2001-01-03",33.5,34.5,33.150002,33.650002,2071200,20.808758
"2001-01-04",33.400002,33.799999,32.5,33.400002,2207400,20.654163
"2001-01-05",33,33.119999,32.400002,32.849998,669000,20.314053
"2001-01-08",32.599998,33.650002,32.400002,32.91,729700,20.351151
"2001-01-09",32.25,34.5,32.25,34.240002,1046700,21.173615
"2001-01-10",33.599998,34.189999,33,33.77,1042000,20.882969
"2001-01-11",33.25,34.25,33,33.59,1361500,20.771654
"2001-01-12",33.84,34,32.509998,33.549999,1153200,20.746912
"2001-01-16",33.549999,33.900002,32.52,33.400002,858300,20.654163
"2001-01-17",32.900002,34,32,32.02,909200,19.800781
"2001-01-18",32.5,32.799999,31.620001,31.950001,1684200,19.7575
"2001-01-19",31,31.950001,31,31.73,1513900,19.621449
"2001-01-22",31.6,33.349998,31.1,33.259998,1009600,20.567577
"2001-01-23",32.75,33.369999,32.700001,33,764700,20.406801
"2001-01-24",32.75,33,31.200001,32,1392000,19.788418
"2001-01-25",33.5,35,33.049999,34.509998,4272100,21.340561
"2001-01-26",34.950001,35.25,34.099998,34.880001,4126500,21.56938
"2001-01-29",34.599998,35.130001,34.25,35.049999,1589700,21.674496
"2001-01-30",34.849998,34.950001,34.299999,34.740002,1254900,21.482798
"2001-01-31",34.950001,34.950001,34.549999,34.68,1515500,21.445702
"2001-02-01",34.68,36.5,34.59,36.209999,2446500,22.391829
"2001-02-02",36.25,37.5,36,36.400002,2566800,22.509329
"2001-02-05",35.650002,36.900002,35.400002,36.299999,2046900,22.447495
"2001-02-06",36.310001,36.439999,35.900002,35.939999,1055600,22.224865
"2001-02-07",36.150002,36.549999,35.110001,36.130001,1871500,22.342356
"2001-02-08",35.799999,36.84,35.779999,36.630001,1301100,22.651548
"2001-02-09",36.950001,37.09,35.75,36.130001,948300,22.342356
"2001-02-12",36.299999,36.549999,34.740002,34.900002,2067000,21.581739
"2001-02-13",34.900002,37,34.5,36.91,1776600,22.824699
"2001-02-14",36.849998,37.650002,35.5,35.82,2160100,22.150663
"2001-02-15",35.389999,36.59,35.099998,35.689999,1795300,22.070274
"2001-02-16",35.689999,37.200001,35.110001,36.25,4712800,22.416565
"2001-02-20",36.939999,37.849998,36.200001,37.48,1796600,23.177176
"2001-02-21",37.650002,38.25,36.650002,36.849998,1928000,22.787594
"2001-02-22",37.099998,38.200001,37.099998,37.75,2036600,23.344152
"2001-02-23",37,37.560001,36.299999,36.950001,1547800,22.849442
"2001-02-26",36.900002,38.009998,36.599998,37.98,1776400,23.486382
"2001-02-27",37.650002,38,37.419998,38,2501900,23.498741
"2001-02-28",37.950001,38.150002,36.900002,37.459999,1790100,23.16482
"2001-03-01",37.099998,37.25,35.700001,36.73,1868900,22.780277
"2001-03-02",36.349998,38.299999,36.23,38.299999,1910800,23.754009
"2001-03-05",37.900002,38.639999,37.709999,38.439999,1879900,23.840841
"2001-03-06",39,39,36.900002,37.380001,1742000,23.183418
"2001-03-07",37.75,39.25,37.470001,39.049999,3779400,24.219173
"2001-03-08",38.950001,39.5,38.150002,38.599998,2303000,23.940075
"2001-03-09",38.700001,38.900002,38.009998,38.560001,1443400,23.915277
"2001-03-12",38.310001,39.41,38.099998,38.990002,2569100,24.181957
"2001-03-13",38.599998,38.900002,37.599998,38.34,1605700,23.778816
"2001-03-14",37.75,38.400002,36.150002,37.639999,2859600,23.344679
"2001-03-15",37.25,37.5,36.150002,37.5,1865300,23.257839
"2001-03-16",36.5,37.599998,36.32,37,2283900,22.947746
"2001-03-19",36.599998,36.740002,34.68,36.200001,2206400,22.451574
"2001-03-20",36,36,34.700001,34.970001,1586800,21.688725
"2001-03-21",35.130001,35.130001,34.099998,34.459999,1605800,21.372408
"2001-03-22",33.75,34.049999,31.6,34,2246600,21.087109
"2001-03-23",33.799999,35.389999,33.419998,34.900002,2158900,21.645304
"2001-03-26",35.25,36.200001,35.240002,36.110001,1238700,22.395744
"2001-03-27",35.700001,37,35.630001,36.41,2182500,22.581806
"2001-03-28",36.41,36.41,34,35.07,1903300,21.750734
"2001-03-29",35.099998,36.299999,34.950001,35.990002,1091200,22.321329
"2001-03-30",36.240002,36.25,35.400002,35.650002,1162300,22.110464
"2001-04-02",35.650002,36.400002,35.200001,35.950001,2270200,22.296522
"2001-04-03",35.849998,36.25,35.150002,35.900002,1088000,22.265501
"2001-04-04",35.25,35.700001,34.849998,35.5,2414000,22.017422
"2001-04-05",35.25,36.450001,34.849998,35.950001,1850000,22.296522
"2001-04-06",35.849998,36.25,35.450001,36,812200,22.327538
"2001-04-09",36,36.650002,35.639999,35.799999,752800,22.203499
"2001-04-10",35.75,36.41,35.259998,36.41,2838900,22.581806
"2001-04-11",36.950001,36.970001,36.029999,36.400002,1442500,22.575607
"2001-04-12",36.450001,36.849998,36.16,36.650002,849700,22.730669
"2001-04-16",36.25,36.450001,35.779999,36.25,727900,22.482584
"2001-04-17",36,36.400002,35.5,36.25,634800,22.482584
"2001-04-18",36.389999,36.950001,35.75,36.150002,1647900,22.420563
"2001-04-19",35.900002,36.119999,34.200001,35.200001,1876700,21.831364
"2001-04-20",34.400002,35.459999,34.349998,34.970001,1717400,21.688725
