"","V.Open","V.High","V.Low","V.Close","V.Volume","V.Adjusted"
"2008-03-19",14.875,17.25,13.75,14.125,708486000,11.199718
"2008-03-20",14.6,16.25,14.375,16.0875,198985200,12.755784
"2008-03-24",16.809999,16.924999,14.75,14.9325,149566400,11.839988
"2008-03-25",15.145,16.0625,14.955,15.8125,87092000,12.537743
"2008-03-26",15.6825,16.120001,15.3925,15.99,43111600,12.678481
"2008-03-27",16.012501,16.184999,15.6625,15.7275,39829600,12.470345
"2008-03-28",15.8425,15.86,15.54,15.69,24675200,12.440609
"2008-03-31",15.65,15.87,15.5125,15.59,22157200,12.361317
"2008-04-01",15.765,15.92,15.0775,15.4025,60410800,12.212651
"2008-04-02",15.43,15.58,15.125,15.58,43836400,12.353387
"2008-04-03",15.4875,16.5725,15.455,16.375,100868000,12.983747
"2008-04-04",16.225,16.33,15.9375,16.120001,36394400,12.781558
"2008-04-07",16.275,16.450001,16.004999,16.26,28301600,12.892564
"2008-04-08",16.225,17.059999,16.202499,17.022499,53925600,13.497151
"2008-04-09",17.110001,17.18,16.4025,16.4475,48324400,13.04123
"2008-04-10",16.540001,16.682501,16.2775,16.5275,22372000,13.104666
"2008-04-11",16.3125,16.692499,16.3125,16.5275,26421600,13.104666
"2008-04-14",16.674999,16.809999,16.3825,16.42,28443600,13.019426
"2008-04-15",16.5725,16.637501,16,16.0875,23888000,12.755784
"2008-04-16",16.139999,16.737499,16.139999,16.535,25136800,13.110607
"2008-04-17",16.565001,16.9375,16.502501,16.76,22459600,13.289018
"2008-04-18",17.002501,17.612499,16.799999,17.25,104099600,13.677534
"2008-04-21",17.370001,18.125,17.2125,17.7425,58848000,14.068041
"2008-04-22",17.98,18.1,17.5,17.57,47357600,13.931261
"2008-04-23",17.737499,17.924999,17.422501,17.52,37319600,13.891617
"2008-04-24",17.799999,18.247499,17.51,18.075001,38086800,14.331679
"2008-04-25",19,19.02,18.477501,18.775,101460000,14.886711
"2008-04-28",19.125,19.3225,18.725,18.907499,132517200,14.991769
"2008-04-29",18.5375,20.219999,17.75,20.219999,197308400,16.032452
"2008-04-30",20.35,21.202499,20.2675,20.862499,147543600,16.541889
"2008-05-01",21.0975,21.91,20.975,21.35,116395600,16.928423
"2008-05-02",21.8225,21.875,20.25,20.6875,136648800,16.403137
"2008-05-05",20.7125,21.375,20.205,21.264999,70377200,16.861025
"2008-05-06",21.3675,22.0375,21.1875,21.8825,75913200,17.350643
"2008-05-07",22.2075,22.459999,21.915001,22.125,100464800,17.542925
"2008-05-08",22.375,22.4375,21.485001,21.825001,92836400,17.305054
"2008-05-09",21.452499,21.6675,20.629999,20.715,94312000,16.424938
"2008-05-12",20.9125,21.120001,19.525,20.475,147471600,16.23464
"2008-05-13",20.4575,20.875,20.1975,20.594999,53249600,16.329788
