"","FMC.Open","FMC.High","FMC.Low","FMC.Close","FMC.Volume","FMC.Adjusted"
"2001-01-02",15.489484,15.774068,14.960972,14.960972,1206900,6.074637
"2001-01-03",15.110039,15.448829,14.906765,15.448829,1146500,6.272723
"2001-01-04",15.448829,15.841825,15.421726,15.78762,1301900,6.410281
"2001-01-05",15.936687,16.017996,15.760516,15.855377,1685600,6.437794
"2001-01-08",15.841825,16.261925,15.719861,16.031548,1013200,6.509326
"2001-01-09",15.828274,15.936687,15.692758,15.801171,1057900,6.415787
"2001-01-10",15.746964,16.397442,15.46238,16.343235,1625200,6.63588
"2001-01-11",16.343235,16.343235,15.801171,15.801171,1417700,6.415787
"2001-01-12",15.801171,16.153513,15.394623,16.072203,1251200,6.525834
"2001-01-16",15.719861,16.180616,15.530139,16.099306,909900,6.536839
"2001-01-17",16.153513,16.194168,15.638552,15.96379,938500,6.481813
"2001-01-18",15.977342,15.977342,15.503036,15.719861,926500,6.382771
"2001-01-19",15.719861,15.719861,15.448829,15.638552,1726200,6.349758
"2001-01-22",15.584345,15.625,14.852558,15.191349,2006200,6.168177
"2001-01-23",15.177797,15.448829,15.177797,15.326864,904800,6.223202
"2001-01-24",15.28621,15.313313,14.893213,14.94742,1253500,6.069136
"2001-01-25",14.960972,15.2049,14.893213,14.906765,1015500,6.052628
"2001-01-26",14.960972,15.015178,14.635733,14.86611,886800,6.03612
"2001-01-29",14.928448,15.101908,14.865568,14.960972,542800,6.074637
"2001-01-30",14.917606,15.416306,14.765828,15.112749,758600,6.136264
"2001-01-31",15.112749,15.429315,15.112749,15.255855,1092500,6.19437
"2001-02-01",15.470511,15.539896,15.28621,15.418473,777100,6.260399
"2001-02-02",15.45967,15.741544,15.45967,15.6353,937600,6.348436
"2001-02-05",15.6353,15.936687,15.600607,15.847789,927900,6.434714
"2001-02-06",15.849957,15.984388,15.700347,15.882481,1229500,6.448799
"2001-02-07",15.882481,15.882481,15.654814,15.724197,577800,6.384532
"2001-02-08",15.750216,15.750216,15.357762,15.526886,1040400,6.304415
"2001-02-09",15.581093,15.730702,15.524718,15.633131,721300,6.347556
"2001-02-12",15.719861,15.880312,15.448829,15.830442,794600,6.427671
"2001-02-13",15.830442,16.264093,15.828274,16.264093,1206400,6.603746
"2001-02-14",16.264093,16.899393,16.264093,16.47875,3365800,6.690905
"2001-02-15",16.532957,16.858196,16.532957,16.663054,1464300,6.765738
"2001-02-16",16.630529,16.793148,16.30529,16.383348,1381200,6.652168
"2001-02-20",16.30529,16.565481,16.30529,16.435387,633600,6.673298
"2001-02-21",16.435387,16.489592,16.153513,16.153513,902500,6.558848
"2001-02-22",16.261925,16.500433,16.088465,16.272766,1613200,6.607268
"2001-02-23",16.348656,16.522116,16.045099,16.088465,1356800,6.532438
"2001-02-26",16.099306,16.738941,16.099306,16.676062,887800,6.771019
"2001-02-27",16.7281,16.803989,16.652212,16.680399,705600,6.772781
"2001-02-28",16.680399,16.903728,16.47875,16.643539,1122500,6.757814
"2001-03-01",16.598005,16.608847,16.283607,16.446228,1559700,6.677701
"2001-03-02",16.47875,16.775803,16.424545,16.738941,1370200,6.796551
"2001-03-05",16.858196,17.508673,16.858196,17.32654,1843400,7.035132
"2001-03-06",17.411102,17.421944,17.150911,17.398092,985100,7.064188
"2001-03-07",17.391586,18.104944,17.372072,17.977016,2016800,7.299248
"2001-03-08",17.996531,18.213356,17.812229,18.1353,1723500,7.363517
"2001-03-09",18.018213,18.202515,17.9098,18.009541,2043500,7.312455
"2001-03-12",17.888119,18.007372,17.606245,17.617086,1477200,7.153107
"2001-03-13",17.619255,17.619255,17.096704,17.320034,897900,7.032491
"2001-03-14",17.042498,17.172594,16.652212,16.760624,1642700,6.805355
"2001-03-15",16.760624,16.814831,16.426712,16.47875,733300,6.690905
"2001-03-16",16.261925,16.571985,16.123158,16.233738,2081800,6.591422
"2001-03-19",16.229401,16.652212,16.20772,16.49176,1040000,6.696186
"2001-03-20",16.392021,16.869038,16.20772,16.467909,2021900,6.686503
"2001-03-21",16.467909,16.467909,15.958369,16.094969,1002100,6.535077
"2001-03-22",15.882481,15.882481,14.906765,15.359931,1776000,6.236626
"2001-03-23",15.503036,15.904163,15.247181,15.804423,1040900,6.417106
"2001-03-26",15.763227,16.261925,15.763227,16.196878,797800,6.576455
"2001-03-27",16.218561,16.587164,15.936687,16.513443,1493300,6.704992
"2001-03-28",16.459236,16.459236,15.936687,16.023417,1763100,6.506025
"2001-03-29",15.936687,16.218561,15.752385,15.852125,1088800,6.436474
"2001-03-30",15.893322,16.077623,15.687337,15.967043,751700,6.483134
"2001-04-02",16.045099,16.348656,15.676497,15.862967,2027800,6.440877
"2001-04-03",15.862967,15.862967,15.325238,15.411969,1070400,6.257757
"2001-04-04",15.455334,15.925845,15.37294,15.503036,2640300,6.294731
"2001-04-05",15.611448,15.784909,15.37294,15.743712,2694300,6.392456
"2001-04-06",15.743712,15.743712,14.960972,15.212489,2570700,6.176761
"2001-04-09",15.307893,15.735039,15.307893,15.457502,1327300,6.276245
"2001-04-10",15.437988,15.843451,15.437988,15.74588,1524200,6.393335
"2001-04-11",15.828274,15.828274,15.331743,15.448829,933400,6.272723
"2001-04-12",15.503036,15.667823,15.242845,15.492194,930700,6.290331
"2001-04-16",15.546401,15.882481,15.138768,15.24935,1060700,6.191728
"2001-04-17",15.19948,15.897658,14.982654,15.856462,2540200,6.438236
"2001-04-18",16.066782,16.47875,15.676497,16.190372,1531600,6.573814
"2001-04-19",16.153513,16.153513,15.568083,15.687337,1746100,6.369565
"2001-04-20",15.665655,15.941024,15.351257,15.362099,1610000,6.237507
"2001-04-23",15.383781,15.828274,15.362099,15.433651,1205500,6.266561
"2001-04-24",15.340416,15.806591,15.340416,15.468344,1369700,6.280648
"2001-04-25",15.516046,15.52255,15.264527,15.383781,1089300,6.246313
"2001-04-26",15.394623,15.936687,15.394623,15.741544,1366500,6.391576
"2001-04-27",15.795751,15.893322,15.505204,15.6353,1305100,6.348436
