"","WinIndex","WinBAH","WinTrade","AnnRetIndex","AnnRetBAH","AnnRetTrade","AnnSharpeIndex","AnnSharpeBAH","AnnSharpeTrade","MaxDDIndex","MaxDDBAH","MaxDDTrade","Accuracy","Precision","Recall"
"MAT",0.545045045045045,0.523882113821138,0.576771653543307,0.122782358142683,0.0502413217674732,0.227327619861188,0.838184053133359,0.175077884364423,1.14906863064416,0.19388242085951,0.668994779027235,0.512600512108072,0.491428571428571,0.501625135427952,0.518477043673012
"MSI",0.545045045045045,0.525595539787126,0.598712446351931,0.122782358142683,0.184241400605027,0.336949930698842,0.838184053133359,0.812329961023362,2.04451114747204,0.19388242085951,0.19135167854901,0.222079751337951,0.509714285714286,0.482352941176471,0.546666666666667
"XL",0.545045045045045,0.531408308004053,0.617812852311161,0.122782358142683,0.144185948167904,0.318759830876616,0.838184053133359,0.608294919537265,2.0368471506387,0.19388242085951,0.270729431996494,0.243029561981919,0.513714285714286,0.460484720758693,0.563144329896907
"EW",0.545045045045045,0.52784746613146,0.588120740019474,0.122782358142683,0.250266577682396,0.299950745957861,0.838184053133359,0.797871076603447,1.28529248840339,0.19388242085951,0.440182250569476,0.438297965392913,0.501142857142857,0.512486427795874,0.526785714285714
"AMZN",0.545045045045045,0.526078234704112,0.593220338983051,0.122782358142683,0.331318665863465,0.405799646669401,0.838184053133359,1.06693088428798,1.88189885026331,0.19388242085951,0.305344572323,0.280564187238048,0.505714285714286,0.505411255411255,0.533714285714286
"NWL",0.545045045045045,0.520283975659229,0.587084148727984,0.122782358142683,0.15302836007579,0.289353234658498,0.838184053133359,0.55491026232442,1.36372970941042,0.19388242085951,0.48761781322095,0.386063620402291,0.509142857142857,0.52292576419214,0.531631520532741
"ROP",0.545045045045045,0.544132397191575,0.618433179723502,0.122782358142683,0.230154623869686,0.354750741916831,0.838184053133359,1.11567294055832,2.42068751074382,0.19388242085951,0.25291298323938,0.200343922884647,0.525714285714286,0.562565720294427,0.563751317175975
"HCP",0.545045045045045,0.547198384654215,0.600352112676056,0.122782358142683,0.0831400401895855,0.262026511831712,0.838184053133359,0.346104261713104,1.39922561550504,0.19388242085951,0.442180146730522,0.488712057451559,0.505142857142857,0.576288659793814,0.551282051282051
"BMY",0.545045045045045,0.531549722362443,0.582554517133956,0.122782358142683,0.171585596185803,0.123938521858833,0.838184053133359,0.771568618383516,0.733045938841655,0.19388242085951,0.381844423802517,0.471563799189263,0.485714285714286,0.474683544303797,0.528169014084507
"NFLX",0.545045045045045,0.505764411027569,0.591520165460186,0.122782358142683,0.556155957510168,0.636489523897831,0.838184053133359,1.02245641357312,1.8491422230596,0.19388242085951,0.819904262642314,0.635880569625437,0.523428571428571,0.498858447488584,0.525240384615385
"EMN",0.545045045045045,0.523308270676692,0.609781477627471,0.122782358142683,0.20739382456372,0.345709581847437,0.838184053133359,0.749052737170922,1.75857051888742,0.19388242085951,0.376679634106522,0.347021047800242,0.524,0.496703296703297,0.546553808948005
"IP",0.545045045045045,0.518108651911469,0.582251082251082,0.122782358142683,0.181435007078418,0.381491128031638,0.838184053133359,0.643504047860004,1.97105883971248,0.19388242085951,0.419089975550557,0.227919117994359,0.495428571428571,0.452039691289967,0.515075376884422
"AMGN",0.545045045045045,0.514285714285714,0.590322580645161,0.122782358142683,0.184905513220785,0.262988622748992,0.838184053133359,0.795850172861617,1.59817854215685,0.19388242085951,0.247663105692334,0.196046140060721,0.508,0.473106476399561,0.530788177339901
"HCN",0.544544544544545,0.553985872855701,0.619469026548673,0.117627712845543,0.119206887345456,0.244398647514864,0.802607123593385,0.572460655458764,1.5754366325246,0.19388242085951,0.323747458084084,0.262852818649746,0.506285714285714,0.513761467889908,0.565656565656566
"REGN",0.545045045045045,0.505516549648947,0.591355599214145,0.122782358142683,0.425787121711922,0.614226473796892,0.838184053133359,0.988366630734734,1.99774948125013,0.19388242085951,0.441171548635858,0.371342439841705,0.529142857142857,0.538461538461538,0.533632286995516
"DHR",0.545045045045045,0.526209677419355,0.593406593406593,0.122782358142683,0.233813444807586,0.275807722765877,0.838184053133359,0.87804773738981,2.00560396693293,0.19388242085951,0.274554423506919,0.142773527948736,0.506285714285714,0.505958829902492,0.533714285714286
"SCG",0.545045045045045,0.51664984863774,0.567741935483871,0.122782358142683,0.0722313329365647,0.12341346556988,0.838184053133359,0.390279954319658,0.884957761293418,0.19388242085951,0.479742828482894,0.522262961201778,0.494857142857143,0.541942604856512,0.511458333333333
"PLD",0.545045045045045,0.538694992412747,0.595581171950048,0.122782358142683,0.193216970569252,0.385107160839645,0.838184053133359,0.750132317441675,2.02721204398342,0.19388242085951,0.386175289145494,0.252856147115225,0.497142857142857,0.512765957446809,0.533185840707965
"BXP",0.545045045045045,0.525602409638554,0.589692765113974,0.122782358142683,0.141225187572823,0.299819542149143,0.838184053133359,0.668601125804652,2.02668190438274,0.19388242085951,0.241926381988863,0.216927734467565,0.503428571428571,0.501642935377875,0.525229357798165
"CME",0.545045045045045,0.522110552763819,0.59002169197397,0.122782358142683,0.178492104744316,0.306714346816215,0.838184053133359,0.760393038862637,1.86344624867887,0.19388242085951,0.316403090615211,0.25761053547295,0.497714285714286,0.459546925566343,0.529850746268657
"AVB",0.545045045045045,0.537612838515547,0.586345381526104,0.122782358142683,0.160976920837873,0.311186430004589,0.838184053133359,0.764591947811143,2.01265262319599,0.19388242085951,0.199997239695888,0.166224469994203,0.484571428571429,0.480340063761955,0.522543352601156
"AEP",0.545045045045045,0.539818548387097,0.619284294234592,0.122782358142683,0.146059929159301,0.254768936818306,0.838184053133359,0.90688758739248,2.21423321131749,0.19388242085951,0.17022782130365,0.158583387788323,0.521714285714286,0.53099173553719,0.573021181716834
"EL",0.545045045045045,0.517345399698341,0.572815533980582,0.122782358142683,0.239444875919535,0.323540218987412,0.838184053133359,0.982681646579853,1.74304024503765,0.19388242085951,0.226319631056371,0.301908477819911,0.495428571428571,0.512114537444934,0.513812154696133
"PPL",0.545045045045045,0.531472081218274,0.597222222222222,0.122782358142683,0.0723389365182776,0.190173750946855,0.838184053133359,0.433717970143826,1.61178039804787,0.19388242085951,0.219005803528266,0.154751946606078,0.504,0.516264428121721,0.547274749721913
"VTR",0.545045045045045,0.545956805625314,0.612403100775194,0.122782358142683,0.0993536571754211,0.21212526208681,0.838184053133359,0.421291372448963,1.14735423124438,0.19388242085951,0.451510599111598,0.567398460549026,0.509142857142857,0.52832131822863,0.561269146608315
"CHRW",0.545045045045045,0.540826612903226,0.591993185689949,0.122782358142683,0.102388115834969,0.202975227820799,0.838184053133359,0.460748201806238,1.15800541188728,0.19388242085951,0.351346565158218,0.292744564043122,0.508,0.59662090813094,0.541187739463602
"EIX",0.545045045045045,0.530808080808081,0.598974358974359,0.122782358142683,0.124582520689324,0.170187382259489,0.838184053133359,0.688414449398111,1.2664896001399,0.19388242085951,0.233906107310367,0.207111456253389,0.504,0.491471215351812,0.541079812206573
"VNO",0.545045045045045,0.524861878453039,0.57378640776699,0.122782358142683,0.119301020034944,0.236817088778086,0.838184053133359,0.553062178086068,1.48839006140413,0.19388242085951,0.284251376398924,0.306509733578101,0.487428571428571,0.503260869565217,0.512735326688815
"TWX",0.545045045045045,0.530005042864347,0.615460852329039,0.122782358142683,0.205079301492944,0.321286866367693,0.838184053133359,0.895633407304401,2.08350479278237,0.19388242085951,0.333399558755487,0.251588020177739,0.528,0.531049250535332,0.561085972850679
"CI",0.545045045045045,0.529618473895582,0.59245630174793,0.122782358142683,0.245555394566083,0.375329313851798,0.838184053133359,0.987498283091435,2.03596254414197,0.19388242085951,0.316350516315264,0.298193103406466,0.509714285714286,0.556745182012848,0.539419087136929
"NEE",0.545045045045045,0.549246231155779,0.616008105369808,0.122782358142683,0.193733209458335,0.208777360272514,0.838184053133359,1.20227951113945,1.82049344058668,0.19388242085951,0.139763612063515,0.171511844468876,0.504,0.5,0.56221198156682
"D",0.545045045045045,0.533030761472516,0.60140562248996,0.122782358142683,0.146606070779155,0.231024676783419,0.838184053133359,0.943063402508219,2.01758887599341,0.19388242085951,0.161052700284637,0.134182139022176,0.508,0.506396588486141,0.544100801832761
"EXC",0.545045045045045,0.507077856420627,0.5625,0.122782358142683,0.0421402527447833,0.185692942465655,0.838184053133359,0.21647152265308,1.28416160062016,0.19388242085951,0.344434698477609,0.326692480167658,0.498285714285714,0.547065337763012,0.512980269989616
"PSA",0.545045045045045,0.539348370927318,0.590643274853801,0.122782358142683,0.176809411294236,0.248725248660768,0.838184053133359,0.879469368262746,1.66672930319121,0.19388242085951,0.25774545507403,0.215320694968498,0.490285714285714,0.501059322033898,0.529082774049217
"DUK",0.545045045045045,0.532110091743119,0.598049837486457,0.122782358142683,0.122855774246041,0.161560225893766,0.838184053133359,0.839970361576845,1.55108452642458,0.19388242085951,0.230800154367552,0.223762544084041,0.498285714285714,0.467436974789916,0.545343137254902
"SBUX",0.545045045045045,0.522373051784817,0.576544315129812,0.122782358142683,0.245718501013417,0.34911911929069,0.838184053133359,1.02227231340227,1.92950999345993,0.19388242085951,0.297997830829207,0.215644494837039,0.502285714285714,0.566920565832427,0.524144869215292
"MMC",0.545045045045045,0.533941236068896,0.594149908592322,0.122782358142683,0.204916589036087,0.277413414449781,0.838184053133359,1.15788486139689,2.10756333662809,0.19388242085951,0.188560321864785,0.116797823379728,0.509714285714286,0.560042507970244,0.542739443872297
"GRMN",0.545045045045045,0.52250885179565,0.599791013584117,0.122782358142683,0.155928255192672,0.346685547374745,0.838184053133359,0.572593051223938,1.81971002058371,0.19388242085951,0.448395681807461,0.344529870873729,0.511428571428571,0.490830636461704,0.542959427207637
"DGX",0.545045045045045,0.525679758308157,0.599229287090559,0.122782358142683,0.101363100156234,0.211795011242507,0.838184053133359,0.495450951646855,1.48662867484439,0.19388242085951,0.271841318415757,0.227929400719113,0.519428571428571,0.543010752688172,0.548317046688382
"GT",0.545045045045045,0.51746835443038,0.590575916230367,0.122782358142683,0.185061032031631,0.41150287532798,0.838184053133359,0.502403441878996,1.63395190661666,0.19388242085951,0.499465849172617,0.400787972374462,0.508571428571429,0.496781115879828,0.542154566744731
"SO",0.545045045045045,0.532315521628499,0.58955223880597,0.122782358142683,0.10448824172106,0.12372560053256,0.838184053133359,0.770521441765632,1.34613847395924,0.19388242085951,0.192954797992869,0.131685350394696,0.488,0.456382978723404,0.527027027027027
"BMS",0.545045045045045,0.528549772612431,0.606268364348678,0.122782358142683,0.110743635268839,0.268662567987826,0.838184053133359,0.56868363965127,1.80933682709305,0.19388242085951,0.213463389092416,0.168699777826691,0.520571428571429,0.531115879828326,0.551839464882943
"CELG",0.545045045045045,0.532395781014566,0.593220338983051,0.122782358142683,0.201962412500989,0.301896557524996,0.838184053133359,0.69097501802663,1.4753842027297,0.19388242085951,0.329989111930409,0.26962604849373,0.491428571428571,0.461128860489883,0.529987760097919
"AEE",0.545045045045045,0.534587995930824,0.601398601398601,0.122782358142683,0.163213831164327,0.244249443705695,0.838184053133359,0.93188558484166,1.93030195883976,0.19388242085951,0.200780287592589,0.115805097672238,0.506285714285714,0.510526315789474,0.548642533936652
"PFE",0.545045045045045,0.502793296089385,0.553231939163498,0.122782358142683,0.134039962879252,0.224335592320586,0.838184053133359,0.749384865567774,1.68385925382819,0.19388242085951,0.250313671548323,0.130859205326582,0.488571428571429,0.528824833702882,0.503695881731785
"AIV",0.545045045045045,0.532994923857868,0.592213114754098,0.122782358142683,0.18860783520325,0.327338292631968,0.838184053133359,0.776854626187773,1.86616703021836,0.19388242085951,0.267336980720351,0.339995599754757,0.496571428571429,0.488888888888889,0.537209302325581
"CNP",0.545045045045045,0.531839021905247,0.588701684836472,0.122782358142683,0.148748657377591,0.224627628404649,0.838184053133359,0.773554418605522,1.67222304715813,0.19388242085951,0.324725554521036,0.171013485841067,0.501142857142857,0.513829787234043,0.53726362625139
"AON",0.545045045045045,0.542296072507553,0.6,0.122782358142683,0.185777168941363,0.237993801747693,0.838184053133359,0.986405010786442,1.68301108514083,0.19388242085951,0.257245189012734,0.196636330245121,0.508571428571429,0.569343065693431,0.549848942598187
