"","ATR","ADX","OBV","WR","RSI","CMF","BandPer","BandWid","CO","DIS","EOM","FI","MAO","MFI","MI","MOM","NCO","PO","PSY","RMI","ROC","SROC","SONAR","SONSIG","TRIX","VMA","VOS","VROC","Return","Sigma","CCI","RSV","Kvalue","Dvalue","Jvalue","MACD","AD","VOLA","NBIAS","Ret","SMA_5","SMA_10","EMA_5","EMA_10","Label"
"2010-01-22",0.135997183853052,0.140266480250311,0.771246340169254,0.965175535365305,0.314151839536784,0.390405802666381,0.0599482863632527,0.0709352668172481,0.364976945370872,0.424694407208625,0.624006869814799,0.633331231049104,0.509177800555806,0.489263214443027,0.0373451426150344,0.377823512755801,0.426713300015138,0.533573391260015,0.222222222222222,0.666203065809208,0.475282709731827,0.310196068667786,0.501267961691249,0.494557155426332,0.638284762220498,0.256109509613988,0.526625970864868,0.649228326033054,0.472381614688625,0.224316493780496,0.0985135141307995,0.0348244646346951,0.354923269585695,0.520105211900057,0.198520347562989,0.651389380226482,0.711870545098639,0.485615858963153,0.348784280033833,0.447405975099349,0.145208661277366,0.147141877171453,0.144176458488779,0.146336620528854,1
"2010-01-25",0.142070320505543,0.159020730150264,0.780106616071682,0.683683908259686,0.3989007909261,0.402144017263443,0.242941565834304,0.0676906761929428,0.365209176525022,0.471388948131529,0.628720572118234,0.68584568009679,0.500704087983452,0.520459571285914,0.0346157095571299,0.428177800706167,0.455678149580774,0.540669929898803,0.222222222222222,0.665991867994401,0.528973481310299,0.320717998424453,0.50065096053369,0.495494017451332,0.626050400443326,0.27610775508086,0.603137462613833,0.617585108481332,0.486966051178637,0.23688790831886,0.219368997054774,0.316316091740314,0.330631758823173,0.453410419993535,0.234728909790978,0.641092933929013,0.715142629913745,0.467837562131042,0.444912319566861,0.683679468816148,0.144795569068555,0.146493379100827,0.143478609392147,0.145719885964922,1
"2010-01-26",0.160051624396587,0.138853767546114,0.795629855209785,0.5318310464362,0.440368352760635,0.30181274860307,0.348004503471514,0.0670176488165335,0.316181415411867,0.498146003488405,0.630762300710498,0.782011306418681,0.493876248788652,0.580436440502049,0.031572829604599,0.465523703690583,0.466494114261342,0.508707355432293,0.333333333333333,0.665592547398377,0.549001709350955,0.322648842729206,0.502156819858124,0.496566144937051,0.615628686566745,0.314045835211974,0.777365248045903,0.695262009083146,0.502921406660539,0.242707072825999,0.39248567584131,0.4681689535638,0.369046988000719,0.422256760059108,0.349108789162567,0.637646004037135,0.706947203631614,0.526478285938207,0.488485236113362,0.645489223028708,0.143481165696132,0.146189869897985,0.143705405878848,0.145595240716647,1
"2010-01-27",0.173491572007524,0.130126540446444,0.809951368781529,0.429180972685317,0.467654289664012,0.39112425378895,0.433548512312086,0.0697868992879532,0.376071462776982,0.516975123373812,0.627565372989735,0.766529015839136,0.485765148182827,0.520695628694743,0.0276631603441025,0.458664084932663,0.468285833233005,0.49063558312654,0.444444444444444,0.663058329607721,0.552469102827112,0.320059286077163,0.502986770442032,0.497601667974842,0.607863570710465,0.343980496291622,0.853575947750651,0.696479929237967,0.535499673709595,0.241070395867479,0.345699867969601,0.570819027314683,0.431572324921543,0.42315049802443,0.470451590211782,0.638043291226777,0.716704303629765,0.615279007473669,0.536273106159564,0.631274820662347,0.142925071224177,0.146201517600235,0.144324404073239,0.145750102176236,0
"2010-01-28",0.184416155562477,0.122022686711038,0.800194815399919,0.883691345323534,0.354843395455163,0.346851808622831,0.177798443724441,0.0839006047645282,0.333066137465252,0.444952267155458,0.628113567700527,0.663841278334263,0.476872327304031,0.491701995550244,0.0231136413091917,0.405846872047379,0.445989856140436,0.475815565142185,0.333333333333333,0.665826907812307,0.510431716000449,0.33588517182111,0.499839110330673,0.497755684537745,0.597576785754479,0.364204300787669,0.829039452384142,0.645549681473795,0.48472431309597,0.271874052196269,0.247235512940572,0.116308654676466,0.309804133790758,0.38155789972644,0.284201575601244,0.623618569004253,0.705960228480549,0.481933440260193,0.436022198936144,0.473868515818963,0.141656888937068,0.145374696129471,0.14266575883529,0.144739562496933,0
"2010-01-29",0.202847495384224,0.135866950213184,0.789835909358018,0.922193709441253,0.280103319137359,0.263703704222498,0.0849907351786091,0.117855649785886,0.259345884826767,0.388728655350494,0.625883146825529,0.581698123132906,0.467830782452303,0.426981505264506,0.0206210050095001,0.377488072951938,0.429931616633542,0.489169238808665,0.333333333333333,0.66630332729296,0.478262666611178,0.362779809625894,0.493717358354299,0.49656728191528,0.582558735096626,0.387359672893534,0.81215500386672,0.672061392892145,0.429506362838782,0.287376204799984,0.181413017404881,0.0778062905587465,0.214779057775721,0.320906632227723,0.174275110190088,0.599867358348562,0.696338887540467,0.657050386671378,0.363782275156181,0.489881418110849,0.140835025480349,0.144110445865687,0.139816627985468,0.142955568720959,1
"2010-02-01",0.203154349780276,0.14872233775089,0.796070416527505,0.819306068187138,0.320484740362397,0.316067239538265,0.223131341617975,0.146001757400726,0.272851968787809,0.419291185534089,0.627759526817798,0.66206202623187,0.458429873047106,0.419194216989457,0.017478935286279,0.336910772470184,0.429068932330891,0.475834219013105,0.444444444444444,0.666058568314309,0.47800937117316,0.37665991989415,0.48838607433426,0.49447430564399,0.567028318827396,0.398396748146788,0.733653041790232,0.556421827410111,0.458735734747342,0.294302694182056,0.226523548376087,0.180693931812862,0.188429625641308,0.271343296318055,0.18493102709913,0.58593057933829,0.700156585254641,0.514609736926827,0.413185604642018,0.644794023233173,0.139630384214768,0.143295268118745,0.138561018978309,0.141849419503847,1
"2010-02-02",0.202126418340618,0.159758890356564,0.801876467630802,0.775760050504533,0.337621134550672,0.333252452799861,0.282275907500422,0.159987249898882,0.330802913036901,0.437150997918532,0.629104572762913,0.727226650851503,0.450886033742271,0.468626662003543,0.015669439086396,0.36610467346727,0.43686599420402,0.472683144245191,0.444444444444444,0.665777568481706,0.492629162655369,0.38367415313709,0.481468499124883,0.491317799659983,0.552804278749617,0.404078565318838,0.660678390844447,0.487282472826102,0.480832323576125,0.295331808492234,0.286731588170069,0.224239949495467,0.186523426262741,0.237640640896805,0.223537374253654,0.577286931816792,0.705471951075177,0.339506400267168,0.449419799272602,0.620318560849586,0.138174430178441,0.14189928185374,0.13799643218766,0.141093995563704,1
"2010-02-03",0.19997849484661,0.15492741799607,0.806992333162223,0.645898643081836,0.387975845012648,0.364079698837415,0.365588489333579,0.160631405675129,0.396657052993909,0.474111045781708,0.630020158472262,0.727702057180282,0.449353052582866,0.467721526623962,0.0151765512988127,0.41472980950491,0.459659301102393,0.460538852580156,0.555555555555556,0.665717443613371,0.535389478739859,0.380495385356478,0.475357928743766,0.487483374712504,0.542133553878368,0.404451309195389,0.587684727635291,0.456095306774348,0.484820511152966,0.297471251018983,0.345144715333232,0.354101356918164,0.231953594264994,0.230912169817833,0.320972251736336,0.57682997784163,0.710000571514332,0.300034347009979,0.520309842248312,0.65472359856542,0.13692501491521,0.14098948343434,0.13843263883556,0.14092207489001,0
"2010-02-04",0.211051042677749,0.156713196313761,0.800693179293697,0.922578571802557,0.308020577438151,0.354505259476169,0.251974230896105,0.17034519810909,0.378666316196878,0.41725267932646,0.62797208998043,0.686271108281846,0.439499980436686,0.424359060156057,0.0153426774482301,0.435189580402549,0.405612069952924,0.463485656659768,0.555555555555556,0.666105440724706,0.434528812545805,0.392813905898646,0.468112734974074,0.48286351587809,0.530633429004177,0.410157540547087,0.547457078187449,0.572675788211713,0.445913318043893,0.314439080982209,0.309345844376303,0.0774214281974429,0.162740293272327,0.202446531972237,0.221168030075405,0.564441983100736,0.702792303069474,0.283055797991615,0.447521898713477,0.490641956278777,0.135879269063411,0.139823492400143,0.136992139738808,0.139830847531946,1
