A,安捷伦科技公司,电子,纽约交易所,工业
AA,美国铝业公司,采矿,纽约交易所,基础材料
AAPL,苹果公司,计算机,纳斯达克,科技
ABC,美源伯根集团,制药,纽约交易所,非周期性消费品
ABT,雅培公司,制药,纽约交易所,非周期性消费品
ACN,埃森哲公司,计算机,纽约交易所,科技
ADBE,Adobe,软件,纳斯达克,科技
ADI,亚德诺半导体,半导体,纳斯达克,科技
ADM,阿彻丹尼尔斯米德兰公司,农业,纽约交易所,非周期性消费品
ADP,自动数据处理公司,商业服务,纳斯达克,非周期性消费品
ADS,联合数据系统公司,商业服务,纽约交易所,非周期性消费品
ADSK,欧特克公司,软件,纳斯达克,科技
AEE,阿美能公司,电力,纽约交易所,公用事业
AEP,美国电力公司,电力,纽约交易所,公用事业
AES,爱依斯电力,电力,纽约交易所,公用事业
AET,安泰保险,健康护理服务,纽约交易所,非周期性消费品
AFL,美国家庭人寿保险公司,保险,纽约交易所,金融
AGN,艾尔建制药公司,制药,纽约交易所,非周期性消费品
AIG,美国国际集团,保险,纽约交易所,金融
AIV,公寓投资管理公司,房地产信托投资基金,纽约交易所,金融
AIZ,艾斯兰公司,保险,纽约交易所,金融
AKAM,阿克迈技术,软件,纳斯达克,科技
ALL,美国好事达保险公司,保险,纽约交易所,金融
ALXN,亚力兄制药,生物技术,纳斯达克,非周期性消费品
AMAT,应用材料公司,半导体,纳斯达克,科技
AME,阿美特克公司,电力组件与设备,纽约交易所,工业
AMG,附属管理公司,多元化金融服务,纽约交易所,金融
AMGN,安进公司,生物技术,纳斯达克,非周期性消费品
AMP,美价金融,多元化金融服务,纽约交易所,金融
AMT,美国电塔,房地产信托投资基金,纽约交易所,金融
AMZN,亚马逊公司,互联网,纳斯达克,通信
AN,车之国公司,零售,纽约交易所,周期性消费品
AON,怡安保险,保险,纽约交易所,金融
APA,阿帕契公司,油气,纽约交易所,能源
APC,阿纳达科石油股份有限公司,油气,纽约交易所,能源
APD,空气化工产品有限公司,化学制品,纽约交易所,基础材料
APH,安费诺集团,电子,纽约交易所,工业
ATI,阿利根尼技术公司,钢铁,纽约交易所,基础材料
AVB,阿瓦隆湾社区物产公司,房地产信托投资基金,纽约交易所,金融
AVGO,安华高科技,半导体,纳斯达克,科技
AVP,美国雅芳产品有限公司,化妆品/护理,纽约交易所,非周期性消费品
AVY,艾利丹尼森,家庭产品/用品 ,纽约交易所,非周期性消费品
AXP,美国运通公司,多元化金融服务,纽约交易所,金融
AZO,汽车地带,零售,纽约交易所,周期性消费品
BA,波音公司,航空航天/国防,纽约交易所,工业
BAC,美国银行公司,银行,纽约交易所,金融
BAX,百特国际有限公司,医疗保健产品,纽约交易所,非周期性消费品
BBBY,3B家居,零售,纳斯达克,周期性消费品
BBT,BB&T银行,银行,纽约交易所,金融
BBY,百思买,零售,纽约交易所,周期性消费品
BDX,碧迪公司,医疗保健产品,纽约交易所,非周期性消费品
BEN,富兰克林资源有限公司,多元化金融服务,纽约交易所,金融
BIIB,百健艾迪股份有限公司,生物技术,纳斯达克,非周期性消费品
BK,纽约梅隆银行公司,银行,纽约交易所,金融
