"","WinIndex","WinBAH","WinTrade","AnnRetIndex","AnnRetBAH","AnnRetTrade","AnnSharpeIndex","AnnSharpeBAH","AnnSharpeTrade","MaxDDIndex","MaxDDBAH","MaxDDTrade","Accuracy","Precision","Recall"
"MAT",0.545045045045045,0.523882113821138,0.593629343629344,0.122782358142683,0.0502413217674732,0.289410684188801,0.838184053133359,0.175077884364423,1.44623059605201,0.19388242085951,0.668994779027235,0.404429070513466,0.514285714285714,0.535211267605634,0.539890710382514
"MSI",0.545045045045045,0.525595539787126,0.589320388349515,0.122782358142683,0.184241400605027,0.377457315753064,0.838184053133359,0.812329961023362,2.31451086144345,0.19388242085951,0.19135167854901,0.194864495633068,0.508,0.531550802139037,0.540217391304348
"XL",0.545045045045045,0.531408308004053,0.581188118811881,0.122782358142683,0.144185948167904,0.246883724551555,0.838184053133359,0.608294919537265,1.42387633316271,0.19388242085951,0.270729431996494,0.32540249251416,0.486285714285714,0.499473129610116,0.527839643652561
"EW",0.545045045045045,0.52784746613146,0.591666666666667,0.122782358142683,0.250266577682396,0.371770008878244,0.838184053133359,0.797871076603447,1.7307654832921,0.19388242085951,0.440182250569476,0.293536423569124,0.510285714285714,0.548317046688382,0.533826638477801
"AMZN",0.545045045045045,0.526078234704112,0.592375366568915,0.122782358142683,0.331318665863465,0.469677458047923,0.838184053133359,1.06693088428798,1.98668929688317,0.19388242085951,0.305344572323,0.253920378016284,0.507428571428571,0.518398268398268,0.534598214285714
"NWL",0.545045045045045,0.520283975659229,0.578536585365854,0.122782358142683,0.15302836007579,0.331044244550471,0.838184053133359,0.55491026232442,1.7277251919201,0.19388242085951,0.48761781322095,0.329572492627435,0.501142857142857,0.518558951965066,0.523704520396913
"ROP",0.545045045045045,0.544132397191575,0.618577075098814,0.122782358142683,0.230154623869686,0.318120017909854,0.838184053133359,1.11567294055832,2.16795148884942,0.19388242085951,0.25291298323938,0.172372864122279,0.513714285714286,0.511041009463722,0.557339449541284
"HCP",0.545045045045045,0.547198384654215,0.603495860165593,0.122782358142683,0.0831400401895855,0.266765188233297,0.838184053133359,0.346104261713104,1.4656093281175,0.19388242085951,0.442180146730522,0.297382436564275,0.502285714285714,0.547422680412371,0.551401869158878
"BMY",0.545045045045045,0.531549722362443,0.577075098814229,0.122782358142683,0.171585596185803,0.114860217159517,0.838184053133359,0.771568618383516,0.690821636089811,0.19388242085951,0.381844423802517,0.381966974191418,0.482285714285714,0.4957805907173,0.523385300668151
"NFLX",0.545045045045045,0.505764411027569,0.5625,0.122782358142683,0.556155957510168,0.74425974848421,0.838184053133359,1.02245641357312,1.79308432126083,0.19388242085951,0.819904262642314,0.560186311701963,0.502857142857143,0.5662100456621,0.503042596348884
"EMN",0.545045045045045,0.523308270676692,0.568609022556391,0.122782358142683,0.20739382456372,0.267724334159326,0.838184053133359,0.749052737170922,1.29327096173725,0.19388242085951,0.376679634106522,0.364720522187491,0.485714285714286,0.515384615384615,0.505387931034483
"IP",0.545045045045045,0.518108651911469,0.582375478927203,0.122782358142683,0.181435007078418,0.399650841544772,0.838184053133359,0.643504047860004,2.09792919778515,0.19388242085951,0.419089975550557,0.271714675951226,0.506857142857143,0.529217199558986,0.524017467248908
