"","KMB.Open","KMB.High","KMB.Low","KMB.Close","KMB.Volume","KMB.Adjusted"
"2001-01-02",67.104507,68.130394,66.347076,66.347076,2168000,35.415192
"2001-01-03",66.586769,67.209969,63.384468,63.384468,3013100,33.833767
"2001-01-04",62.895493,63.279003,58.005753,60.335571,6585500,32.206326
"2001-01-05",60.738255,63.902206,59.712368,63.08725,2724600,33.67514
"2001-01-08",63.231064,64.860977,63.231064,64.333656,1605800,34.340454
"2001-01-09",64.573349,65.10067,63.135185,64.141899,1952800,34.23811
"2001-01-10",63.566635,64.592522,62.732502,64.046021,1565500,34.186909
"2001-01-11",63.950146,65.10067,63.288589,63.662514,2344700,33.982189
"2001-01-12",63.662514,63.998081,61.802494,62.809204,1725400,33.526714
"2001-01-16",62.81879,64.132309,62.81879,63.489933,1365500,33.890076
"2001-01-17",62.991371,62.991371,60.59444,61.025887,2711200,32.574806
"2001-01-18",62.080536,62.751678,61.112175,61.543625,1828700,32.851177
"2001-01-19",61.121765,61.466923,59.568554,61.179291,2297500,32.656696
"2001-01-22",61.21764,62.214764,60.469799,60.882072,1629300,32.498035
"2001-01-23",60.498562,60.862896,58.974113,59.808247,2155300,31.92486
"2001-01-24",60.21093,62.166828,59.252159,61.610737,3527700,32.886982
"2001-01-25",61.371044,63.279003,61.121765,62.320229,2251100,33.265705
"2001-01-26",63.422817,63.470757,61.284756,61.457336,1315300,32.805099
"2001-01-29",61.361458,61.361458,60.115051,60.115051,1511200,32.088619
"2001-01-30",60.402683,62.02301,60.239693,62.013424,2069800,33.10194
"2001-01-31",61.553211,62.972195,61.457336,62.080536,1738600,33.13776
"2001-02-01",62.080536,64.141899,62.080536,64.132309,1715400,34.232956
"2001-02-02",63.892616,64.199425,62.770855,63.892616,1493700,34.105034
"2001-02-05",62.933846,64.45829,62.933846,63.279003,1450300,33.777477
"2001-02-06",63.758389,64.295303,62.991371,63.796741,1101100,34.053841
"2001-02-07",63.796741,64.813042,63.307766,64.717163,1759400,34.545147
"2001-02-08",64.237778,64.765099,63.950146,64.46788,1481800,34.41209
"2001-02-09",64.189835,65.244484,63.6721,64.860977,1798200,34.621914
"2001-02-12",64.860977,65.445831,64.151489,64.928093,1055800,34.657742
"2001-02-13",64.947266,66.136147,64.621284,65.96357,1699600,35.21048
"2001-02-14",65.3116,65.3116,64.093956,64.189835,1950700,34.263668
"2001-02-15",64.90892,66.299133,63.854267,65.858101,2472600,35.154171
"2001-02-16",66.097794,67.190796,66.097794,66.989456,2434100,35.758083
"2001-02-20",67.018219,68.954941,66.740173,68.753593,2601100,36.699753
"2001-02-21",67.97699,67.98658,65.953979,66.682648,1726800,35.594303
"2001-02-22",66.682648,67.76606,66.395012,66.874397,1647100,35.696655
"2001-02-23",67.114098,67.209969,65.96357,66.970276,1784900,35.747845
"2001-02-26",66.586769,67.459251,65.52253,67.181206,1821200,35.860432
"2001-02-27",67.54554,68.293381,66.970276,68.072868,1481800,36.336384
"2001-02-28",68.072868,68.763184,67.411316,68.552254,2132500,36.592274
"2001-03-01",68.120804,68.130394,65.867691,67.12368,1849500,35.829735
"2001-03-02",67.55513,68.887825,67.372963,68.513901,3954500,36.571812
