"","KMB.Open","KMB.High","KMB.Low","KMB.Close","KMB.Volume","KMB.Adjusted"
"2001-03-05",69.022049,69.022049,68.092041,68.782356,2094600,36.715111
"2001-03-06",67.881111,67.97699,66.951103,67.401726,1340700,35.978134
"2001-03-07",67.13327,68.322151,67.13327,67.823586,2032900,36.354336
"2001-03-08",68.072868,69.213806,67.708534,68.830299,2570500,36.893963
"2001-03-09",68.072868,68.600189,66.91275,68.216682,1660600,36.565056
"2001-03-12",68.072868,68.465965,67.574303,67.622246,1524100,36.246433
"2001-03-13",67.622246,67.785233,65.74305,66.337486,2257900,35.557789
"2001-03-14",65.378716,66.69223,64.956856,65.426651,1925500,35.069553
"2001-03-15",65.675934,65.867691,64.113136,65.004791,1352800,34.843445
"2001-03-16",63.758389,65.426651,63.758389,64.813042,1973700,34.740654
"2001-03-19",64.822624,65.148613,64.199425,64.333656,1424200,34.483707
"2001-03-20",64.90892,67.114098,64.362419,66.538834,2590300,35.665707
"2001-03-21",66.538834,66.538834,63.854267,64.24736,4127200,34.437428
"2001-03-22",63.374882,64.074783,61.380634,63.940556,3603700,34.273003
"2001-03-23",64.717163,64.813042,63.010548,64.343239,3242900,34.488838
"2001-03-26",64.573349,64.745926,63.422817,63.854267,2564000,34.226727
"2001-03-27",63.998081,64.372002,63.259827,63.902206,3055200,34.252426
"2001-03-28",63.892616,66.116974,63.422817,65.848511,2757100,35.295685
"2001-03-29",64.554169,64.717163,62.607861,63.854267,3377000,34.226727
"2001-03-30",64.333656,65.196548,63.566635,65.033554,1844900,34.858849
"2001-04-02",65.196548,65.858101,63.710449,64.180252,1758000,34.401466
"2001-04-03",64.180252,64.180252,62.703739,63.135185,1556400,33.841297
"2001-04-04",63.279003,64.093956,62.128475,64.093956,2657200,34.355221
"2001-04-05",65.580055,65.580055,63.279003,64.228188,1590000,34.427177
"2001-04-06",63.518696,63.911793,61.917545,63.758389,1425800,34.17535
"2001-04-09",63.854267,64.995209,63.806328,64.697983,1744300,34.678982
"2001-04-10",63.873444,64.67881,62.799618,63.662514,2048700,34.123947
"2001-04-11",63.710449,63.710449,61.792904,62.511986,1930500,33.507271
"2001-04-12",62.943432,63.46117,62.329819,62.828381,1393400,33.676846
"2001-04-16",62.703739,64.046021,61.898369,62.703739,1405100,33.610043
"2001-04-17",62.320229,62.847553,60.402683,61.265579,2792900,32.839169
"2001-04-18",61.840843,61.936722,59.213806,60.162991,4018400,32.248169
"2001-04-19",59.012463,60.958775,59.012463,60.891659,2538800,32.638741
"2001-04-20",61.131351,61.64909,60.258869,60.671143,2458700,32.520535
"2001-04-23",60.786194,60.872482,59.990414,60.191753,1353900,32.26358
"2001-04-24",54.170662,55.608822,54.017258,54.276127,11687500,29.09272
"2001-04-25",55.081497,55.800575,54.89933,55.608822,5332500,29.807064
"2001-04-26",55.992329,56.414188,55.714287,56.184086,4129200,30.115416
"2001-04-27",56.567593,57.046978,56.375839,56.951103,2319100,30.526556
"2001-04-30",56.615532,57.449665,56.471718,56.951103,2805500,30.526556
"2001-05-01",56.903164,57.075745,56.145733,56.423779,3228000,30.243898
"2001-05-02",55.800575,56.232021,55.32119,55.608822,2855600,29.807064
"2001-05-03",55.129433,55.819752,54.832214,55.608822,2362200,29.807064
"2001-05-04",55.512943,55.829338,55.091084,55.608822,1719400,29.807064
"2001-05-07",55.800575,56.481304,55.618408,56.395016,1516300,30.228481
"2001-05-08",56.519653,56.605946,55.685524,55.714287,1870900,29.8636
"2001-05-09",55.752636,56.395016,55.752636,55.925217,1568700,29.976658
"2001-05-10",56.999043,57.046978,56.078621,56.864815,2515900,30.48031
"2001-05-11",56.864815,57.33461,56.807285,57.094917,1992500,30.603626
"2001-05-14",57.046978,57.325024,56.289551,56.92234,1711900,30.511126
"2001-05-15",57.094917,57.516777,56.404602,56.999043,1218300,30.552248
"2001-05-16",56.999043,59.041225,56.75935,58.93576,1868900,31.590363
"2001-05-17",59.683605,59.683605,57.142857,57.430489,2245900,30.783508
"2001-05-18",57.670181,57.689358,57.238735,57.583893,2128100,30.865738
"2001-05-21",57.823586,58.197506,57.238735,57.478428,2604100,30.809208
"2001-05-22",56.951103,57.574306,56.816875,57.085331,1683500,30.598497
"2001-05-23",57.209972,57.651009,57.056568,57.219559,1470400,30.670446
"2001-05-24",57.066154,57.641418,56.903164,57.286674,1134100,30.706423
"2001-05-25",57.046978,57.219559,56.471718,56.644295,1387000,30.362104
"2001-05-29",56.404602,58.341324,56.318314,58.044102,1193800,31.112415
"2001-05-30",58.044102,58.216682,57.046978,57.679771,929100,30.917128
"2001-05-31",57.526367,58.389263,57.516777,57.957813,1413000,31.066177
"2001-06-01",57.430489,57.641418,56.567593,57.449665,1366500,30.793797
"2001-06-04",57.957813,58.418026,56.941513,58.341324,920900,31.271727
"2001-06-05",57.718121,58.437199,57.651009,58.149567,1035000,31.168938
"2001-06-06",58.005753,58.581017,57.277084,57.55513,1188000,30.99959
"2001-06-07",58.293385,58.753597,57.756474,58.274208,1133600,31.386894
"2001-06-08",57.622242,57.813999,56.682648,57.574306,1126000,31.009912
"2001-06-11",57.430489,57.593479,57.12368,57.430489,1056000,30.93247
"2001-06-12",56.711411,57.526367,56.711411,57.401726,1352900,30.916945
"2001-06-13",57.094917,57.76606,57.075745,57.219559,893500,30.81885
"2001-06-14",57.066154,57.094917,56.404602,56.433365,955100,30.395386
"2001-06-15",55.465004,56.232021,55.465004,55.53212,2111900,29.909971
"2001-06-18",56.136147,56.136147,55.330776,55.465004,1081300,29.873829
"2001-06-19",54.650047,54.650047,52.87632,53.163952,3096700,28.634468
"2001-06-20",53.595398,55.11026,53.595398,54.717163,2801000,29.471039
"2001-06-21",54.717163,54.908916,54.084373,54.544582,1551100,29.378084
"2001-06-22",54.506233,54.803452,54.046021,54.247364,1152700,29.217999
"2001-06-25",54.88974,54.88974,53.815914,54.055611,1214500,29.114716
"2001-06-26",54.055611,54.985619,54.036434,54.400768,1921600,29.300621
"2001-06-27",54.400768,54.908916,53.46117,53.930969,1865400,29.047588
"2001-06-28",54.745926,54.793865,53.710449,53.902206,2480800,29.032099
"2001-06-29",54.141899,54.650047,53.595398,53.595398,1675200,28.866842
"2001-07-02",54.362415,55.119846,54.228188,54.650047,944100,29.434896
"2001-07-03",54.985619,55.177372,54.381592,54.745926,673800,29.486536
"2001-07-05",54.88974,55.292427,54.650047,55.139023,1684100,29.698254
"2001-07-06",55.369129,55.397892,54.400768,54.487057,995300,29.347107
"2001-07-09",54.554173,54.554173,53.211887,53.681686,2151100,28.913326
"2001-07-10",53.691277,53.691277,52.732502,52.972195,2339400,28.531183
"2001-07-11",53.691277,53.691277,52.588688,52.828381,1490100,28.453733
"2001-07-12",52.799618,53.03931,52.492809,52.761265,1397700,28.41758
"2001-07-13",51.773731,52.396931,51.102589,51.706615,3812600,27.849531
"2001-07-16",52.636623,52.703739,52.205177,52.243526,2199000,28.138727
"2001-07-17",52.579098,53.835091,52.492809,53.355705,2181100,28.737751
"2001-07-18",53.355705,54.170662,52.732502,54.065197,2049500,29.119879
"2001-07-19",53.739212,54.228188,53.739212,54.228188,1781900,29.207672
"2001-07-20",54.199425,55.186962,54.199425,55.129433,1552000,29.693075
"2001-07-23",55.139023,55.177372,53.863853,54.784275,1431400,29.507185
"2001-07-24",54.650047,54.937679,54.314476,54.372005,1427700,29.28512
"2001-07-25",54.381592,57.478428,54.372005,57.046978,2893900,30.725906
"2001-07-26",57.046978,57.286674,56.375839,57.190796,1142200,30.803352
"2001-07-27",57.430489,57.430489,56.184086,56.3279,1249900,30.338589
"2001-07-30",56.615532,57.909874,56.184086,57.794823,1362900,31.128681
"2001-07-31",57.794823,59.424736,57.76606,58.302971,1789500,31.402378
"2001-08-01",58.389263,58.801533,58.101631,58.389263,1450500,31.448858
"2001-08-02",58.628956,59.252159,58.465965,59.012463,1331500,31.784515
"2001-08-03",59.108341,59.491852,58.159157,58.581017,981300,31.552137
"2001-08-06",58.341324,58.676895,57.679771,57.813999,936900,31.139013
"2001-08-07",57.957813,58.485138,57.411312,57.670181,1335000,31.061573
"2001-08-08",57.33461,57.516777,56.692234,57.315437,977400,30.870483
"2001-08-09",57.190796,57.574306,56.567593,57.392139,1152800,30.911795
"2001-08-10",56.567593,58.427612,56.471718,58.015339,1360500,31.247456
"2001-08-13",57.670181,58.715244,57.670181,58.676895,798900,31.603775
"2001-08-14",58.676895,58.954937,57.478428,57.996166,965500,31.237133
"2001-08-15",58.044102,59.041225,57.957813,58.427612,1038300,31.469501
"2001-08-16",58.389263,59.635666,58.35091,59.549377,1420400,32.0737
"2001-08-17",59.443913,60,58.77277,59.558964,1106300,32.078873
"2001-08-20",59.558964,60.757431,59.558964,60.58485,1157800,32.631424
"2001-08-21",61.313519,61.581974,61.121765,61.22723,1505900,32.977398
"2001-08-22",61.294342,61.294342,59.568554,59.674019,1496000,32.140835
"2001-08-23",59.635666,60.556087,59.616489,60.42186,1387200,32.543644
"2001-08-24",60.306808,61.102589,59.971237,60.79578,863100,32.745022
"2001-08-27",60.786194,61.697029,60.575264,60.882072,1240300,32.791496
"2001-08-28",61.025887,61.169704,59.779484,59.952061,1265400,32.290588
"2001-08-29",59.693192,60.047939,59.453499,59.568554,1135600,32.084023
"2001-08-30",59.827419,60.345158,59.491852,59.779484,1780800,32.197647
"2001-08-31",59.827419,60.057526,59.463089,59.491852,1574700,32.042725
"2001-09-04",59.875359,61.457336,59.875359,60.699905,1283500,32.693375
"2001-09-05",60.21093,62.416107,59.779484,62.166828,1871100,33.638645
"2001-09-06",61.265579,61.43816,60.719078,60.767017,1931400,32.88121
"2001-09-07",59.971237,60.642376,59.884949,60.479385,1290900,32.725563
"2001-09-10",60.402683,61.725792,60.086288,61.361458,1698200,33.202866
"2001-09-17",60.642376,60.642376,58.724831,60.575264,2264300,32.777431
"2001-09-18",60.402683,60.479385,59.300095,59.443913,1962600,32.165279
"2001-09-19",59.060402,59.395973,56.951103,57.670181,3250900,31.205511
"2001-09-20",56.855225,57.114094,55.992329,55.992329,2434300,30.297606
"2001-09-21",54.266541,54.745926,52.44487,52.44487,3450600,28.378061
"2001-09-24",53.595398,54.602108,52.972195,53.978909,2582200,29.208145
"2001-09-25",53.978909,57.756474,53.691277,56.529243,2996300,30.588131
"2001-09-26",57.142857,57.430489,56.337486,56.92234,1367500,30.800846
"2001-09-27",57.046978,58.705658,56.97028,58.581017,1790600,31.698364
"2001-09-28",59.539787,59.539787,58.628956,59.443913,1968900,32.165279
"2001-10-01",59.108341,59.395973,58.408436,58.485138,1696700,31.646473
"2001-10-02",58.149567,58.322147,57.670181,58.197506,1885200,31.490837
"2001-10-03",57.909874,58.533077,57.3442,58.533077,1399800,31.672411
"2001-10-04",58.533077,58.56184,57.114094,57.813999,1342900,31.283318
"2001-10-05",57.670181,58.93576,57.296261,58.715244,1532300,31.770992
"2001-10-08",58.427612,58.676895,57.775646,58.513901,632500,31.662048
"2001-10-09",58.523491,58.676895,57.823586,58.485138,847200,31.646473
"2001-10-10",58.197506,59.654842,58.034515,59.252159,1115100,32.061501
"2001-10-11",59.424736,59.434322,57.718121,58.293385,1532100,31.542706
"2001-10-12",57.909874,58.168743,57.094917,57.612656,1016000,31.174377
"2001-10-15",57.76606,58.235859,57.238735,57.583893,717100,31.158808
"2001-10-16",53.787151,53.969318,52.732502,53.288589,7384200,28.834608
"2001-10-17",53.643337,53.6721,52.013424,52.013424,4203200,28.144606
"2001-10-18",52.732502,52.732502,51.898369,51.917545,2589600,28.092735
"2001-10-19",52.301056,52.339405,49.913712,50.086288,3628800,27.101835
"2001-10-22",50.719078,51.294342,50.661552,51.025887,2643700,27.610249
"2001-10-23",51.773731,52.396931,51.025887,52.118889,2345100,28.201679
"2001-10-24",52.780441,53.058487,52.262703,52.540749,2478600,28.429943
"2001-10-25",52.483223,53.652924,52.416107,53.595398,1752400,29.000616
"2001-10-26",54.074783,54.074783,53.125599,53.384468,1320000,28.886494
"2001-10-29",53.432407,53.441994,52.358582,52.358582,1048900,28.331381
"2001-10-30",52.588688,53.288589,52.013424,53.135185,1718500,28.751598
"2001-10-31",53.930969,53.978909,53.144775,53.221478,2292600,28.798306
"2001-11-01",53.787151,54.151485,52.86673,54.074783,1073800,29.260014
"2001-11-02",53.835091,54.458294,53.710449,54.026844,963100,29.234081
"2001-11-05",54.841801,54.841801,53.88303,54.429531,1674500,29.451962
"2001-11-06",54.650047,54.650047,53.307766,54.218601,1545600,29.337833
"2001-11-07",54.266541,54.745926,54.026844,54.506233,1340300,29.493471
"2001-11-08",54.266541,54.400768,53.211887,53.691277,1707900,29.052498
"2001-11-09",53.691277,53.835091,53.116013,53.595398,1024600,29.000616
"2001-11-12",53.978909,53.978909,52.732502,53.231064,809900,28.803493
"2001-11-13",54.055611,54.170662,53.691277,53.902206,1395000,29.16663
"2001-11-14",54.554173,56.519653,54.324066,54.793865,1274700,29.649097
"2001-11-15",54.870567,55.599232,54.803452,55.369129,1532000,29.960386
"2001-11-16",54.937679,55.580059,54.189838,54.841801,1370100,29.675056
"2001-11-19",55.369129,55.685524,54.908916,55.052734,1099000,29.789192
"2001-11-20",55.608822,55.608822,54.745926,55.004795,1206200,29.763252
"2001-11-21",55.273251,55.273251,53.729626,53.921379,1089800,29.177015
"2001-11-23",54.841801,54.937679,54.381592,54.793865,522500,29.649097
"2001-11-26",55.225311,55.225311,54.602108,54.745926,926100,29.623178
"2001-11-27",54.745926,55.129433,54.180248,54.218601,1718000,29.337833
"2001-11-28",54.458294,54.985619,54.170662,54.352829,1933500,29.410471
"2001-11-29",54.745926,54.745926,52.924255,53.537872,1744200,28.969501
"2001-11-30",53.451584,56.279961,53.125599,55.771812,2937400,30.178278
"2001-12-03",55.417065,55.512943,54.650047,55.033558,1552700,29.778822
"2001-12-04",55.704697,55.704697,53.978909,55.177372,1853600,29.856628
"2001-12-05",54.697987,56.069031,54.650047,55.752636,1640900,30.321789
"2001-12-06",55.417065,56.222435,55.378716,55.512943,2134700,30.191423
"2001-12-07",55.608822,55.637585,54.793865,55.32119,1718500,30.087132
"2001-12-10",55.330776,55.896454,54.745926,55.302013,1657900,30.076706
"2001-12-11",54.88974,54.928093,54.026844,54.602108,1892400,29.696053
"2001-12-12",55.32119,55.599232,54.985619,55.234898,1412700,30.040203
"2001-12-13",54.937679,56.279961,54.650047,56.088207,1885800,30.504299
"2001-12-14",55.388302,55.704697,54.937679,54.937679,1504400,29.878565
"2001-12-17",54.697987,57.046978,54.697987,57.046978,1527800,31.02573
"2001-12-18",56.615532,57.200382,55.608822,56.423779,1986200,30.686792
"2001-12-19",56.615532,56.682648,55.819752,56.279961,1311900,30.608574
"2001-12-20",56.184086,56.788113,56.184086,56.567593,1943400,30.764999
"2001-12-21",56.615532,56.999043,56.529243,56.653885,2334600,30.811935
"2001-12-24",56.855225,56.989452,56.673058,56.816875,501900,30.900579
"2001-12-26",56.816875,57.277084,56.586769,57.046978,1178300,31.02573
"2001-12-27",56.75935,57.238735,56.692234,57.18121,1012400,31.09873
"2001-12-28",57.238735,57.55513,57.075745,57.3442,1089800,31.187368
"2001-12-31",57.430489,57.718121,57.219559,57.33461,861900,31.182152
"2002-01-02",57.094917,57.094917,56.53883,56.903164,1059000,30.947508
"2002-01-03",56.663471,56.663471,56.232021,56.471718,1465900,30.712864
"2002-01-04",56.471718,56.500481,55.407478,55.666348,1566700,30.274862
"2002-01-07",56.136147,56.136147,54.745926,55.273251,2269200,30.061066
"2002-01-08",55.32119,55.455418,54.697987,54.928093,1789100,29.873341
"2002-01-09",54.717163,55.206135,54.717163,54.976032,2086700,29.899412
"2002-01-10",54.88974,55.541706,54.841801,55.177372,1147000,30.008913
"2002-01-11",54.88974,55.599232,54.841801,55.244488,1180000,30.045416
"2002-01-14",55.033558,55.925217,54.928093,54.928093,1429600,29.873341
"2002-01-15",54.813038,55.848515,54.813038,55.848515,1064400,30.373936
"2002-01-16",55.848515,56.184086,55.512943,56.040268,1020100,30.478209
"2002-01-17",56.040268,56.625118,55.944389,56.567593,911500,30.764999
"2002-01-18",56.567593,56.567593,55.570469,56.088207,954900,30.504299
"2002-01-22",55.925217,56.184086,55.512943,56.164909,1269400,30.545994
"2002-01-23",55.877277,56.232021,55.704697,56.040268,1175100,30.478209
"2002-01-24",56.567593,56.92234,56.232021,56.75935,1225300,30.869287
"2002-01-25",56.75935,57.622242,56.462128,57.142857,1507400,31.077858
"2002-01-28",57.286674,57.305847,56.903164,57.286674,969500,31.156084
"2002-01-29",57.094917,57.574306,55.982742,56.452541,1236900,30.702425
"2002-01-30",56.903164,57.660595,56.75935,56.883987,1792700,30.937077
"2002-01-31",56.883987,57.813999,56.836048,57.813999,1538100,31.442873
"2002-02-01",57.622242,58.024929,57.238735,57.76606,1312500,31.416807
"2002-02-04",57.861938,58.082455,57.142857,57.315437,923100,31.171726
"2002-02-05",57.142857,57.372963,56.510067,56.768936,1648500,30.87451
"2002-02-06",57.238735,57.651009,56.999043,57.3442,1483300,31.187368
"2002-02-07",57.516777,57.516777,56.423779,56.462128,1016000,30.707638
"2002-02-08",56.615532,57.478428,55.752636,57.152447,1013100,31.083084
"2002-02-11",56.807285,57.526367,56.682648,57.277084,1645200,31.150887
"2002-02-12",57.392139,57.526367,57.152447,57.478428,967400,31.260366
"2002-02-13",57.382549,57.737297,57.257912,57.574306,1029600,31.312521
"2002-02-14",57.718121,57.76606,57.12368,57.564716,946100,31.307308
"2002-02-15",57.564716,58.820709,57.478428,58.475552,1869100,31.802675
"2002-02-19",58.475552,58.859062,58.053692,58.053692,1437400,31.573235
"2002-02-20",58.437199,60.067116,58.216682,59.779484,1601100,32.511837
"2002-02-21",60,60.258869,58.504314,58.581017,1864100,31.860041
"2002-02-22",58.581017,60.79578,58.35091,60.306808,1808500,32.798611
"2002-02-25",60.786194,60.872482,60.019176,60.613613,1305500,32.965492
"2002-02-26",60.824543,60.834133,59.731544,60.383511,1502400,32.84034
"2002-02-27",60.59444,60.719078,59.549377,60.182167,1219600,32.73085
"2002-02-28",60.546501,60.834133,59.721954,60.019176,1509300,32.642197
"2002-03-01",60.546501,61.313519,60.306808,61.294342,1099000,33.335705
"2002-03-04",61.361458,61.514862,60.469799,61.093002,1421800,33.226215
"2002-03-05",60.930008,60.939598,59.539787,59.923298,1625300,32.590046
"2002-03-06",59.491852,60.958775,59.491852,60.517738,1189900,33.081776
"2002-03-07",60.201344,60.354748,59.453499,59.913712,1272500,32.751579
"2002-03-08",59.971237,60.498562,59.443913,60.191753,1005300,32.903584
"2002-03-11",60.067116,60.067116,59.022053,59.348034,1003200,32.442371
"2002-03-12",58.628956,61.361458,58.446789,61.025887,1932500,33.359558
"2002-03-13",60.786194,60.85331,59.884949,60.79578,1509200,33.233772
"2002-03-14",61.025887,61.045063,60.354748,60.63279,980300,33.144669
"2002-03-15",61.121765,62.176414,60.642376,62.176414,1820600,33.988483
"2002-03-18",62.080536,62.090126,61.466923,61.697029,1347800,33.726444
"2002-03-19",61.86002,62.6558,61.840843,62.032597,1553100,33.909882
"2002-03-20",62.042187,62.195591,61.466923,61.783318,977000,33.773594
"2002-03-21",61.64909,61.792904,60.412273,60.776608,1373200,33.223282
"2002-03-22",61.121765,61.543625,60.834133,61.045063,1158100,33.370037
"2002-03-25",60.63279,61.361458,60.508148,60.824543,684500,33.249489
"2002-03-26",60.930008,61.716202,60.786194,61.342281,1001800,33.532509
"2002-03-27",61.351871,61.697029,61.121765,61.486099,822900,33.611141
"2002-03-28",61.313519,62.128475,61.093002,61.984661,1134000,33.883656
"2002-04-01",60.786194,60.987537,60.488976,60.79578,1117800,33.233772
"2002-04-02",60.977947,61.946308,60.59444,61.936722,1190100,33.85746
"2002-04-03",61.984661,62.224354,60.882072,61.505272,1122900,33.621605
"2002-04-04",61.553211,61.984661,61.198467,61.840843,1092700,33.805042
"2002-04-05",61.840843,61.975071,61.083412,61.409397,990700,33.569199
"2002-04-08",61.169704,61.754555,61.121765,61.697029,924800,33.726444
"2002-04-09",61.457336,61.783318,61.169704,61.744965,999700,33.752632
"2002-04-10",62.128475,63.259827,61.936722,63.259827,1262600,34.580734
"2002-04-11",63.259827,63.259827,62.186001,62.339405,1729000,34.077576
"2002-04-12",62.329819,63.489933,62.329819,63.489933,1029400,34.706524
"2002-04-15",63.489933,63.489933,62.080536,62.157238,1769700,33.978001
"2002-04-16",62.320229,63.154362,62.320229,63.154362,1046000,34.523079
"2002-04-17",62.943432,62.943432,62.157238,62.281879,1137600,34.046143
"2002-04-18",61.936722,62.301056,61.677853,61.81208,1247000,33.789326
"2002-04-19",62.416107,62.511986,62.138062,62.348991,1017700,34.082809
"2002-04-22",62.425694,63.106422,62.320229,62.320229,1526000,34.067101
"2002-04-23",62.416107,62.464046,61.361458,61.43816,2022200,33.584915
"2002-04-24",62.799618,63.518696,62.320229,62.559925,2277400,34.198128
"2002-04-25",62.416107,62.905083,61.553211,61.601151,2280900,33.674007
"2002-04-26",61.936722,62.540749,61.744965,62.377758,1473200,34.098553
"2002-04-29",62.540749,62.550335,60.977947,61.112175,1629600,33.406719
"2002-04-30",60.786194,63.08725,60.690315,62.435284,2117600,34.12999
"2002-05-01",62.320229,62.464046,61.457336,62.128475,1523400,33.96228
"2002-05-02",61.898369,63.614574,61.898369,63.614574,1701400,34.774643
"2002-05-03",63.422817,63.585812,62.732502,62.732502,1183500,34.292465
"2002-05-06",62.981785,63.08725,62.617451,62.627037,1347300,34.234802
"2002-05-07",62.991371,63.08725,61.927132,61.927132,1441100,33.852222
"2002-05-08",62.032597,63.279003,61.936722,63.202301,1694300,34.549286
"2002-05-09",62.962608,63.710449,62.099712,62.166828,1344200,33.983246
"2002-05-10",62.6558,63.748802,62.464046,62.6558,1522300,34.25053
"2002-05-13",62.847553,63.758389,62.847553,63.720039,1326900,34.832302
"2002-05-14",63.854267,64.03643,63.106422,63.326942,1119900,34.61742
"2002-05-15",62.895493,63.518696,62.559925,63.326942,1247400,34.61742
"2002-05-16",63.518696,63.748802,62.962608,63.547459,1055400,34.737968
"2002-05-17",63.08725,63.499519,62.751678,63.279003,879700,34.591209
"2002-05-20",63.096836,63.374882,62.511986,62.703739,1197500,34.276749
"2002-05-21",62.703739,63.25024,62.425694,62.607861,1056000,34.224327
"2002-05-22",62.416107,63.096836,62.377758,63.08725,1234500,34.486389
"2002-05-23",63.470757,63.509109,62.732502,63.279003,1294000,34.591209
"2002-05-24",63.365292,63.451584,62.387344,62.464046,761100,34.145725
"2002-05-28",62.425694,62.66539,61.994247,62.176414,1163400,33.988483
"2002-05-29",62.186001,62.320229,60.824543,61.773731,2251900,33.76836
"2002-05-30",61.572388,62.329819,61.342281,62.051773,1144500,33.920357
"2002-05-31",62.176414,62.569511,62.128475,62.243526,1271300,34.025169
"2002-06-03",62.243526,62.981785,61.43816,61.43816,1003400,33.584915
"2002-06-04",61.505272,62.147652,61.131351,61.687439,1146300,33.721199
"2002-06-05",61.160114,62.809204,61.160114,62.588688,1249200,34.381058
"2002-06-06",62.368168,62.751678,61.783318,61.86002,1206200,33.980785
"2002-06-07",61.869606,62.243526,61.179291,61.898369,1313500,34.00185
"2002-06-10",61.898369,62.281879,61.399807,61.888783,1136500,33.996586
"2002-06-11",62.224354,62.943432,61.208054,61.332695,1310500,33.69112
"2002-06-12",61.792904,63.279003,61.744965,62.933846,2247000,34.570644
"2002-06-13",62.847553,62.895493,62.032597,62.128475,1318000,34.128242
"2002-06-14",61.553211,62.224354,61.073826,61.764141,1353000,33.928127
"2002-06-17",61.64909,62.176414,61.64909,62.176414,1191100,34.154583
"2002-06-18",61.716202,62.224354,61.409397,61.936722,1056600,34.022926
"2002-06-19",61.744965,62.186001,61.025887,61.179291,1936900,33.606842
"2002-06-20",61.21764,62.157238,61.140938,61.869606,1279700,33.98605
"2002-06-21",60.882072,61.581974,59.645252,60.019176,2478100,32.969582
"2002-06-24",59.875359,60.882072,59.875359,60.297218,1841300,33.122303
"2002-06-25",60.479385,60.862896,58.916588,58.916588,1595300,32.363918
"2002-06-26",58.676895,60.354748,57.938637,59.683605,2820500,32.785248
"2002-06-27",59.635666,60.364334,58.609779,59.875359,2022400,32.890579
"2002-06-28",59.779484,60.393097,58.801533,59.443913,2527800,32.653584
"2002-07-01",59.875359,60.738255,59.491852,60.153404,1353000,33.043308
"2002-07-02",60.115051,60.143814,58.513901,58.56184,1458000,32.169037
"2002-07-03",59.060402,59.750721,58.034515,58.77277,1837900,32.284912
"2002-07-05",58.916588,60.460213,58.465965,60.460213,720400,33.211849
