"","BLK.Open","BLK.High","BLK.Low","BLK.Close","BLK.Volume","BLK.Adjusted"
"2001-01-02",42.25,42.5625,40,40,54000,27.834412
"2001-01-03",39.75,40.125,39.25,39.8125,54000,27.703938
"2001-01-04",40.0625,40.6875,39.375,39.375,65700,27.399496
"2001-01-05",39.375,39.375,35.375,35.75,94500,24.877005
"2001-01-08",36,37.1875,36,36.5,75800,25.398901
"2001-01-09",36.875,37,36.3125,36.3125,17900,25.268425
"2001-01-10",36.375,38,36.375,37.875,42500,26.355707
"2001-01-11",37.625,38.75,36.625,36.625,53700,25.485876
"2001-01-12",36.875,37.25,35.75,37,51800,25.746822
"2001-01-16",37.5,38.0625,36.0625,38,116400,26.442677
"2001-01-17",38.5,41.5,38.5,40.25,128800,28.008369
"2001-01-18",40.25,40.5,40,40.375,67600,28.095354
"2001-01-19",40.375,41.25,39.8125,39.8125,62200,27.703938
"2001-01-22",39.8125,39.9375,39.375,39.9375,41200,27.790924
"2001-01-23",39.9375,40.375,39.5,40.3125,46500,28.051855
"2001-01-24",40.375,40.375,39.1875,39.1875,23300,27.26902
"2001-01-25",39.1875,39.5,38.75,39.5,140000,27.486483
"2001-01-26",39.5,39.6875,39.4375,39.5625,29500,27.52997
"2001-01-29",39.5,41.310001,39.5,41.25,74000,28.704231
"2001-01-30",41.25,41.549999,40.75,40.790001,63400,28.384151
"2001-01-31",41,41,39.66,39.919998,42000,27.778748
"2001-02-01",40,41.25,39.75,41,120700,28.530258
"2001-02-02",41,42.599998,41,42.5,65800,29.57406
"2001-02-05",42.75,43,41,41,50500,28.530258
"2001-02-06",40.75,41.25,40,41.200001,35000,28.669453
"2001-02-07",41.200001,44,41.200001,42.860001,76500,29.824562
"2001-02-08",43,43.400002,42.540001,43,48200,29.921986
"2001-02-09",43,43,42.200001,42.200001,27200,29.365307
"2001-02-12",42.200001,43.709999,42,43.389999,33100,30.193378
"2001-02-13",43.139999,43.990002,43.139999,43.599998,33900,30.339506
"2001-02-14",43.459999,43.459999,42.5,43.099998,20800,29.991585
"2001-02-15",43.349998,43.5,42.700001,43.400002,18400,30.200335
"2001-02-16",43.200001,43.200001,41.93,42.099998,29600,29.295719
"2001-02-20",42.099998,42.099998,39.099998,39.400002,52200,27.416891
"2001-02-21",39.200001,39.799999,39.099998,39.369999,48400,27.396011
"2001-02-22",39.299999,39.299999,39,39.009998,85500,27.145514
"2001-02-23",39.009998,39.75,39.009998,39.75,62700,27.660444
"2001-02-26",39.799999,42.650002,39.799999,42.099998,50100,29.295719
"2001-02-27",42.349998,42.5,41,41,30400,28.530258
"2001-02-28",41.099998,41.099998,39,39.400002,59400,27.416891
"2001-03-01",39.400002,40.450001,39.25,40.299999,19700,28.043165
