"","BWA.Open","BWA.High","BWA.Low","BWA.Close","BWA.Volume","BWA.Adjusted"
"2001-02-14",5.42375,5.43625,5.4075,5.42,752000,3.051969
"2001-02-15",5.395,5.43125,5.395,5.4275,1594400,3.056192
"2001-02-16",5.41875,5.4375,5.35,5.4175,868000,3.05056
"2001-02-20",5.4175,5.55625,5.3575,5.3575,720800,3.016777
"2001-02-21",5.295,5.375,5.29375,5.3125,692000,2.991436
"2001-02-22",5.3125,5.3225,5.105,5.25375,1265600,2.958355
"2001-02-23",5.25,5.34375,5.2,5.34375,586400,3.009033
"2001-02-26",5.325,5.4975,5.3125,5.4875,1540000,3.089978
"2001-02-27",5.475,5.75,5.475,5.53625,1607200,3.117429
"2001-02-28",5.53875,5.54125,5.3625,5.4625,978400,3.0759
"2001-03-01",5.4375,5.5125,5.38125,5.4125,983200,3.047745
"2001-03-02",5.39375,5.75,5.39375,5.625,2024000,3.167404
"2001-03-05",5.65625,5.66875,5.57875,5.59875,579200,3.152622
"2001-03-06",5.625,5.73125,5.615,5.6325,446400,3.171628
"2001-03-07",5.64375,5.68,5.6,5.65875,565600,3.186409
"2001-03-08",5.6625,5.76375,5.6625,5.72625,920000,3.224417
"2001-03-09",5.7375,5.75,5.60875,5.7,2027200,3.209636
"2001-03-12",5.6875,5.76,5.6225,5.6225,1842400,3.165997
"2001-03-13",5.65,5.66875,5.475,5.50625,1652000,3.100537
"2001-03-14",5.4375,5.5,5.35,5.39375,964000,3.037187
"2001-03-15",5.4,5.415,5.34375,5.375,663200,3.026629
"2001-03-16",5.3875,5.425,5.2625,5.26375,813600,2.963985
"2001-03-19",5.275,5.4325,5.26625,5.40625,871200,3.044226
"2001-03-20",5.3875,5.435,5.225,5.225,1226400,2.942166
"2001-03-21",5.24375,5.24375,5.0325,5.06,1216000,2.849256
"2001-03-22",5.05625,5.05625,4.80125,4.8625,2166400,2.738045
"2001-03-23",4.8625,5.0625,4.8625,5.035,1207200,2.835178
"2001-03-26",5.025,5.28,5.0075,5.225,1228000,2.942166
"2001-03-27",5.21875,5.29,5.0525,5.29,1415200,2.978767
"2001-03-28",5.275,5.275,5.10625,5.1725,747200,2.912604
"2001-03-29",5.14125,5.175,4.9875,5.0125,1704800,2.822509
"2001-03-30",5.025,5.06875,4.98625,5.00875,1368000,2.820397
"2001-04-02",5.0275,5.08125,4.9925,5.00875,1480000,2.820397
"2001-04-03",5.015,5.015,4.93125,4.95,870400,2.787315
"2001-04-04",4.94875,5.1375,4.94875,5.04125,932000,2.838698
"2001-04-05",5.04125,5.1375,4.875,5.11375,2078400,2.879521
"2001-04-06",5.1875,5.1875,5.0125,5.1425,1377600,2.89571
"2001-04-09",5.15625,5.3375,5.15625,5.25625,1554400,2.959762
"2001-04-10",5.3,5.40875,5.3,5.40625,911200,3.044226
"2001-04-11",5.40625,5.40875,5.23125,5.275,524000,2.970321
"2001-04-12",5.29375,5.4,5.2525,5.4,908800,3.040708
"2001-04-16",5.44875,5.53125,5.44875,5.475,1384800,3.08294
"2001-04-17",5.4625,5.535,5.435,5.525,619200,3.111094
"2001-04-18",5.535,5.6875,5.535,5.6125,1757600,3.160365
"2001-04-19",5.625,5.70625,5.61875,5.70625,719200,3.213155
"2001-04-20",5.75,5.75,5.57625,5.70625,741600,3.213155
"2001-04-23",5.6875,5.69125,5.625,5.62625,555200,3.168107
"2001-04-24",5.625,5.69375,5.625,5.6625,380800,3.188518
"2001-04-25",5.625,5.64875,5.53125,5.62625,1812800,3.168107
"2001-04-26",5.625,5.68125,5.60625,5.61,1055200,3.158957
"2001-04-27",5.6,5.65625,5.5575,5.575,993600,3.225492
"2001-04-30",5.57375,5.62625,5.56375,5.56625,594400,3.220429
"2001-05-01",5.625,5.6275,5.4975,5.53125,1030400,3.200181
"2001-05-02",5.53,5.6125,5.49875,5.575,591200,3.225492
"2001-05-03",5.55625,5.55625,5.465,5.5,1064000,3.182099
"2001-05-04",5.5,5.5,5.4375,5.5,1027200,3.182099
"2001-05-07",5.5,5.58625,5.4875,5.49125,666400,3.177038
"2001-05-08",5.5,5.5,5.35,5.43375,663200,3.14377
"2001-05-09",5.43375,5.4975,5.405,5.4125,1415200,3.131474
"2001-05-10",5.4,5.49375,5.3875,5.3875,461600,3.11701
"2001-05-11",5.39375,5.43125,5.28,5.2925,568000,3.062047
"2001-05-14",5.3,5.37375,5.3,5.35625,858400,3.098931
"2001-05-15",5.35625,5.51875,5.35625,5.5025,991200,3.183546
"2001-05-16",5.50125,5.7125,5.50125,5.7125,995200,3.305043
"2001-05-17",5.725,5.7675,5.67625,5.73125,1163200,3.315893
"2001-05-18",5.73125,5.73125,5.6375,5.68875,585600,3.291302
"2001-05-21",5.69,5.73125,5.61875,5.73125,585600,3.315893
"2001-05-22",5.7,5.76875,5.64375,5.74375,989600,3.323126
"2001-05-23",5.74375,5.765,5.70625,5.73375,1286400,3.317339
"2001-05-24",5.73375,5.8125,5.70125,5.8125,1627200,3.362901
"2001-05-25",5.83125,5.9,5.82375,5.85375,1096800,3.386766
"2001-05-29",5.85375,5.91875,5.8125,5.83625,672800,3.376642
"2001-05-30",5.83625,5.8375,5.69375,5.695,988000,3.29492
"2001-05-31",5.695,5.78125,5.65625,5.65625,1283200,3.272501
"2001-06-01",5.7125,5.9325,5.7125,5.9,1558400,3.413525
"2001-06-04",5.9,5.9125,5.85375,5.86625,892800,3.393999
"2001-06-05",5.85625,5.99375,5.85625,5.96375,896800,3.450408
"2001-06-06",5.96375,5.96375,5.91125,5.9175,611200,3.42365
"2001-06-07",5.9175,5.95,5.86,5.87375,847200,3.398338
"2001-06-08",5.875,5.875,5.8125,5.8675,349600,3.394721
"2001-06-11",5.8675,5.93125,5.8675,5.9125,1366400,3.420757
"2001-06-12",5.89375,5.89375,5.73375,5.75125,1608000,3.327463
"2001-06-13",5.7625,5.81875,5.7125,5.71875,840800,3.308661
"2001-06-14",5.7175,5.7175,5.54375,5.55375,556000,3.213197
"2001-06-15",5.49125,5.5625,5.48625,5.54375,1408000,3.207413
"2001-06-18",5.55625,5.6,5.55625,5.5625,697600,3.21826
"2001-06-19",5.58125,5.5875,5.53875,5.54375,688000,3.207413
"2001-06-20",5.5375,5.6875,5.5375,5.67,809600,3.280456
"2001-06-21",5.67,5.9425,5.67,5.88125,1640000,3.402676
"2001-06-22",5.9125,6,5.875,5.91875,1302400,3.424372
"2001-06-25",5.9375,5.94125,5.86875,5.92375,1439200,3.427266
"2001-06-26",5.92375,6.125,5.9,6.08125,2165600,3.51839
"2001-06-27",6.08125,6.13625,6.01875,6.02,972000,3.482952
"2001-06-28",6,6.14375,6,6.13375,769600,3.548764
"2001-06-29",6.175,6.21125,6.1375,6.2025,2045600,3.58854
"2001-07-02",6.18125,6.18125,6.06875,6.08875,1458400,3.522728
"2001-07-03",6.08875,6.1,5.96,6.03,2742400,3.488738
"2001-07-05",6.03,6.0875,5.975,6.0075,1470400,3.475722
"2001-07-06",6.01875,6.01875,5.9225,5.9275,996000,3.429435
"2001-07-09",5.9125,6.06875,5.89,6.0375,1344000,3.493077
"2001-07-10",6.00625,6.2125,6.00625,6.1375,1062400,3.550934
"2001-07-11",6.125,6.255,6.125,6.225,2535200,3.601558
"2001-07-12",6.25,6.375,6.25,6.35,3185600,3.673878
"2001-07-13",6.34375,6.41625,6.34,6.4,1092000,3.702807
"2001-07-16",6.3875,6.45625,6.3375,6.35875,888000,3.67894
"2001-07-17",6.375,6.4875,6.36625,6.45,2015200,3.731734
"2001-07-18",6.4125,6.42625,6.36,6.4175,658400,3.71293
"2001-07-19",6.40625,6.425,6.3275,6.38125,1090400,3.691961
"2001-07-20",6.3875,6.4125,6.375,6.385,473600,3.694128
"2001-07-23",6.38375,6.38875,6.2575,6.2625,893600,3.623255
"2001-07-24",6.25125,6.25125,5.9225,5.925,1389600,3.427989
"2001-07-25",5.93875,6.13125,5.9375,6.03375,1892000,3.490907
"2001-07-26",6.04375,6.3,6.04375,6.28125,1303200,3.634102
"2001-07-27",6.26875,6.425,6.26875,6.40625,1272800,3.706423
"2001-07-30",6.4,6.60625,6.4,6.5375,2584800,3.873046
"2001-07-31",6.5625,6.68,6.5625,6.62375,3559200,3.924142
"2001-08-01",6.62375,6.825,6.6225,6.78875,5176000,4.021895
"2001-08-02",6.775,6.8125,6.5,6.5475,1766400,3.87897
"2001-08-03",6.5625,6.6625,6.48625,6.6125,1311200,3.917478
"2001-08-06",6.59375,6.64375,6.5775,6.6125,948800,3.917478
"2001-08-07",6.6125,6.8275,6.6125,6.8125,3080800,4.035965
"2001-08-08",6.8125,6.89875,6.7125,6.7425,2264000,3.994495
"2001-08-09",6.74375,6.79125,6.675,6.74375,1201600,3.995235
"2001-08-10",6.74375,6.7625,6.7,6.74375,1292000,3.995235
"2001-08-13",6.745,6.7875,6.53375,6.565,1800000,3.889336
"2001-08-14",6.565,6.60375,6.51,6.5875,1923200,3.902667
"2001-08-15",6.58125,6.74375,6.58125,6.7325,1965600,3.98857
"2001-08-16",6.73125,6.7625,6.6375,6.76125,1368800,4.005603
"2001-08-17",6.6875,6.68875,6.0125,6.02,7244000,3.566459
"2001-08-20",6.025,6.125,5.75,6.04375,7417600,3.58053
"2001-08-21",6.0875,6.2125,5.95625,5.97,2609600,3.536838
"2001-08-22",6.05,6.35,6.0375,6.34375,3035200,3.75826
"2001-08-23",6.3125,6.4,6.1925,6.2625,2568800,3.710126
"2001-08-24",6.25,6.3375,6.2375,6.33625,873600,3.753819
"2001-08-27",6.33125,6.33125,6.22,6.30125,738400,3.733083
"2001-08-28",6.32875,6.32875,6.23125,6.29625,943200,3.73012
"2001-08-29",6.29375,6.375,6.2575,6.375,1013600,3.776774
"2001-08-30",6.325,6.3925,6.2775,6.31125,1757600,3.739007
"2001-08-31",6.32375,6.4375,6.31625,6.3875,1158400,3.78418
"2001-09-04",6.4125,6.58125,6.41,6.4625,1290400,3.828613
"2001-09-05",6.49375,6.51125,6.3375,6.45,1156800,3.821206
"2001-09-06",6.46875,6.49875,6.33125,6.39,1514400,3.785661
"2001-09-07",6.35875,6.35875,6.1125,6.145,1893600,3.640514
"2001-09-10",6.0825,6.11875,5.95875,6.0725,1908800,3.597562
"2001-09-17",6.0625,6.0625,5.375,5.375,1773600,3.18434
"2001-09-18",5.38125,5.4125,5.1125,5.1125,3022400,3.028826
"2001-09-19",5.09375,5.11875,4.825,4.94375,3120800,2.928852
"2001-09-20",4.9375,4.9375,4.5325,4.56125,2956000,2.702246
"2001-09-21",4.40625,4.66875,4.275,4.57,2730400,2.707428
"2001-09-24",4.65625,5.1875,4.64375,5.0725,4042400,3.005128
"2001-09-25",5.0125,5.01375,4.8375,4.92125,2812800,2.915522
"2001-09-26",4.875,4.875,4.63125,4.70625,3363200,2.788147
"2001-09-27",4.7375,4.89375,4.675,4.865,3056000,2.882197
"2001-09-28",4.90625,5.0375,4.905,5.0375,1892800,2.984392
"2001-10-01",5,5.045,4.8525,4.985,1252800,2.95329
"2001-10-02",5.01625,5.175,5.00625,5.125,765600,3.03623
"2001-10-03",5.1375,5.3275,5.1125,5.3275,2047200,3.156198
"2001-10-04",5.375,5.5125,5.3125,5.35625,2103200,3.17323
"2001-10-05",5.375,5.4675,5.23125,5.355,1359200,3.17249
"2001-10-08",5.32375,5.34375,5.25,5.3,1054400,3.139906
"2001-10-09",5.3,5.3,5.17625,5.25375,2057600,3.112506
"2001-10-10",5.2625,5.58125,5.2625,5.575,1394400,3.302827
"2001-10-11",5.625,5.75,5.54,5.58125,1915200,3.306529
"2001-10-12",5.58125,5.625,5.4375,5.515,981600,3.26728
"2001-10-15",5.5,5.575,5.43125,5.53375,1269600,3.278387
"2001-10-16",5.5375,5.6125,5.53125,5.6125,1518400,3.325042
"2001-10-17",5.625,5.73625,5.35,5.3925,1757600,3.194707
"2001-10-18",5.39375,5.47125,5.3625,5.4375,1817600,3.221366
"2001-10-19",5.44375,5.5875,5.42125,5.48875,1951200,3.251729
"2001-10-22",5.49375,5.65,5.4875,5.615,1380000,3.326523
"2001-10-23",5.62,5.84375,5.62,5.65375,2607200,3.34948
"2001-10-24",5.65625,5.65625,5.5075,5.5075,1580800,3.262838
"2001-10-25",5.4875,5.4875,5.35625,5.4725,2030400,3.242101
"2001-10-26",5.4625,5.48375,5.3575,5.3725,2770400,3.182857
"2001-10-29",5.375,5.44375,5.28125,5.375,1340800,3.18434
"2001-10-30",5.3375,5.3625,5.24375,5.3275,656000,3.246806
"2001-10-31",5.33,5.4,5.225,5.34,1177600,3.254426
"2001-11-01",5.35,5.44375,5.25,5.35,1e+06,3.26052
"2001-11-02",5.35625,5.525,5.35625,5.4375,1091200,3.313845
"2001-11-05",5.5,5.5925,5.5,5.5375,773600,3.37479
"2001-11-06",5.5375,5.60625,5.4875,5.5875,1187200,3.405264
"2001-11-07",5.56875,5.61875,5.5175,5.5575,684000,3.386979
"2001-11-08",5.575,5.6625,5.475,5.48125,880000,3.34051
"2001-11-09",5.4625,5.53125,5.4375,5.50625,860000,3.355746
"2001-11-12",5.51875,5.54375,5.43125,5.46625,622400,3.331367
"2001-11-13",5.49375,5.61,5.4875,5.5825,766400,3.402214
"2001-11-14",5.61375,5.75,5.61375,5.69625,791200,3.471538
"2001-11-15",5.69625,5.9075,5.69375,5.85,947200,3.565241
"2001-11-16",5.86875,5.97125,5.855,5.92125,988800,3.608662
"2001-11-19",5.92125,5.9625,5.83875,5.86125,1181600,3.572096
"2001-11-20",5.875,5.875,5.6875,5.7025,1536800,3.475348
"2001-11-21",5.7275,5.74375,5.6375,5.67,560800,3.455541
"2001-11-23",5.6875,5.83125,5.6875,5.805,628000,3.537816
"2001-11-26",5.81625,5.875,5.75,5.7625,1000800,3.511915
"2001-11-27",5.78125,5.78125,5.5875,5.64375,1298400,3.439543
"2001-11-28",5.625,5.7625,5.59375,5.6375,964000,3.435734
"2001-11-29",5.6375,5.71875,5.59375,5.7,772800,3.473824
"2001-11-30",5.71125,5.8025,5.71125,5.75,1338400,3.504297
"2001-12-03",5.75,5.8425,5.72,5.7825,1640800,3.524104
"2001-12-04",5.7875,5.92125,5.78375,5.89625,9e+05,3.593427
"2001-12-05",5.9275,6.0475,5.9275,6,1152000,3.656657
"2001-12-06",6,6.26875,5.99875,6.24375,2020000,3.805209
"2001-12-07",6.23125,6.2425,6.125,6.125,846400,3.732837
"2001-12-10",6.09625,6.22375,6.075,6.14,1930400,3.741979
"2001-12-11",6.14,6.2375,6.14,6.19375,1210400,3.774737
"2001-12-12",6.195,6.275,6.185,6.20125,876800,3.779307
"2001-12-13",6.1825,6.25,6.16875,6.19,956800,3.772452
"2001-12-14",6.2,6.20625,6.10875,6.15375,1025600,3.750358
"2001-12-17",6.16875,6.3025,6.16875,6.26875,752000,3.820445
"2001-12-18",6.25625,6.4325,6.25625,6.4325,1533600,3.920241
"2001-12-19",6.4125,6.45,6.3325,6.3475,1570400,3.86844
"2001-12-20",6.3375,6.3425,6.15625,6.26625,992000,3.818924
"2001-12-21",6.2975,6.40375,6.2425,6.39625,1360000,3.89815
"2001-12-24",6.45875,6.48125,6.42125,6.425,537600,3.915671
"2001-12-26",6.425,6.475,6.425,6.465,876000,3.940049
"2001-12-27",6.4875,6.56,6.4875,6.52375,1345600,3.975851
"2001-12-28",6.5125,6.55,6.51125,6.525,990400,3.976615
"2001-12-31",6.51875,6.56,6.50125,6.53125,831200,3.980424
"2002-01-02",6.51875,6.565,6.38125,6.5475,1091200,3.990328
"2002-01-03",6.52875,6.5875,6.505,6.5625,1408800,3.99947
"2002-01-04",6.58125,6.65375,6.5625,6.62625,1192800,4.038321
"2002-01-07",6.595,6.6375,6.505,6.505,1646400,3.964426
"2002-01-08",6.505,6.61375,6.3875,6.61375,1688800,4.030703
"2002-01-09",6.6125,6.61875,6.54375,6.5825,1716000,4.011658
"2002-01-10",6.5525,6.625,6.46,6.51125,2564800,3.968236
"2002-01-11",6.4875,6.6125,6.48125,6.585,3168800,4.013181
"2002-01-14",6.55625,6.575,6.4,6.4125,3112000,3.908053
"2002-01-15",6.425,6.46875,6.34375,6.38625,1190400,3.892055
"2002-01-16",6.38625,6.41875,6.30375,6.305,1232800,3.842537
"2002-01-17",6.31875,6.4825,6.23875,6.4725,2425600,3.94462
"2002-01-18",6.46875,6.47,6.37625,6.37625,924800,3.88596
"2002-01-22",6.375,6.5225,6.375,6.4875,840800,3.953761
"2002-01-23",6.5,6.625,6.49375,6.57625,1272800,4.007849
"2002-01-24",6.5875,6.6375,6.45,6.45,1486400,3.930907
"2002-01-25",6.46875,6.86375,6.46875,6.7625,2092000,4.121359
"2002-01-28",6.7925,6.9125,6.68625,6.745,2603200,4.110693
"2002-01-29",6.7825,6.83625,6.69625,6.79125,1445600,4.138878
"2002-01-30",6.78625,6.88875,6.7375,6.8775,1728800,4.286112
"2002-01-31",6.875,7.03125,6.875,6.925,1648000,4.315713
"2002-02-01",6.93625,7,6.89375,6.9,804000,4.300136
"2002-02-04",6.91875,6.98625,6.84375,6.8475,1324800,4.267415
"2002-02-05",6.75,6.95625,6.7,6.75,3272000,4.206653
"2002-02-06",6.765,7,6.765,6.85375,2128800,4.271311
"2002-02-07",6.77875,6.88625,6.7125,6.7125,1674400,4.183284
"2002-02-08",6.725,6.985,6.725,6.9375,1512800,4.323504
"2002-02-11",7.05375,7.11375,6.99125,7.0675,2176800,4.404521
"2002-02-12",7.05,7.0625,6.975,7.06,1603200,4.399846
"2002-02-13",7.0325,7.18125,7.0325,7.16375,1393600,4.464506
"2002-02-14",7.17625,7.23125,7.025,7.1325,2324000,4.44503
"2002-02-15",7.13625,7.2075,7.0625,7.1225,1943200,4.438798
"2002-02-19",7.1225,7.125,7.035,7.0425,949600,4.388942
"2002-02-20",7.055,7.3375,7.055,7.28875,2091200,4.542406
"2002-02-21",7.28875,7.46875,7.24,7.24,2845600,4.512025
"2002-02-22",7.3275,7.3875,7.275,7.35625,2191200,4.584472
"2002-02-25",7.3875,7.575,7.3875,7.49625,2259200,4.671721
"2002-02-26",7.54375,7.7575,7.51875,7.665,2595200,4.776889
"2002-02-27",7.8125,7.8625,7.5875,7.65375,2736000,4.769876
"2002-02-28",7.64375,7.65625,7.45,7.51875,2876000,4.685743
"2002-03-01",7.5125,7.625,7.5125,7.62125,2326400,4.749622
"2002-03-04",7.75,7.9,7.7375,7.86625,3244000,4.902309
"2002-03-05",7.79125,7.85625,7.5875,7.635,2416000,4.758193
"2002-03-06",7.625,7.81625,7.6125,7.7575,2847200,4.834536
"2002-03-07",7.845,8.1625,7.8375,8.09125,4576800,5.042531
"2002-03-08",8.21625,8.2625,8.0875,8.11,3412000,5.054216
"2002-03-11",8.1,8.11625,7.92125,8.025,2473600,5.001242
"2002-03-12",7.96375,8.1,7.9125,8.095,2503200,5.044867
"2002-03-13",8,8.11875,7.975,8.03625,2062400,5.008252
"2002-03-14",8.01875,8.075,7.9875,8.0225,1792000,4.999685
"2002-03-15",8.0125,8.05875,7.93,7.93,1730400,4.942037
"2002-03-18",7.925,8.01,7.925,7.9675,2606400,4.965409
"2002-03-19",8.0375,8.10625,8,8.02,1917600,4.998126
"2002-03-20",8,8.00625,7.925,7.94125,2020800,4.949048
"2002-03-21",7.9425,7.9425,7.725,7.74,2283200,4.823628
"2002-03-22",7.7125,7.71625,7.5625,7.6125,3952800,4.744169
"2002-03-25",7.5875,7.60625,7.25,7.31125,3455200,4.556428
"2002-03-26",7.3275,7.81125,7.3275,7.5975,4400800,4.734821
"2002-03-27",7.6,7.91875,7.6,7.88875,2929600,4.916329
"2002-03-28",7.915,7.975,7.85,7.865,2180000,4.901529
"2002-04-01",7.8025,7.87875,7.625,7.79875,3023200,4.860242
"2002-04-02",7.78625,7.78625,7.66875,7.69125,2150400,4.793247
"2002-04-03",7.69375,7.71,7.525,7.55875,1428000,4.710672
"2002-04-04",7.53125,7.5975,7.4875,7.59625,1676000,4.734042
"2002-04-05",7.56875,7.8125,7.56875,7.7525,1839200,4.831419
"2002-04-08",7.725,7.885,7.65,7.8775,1420000,4.909319
"2002-04-09",7.88125,8.04875,7.88125,8.00625,3240000,4.989558
"2002-04-10",8.0075,8.2225,8,8.22,2432800,5.122768
"2002-04-11",8.2125,8.21875,7.85875,7.8775,3005600,4.909319
"2002-04-12",7.8775,7.87875,7.6625,7.75375,4923200,4.832199
"2002-04-15",7.8125,7.9,7.69625,7.75625,2010400,4.833757
"2002-04-16",7.925,7.9975,7.825,7.975,1844000,4.970082
"2002-04-17",7.9875,8.05,7.66875,7.69,2045600,4.792469
"2002-04-18",7.69375,7.74375,7.4475,7.51375,3880000,4.682626
"2002-04-19",7.53125,7.71875,7.53125,7.59375,2145600,4.732485
"2002-04-22",7.595,7.64375,7.4875,7.5625,2890400,4.713009
"2002-04-23",7.6375,7.74375,7.5675,7.665,1724000,4.776889
"2002-04-24",7.6875,7.8375,7.6875,7.81625,3479200,4.871148
"2002-04-25",7.81875,7.84875,7.6525,7.735,1684000,4.820512
"2002-04-26",7.7475,7.91125,7.74,7.82875,2626400,4.878938
"2002-04-29",7.8375,7.84375,7.64375,7.66625,1599200,4.870996
"2002-04-30",7.67875,7.8375,7.66875,7.81,1759200,4.962333
"2002-05-01",7.8,7.975,7.625,7.895,2903200,5.01634
"2002-05-02",7.915,8.11875,7.88125,7.9625,2173600,5.059227
"2002-05-03",7.94375,8,7.8125,7.8675,2432000,4.998867
"2002-05-06",7.8675,7.905,7.8,7.82125,3236000,4.96948
"2002-05-07",7.8325,7.88875,7.7625,7.84125,2140800,4.982187
"2002-05-08",7.94125,7.98125,7.875,7.9225,1771200,5.033814
"2002-05-09",7.9125,7.9575,7.85625,7.87625,1085600,5.004426
"2002-05-10",7.875,7.915,7.7325,7.77875,1559200,4.942477
"2002-05-13",7.78,7.9125,7.6875,7.88875,2644000,5.012369
"2002-05-14",8,8,7.90125,7.995,2483200,5.079877
"2002-05-15",7.99125,8.10375,7.9625,8.09375,1493600,5.142622
"2002-05-16",8.11875,8.1225,8.02125,8.0325,1259200,5.103705
"2002-05-17",8.0325,8.11875,8.0325,8.11875,1784000,5.158506
"2002-05-20",8.05,8.05,7.75,7.845,2696800,4.98457
"2002-05-21",8.0875,8.2975,8.01875,8.095,6488800,5.143416
"2002-05-22",8.12,8.23625,8.0625,8.20875,2649600,5.21569
"2002-05-23",8.52125,8.5625,8.2875,8.5625,5412000,5.440457
"2002-05-24",8.55,8.61875,8.38875,8.38875,2663200,5.330059
"2002-05-28",8.42625,8.475,8.3375,8.40125,3208000,5.338002
"2002-05-29",8.4025,8.41,8.25625,8.3525,3056800,5.307028
"2002-05-30",7.8875,8.16,7.88125,7.96875,7742400,5.063198
"2002-05-31",8,8.195,8,8.05,3328800,5.114824
"2002-06-03",8.04375,8.09375,7.76125,7.76875,2508800,4.936123
"2002-06-04",7.675,7.70125,7.15,7.29875,9513600,4.637492
"2002-06-05",7.38125,7.60625,7.33125,7.525,4892800,4.781249
"2002-06-06",7.52625,7.6375,7.41875,7.4325,2176000,4.722476
"2002-06-07",7.43125,7.74875,7.34375,7.60875,2612800,4.834462
"2002-06-10",7.58125,7.74,7.50375,7.635,1738400,4.851141
"2002-06-11",7.6475,7.84375,7.545,7.55875,3312800,4.802692
"2002-06-12",7.56875,7.625,7.46875,7.625,3712800,4.844787
"2002-06-13",7.65,7.7125,7.3475,7.4,2279200,4.701826
"2002-06-14",7.3275,7.32875,7.15,7.23375,3655200,4.596194
"2002-06-17",7.2625,7.58,7.2625,7.55625,1930400,4.801105
"2002-06-18",7.5375,7.695,7.5375,7.625,1996000,4.844787
"2002-06-19",7.59625,7.72625,7.5175,7.51875,2009600,4.777278
"2002-06-20",7.3625,7.46875,7.2525,7.28875,4108800,4.631138
"2002-06-21",7.275,7.44125,7.11875,7.25,2800800,4.606518
"2002-06-24",7.225,7.31875,6.9625,7.27,3770400,4.619226
"2002-06-25",7.28125,7.30625,7.05375,7.14,2660800,4.536625
"2002-06-26",7.05,7.14125,6.9375,7.115,2959200,4.520741
"2002-06-27",7.1375,7.17375,6.935,7.05,3158400,4.479442
"2002-06-28",7.065,7.315,7.065,7.22,5374400,4.587456
"2002-07-01",7.24875,7.4125,7.24875,7.3475,3656800,4.668467
"2002-07-02",7.3375,7.3375,7.1625,7.2775,3570400,4.623992
"2002-07-03",7.25,7.30625,7.0675,7.165,2679200,4.552511
"2002-07-05",7.19,7.4675,7.19,7.46,652000,4.739949
"2002-07-08",7.45,7.5,7.21,7.21,2150400,4.581105
"2002-07-09",7.18125,7.25625,7.03125,7.03125,2556800,4.467528
"2002-07-10",7.01875,7.0625,6.855,6.89875,1854400,4.38334
"2002-07-11",6.8125,6.8125,6.56875,6.73625,2325600,4.280091
"2002-07-12",6.75625,6.775,6.6625,6.6875,2458400,4.249117
"2002-07-15",6.69375,6.69375,6.30625,6.58625,2188000,4.184782
"2002-07-16",6.6,6.6525,6.46875,6.5325,2832800,4.150632
"2002-07-17",6.7325,6.79375,6.2175,6.41875,5062400,4.078358
"2002-07-18",6.4125,6.68125,6.4125,6.43625,3108800,4.089477
"2002-07-19",6.4125,6.485,6.27125,6.2825,2068800,3.991785
"2002-07-22",6.30625,6.4375,6.13875,6.17125,3050400,3.921099
"2002-07-23",6.2,6.40875,6.15,6.16875,2484000,3.91951
"2002-07-24",6.16875,6.6125,6.05,6.60375,2532800,4.195902
"2002-07-25",6.60375,6.84375,6.41875,6.7125,3910400,4.265
"2002-07-26",6.7375,6.74875,6.50625,6.59,1800800,4.187167
"2002-07-29",6.7275,6.99375,6.7275,6.98,2913600,4.434966
