"","BWA.Open","BWA.High","BWA.Low","BWA.Close","BWA.Volume","BWA.Adjusted"
"2001-01-02",5,5.117188,4.9375,4.96875,1316000,2.71952
"2001-01-03",4.921875,5.3125,4.921875,5.304688,1800800,2.903385
"2001-01-04",5.273438,5.546875,5.234375,5.382813,1617600,2.946147
"2001-01-05",5.359375,5.359375,5.125,5.15625,1384800,2.822143
"2001-01-08",5.15625,5.203125,4.96875,5.203125,988800,2.847799
"2001-01-09",5.15625,5.15625,4.984375,5,1600800,2.736624
"2001-01-10",5,5,4.867188,4.945313,1338400,2.706692
"2001-01-11",4.96875,5.0625,4.898438,5.03125,966400,2.753727
"2001-01-12",5.015625,5.015625,4.890625,4.992188,549600,2.732348
"2001-01-16",4.976563,5.109375,4.789063,5,1804800,2.736624
"2001-01-17",5.03125,5.171875,5.03125,5.09375,780000,2.787935
"2001-01-18",5.09375,5.125,5.015625,5.015625,392000,2.745176
"2001-01-19",5.023438,5.046875,4.890625,4.890625,671200,2.676759
"2001-01-22",4.921875,5.0625,4.875,4.984375,1009600,2.728072
"2001-01-23",4.984375,5.125,4.984375,5.117188,590400,2.800762
"2001-01-24",5.09375,5.09375,5.015625,5.039063,254400,2.758003
"2001-01-25",5.015625,5.273438,5.015625,5.257813,1109600,2.87773
"2001-01-26",5.234375,5.273438,5.15625,5.257813,988000,2.87773
"2001-01-29",5.25125,5.375,5.25125,5.35625,976000,2.931608
"2001-01-30",5.3125,5.3125,5.2,5.2625,1969600,2.963281
"2001-01-31",5.275,5.28,5.25125,5.275,1474400,2.970321
"2001-02-01",5.275,5.325,5.2625,5.325,2517600,2.998474
"2001-02-02",5.3125,5.4125,5.3125,5.39125,908800,3.03578
"2001-02-05",5.37625,5.425,5.37125,5.37625,411200,3.027334
"2001-02-06",5.4,5.625,5.39875,5.6,1038400,3.153327
"2001-02-07",5.6,5.6125,5.48125,5.5375,2742400,3.118134
"2001-02-08",5.375,5.51875,5.375,5.5,659200,3.097016
"2001-02-09",5.53125,5.53125,5.3425,5.37375,478400,3.025927
"2001-02-12",5.4,5.46125,5.395,5.40625,474400,3.044226
"2001-02-13",5.38125,5.44875,5.38125,5.42375,1374400,3.054081
