"","IP.Open","IP.High","IP.Low","IP.Close","IP.Volume","IP.Adjusted"
"2001-01-02",39.447731,40.557198,38.46154,38.892998,3528200,21.22418
"2001-01-03",39.016273,41.42012,38.708088,40.495564,3073600,22.098711
"2001-01-04",40.433926,42.714497,39.879192,42.036488,4365100,22.93961
"2001-01-05",42.098125,42.098125,39.694279,40.927021,2553600,22.334171
"2001-01-08",40.988659,41.235207,38.708088,39.447731,3499700,21.526909
"2001-01-09",39.386093,39.386093,37.413708,37.783531,2925800,20.61874
"2001-01-10",38.030079,38.153355,36.550789,37.598618,3074400,20.517838
"2001-01-11",37.475346,37.536983,36.057693,37.228798,4003100,20.316025
"2001-01-12",36.365879,36.489151,35.256409,36.427513,3781100,19.87875
"2001-01-16",36.180965,37.536983,35.626232,37.105522,3243400,20.248749
"2001-01-17",37.35207,37.413708,35.749508,36.057693,2755700,19.676949
"2001-01-18",35.749508,36.242603,35.071499,35.318047,2616200,19.273314
"2001-01-19",35.379684,35.50296,34.146942,34.20858,3010500,18.667871
"2001-01-22",34.20858,36.119328,33.284023,35.256409,4044000,19.239677
"2001-01-23",35.87278,36.304241,35.50296,36.057693,2627800,19.676949
"2001-01-24",34.824951,36.735699,34.824951,35.749508,2937400,19.50876
"2001-01-25",35.996056,37.660255,35.934418,37.105522,3538900,20.248749
"2001-01-26",36.612427,36.858974,35.564594,36.242603,2529400,19.777851
"2001-01-29",35.364891,36.854042,35.364891,36.814594,2008300,20.089989
"2001-01-30",36.98225,38.412228,36.301777,37.978302,3176700,20.725027
"2001-01-31",38.451675,38.658775,37.24852,38.116371,3021500,20.800377
"2001-02-01",38.116371,39.063118,37.623276,38.31361,2369600,20.90801
"2001-02-02",38.412228,38.550297,37.820515,37.988167,1863600,20.730404
"2001-02-05",38.155819,38.609467,37.879684,38.46154,1844100,20.988735
"2001-02-06",38.31361,38.353058,37.376724,37.712032,1920200,20.57972
"2001-02-07",37.475346,37.652859,36.863907,37.366863,1721100,20.391365
"2001-02-08",37.613411,37.761341,35.946747,36.400394,2914300,19.863953
"2001-02-09",36.390533,36.499012,35.335304,36.094673,2159000,19.697124
"2001-02-12",36.489151,36.972385,35.50296,36.68639,2124400,20.020027
