"","ALTR.Open","ALTR.High","ALTR.Low","ALTR.Close","ALTR.Volume","ALTR.Adjusted"
"2017-10-26",13.23,13.23,13.23,13.23,0,13.23
"2017-10-27",NA,NA,NA,NA,NA,NA
"2017-10-30",NA,NA,NA,NA,NA,NA
"2017-10-31",NA,NA,NA,NA,NA,NA
"2017-11-01",17.1,18.98,16.549999,18.309999,7533500,18.309999
"2017-11-02",18.049999,18.200001,17.33,17.41,952100,17.41
"2017-11-03",17.5,19.4,17.5,19.370001,842700,19.370001
"2017-11-06",19.059999,19.6,18.101,18.969999,427400,18.969999
"2017-11-07",18.99,19.945,18.85,19.51,1008700,19.51
"2017-11-08",19.549999,20.379999,18.620001,20.360001,558300,20.360001
"2017-11-09",20.120001,20.620001,20,20.4,282500,20.4
"2017-11-10",20.4,20.85,20.23,20.76,132300,20.76
"2017-11-13",20.620001,21.780001,20.500999,21.719999,223000,21.719999
"2017-11-14",21.540001,22.98,21.52,22.360001,318900,22.360001
"2017-11-15",22.530001,23.549999,22.030001,23.49,638200,23.49
"2017-11-16",23.9,23.999001,23.4,23.940001,328100,23.940001
"2017-11-17",23.940001,24.33,23.750999,24.16,329600,24.16
"2017-11-20",24.280001,24.950001,24.09,24.76,308000,24.76
"2017-11-21",24.889999,25.59,24.280001,24.5,376700,24.5
"2017-11-22",24.01,24.299999,23.68,23.940001,296500,23.940001
"2017-11-24",23.860001,24.93,23.860001,24.9,76200,24.9
"2017-11-27",24.5,25.09,22.59,22.65,353100,22.65
"2017-11-28",23.379999,23.986,22.870001,23.870001,275400,23.870001
"2017-11-29",23.99,24.34,21.351999,22.139999,396800,22.139999
"2017-11-30",22.18,23.15,21.844999,22.389999,303000,22.389999
"2017-12-01",21.379999,24.629999,21.379999,23.459999,533600,23.459999
"2017-12-04",23.48,23.944,21.6,21.9,327800,21.9
"2017-12-05",21.68,22.940001,21.200001,21.559999,435700,21.559999
"2017-12-06",21.209999,21.700001,20.500999,21.02,236200,21.02
"2017-12-07",20.950001,22.700001,20.5,22.200001,293400,22.200001
"2017-12-08",22.32,22.469999,21.385,21.6,140200,21.6
"2017-12-11",21.68,23.110001,21.68,23.08,145500,23.08
"2017-12-12",22.969999,23.584999,22.129999,22.32,272300,22.32
"2017-12-13",22.35,22.98,21.389999,21.440001,197200,21.440001
"2017-12-14",21.43,21.82,21,21,176800,21
"2017-12-15",21,21.49,20.610001,21.26,715300,21.26
"2017-12-18",21.360001,23.565001,21.035999,22.629999,428300,22.629999
"2017-12-19",22.450001,22.85,21.129999,22.59,180900,22.59
"2017-12-20",22.469999,23.440001,22.190001,23.24,297300,23.24
"2017-12-21",23.4,24.639999,23.355,24.389999,296500,24.389999
"2017-12-22",24.51,24.59,23.059999,23.129999,491000,23.129999
"2017-12-26",23.120001,23.4,22.629999,23.030001,116500,23.030001
"2017-12-27",23.1,23.68,22.719999,23.610001,82700,23.610001
"2017-12-28",23.639999,24.33,23.184999,24.309999,209100,24.309999
"2017-12-29",24.43,24.450001,23.665001,23.92,123400,23.92
"2018-01-02",24.139999,24.458,23.77,24.27,291600,24.27
"2018-01-03",24.5,25.525,24.5,25.049999,484200,25.049999
"2018-01-04",25.299999,25.540001,24.65,24.92,177900,24.92
"2018-01-05",25.059999,25.35,24.84,25,98700,25
"2018-01-08",25.120001,25.495001,24.52,25.41,158200,25.41
"2018-01-09",25.43,26.700001,25.33,26.6,289900,26.6
"2018-01-10",26.610001,28,26.32,27.99,209900,27.99
"2018-01-11",28.299999,28.9,26.139999,26.450001,331700,26.450001
"2018-01-12",26.43,26.768999,25.17,25.879999,193600,25.879999
"2018-01-16",25.870001,26.08,25.26,25.58,193200,25.58
"2018-01-17",25.709999,25.709999,23.885,24.860001,265500,24.860001
"2018-01-18",24.879999,25.870001,24.421,25.51,318300,25.51
"2018-01-19",25.77,27.09,25.299999,26.75,220700,26.75
"2018-01-22",27.15,27.49,25.27,25.68,246600,25.68
"2018-01-23",25.790001,26.33,24.870001,25.91,160400,25.91
"2018-01-24",25.959999,26.33,25.33,25.469999,73500,25.469999
"2018-01-25",25.58,25.58,24.75,25.01,86000,25.01
"2018-01-26",25.049999,26.280001,24.5,26.27,222000,26.27
"2018-01-29",26.27,26.5,25.18,25.219999,86900,25.219999
"2018-01-30",25,26.309999,24.9,26.26,211400,26.26
"2018-01-31",26.57,27,26.125,26.6,446400,26.6
"2018-02-01",26.5,27.52,26.4,27.49,321900,27.49
"2018-02-02",27.290001,28.254999,26.750999,26.950001,286200,26.950001
"2018-02-05",26.950001,27.620001,26.26,26.799999,212100,26.799999
"2018-02-06",26.42,28,26.200001,26.42,450300,26.42
"2018-02-07",26.5,26.780001,26.32,26.52,169600,26.52
"2018-02-08",26.469999,27.469999,25.059999,25.290001,276400,25.290001
"2018-02-09",25.35,25.870001,24.209999,25.24,285000,25.24
"2018-02-12",25.299999,25.879999,24.971001,25.74,104600,25.74
"2018-02-13",25.58,26.417,25.58,25.719999,209200,25.719999
"2018-02-14",25.5,26.09,25.455,25.809999,188100,25.809999
