"","VLO.Open","VLO.High","VLO.Low","VLO.Close","VLO.Volume","VLO.Adjusted"
"2001-01-02",8.498057,8.669447,8.112432,8.169561,2967800,4.910841
"2001-01-03",8.155279,8.269538,7.898195,8.255256,2823300,4.962353
"2001-01-04",8.226691,8.226691,7.198355,7.484004,3989100,4.498742
"2001-01-05",7.484004,7.655393,7.484004,7.555416,1434800,4.541669
"2001-01-08",7.512568,7.883912,7.512568,7.75537,2226500,4.661865
"2001-01-09",7.841065,7.941042,7.683958,7.69824,963500,4.627523
"2001-01-10",7.769653,7.92676,7.75537,7.898195,1205500,4.747718
"2001-01-11",7.86963,7.998172,7.86963,7.912477,1396800,4.756303
"2001-01-12",7.969607,8.083866,7.912477,8.041019,758300,4.83357
"2001-01-16",8.126714,8.169561,7.826782,8.055302,1298300,4.842157
"2001-01-17",8.283821,8.412363,7.898195,7.912477,2651800,4.756303
"2001-01-18",7.92676,7.955325,7.64111,7.669675,3630700,4.610353
"2001-01-19",7.669675,7.69824,7.512568,7.583981,2138500,4.558839
"2001-01-22",7.669675,7.883912,7.669675,7.741088,1802000,4.65328
"2001-01-23",7.769653,7.998172,7.741088,7.955325,1254100,4.782062
"2001-01-24",7.912477,7.998172,7.69824,7.69824,2091700,4.627523
"2001-01-25",7.769653,8.041019,7.712523,7.883912,3160300,4.739134
"2001-01-26",7.941042,8.055302,7.798218,7.86963,1279500,4.730548
"2001-01-29",7.870201,8.011883,7.819927,7.941042,1883800,4.773474
"2001-01-30",7.952468,7.986746,7.781079,7.888483,1006000,4.74188
"2001-01-31",7.998172,8.080439,7.826782,7.895338,1169200,4.746002
"2001-02-01",7.97532,8.062158,7.849634,8.023309,3387000,4.822927
"2001-02-02",8.146709,8.180987,8.078154,8.142138,2892000,4.894357
"2001-02-05",8.683729,8.6883,8.39351,8.402651,8129700,5.050953
"2001-02-06",8.455211,8.523766,8.436929,8.489488,5471300,5.103155
"2001-02-07",8.500914,8.797989,8.500914,8.777422,3652600,5.276235
"2001-02-08",8.489488,8.626599,8.409507,8.432359,5227100,5.068811
"2001-02-09",8.478063,8.567184,8.398081,8.50777,3906000,5.114142
"2001-02-12",8.546618,8.797989,8.51234,8.793419,5585500,5.336026
"2001-02-13",8.907679,8.935101,8.848263,8.909964,3610600,5.406748
"2001-02-14",8.909964,8.951097,8.729433,8.800274,3059600,5.340186
"2001-02-15",8.752285,8.75457,8.366088,8.427788,2868900,5.114153
"2001-02-16",8.482633,8.537477,8.308958,8.448355,1964300,5.126633
"2001-02-20",8.448355,8.448355,8.334095,8.398081,1983600,5.096127
"2001-02-21",8.340951,8.409507,8.244972,8.283821,2046200,5.02679
"2001-02-22",8.260969,8.363803,8.21755,8.254113,2450500,5.008764
"2001-02-23",8.398081,8.409507,8.203839,8.27468,2961600,5.021245
"2001-02-26",8.329525,8.626599,8.320384,8.596892,4826200,5.216771
"2001-02-27",8.546618,8.649451,8.546618,8.571755,2079900,5.201518
"2001-02-28",8.112432,8.375229,8.09415,8.375229,4485800,5.082261
"2001-03-01",8.363803,8.375229,8.267824,8.340951,2135400,5.06146
"2001-03-02",8.340951,8.427788,8.340951,8.352377,2840400,5.068392
"2001-03-05",8.375229,8.626599,8.363803,8.523766,1160500,5.172396
"2001-03-06",8.340951,8.420933,8.329525,8.366088,2642200,5.076714
"2001-03-07",8.352377,8.523766,8.352377,8.5032,2847400,5.159915
"2001-03-08",8.50777,8.866545,8.482633,8.855119,2761200,5.373467
"2001-03-09",8.855119,9.133912,8.797989,8.866545,2420300,5.3804
"2001-03-12",8.775137,8.797989,8.683729,8.738574,5320300,5.302743
"2001-03-13",8.729433,8.759141,8.404936,8.569469,3753200,5.20013
"2001-03-14",8.546618,8.546618,8.295247,8.343236,2166900,5.062846
"2001-03-15",8.340951,8.416362,8.112432,8.146709,1962100,4.943589
"2001-03-16",7.963894,8.135283,7.696527,7.815356,3141500,4.742519
"2001-03-19",7.849634,8.041591,7.803931,7.993601,2942400,4.850681
"2001-03-20",8.009598,8.272395,7.998172,8.123857,3437700,4.929723
"2001-03-21",8.340951,8.386655,8.103291,8.192413,3033000,4.971323
"2001-03-22",8.158135,8.158135,7.609689,7.778793,2120600,4.720331
"2001-03-23",7.835923,7.954753,7.792505,7.810786,1527200,4.739745
"2001-03-26",7.849634,7.993601,7.847349,7.993601,1869800,4.850681
"2001-03-27",7.911335,7.998172,7.826782,7.877057,3042100,4.77996
"2001-03-28",7.838208,8.057587,7.817642,8.021024,2981300,4.867321
"2001-03-29",8.043876,8.114717,8.018739,8.078154,1582700,4.90199
"2001-03-30",8.078154,8.494059,8.078154,8.112432,3785200,4.922789
"2001-04-02",8.169561,8.295247,8.066728,8.09415,3832900,4.911693
"2001-04-03",8.03702,8.135283,7.995887,8.011883,3983400,4.861774
"2001-04-04",8.135283,8.318099,8.135283,8.276965,4396500,5.022632
"2001-04-05",8.569469,8.832267,8.514626,8.768282,5534700,5.320771
"2001-04-06",8.711152,8.711152,8.542048,8.601462,4170300,5.219543
"2001-04-09",8.729433,9.156764,8.727148,9.156764,5669100,5.556513
"2001-04-10",9.392138,9.398994,9.200183,9.280165,3653000,5.631393
"2001-04-11",9.449268,9.449268,9.090493,9.243602,3017600,5.609207
"2001-04-12",9.22989,9.41499,9.22989,9.27788,2376100,5.630009
"2001-04-16",9.273309,9.840036,9.273309,9.814899,3779100,5.955882
"2001-04-17",9.803473,10.102834,9.773766,9.910877,6628700,6.014122
"2001-04-18",10.740402,10.740402,10.210238,10.367916,9145800,6.291464
"2001-04-19",10.351919,10.358775,10.214808,10.23766,3664400,6.212423
"2001-04-20",10.23766,10.397623,10.23766,10.281078,4420600,6.23877
"2001-04-23",10.454753,10.854662,10.452468,10.610147,3465700,6.438456
"2001-04-24",10.626143,11.021481,10.626143,10.658135,4909800,6.467575
