"","ESS.Open","ESS.High","ESS.Low","ESS.Close","ESS.Volume","ESS.Adjusted"
"2001-04-10",44.5,44.5,44.099998,44.169998,219200,22.042433
"2001-04-11",44.240002,44.240002,43.07,43.34,134300,21.628244
"2001-04-12",43.349998,43.549999,43.150002,43.349998,48500,21.633234
"2001-04-16",43.349998,43.349998,42.279999,43.200001,157900,21.55838
"2001-04-17",43,44.130001,42.869999,44.130001,78900,22.022484
"2001-04-18",43.75,45.200001,43.75,44.709999,367000,22.311911
"2001-04-19",45.009998,45.459999,44.509998,45.459999,356300,22.686203
"2001-04-20",45.360001,45.360001,44.75,44.75,119400,22.331879
"2001-04-23",44.849998,45.139999,44.700001,44.75,32600,22.331879
"2001-04-24",44.950001,45.639999,44.91,45.639999,55300,22.776018
"2001-04-25",45.439999,48.5,45.439999,48.369999,137400,24.138393
"2001-04-26",48.119999,48.299999,47.849998,48.02,93600,23.963734
"2001-04-27",48.02,48.32,48.02,48.18,28400,24.043581
"2001-04-30",48.080002,48.25,47,47,43800,23.45471
"2001-05-01",47.25,47.599998,46.799999,46.799999,108200,23.35491
"2001-05-02",47,47,46.34,46.700001,103500,23.305
"2001-05-03",46.599998,46.799999,46.32,46.799999,69000,23.35491
"2001-05-04",46.549999,47.119999,46.490002,47,85300,23.45471
"2001-05-07",46.950001,47.09,46.75,46.75,61400,23.329956
"2001-05-08",46.849998,46.869999,46.5,46.830002,56000,23.369881
"2001-05-09",46.700001,47,46.650002,46.77,49500,23.339937
"2001-05-10",46.57,46.68,46.470001,46.599998,87900,23.255096
