"","MA.Open","MA.High","MA.Low","MA.Close","MA.Volume","MA.Adjusted"
"2006-05-25",4.03,4.605,4.02,4.6,395343000,4.301316
"2006-05-26",4.63,4.674,4.411,4.493,103044000,4.201264
"2006-05-30",4.497,4.498,4.285,4.4,49898000,4.114305
"2006-05-31",4.435,4.536,4.435,4.494,30002000,4.202198
"2006-06-01",4.493,4.81,4.49,4.751,62344000,4.442513
"2006-06-02",4.85,4.87,4.679,4.699,37253000,4.393888
"2006-06-05",4.705,4.925,4.7,4.915,37188000,4.595862
"2006-06-06",4.998,5.063,4.78,4.83,49045000,4.516383
"2006-06-07",4.833,4.84,4.675,4.76,25013000,4.450929
"2006-06-08",4.76,4.772,4.55,4.772,34439000,4.462149
"2006-06-09",4.88,4.88,4.768,4.778,13372000,4.467758
"2006-06-12",4.8,4.825,4.63,4.695,14546000,4.390148
"2006-06-13",4.62,4.735,4.53,4.55,16716000,4.254564
"2006-06-14",4.49,4.545,4.444,4.512,15971000,4.219028
"2006-06-15",4.54,4.612,4.513,4.595,16500000,4.296641
"2006-06-16",4.55,4.6,4.5,4.502,12280000,4.209679
"2006-06-19",4.545,4.545,4.41,4.434,11509000,4.146095
"2006-06-20",4.474,4.5,4.347,4.402,23792000,4.116173
"2006-06-21",4.402,4.588,4.4,4.53,18063000,4.235862
"2006-06-22",4.64,4.695,4.588,4.66,13038000,4.35742
"2006-06-23",4.699,4.793,4.687,4.695,11612000,4.390148
"2006-06-26",4.695,4.75,4.643,4.75,8565000,4.441579
"2006-06-27",4.75,4.803,4.725,4.731,9826000,4.42381
"2006-06-28",4.685,4.74,4.65,4.696,8756000,4.391082
"2006-06-29",4.695,4.809,4.695,4.8,14470000,4.488329
"2006-06-30",4.765,4.8,4.66,4.8,25964000,4.488329
"2006-07-03",4.79,4.8,4.681,4.73,7029000,4.422876
"2006-07-05",4.74,4.784,4.671,4.76,13266000,4.450929
"2006-07-06",4.725,4.735,4.679,4.68,8097000,4.376122
"2006-07-07",4.675,4.685,4.575,4.612,8380000,4.312538
"2006-07-10",4.62,4.657,4.612,4.649,4978000,4.347135
"2006-07-11",4.649,4.649,4.53,4.635,8079000,4.334045
"2006-07-12",4.64,4.64,4.554,4.555,7672000,4.259237
"2006-07-13",4.518,4.518,4.43,4.472,16625000,4.181628
"2006-07-14",4.462,4.468,4.39,4.395,9663000,4.109627
"2006-07-17",4.391,4.417,4.375,4.399,6458000,4.113368
"2006-07-18",4.399,4.41,4.367,4.39,12483000,4.104954
"2006-07-19",4.391,4.545,4.38,4.528,15840000,4.233992
"2006-07-20",4.54,4.578,4.51,4.555,8829000,4.259237
"2006-07-21",4.555,4.555,4.477,4.528,8510000,4.233992
"2006-07-24",4.545,4.553,4.499,4.5,5017000,4.20781
"2006-07-25",4.52,4.64,4.516,4.608,6900000,4.308797
"2006-07-26",4.614,4.785,4.58,4.668,10338000,4.364901
"2006-07-27",4.69,4.717,4.652,4.652,6009000,4.349942
"2006-07-28",4.651,4.68,4.626,4.63,4339000,4.329368
"2006-07-31",4.63,4.641,4.586,4.587,4616000,4.289162
