"","CTXS.Open","CTXS.High","CTXS.Low","CTXS.Close","CTXS.Volume","CTXS.Adjusted"
"2001-01-02",18.563864,18.912247,16.125179,16.67264,6645100,16.501844
"2001-01-03",16.423794,20.455088,16.423794,18.265249,7996600,18.07814
"2001-01-04",18.265249,22.44585,18.265249,22.097467,16656900,21.871103
"2001-01-05",21.985487,22.296543,20.206244,21.251394,6603100,21.033695
"2001-01-08",20.853241,21.201624,19.708551,21.002548,3650200,20.787397
"2001-01-09",21.251394,22.694696,21.201624,22.246775,6101000,22.018879
"2001-01-10",21.997931,22.844004,20.95278,22.097467,6242000,21.871103
"2001-01-11",21.997931,23.789616,21.550009,23.142618,8785900,22.905546
"2001-01-12",23.242157,23.739847,21.749084,21.898392,5576000,21.674065
"2001-01-16",21.94816,22.595158,20.504858,21.94816,4951800,21.723322
"2001-01-17",22.993311,24.735229,22.794235,23.739847,16341300,23.496656
"2001-01-18",25.332457,26.377607,23.988693,25.979456,20082800,25.713324
"2001-01-19",26.825529,28.169294,26.576685,27.771141,18270300,27.486654
"2001-01-22",27.074375,28.517677,26.526915,28.119526,12675600,27.83147
"2001-01-23",27.87068,27.87068,26.725992,26.875299,6026700,26.599989
"2001-01-24",27.223682,27.970219,27.074375,27.074375,7934100,26.797026
"2001-01-25",26.974836,27.422758,25.23292,27.124144,9022600,26.846285
"2001-01-26",26.775761,27.074375,26.27807,26.974836,3714900,26.698505
"2001-01-29",26.725992,27.472527,26.626453,27.173914,3151400,26.895546
"2001-01-30",27.223682,29.612598,27.124144,29.164677,10758100,28.865915
"2001-01-31",28.915831,29.413521,28.467909,28.567448,8150000,28.274803
"2001-02-01",28.318602,29.51306,27.920448,28.866062,5279000,28.570358
"2001-02-02",28.41814,28.866062,27.273451,27.721373,5528600,27.437393
"2001-02-05",27.522297,27.572065,25.382227,26.875299,5764300,26.599989
"2001-02-06",26.825529,27.37299,24.984074,25.133381,4972000,24.875916
"2001-02-07",24.585922,26.974836,24.386845,26.029224,6991100,25.762583
"2001-02-08",26.078993,26.825529,25.332457,25.979456,3760700,25.713324
"2001-02-09",25.73061,26.327839,25.183149,26.128763,4396000,25.861101
"2001-02-12",25.531534,26.178532,25.23292,25.979456,4653300,25.713324
"2001-02-13",25.705725,27.124144,25.481764,25.73061,3646500,25.467026
"2001-02-14",25.780378,26.128763,24.287308,25.979456,4973900,25.713324
"2001-02-15",26.427378,27.37299,26.178532,26.27807,4987600,26.008879
"2001-02-16",25.083612,26.029224,24.536152,25.581303,4239400,25.319248
"2001-02-20",25.382227,25.73061,22.744465,23.640308,7303100,23.398138
"2001-02-21",22.396082,24.735229,22.396082,23.142618,4676000,22.905546
"2001-02-22",22.943542,23.789616,22.147236,23.391464,5530200,23.151842
"2001-02-23",23.142618,25.033842,22.993311,24.287308,8640200,24.038509
"2001-02-26",24.486383,25.481764,23.889154,24.934305,6051700,24.678877
"2001-02-27",24.536152,24.784998,23.242157,23.889154,4967000,23.644434
"2001-02-28",23.739847,23.889154,19.260632,20.703934,9718200,20.491842
"2001-03-01",20.106705,20.853241,19.658783,20.803473,5382200,20.590363
"2001-03-02",20.106705,20.405319,18.115942,18.464325,6375100,18.275175
"2001-03-05",18.912247,20.256012,18.862478,19.80809,3588900,19.605175
"2001-03-06",20.504858,21.45047,20.007166,20.106705,3200000,19.900734
"2001-03-07",20.355551,21.052317,19.708551,20.355551,2703700,20.14703
"2001-03-08",20.30578,20.753702,19.111324,19.210861,3199900,19.014065
"2001-03-09",18.315018,18.663403,15.926103,17.220098,8778700,17.043697
"2001-03-12",16.510889,16.772177,15.378643,15.677258,7307500,15.51666
"2001-03-13",15.52795,15.776795,14.831183,15.229336,7957500,15.073326
"2001-03-14",14.383262,15.478181,13.43765,13.786033,12499700,13.644809
"2001-03-15",14.930721,16.274487,14.134417,14.333492,8764700,14.18666
"2001-03-16",13.586957,15.428412,13.537188,14.383262,6339000,14.23592
"2001-03-19",14.582338,15.328874,14.233954,15.129798,3021000,14.974809
"2001-03-20",15.428412,17.717789,15.229336,15.776795,8830600,15.615177
"2001-03-21",16.573101,16.660196,14.034878,14.084647,8673000,13.940364
"2001-03-22",14.806299,16.224718,14.632107,15.57772,9274000,15.418141
