"","APA.Open","APA.High","APA.Low","APA.Close","APA.Volume","APA.Adjusted"
"2001-01-02",30.140692,31.547619,29.924242,30.654762,6787800,24.936865
"2001-01-03",30.681818,30.681818,28.571428,28.625542,5491600,23.286146
"2001-01-04",28.544373,28.571428,27.24567,27.272728,5697600,22.185667
"2001-01-05",27.922077,29.707792,27.786797,29.166666,4821200,23.726337
"2001-01-08",29.545454,30.059525,29.220779,29.464285,3451600,23.968441
"2001-01-09",30.032467,30.08658,28.300865,28.814936,4082400,23.44021
"2001-01-10",28.814936,29.329004,28.652597,28.760822,3477200,23.396191
"2001-01-11",29.112555,29.545454,28.679653,28.814936,3937000,23.44021
"2001-01-12",28.787878,28.787878,27.813852,28.165585,3126400,22.911978
"2001-01-16",28.19264,28.40909,27.705627,28.19264,3913400,22.93399
"2001-01-17",27.867966,27.867966,26.515152,26.785715,5459000,21.789492
"2001-01-18",25.974026,26.136364,25.21645,25.811687,7330000,20.997141
"2001-01-19",25.459957,26.515152,25.351732,26.055195,5475600,21.195234
"2001-01-22",26.352814,26.866882,26.244589,26.596321,3204200,21.63542
"2001-01-23",26.623377,27.326839,26.190475,26.623377,3413200,21.657438
"2001-01-24",27.164503,27.326839,26.461039,26.596321,3703400,21.63542
"2001-01-25",27.002165,27.786797,26.948051,27.651516,6183200,22.493803
"2001-01-26",27.759741,27.976191,26.677488,26.812771,4427000,21.811502
"2001-01-29",26.709957,26.774891,26.277056,26.30736,3748000,21.400358
"2001-01-30",26.017317,26.060606,24.891775,25.264069,5780200,20.551664
"2001-01-31",25.541126,25.714285,24.675325,24.935064,4866400,20.28404
"2001-02-01",25.194805,25.385281,24.528139,24.727272,4551800,20.114994
"2001-02-02",25,26.199135,24.99567,26.038961,4651200,21.182028
"2001-02-05",25.99567,26.822512,25.99567,26.142857,3681200,21.266544
"2001-02-06",25.865801,26.926407,25.545454,26.779221,3567600,21.784206
"2001-02-07",26.883118,27.354979,26.277056,27.164503,3702200,22.097626
"2001-02-08",27.164503,27.376623,26.753246,26.839827,3383600,21.833509
"2001-02-09",26.623377,27.748919,26.623377,27.142857,3866200,22.080015
"2001-02-12",27.147186,27.333334,26.623377,27.064936,2954800,22.016636
"2001-02-13",26.839827,27.588745,26.818182,27.367966,2561600,22.26314
"2001-02-14",27.683983,28.008657,26.865801,26.926407,4353600,21.903944
"2001-02-15",26.493507,26.731602,25.952381,26.419914,3979000,21.491924
"2001-02-16",26.883118,27.402597,26.367966,26.571428,4605400,21.615181
"2001-02-20",26.861471,27.229437,26.731602,27.099567,3196400,22.044807
"2001-02-21",27.705627,28.354979,26.774891,26.870131,5521400,21.85816
"2001-02-22",26.839827,27.030304,26.082251,26.458874,3731000,21.523615
"2001-02-23",26.666666,26.709957,25.627707,25.991343,2828800,21.143284
