"","DTV.Open","DTV.High","DTV.Low","DTV.Close","DTV.Volume","DTV.Adjusted"
"2017-07-05",54.360001,54.390999,54.154999,54.154999,2400,47.993633
"2017-07-06",54.380001,54.700001,54.222,54.689999,19000,48.467758
"2017-07-07",54.369999,54.700001,53.610001,53.610001,115300,47.510632
"2017-07-10",53.75,54.32,53.720001,54.290001,183300,48.11327
"2017-07-11",54.078999,54.240002,54,54.150002,47700,47.989204
"2017-07-12",54.240002,54.400002,54,54,3600,47.856266
"2017-07-13",54.278,54.990002,53.93,53.93,129000,47.794228
"2017-07-14",54.119999,54.450001,53.779999,53.779999,79900,47.661297
"2017-07-17",54.43,54.619999,54.299999,54.619999,298500,48.405727
"2017-07-18",54.540001,54.639999,54.299999,54.299999,4900,48.122131
"2017-07-19",54.52,54.639999,53.810001,54.639999,23200,48.42345
"2017-07-20",54.380001,54.869999,54.280998,54.75,31200,48.520935
"2017-07-21",54.5,55.09,54.5,54.950001,36500,48.698181
"2017-07-24",54.950001,54.970001,54.174999,54.299999,96900,48.122131
"2017-07-25",54.655998,54.919998,54.099998,54.41,33200,48.219612
"2017-07-26",54.75,54.990002,54.41,54.869999,5200,48.627281
"2017-07-27",54.470001,55.139999,54.470001,55.139999,7900,48.866558
"2017-07-28",55.029999,55.029999,54.799999,54.939999,2300,48.68932
"2017-07-31",55.060001,55.139999,54.52,54.560001,16000,48.352554
"2017-08-01",54.93,55.990002,54.75,55.400002,36600,49.096981
"2017-08-02",54.764999,55.439999,54.764999,55.419998,32400,49.114704
"2017-08-03",55.450001,55.549999,55.229,55.229,7800,48.945435
"2017-08-04",55.759998,55.970001,55.32,55.689999,105900,49.353981
"2017-08-07",55.32,55.759998,55.32,55.669998,4400,49.336266
"2017-08-08",55.75,55.990002,55.25,55.330002,15400,49.03495
"2017-08-09",55.68,55.93,55.009998,55.049999,19400,48.786804
"2017-08-10",55.140999,55.209999,55.140999,55.16,52500,48.884285
"2017-08-11",55.110001,55.150002,54.77,54.82,1800,48.58297
"2017-08-14",55.101002,55.529999,55.101002,55.529999,200,49.212193
"2017-08-15",55.259998,55.259998,54.869999,54.869999,13100,48.627281
"2017-08-16",54.869999,55.349998,54.869999,55.290001,20900,48.999493
"2017-08-17",55.432999,55.479,55.189999,55.189999,3100,48.910873
"2017-08-18",55.48,55.830002,55.369999,55.75,423800,49.407162
"2017-08-21",56,56,55.719002,55.860001,2700,49.504646
"2017-08-22",55.77,55.790001,55.68,55.740002,52300,49.398304
"2017-08-23",55.720001,56.349998,55.700001,56.349998,82700,49.938896
"2017-08-24",55.880001,58.419998,55.880001,56.549999,23000,50.116142
"2017-08-25",56.34,57.540001,56.259998,57.25,7900,50.736504
"2017-08-28",56.75,56.75,56.029999,56.029999,14900,49.655304
"2017-08-29",56.209999,56.470001,56.209999,56.389999,81100,49.974346
"2017-08-30",56.279999,56.52,56.279999,56.279999,203600,49.876862
"2017-08-31",56.380001,56.66,56.259998,56.459999,120100,50.036385
"2017-09-01",56.66,56.66,56.16,56.200001,5900,49.805969
"2017-09-05",56.389,56.389,55.93,55.93,73700,49.566681
"2017-09-06",56.110001,56.299999,55.880001,56.299999,219400,49.894585
"2017-09-07",55.900002,56.470001,55.839001,56.470001,67700,50.045242
"2017-09-08",56.23,56.247002,56.080002,56.099998,164000,49.717335
"2017-09-11",56.34,58.25,56.139999,56.619999,107400,50.178177
"2017-09-12",56.66,56.68,55.84,55.84,24200,49.486919
"2017-09-13",55.82,56.139999,54.220001,55.93,6000,49.566681
"2017-09-14",55.700001,55.700001,54.389999,55.415001,55100,49.834667
"2017-09-15",55.070999,55.549999,55.049999,55.139999,36300,49.58736
"2017-09-18",55.509998,55.52,54.799999,54.830002,21200,49.308582
"2017-09-19",54.830002,54.950001,54.66,54.950001,11300,49.4165
"2017-09-20",55,55,54.299999,54.459999,173600,48.975842
"2017-09-21",54.688999,54.775002,54.369999,54.450001,19300,48.96685
"2017-09-22",54.550999,54.643002,54.189999,54.23,148800,48.769005
"2017-09-25",54.639999,55.720001,54.139999,54.830002,54300,49.308582
"2017-09-26",55.02,55.849998,54.549999,54.68,244300,49.173691
"2017-09-27",54.549999,54.549999,53.939999,53.939999,2900,48.508205
"2017-09-28",54.175999,54.540001,53.799999,54.060001,16900,48.616123
"2017-09-29",54.353001,54.490002,54.103001,54.450001,124000,48.96685
"2017-10-02",53.98,54.439999,53.98,54.049999,53900,48.607132
"2017-10-03",54.290001,54.290001,53.790001,53.790001,4900,48.373314
"2017-10-04",54.289001,54.289001,54.289001,54.289001,400,48.82206
"2017-10-05",54.290001,54.599998,54.167,54.18,23200,48.724033
"2017-10-06",54.200001,54.200001,53.998001,54.080002,69100,48.634106
"2017-10-09",54.200001,54.400002,54.080002,54.119999,56300,48.670082
"2017-10-10",54.490002,55.060001,54.490002,55.049999,8700,49.506432
"2017-10-11",55.27,55.27,54.799999,55.216,30600,49.655716
"2017-10-12",55.104,55.104,55.009998,55.009998,21500,49.470455
"2017-10-13",55.049999,55.306,55.049999,55.220001,131700,49.659309
"2017-10-16",55.209999,55.209999,55.049999,55.085999,8300,49.538803
"2017-10-17",55.088001,55.209999,54.799999,55.209999,58300,49.650318
"2017-10-18",55.200001,55.200001,55.080002,55.110001,600,49.56039
"2017-10-19",55.110001,55.110001,55.110001,55.110001,0,49.56039
"2017-10-20",55.59,55.59,55.59,55.59,39500,49.99205
"2017-10-23",55.779999,56.16,55.740002,56.16,1900,50.504646
"2017-10-24",55.801998,55.834,55.299999,55.410999,1900,49.83107
"2017-10-25",54.624001,55.259998,54.529999,55.259998,4700,49.695286
"2017-10-26",54.84,56.27,54.84,55.220001,6800,49.659309
"2017-10-27",54.82,55.25,54.82,54.91,11000,49.380527
"2017-10-30",55.112999,55.112999,55.112999,55.112999,300,49.563084
"2017-10-31",55.349998,55.360001,54.93,54.93,7600,49.398514
"2017-11-01",55.240002,55.412998,55.110001,55.18,1600,49.623341
"2017-11-02",55.18,55.18,55.18,55.18,0,49.623341
"2017-11-03",55.369999,55.465,55.009998,55.009998,27200,49.470455
"2017-11-06",55.310001,55.521,55.290001,55.521,1100,49.929996
"2017-11-07",55.990002,55.990002,55.98,55.98,11200,50.342773
"2017-11-08",56.060001,56.07,55.689999,56.07,51400,50.423714
"2017-11-09",56.009998,56.009998,55.540001,55.939999,35300,50.306805
"2017-11-10",55.43,55.830002,55.43,55.830002,65600,50.207882
"2017-11-13",55.903999,56.136002,55.903999,56.136002,50800,50.48307
"2017-11-14",56.080002,56.959999,56.080002,56.959999,31900,51.224091
"2017-11-15",56.540001,56.647999,56.279999,56.279999,14000,50.612568
"2017-11-16",55.990002,55.990002,55.799999,55.799999,2700,50.180908
"2017-11-17",55.799999,55.799999,55.669998,55.68,2900,50.072987
"2017-11-20",55.599998,55.779999,55.290001,55.400002,3300,49.821186
"2017-11-21",55.599998,55.990002,55.540001,55.990002,51700,50.351768
"2017-11-22",55.599998,55.889999,55.599998,55.599998,600,50.001041
"2017-11-24",55.599998,55.599998,55.599998,55.599998,0,50.001041
"2017-11-27",55.700001,56.669998,55.689999,56.669998,18100,50.963291
"2017-11-28",56.360001,56.459999,55.939999,55.990002,31300,50.351768
"2017-11-29",55.990002,56.619999,55.84,56.619999,4000,50.918327
"2017-11-30",55.669998,56.630001,55.669998,56.209999,3500,50.549618
"2017-12-01",57.139999,57.139999,56.060001,56.080002,22600,50.432713
"2017-12-04",56.779999,56.779999,56.450001,56.709999,53000,50.999264
"2017-12-05",56.07,56.98,55.919998,55.919998,26000,50.288818
"2017-12-06",56.990002,56.990002,56.220001,56.220001,25600,50.558605
"2017-12-07",56.029999,56.630001,56.029999,56.16,2300,50.504646
"2017-12-08",56.59,56.59,56.200001,56.23,84000,50.5676
"2017-12-11",55.759998,55.759998,55.759998,55.759998,8200,50.144924
"2017-12-12",56.18,56.700001,55.900002,55.900002,60100,50.270832
"2017-12-13",56.450001,56.450001,55.790001,55.834999,47000,50.212376
"2017-12-14",55.59,57,54.73,57,150800,52.017475
"2017-12-15",55.82,56.119999,55.5,55.509998,102800,50.657722
"2017-12-18",55.299,55.328999,54.75,54.75,2800,49.964153
"2017-12-19",54.75,54.790001,54.119999,54.119999,68400,49.389225
"2017-12-20",54.213001,54.73,54.213001,54.5,65700,49.736004
"2017-12-21",54.610001,54.689999,54.459999,54.610001,10900,49.836391
"2017-12-22",54.759998,54.790001,54.310001,54.310001,8500,49.562618
"2017-12-26",54.869999,54.869999,54.620998,54.689999,2900,49.909397
"2017-12-27",54.790001,54.919998,54.790001,54.919998,5100,50.119293
"2017-12-28",55.008999,55.189999,54.509998,55.189999,1400,50.365692
"2017-12-29",54.669998,54.799,53.959999,53.959999,20500,49.243206
"2018-01-02",54.360001,54.360001,53.919998,53.919998,76000,49.206707
"2018-01-03",54.169998,54.169998,53.540001,53.779999,39000,49.078941
"2018-01-04",53.901001,53.901001,53.27,53.279999,107100,48.62265
"2018-01-05",53.279999,53.313999,52.900002,53.25,56100,48.595276
"2018-01-08",53.380001,53.610001,53.380001,53.610001,116400,48.923805
"2018-01-09",53.25,53.394001,53,53,53700,48.367126
"2018-01-10",53.099998,53.099998,52.700001,52.990002,26400,48.357998
"2018-01-11",52.66,52.830002,52.66,52.706001,51300,48.098827
"2018-01-12",52.949001,52.949001,50.43,50.43,20200,46.021782
"2018-01-16",52.52,52.898998,52.419998,52.720001,2100,48.111607
"2018-01-17",52.799999,52.979,52.75,52.939999,2800,48.31237
"2018-01-18",52.59,52.959999,51.259998,52.330002,93200,47.755695
"2018-01-19",52.737,53.439999,52.349998,52.349998,99400,47.773945
"2018-01-22",52.75,52.959999,48.68,48.68,1400,44.424751
"2018-01-23",52.360001,52.98,52.360001,52.93,10000,48.303249
"2018-01-24",52.619999,53.039001,52.400002,52.509998,8100,47.919956
"2018-01-25",52.509998,52.509998,52.509998,52.509998,0,47.919956
"2018-01-26",52.509998,52.509998,52.509998,52.509998,66200,47.919956
"2018-01-29",52.389999,52.810001,52.310001,52.59,468800,47.992962
"2018-01-30",52.84,52.84,52.32,52.419998,53000,47.837822
"2018-01-31",52.470001,52.758999,52.43,52.66,34200,48.056843
"2018-02-01",53.200001,53.200001,52.09,52.110001,2079800,47.554924
"2018-02-02",51.959999,52.223999,51.959999,52,8300,47.45454
"2018-02-05",52.34,52.34,51.560001,51.856998,3100,47.324043
"2018-02-06",52.27,52.27,50.682999,50.939999,19100,46.487198
"2018-02-07",51.32,51.501999,51.022999,51.022999,65000,46.562943
"2018-02-08",51.349998,51.349998,51.060001,51.060001,17000,46.596714
"2018-02-09",51.209999,51.59,50.619999,50.619999,64300,46.195164
"2018-02-12",51.41,51.619999,51.389999,51.439999,164000,46.943489
"2018-02-13",51.599998,51.792,51,51.48,169300,46.979992
"2018-02-14",51.66,51.678001,51.43,51.43,27300,46.934368
