"","DTV.Open","DTV.High","DTV.Low","DTV.Close","DTV.Volume","DTV.Adjusted"
"2016-10-13",3.359,3.359,3.359,3.359,0,2.847075
"2016-10-14",3.359,3.359,3.359,3.359,0,2.847075
"2016-10-17",NA,NA,NA,NA,NA,NA
"2016-10-18",NA,NA,NA,NA,NA,NA
"2016-10-19",NA,NA,NA,NA,NA,NA
"2016-10-20",NA,NA,NA,NA,NA,NA
"2016-10-21",51.27,51.27,50.349998,51,124200,43.227402
"2016-10-24",51.389999,51.400002,51.360001,51.369999,142500,43.541008
"2016-10-25",51.279999,52,51.279999,51.720001,84400,43.837669
"2016-10-26",51.900002,52,51.5,51.900002,122800,43.990238
"2016-10-27",51.5,51.5,51.5,51.5,52600,43.651199
"2016-10-28",51.691002,51.700001,51.691002,51.700001,500,43.820717
"2016-10-31",51.900002,53.25,51.900002,53.25,269400,45.134487
"2016-11-01",52.98,52.98,51.790001,51.900002,67400,43.990238
"2016-11-02",51.900002,51.900002,50.110001,51.381001,38400,43.550339
"2016-11-03",51.43,51.435001,51,51,65100,43.227402
"2016-11-04",51.009998,52.5,51.009998,52.5,7500,44.498795
"2016-11-07",52.34,52.349998,51.445,52.23,2900,44.269947
"2016-11-08",52.240002,52.5,52.240002,52.5,195000,44.498795
"2016-11-09",52,52,51.25,51.25,55700,43.439304
"2016-11-10",51.5,51.5,50.290001,50.5,263600,42.8036
"2016-11-11",50.152,50.939999,50.152,50.939999,2700,43.17654
"2016-11-14",50.610001,50.93,50.099998,50.470001,153000,42.778179
"2016-11-15",51.938,51.938,51.599998,51.810001,51200,43.913956
"2016-11-16",50.459999,51.810001,50.459999,51.375,1400,43.545254
"2016-11-17",50.771999,52.34,50.771999,52.34,1400,44.363182
"2016-11-18",52.330002,52.330002,50.610001,50.84,157300,43.091789
"2016-11-21",50.972,51.209999,50.18,50.702999,82200,42.975658
"2016-11-22",50.450001,51.5,50.450001,51.150002,3700,43.354546
"2016-11-23",51.5,51.5,50.75,50.77,3300,43.032452
"2016-11-25",51.25,51.450001,51.25,51.25,13800,43.439304
"2016-11-28",51.549999,52.23,51.549999,52.099998,608600,44.159752
"2016-11-29",52,52.599998,52,52.419998,22600,44.430992
"2016-11-30",52,52.490002,50.709999,51,17000,43.227402
"2016-12-01",51.110001,51.310001,50.830002,50.990002,106500,43.218929
"2016-12-02",51.540001,53.900002,51.330002,52.799999,456200,44.753078
"2016-12-05",52.119999,52.830002,51.75,51.91,564700,43.998714
"2016-12-06",52.470001,53.240002,51.91,53.240002,87400,45.126015
"2016-12-07",52.799999,53.849998,52.701,53.049999,447400,44.96497
"2016-12-08",52.865002,53.900002,52.865002,53.900002,1800,45.685436
"2016-12-09",53.59,53.59,52.59,52.759998,53500,44.719173
"2016-12-12",53.07,53.200001,52.740002,52.779999,3600,44.736122
"2016-12-13",52.849998,53.049999,52.512001,52.849998,47700,45.458641
"2016-12-14",52.490002,53.099998,51.630001,51.740002,3900,44.503883
"2016-12-15",52.150002,52.400002,51.939999,51.959999,5800,44.693111
"2016-12-16",52.400002,54.490002,52.375,53.990002,27900,46.439209
"2016-12-19",53.939999,53.939999,52.689999,53,7900,45.587662
"2016-12-20",52.509998,53,52.509998,52.959999,19800,45.553261
"2016-12-21",52.93,53.490002,52.509998,52.66,55000,45.295212
"2016-12-22",52.994999,53.490002,52.5,53.450001,133800,45.974728
"2016-12-23",53.5,53.5,52.501999,52.509998,30200,45.166191
"2016-12-27",52.52,53.470001,52.501999,53.189999,5900,45.751087
"2016-12-28",52.5,53.189999,51.880001,52.5,1300,45.157593
"2016-12-29",53,53.310001,52.419998,53.290001,67200,45.837105
"2016-12-30",51.021999,53.41,51.021999,53,18800,45.587662
"2017-01-03",53.5,53.5,51.122002,52.889999,242300,45.49305
"2017-01-04",52.75,53.5,51.900002,51.900002,78100,44.641506
"2017-01-05",52.299999,53.189999,52.299999,52.509998,146900,45.166191
"2017-01-06",53,53.150002,52,52,22500,44.727516
"2017-01-09",52.509998,52.779999,52,52.220001,93200,44.916752
"2017-01-10",52.23,53.189999,51.530998,52.213001,31500,44.910732
"2017-01-11",52.404999,52.759998,52.366001,52.759998,32900,45.381233
"2017-01-12",53,53,51.98,52.400002,112200,45.071583
"2017-01-13",52.071999,52.391998,52.029999,52.391998,1400,45.064693
"2017-01-17",51.939999,52.959999,51.939999,52.950001,29800,45.544655
"2017-01-18",52.5,53.040001,52.299999,53.040001,13300,45.622066
"2017-01-19",52.299999,52.466999,52.299999,52.466999,122400,45.129208
"2017-01-20",52.209999,52.709999,52.209999,52.32,54700,45.002769
"2017-01-23",52.355,52.990002,52,52.18,7000,44.882347
"2017-01-24",52.060001,52.879002,51.900002,52.009998,58200,44.736122
"2017-01-25",52,52.580002,52,52.580002,40800,45.22641
"2017-01-26",52.529999,52.810001,52.049999,52.07,64600,44.787727
"2017-01-27",52.200001,52.903,51.824001,51.971001,54500,44.702579
"2017-01-30",52.299999,52.990002,51.849998,51.880001,1700,44.624306
"2017-01-31",52.265999,53.029999,52.060001,53.029999,2900,45.613468
"2017-02-01",52.759998,52.759998,52.032001,52.130001,5100,44.83934
"2017-02-02",52.158001,53,52.158001,52.98,3100,45.570461
"2017-02-03",52.389999,53,51.82,52.352001,1800,45.030289
"2017-02-06",52.317001,52.939999,52.240002,52.889999,5400,45.49305
"2017-02-07",52.759998,52.939999,52.514,52.939999,7800,45.536053
"2017-02-08",52.726002,52.939999,52.599998,52.610001,4400,45.252209
"2017-02-09",52.450001,52.540001,51.894001,52.400002,3000,45.071583
"2017-02-10",52.056999,52.900002,51.799999,51.810001,69700,44.564095
"2017-02-13",52.25,53.689999,52.151001,53.689999,84500,46.18116
"2017-02-14",52.509998,53.130001,52.310001,52.549999,58700,45.2006
"2017-02-15",52.310001,52.895,52.279999,52.779999,54200,45.398434
"2017-02-16",52.438,52.73,52.299999,52.338001,59900,45.018253
"2017-02-17",52.169998,52.779999,52.150002,52.18,2400,44.882347
"2017-02-21",52.560001,53,52.481998,53,2000,45.587662
"2017-02-22",52.784,53,52.244999,52.450001,5900,45.114586
"2017-02-23",52.618999,53.490002,52.618999,53.490002,36900,46.009136
"2017-02-24",53,54.380001,52.970001,54.349998,16400,46.748856
"2017-02-27",53.880001,53.990002,52.98,53.990002,5100,46.439209
"2017-02-28",54.450001,54.450001,53.414001,54,9600,46.447811
"2017-03-01",53.099998,53.990002,53.099998,53.889999,21300,46.353195
"2017-03-02",53.334999,53.950001,53.27,53.27,67300,45.819908
"2017-03-03",53.310001,54.429001,53.310001,54.27,1800,46.680054
"2017-03-06",54.369999,54.439999,54.259998,54.389999,1300,46.783268
"2017-03-07",53.389999,54.439999,53.389999,54.34,3300,46.740253
"2017-03-08",54.146999,54.146999,53.110001,53.16,93100,45.725288
"2017-03-09",54.32,54.32,52.75,52.849998,108100,45.458641
"2017-03-10",53.506001,53.506001,52.959999,53.009998,2300,45.596264
"2017-03-13",53.130001,53.150002,52.970001,53.029999,35900,45.613468
"2017-03-14",53.099998,53.59,53,53.52,62500,46.034939
"2017-03-15",52.700001,52.950001,52.299999,52.77,10300,46.087337
"2017-03-16",52.380001,52.869999,52.380001,52.75,92500,46.069878
"2017-03-17",52.529999,52.880001,51.43,52.549999,103900,45.895206
"2017-03-20",52.66,52.860001,52.34,52.34,52300,45.711792
"2017-03-21",52.880001,52.98,52.419998,52.98,24900,46.270752
"2017-03-22",52.599998,53.75,52.599998,53.308998,3700,46.558083
"2017-03-23",52.43,53.490002,52.43,52.900002,53200,46.200882
"2017-03-24",53.192001,53.310001,52.919998,52.93,5000,46.227074
"2017-03-27",52.950001,53.450001,52.700001,53.419998,2300,46.655022
"2017-03-28",53.450001,53.450001,53.110001,53.419998,56100,46.655022
"2017-03-29",53.259998,54.389999,53,53,28200,46.288212
"2017-03-30",54.43,54.43,52.650002,53.779999,7600,46.969437
"2017-03-31",53.490002,53.740002,52.73,53.73,11400,46.92577
"2017-04-03",53.77,53.77,52.82,52.889999,46700,46.192142
"2017-04-04",53.02,54.34,53.02,54.290001,30500,47.414848
"2017-04-05",53.490002,53.93,53.25,53.630001,85400,46.838432
"2017-04-06",53.584999,53.77,53.584999,53.740002,376800,46.934502
"2017-04-07",53.27,53.959999,53.27,53.849998,39200,47.030571
"2017-04-10",53.990002,54.080002,53.48,53.849998,56600,47.030571
"2017-04-11",53.669998,54.099998,53.25,53.630001,103900,46.838432
"2017-04-12",53.825001,54.299999,53.450001,54.150002,54500,47.29258
"2017-04-13",54.07,54.099998,53.799999,53.799999,1900,46.986904
"2017-04-17",53.52,54.27,53.52,54.27,600,47.397388
"2017-04-18",53.709999,54.140999,53.709999,53.964001,1300,47.130138
"2017-04-19",54.002998,54.200001,53.830002,53.830002,24600,47.013107
"2017-04-20",53.599998,54,53.52,53.52,67900,46.742367
"2017-04-21",54.150002,54.189999,53.549999,53.82,10800,47.004368
"2017-04-24",54.005001,54.139999,53.619999,53.950001,16000,47.117912
"2017-04-25",54.150002,54.330002,53.75,54.080002,51500,47.231449
"2017-04-26",53.830002,54.110001,53.799999,53.810001,1800,46.995636
"2017-04-27",53.509998,54.299999,53.509998,54.279999,4300,47.406116
"2017-04-28",53.919998,54.200001,53.869999,53.889999,51900,47.06551
"2017-05-01",54.299999,54.299999,53.59,53.959999,53500,47.126644
"2017-05-02",54.259998,54.259998,53.639999,53.924999,182000,47.096077
"2017-05-03",53.380001,53.950001,53.380001,53.380001,1900,46.62009
"2017-05-04",53.389999,54.139999,53.389999,54.139999,116900,47.283852
"2017-05-05",54.009998,54.279999,53.77,53.810001,4000,46.995636
"2017-05-08",53.619999,53.75,53.619999,53.630001,7800,46.838432
"2017-05-09",53.259998,53.73,53.259998,53.419998,48500,46.655022
"2017-05-10",53.57,53.849998,53.57,53.849998,26700,47.030571
"2017-05-11",54,54,53.494999,53.599998,1200,46.812233
"2017-05-12",53.709999,54.040001,53.709999,53.93,1100,47.100437
"2017-05-15",53.860001,54.209999,53.860001,53.950001,20200,47.117912
"2017-05-16",54.240002,54.279999,53.830002,53.830002,58100,47.013107
"2017-05-17",54.049999,54.049999,54,54,600,47.161579
"2017-05-18",54.299999,54.459999,54,54.349998,1600,47.467251
"2017-05-19",54.209999,54.34,54.07,54.09,15300,47.240181
"2017-05-22",54.09,54.470001,54.09,54.43,2200,47.537121
"2017-05-23",54.400002,54.669998,54.07,54.48,4100,47.580791
"2017-05-24",54.652,54.98,54.438,54.91,1600,47.956337
"2017-05-25",54.950001,55.619999,54.759998,55.450001,163300,48.427956
"2017-05-26",55.450001,57.509998,54.880001,55.619999,30900,48.576427
"2017-05-30",55.32,55.450001,54.59,55,30700,48.034943
"2017-05-31",56.5,58.330002,54.82,54.82,72100,47.877739
"2017-06-01",55.68,57.490002,55.349998,55.790001,50800,48.724899
"2017-06-02",56.209999,56.209999,55.700001,55.889999,106600,48.812233
"2017-06-05",56,56,55.25,55.25,800,48.253281
"2017-06-06",55.639999,55.799999,55.460999,55.75,222700,48.68996
"2017-06-07",56.119999,57.580002,55.889999,56.130001,96900,49.021843
"2017-06-08",55.279999,55.91,55.279999,55.91,50800,48.829693
"2017-06-09",55.75,55.75,55.5,55.5,51800,48.471622
"2017-06-12",55.505001,56.02,55.505001,55.75,57400,48.68996
"2017-06-13",55.560001,56.049999,55.549999,55.799999,96800,48.733627
"2017-06-14",55.439999,56.689999,54.91,55.779999,33800,49.433746
"2017-06-15",55.167999,56.259998,55.167999,56,184300,49.628716
"2017-06-16",56.099998,56.099998,56.09,56.09,1400,49.708481
"2017-06-19",56.150002,56.52,55.93,56.119999,10900,49.735062
"2017-06-20",55.830002,56.439999,55.830002,56.25,76600,49.850273
"2017-06-21",56.049999,57.235001,55.540001,55.75,161300,49.407162
"2017-06-22",55.799999,55.799999,55.52,55.566002,82400,49.244102
"2017-06-23",55.5,55.880001,55.220001,55.220001,210400,48.937458
"2017-06-26",55.25,55.82,55.189999,55.799999,3800,49.451473
"2017-06-27",55.610001,55.610001,55.610001,55.610001,1200,49.283092
"2017-06-28",55.049999,55.240002,54.41,54.939999,15000,48.68932
"2017-06-29",54.5,55.009998,54.299999,54.599998,60900,48.387997
"2017-06-30",54.443001,54.880001,54.09,54.849998,4300,48.60955
"2017-07-03",54.93,54.970001,54.314999,54.799999,9800,48.56525
