"","TWX.Open","TWX.High","TWX.Low","TWX.Close","TWX.Volume","TWX.Adjusted"
"2001-01-02",68.870903,69.860397,62.834801,64.101402,8728434,64.101402
"2001-01-03",63.329601,75.005997,63.329601,74.214302,17686978,74.214302
"2001-01-04",77.182899,85.593903,76.272598,83.476303,13899958,83.476303
"2001-01-05",83.120102,83.120102,78.964104,81.714897,7999447,81.714897
"2001-01-08",80.547302,81.437897,76.193398,79.221298,6237844,79.221298
"2001-01-09",82.625298,85.593903,81.239998,84.802299,6995885,84.802299
"2001-01-10",84.307503,89.453003,84.307503,88.8395,8918677,88.8395
"2001-01-11",86.880302,94.202698,86.880302,93.470497,10109501,93.470497
"2001-01-12",95.0933,96.478699,90.422798,91.9664,17296033,91.9664
"2001-01-16",91.9664,95.192299,90.482101,92.4216,7633868,92.4216
"2001-01-17",94.9944,97.468201,94.598503,96.5578,11091943,96.5578
"2001-01-18",96.696297,98.774399,94.9944,98.497299,7883584,98.497299
"2001-01-19",100.950996,108.352997,100.950996,106.473,21718561,106.473
"2001-01-22",106.473,110.766998,105.384003,106.552002,18010972,106.552002
"2001-01-23",106.869003,107.759003,104.710999,107.166,12600091,107.166
"2001-01-24",107.362999,113.003998,107.166,110.332001,15733667,110.332001
"2001-01-25",110.332001,112.647003,109.144997,110.372002,9837805,110.372002
"2001-01-26",107.542,108.253998,105.384003,108.036003,9289461,108.036003
"2001-01-29",107.264,111.321999,107.184998,108.848,10864662,108.848
"2001-01-30",108.650002,108.650002,105.384003,107.482002,11275010,107.482002
"2001-01-31",107.917999,111.816002,103.306,104.018997,14897457,104.018997
"2001-02-01",101.426003,101.920998,96.874496,98.615997,16655473,98.615997
"2001-02-02",97.764999,98.932701,92.520599,94.578796,12219807,94.578796
"2001-02-05",94.895401,98.754501,92.817398,97.705704,7592788,97.705704
"2001-02-06",97.487999,99.447197,96.122398,96.676598,6898717,96.676598
"2001-02-07",95.489098,97.9431,95.033897,95.390198,5719868,95.390198
"2001-02-08",96.478699,98.991997,96.181801,96.498398,6203484,96.498398
"2001-02-09",95.291199,95.944298,92.223701,93.510101,6718832,93.510101
"2001-02-12",93.510101,94.598503,92.025803,94.064201,5147724,94.064201
"2001-02-13",94.499603,97.171303,94.380898,95.172501,5754582,95.172501
"2001-02-14",93.609001,96.775497,91.214401,96.043297,6539504,96.043297
"2001-02-15",97.962898,99.447197,97.586899,98.8535,9166169,98.8535
"2001-02-16",95.983902,97.764999,94.024597,95.706802,5783737,95.706802
"2001-02-20",95.192299,96.181801,87.572899,88.958298,7982166,88.958298
"2001-02-21",86.682404,93.945503,86.583397,87.869797,9951193,87.869797
"2001-02-22",87.909401,90.541496,82.150299,88.859299,10373011,88.859299
"2001-02-23",85.593903,87.295898,82.170097,85.692802,11793289,85.692802
"2001-02-26",86.0886,92.223701,85.930298,91.273804,7540944,91.273804
"2001-02-27",91.016502,92.718498,86.623001,88.463501,7522299,88.463501
"2001-02-28",88.859299,90.0467,83.634598,87.137497,8374577,87.137497
"2001-03-01",84.208504,87.473999,81.833702,87.078201,8109147,87.078201
"2001-03-02",82.922203,86.444901,81.991997,83.2388,7510627,83.2388
"2001-03-05",84.802299,86.880302,84.544998,86.682404,6773354,86.682404
