"","IBM.Open","IBM.High","IBM.Low","IBM.Close","IBM.Volume","IBM.Adjusted"
"2001-01-02",84.5,87.5,84.125,84.8125,8007200,56.790684
"2001-01-03",83.75,95,83.75,94.625,12769900,63.361145
"2001-01-04",94.75,99.75,92.6875,93.1875,15420500,62.398586
"2001-01-05",93.9375,94.6875,91,94,8043200,62.942654
"2001-01-08",93.5,93.9375,91.5625,93.5625,6064800,62.649712
"2001-01-09",94.4375,95.75,91.4375,92.5625,7547100,61.980114
"2001-01-10",92.5,94.9375,91.6875,93.4375,7656100,62.566002
"2001-01-11",92.9375,94.25,91.25,93.6875,9635000,62.733395
"2001-01-12",93.6875,96.4375,92.375,93.8125,6448000,62.817078
"2001-01-16",93.75,94,91.8125,92.75,5671900,62.105659
"2001-01-17",95.375,97.75,94.3125,96.6875,9727000,64.742188
"2001-01-18",104.375,110,103.5,108.3125,25244900,72.526344
"2001-01-19",107.5,113.9375,107.25,111.25,14762200,74.493294
"2001-01-22",109.5,109.9375,108.1875,108.5625,9618500,72.693756
"2001-01-23",109.5625,109.9375,107.625,109.0625,9826900,73.028526
"2001-01-24",109.0625,111.4375,108.9375,110.4375,6760900,73.949219
"2001-01-25",110.125,111.125,109.4375,110.75,4982100,74.158501
"2001-01-26",109.625,115.25,109.1875,114.1875,9095200,76.460251
"2001-01-29",112.5,115.5,112.470001,114.980003,5125000,76.990929
"2001-01-30",115,116.75,113.400002,116.610001,8242000,78.082344
"2001-01-31",115.75,116.75,112,112,8314200,74.995514
"2001-02-01",112.400002,114.339996,111.199997,114.050003,5580800,76.36821
"2001-02-02",112.75,113.989998,109.599998,110.269997,5428400,73.837067
"2001-02-05",109.400002,112.599998,109.300003,112.220001,5113700,75.142799
"2001-02-06",112.230003,115.690002,111.199997,114.190002,7526400,76.461922
"2001-02-07",113.400002,117.599998,112.669998,116.910004,9006900,78.372452
"2001-02-08",116.910004,118.199997,114.029999,114.099998,8380800,76.488762
"2001-02-09",114.029999,114.989998,111,112,6318800,75.080986
"2001-02-12",110.550003,115.720001,110.300003,114.900002,6729300,77.025032
"2001-02-13",114.150002,117.379997,113.07,113.75,7193200,76.254089
"2001-02-14",113.75,116.169998,112.5,115.099998,7032900,77.159065
"2001-02-15",116.800003,118.639999,116.379997,116.779999,8098700,78.285316
"2001-02-16",114.550003,115.75,113.940002,115,7073000,77.092072
"2001-02-20",114.550003,115.599998,110.779999,111.5,6748300,74.745796
"2001-02-21",109.550003,111.5,107.290001,107.510002,9156900,72.071037
"2001-02-22",106.5,110.900002,103.379997,108.900002,11709000,73.002823
"2001-02-23",107.5,107.5,100.25,104,15276600,69.71804
"2001-02-26",105.800003,105.800003,101.830002,105.300003,8344100,70.589516
"2001-02-27",104.900002,106.870003,102.559998,102.589996,9787900,68.772827
"2001-02-28",102.949997,103.540001,99.099998,99.900002,11933200,66.969513
"2001-03-01",99.300003,106.400002,97.5,106.050003,15102000,71.092293
"2001-03-02",104,107.650002,100.940002,102.300003,14745500,68.57843
"2001-03-05",102.809998,105.599998,102.639999,104.910004,6743900,70.328117
"2001-03-06",106.25,108.400002,105.25,106,8120000,71.058746
"2001-03-07",107.449997,108.25,105.660004,107.550003,7788900,72.097832
"2001-03-08",107.169998,107.339996,105.370003,106.470001,6793600,71.373871
"2001-03-09",105,105.010002,97.900002,99.290001,16688100,66.5606
"2001-03-12",97.900002,98.400002,95.019997,95.489998,14494800,64.013245
"2001-03-13",95.099998,98.440002,94.199997,98.389999,12127900,65.957314
"2001-03-14",95.400002,98.900002,93.339996,94.959999,14246600,63.657928
"2001-03-15",96,97.870003,95.169998,95.559998,8420000,64.060165
"2001-03-16",93.900002,93.900002,88.199997,90.099998,20029400,60.399948
"2001-03-19",91,92.800003,89.199997,92.599998,10235500,62.075874
"2001-03-20",91.599998,92.029999,88.099998,88.300003,10101100,59.193306
"2001-03-21",88.449997,91.599998,87.75,89.080002,11013000,59.716202
"2001-03-22",89.120003,91,87.650002,89.099998,13328200,59.729588
"2001-03-23",93.5,94.989998,90.290001,93.510002,12233600,62.685925
"2001-03-26",95.25,95.660004,93.75,95.400002,8581200,63.9529
"2001-03-27",94,100,93.970001,99.5,11851200,66.701393
"2001-03-28",97.900002,98.449997,94.25,94.410004,11890500,63.289192
"2001-03-29",94.459999,97.07,94.260002,95.040001,10553700,63.711567
"2001-03-30",96.5,97.559998,95.139999,96.18,9461300,64.475769
"2001-04-02",97.449997,98.099998,93.580002,94.660004,8787000,63.456806
"2001-04-03",94.599998,94.650002,90.099998,90.389999,13330000,60.594349
"2001-04-04",90.449997,94.050003,90.050003,92,13515600,61.673634
"2001-04-05",95.800003,100,95.529999,98.209999,12506100,65.836601
"2001-04-06",98,100,96.400002,97.949997,13424200,65.662331
"2001-04-09",98.5,98.739998,93.800003,96,9486600,64.355133
"2001-04-10",97,99.900002,96.559998,99.050003,10499400,66.399727
"2001-04-11",101.5,101.940002,95.800003,97.43,11498400,65.313736
"2001-04-12",96.400002,97.5,95.150002,96.199997,9390100,64.489174
"2001-04-16",96.199997,99.889999,95.199997,96.75,9188500,64.857903
"2001-04-17",97,99.879997,97,99.699997,9957300,66.835449
"2001-04-18",103,110,102.300003,106.5,19814300,71.393967
"2001-04-19",112,115.900002,110.449997,114.470001,25822400,76.736748
"2001-04-20",114.349998,116.400002,113.75,114.830002,12759100,76.978096
"2001-04-23",114.010002,114.050003,111.68,112,8537500,75.080986
"2001-04-24",113.400002,114.75,112.300003,112.669998,8742000,75.530128
"2001-04-25",112,114.849998,111.989998,114.849998,6858500,76.991516
"2001-04-26",114.949997,116.699997,113.68,113.739998,7346100,76.247398
"2001-04-27",116.800003,116.900002,114.550003,116.199997,7390600,77.896484
"2001-04-30",116.400002,118.050003,114.720001,115.139999,7357200,77.185928
"2001-05-01",115.849998,118.650002,114.900002,118.510002,7790800,79.445045
"2001-05-02",118.300003,118.949997,113.739998,115.400002,9706200,77.360199
"2001-05-03",114.599998,115.099998,112.349998,113.699997,6578000,76.220604
"2001-05-04",112,115.860001,111.199997,115.860001,8681400,77.668556
"2001-05-07",116.199997,117.25,115,115.900002,6088600,77.695358
"2001-05-08",117.25,117.75,115.5,117.699997,7605800,78.997482
"2001-05-09",116.199997,118.18,115.300003,116.980003,7680200,78.514229
"2001-05-10",118.5,118.900002,115.199997,115.199997,7993900,77.319504
"2001-05-11",113.75,114.150002,110.959999,111.809998,8390200,75.044258
"2001-05-14",111.199997,113.18,111,112.559998,5254800,75.547615
"2001-05-15",113.5,114.150002,112.5,113.580002,5873400,76.232231
"2001-05-16",112.5,115.800003,112.199997,115.800003,7796700,77.722237
"2001-05-17",115.800003,117.089996,115.050003,115.07,6887700,77.232254
"2001-05-18",115.07,117.68,114.900002,117.440002,6714900,78.822975
"2001-05-21",117.949997,119.900002,117.550003,119.040001,8409400,79.896866
"2001-05-22",119.699997,119.699997,117.25,118.010002,6005300,79.205574
"2001-05-23",117.800003,118.949997,117.099998,117.400002,6402600,78.79612
"2001-05-24",117.5,119.599998,117.5,119.599998,7726400,80.272736
"2001-05-25",119.519997,119.900002,117.760002,117.800003,5629100,79.064598
"2001-05-29",117.349998,117.589996,115.080002,115.269997,5818000,77.366524
"2001-05-30",114,114.099998,112,112.650002,9598700,75.608047
"2001-05-31",112.650002,113.860001,111.639999,111.800003,6724100,75.037537
"2001-06-01",112.5,113.599998,111.900002,112.889999,5138900,75.769119
"2001-06-04",113.25,114.75,112.849998,113.639999,3812200,76.272484
"2001-06-05",113.639999,117.599998,113.559998,116.970001,6154400,78.50753
"2001-06-06",117.599998,119,116.5,117.5,9624200,78.863243
"2001-06-07",117,118.25,117,117.25,6423700,78.695465
"2001-06-08",117.5,117.5,115.599998,116.099998,3099100,77.923584
"2001-06-11",116.300003,118.139999,116.099998,117.360001,6542700,78.769264
"2001-06-12",116.75,117.800003,115.550003,117.25,7301500,78.695465
"2001-06-13",117.25,118.470001,116.529999,116.540001,5703200,78.218895
"2001-06-14",115.599998,116.080002,113.989998,115.75,7502500,77.68869
"2001-06-15",115.099998,115.449997,113.379997,113.599998,12470100,76.245644
"2001-06-18",113.980003,115.440002,113.309998,114.269997,5182800,76.695328
"2001-06-19",116.260002,117.25,114.559998,114.839996,6152800,77.077904
"2001-06-20",113.5,114.989998,111.760002,113.089996,8828300,75.903358
"2001-06-21",112.150002,114.699997,111.360001,112.599998,8155800,75.57444
"2001-06-22",112.599998,114.43,112.5,112.870003,5607200,75.755684
"2001-06-25",113.75,114.900002,111.779999,112.650002,5675900,75.608047
"2001-06-26",111.25,114.050003,111.099998,113.040001,7081900,75.869797
"2001-06-27",113.099998,114.18,112.449997,113.519997,4814100,76.19194
"2001-06-28",113.800003,116.949997,113.75,115.099998,8181000,77.252419
"2001-06-29",115.599998,116.650002,113,113.5,9477400,76.178551
"2001-07-02",113.5,115.400002,112.959999,114.349998,5913100,76.749016
"2001-07-03",114.099998,114.190002,112.760002,112.980003,3325800,75.829536
"2001-07-05",112.599998,113.260002,111.790001,112.099998,4419000,75.238876
"2001-07-06",110.900002,110.900002,105.809998,106.5,11704600,71.480293
"2001-07-09",106.5,106.949997,103.650002,104.720001,9312600,70.285622
"2001-07-10",104.730003,105.400002,101.599998,101.959999,10266600,68.433151
"2001-07-11",101.599998,104.129997,101.559998,103.849998,8895400,69.701698
"2001-07-12",105.900002,107.800003,105.620003,107.25,8766400,71.983673
"2001-07-13",106.150002,109.300003,106.110001,108.529999,7841800,72.842773
"2001-07-16",108.529999,109.379997,107.279999,107.82,5330100,72.366241
"2001-07-17",106.099998,108.580002,104.75,108.529999,8662400,72.842773
"2001-07-18",106.099998,107.599998,103.199997,104.279999,11670300,69.99028
"2001-07-19",105.599998,106,103.099998,104,13644500,69.802322
"2001-07-20",103.400002,105.699997,103.029999,105.699997,8991700,70.943329
"2001-07-23",105.699997,106.949997,105.300003,105.849998,6315700,71.044006
"2001-07-24",104.849998,106.150002,103.790001,104.510002,7299800,70.144653
"2001-07-25",104.5,105.699997,102.730003,104.889999,6247600,70.399696
"2001-07-26",104.75,106,102.93,106,8428700,71.144691
"2001-07-27",104.75,105.949997,104.110001,104.699997,4346500,70.272179
"2001-07-30",104.900002,106.25,104.760002,105.849998,4030800,71.044006
"2001-07-31",105.900002,107,105.150002,105.209999,5603000,70.614479
"2001-08-01",105.349998,108.5,105.309998,107.059998,6036100,71.856148
"2001-08-02",108.5,109.470001,107.209999,108.800003,5675100,73.024002
"2001-08-03",107.800003,110.089996,107.099998,108.18,3704100,72.607895
"2001-08-06",107.25,107.370003,105.790001,106.510002,4176800,71.486992
"2001-08-07",105.800003,107.370003,105.260002,106.25,4029300,71.312515
"2001-08-08",105,106.099998,104.099998,104.190002,6398000,70.022171
"2001-08-09",103.699997,104.540001,102.699997,104.080002,6763200,69.948219
"2001-08-10",103.849998,104.949997,102.809998,104.949997,5254800,70.532898
"2001-08-13",105,106.639999,104.650002,105.860001,6024400,71.14447
"2001-08-14",106.5,106.849998,105.400002,106.199997,5730200,71.372986
"2001-08-15",106.349998,106.589996,105.010002,105.010002,4712900,70.573227
"2001-08-16",104.199997,106.019997,103.660004,105.75,6215200,71.070534
"2001-08-17",105.489998,105.489998,103.900002,104.589996,7006200,70.290955
"2001-08-20",104.68,105,102.800003,104.099998,5612700,69.961662
"2001-08-21",103.849998,104.970001,101.400002,101.889999,6515900,68.476379
"2001-08-22",102.5,104.040001,101.760002,103.959999,8029000,69.867607
"2001-08-23",104,104.699997,103,103,5474300,69.222389
"2001-08-24",103.949997,107.800003,103.410004,106.989998,7711900,71.903915
"2001-08-27",106.989998,108.199997,106.639999,106.860001,4540900,71.816566
"2001-08-28",106.900002,107.169998,104.870003,104.949997,5808100,70.532898
"2001-08-29",105.75,105.900002,103.82,104.129997,4840300,69.981827
"2001-08-30",102.75,103.400002,98.860001,100.360001,15015500,67.448158
"2001-08-31",101,101.360001,99.239998,99.949997,8126600,67.172615
"2001-09-04",100.150002,103.129997,99.290001,101.489998,9891800,68.207542
"2001-09-05",101.5,102.830002,99.610001,100.349998,11880700,67.441406
"2001-09-06",100.68,100.68,97.650002,98,9043100,65.862068
"2001-09-07",97.900002,98.150002,96,96.589996,10507000,64.914467
"2001-09-10",96,97.400002,95.589996,96.470001,10311500,64.833832
"2001-09-17",93.900002,95.860001,92.550003,93.339996,15132800,62.730305
"2001-09-18",94,96.75,93.68,96.400002,12305000,64.786797
"2001-09-19",96.400002,96.849998,92.449997,96,14883500,64.517975
"2001-09-20",94.099998,95.75,92.849998,93.400002,15182900,62.770573
"2001-09-21",90.599998,93.5,89.5,90.5,18364700,60.821613
"2001-09-24",91.800003,95.540001,91.800003,94.800003,11201800,63.711498
"2001-09-25",94.099998,96,93.410004,94.449997,12575100,63.476273
"2001-09-26",94.449997,94.449997,90.300003,91.300003,13783100,61.359257
"2001-09-27",91.300003,91.5,87.489998,90,13172300,60.485569
"2001-09-28",90.199997,92.709999,89.900002,91.720001,11077200,61.641533
"2001-10-01",91.720001,93.480003,91.339996,92.709999,8676200,62.306881
"2001-10-02",92.300003,93.900002,92.099998,93.769997,7221200,63.019264
"2001-10-03",92.900002,97.620003,92.400002,96.949997,11117000,65.156425
"2001-10-04",97.150002,98.879997,96.800003,97.309998,9785100,65.398338
"2001-10-05",96.650002,98.449997,95.370003,98.019997,9708200,65.875519
"2001-10-08",98.029999,99,96.75,98.5,7093400,66.198082
"2001-10-09",98.5,98.5,96.760002,97.139999,7525300,65.284096
"2001-10-10",95,97.300003,94.900002,97.25,10636900,65.358009
"2001-10-11",97.699997,99.400002,96.5,99.400002,11501600,66.802956
"2001-10-12",98.699997,101,98,100.839996,11501200,67.770752
"2001-10-15",99.849998,102.760002,99.849998,102,10204200,68.550308
"2001-10-16",101.870003,103,99.660004,101.849998,11946000,68.449509
"2001-10-17",106.300003,106.699997,102.900002,102.900002,18920500,69.155182
"2001-10-18",103.050003,103.75,100.779999,101.260002,10694900,68.053001
"2001-10-19",101.650002,102.739998,100.07,102.650002,11771900,68.987167
"2001-10-22",102.650002,105.779999,101.900002,105.25,7623900,70.73455
"2001-10-23",105.75,106.690002,104.550003,105.809998,7429300,71.110916
"2001-10-24",106.5,108.75,106.089996,108.57,8293200,72.965782
"2001-10-25",108.050003,110.849998,106.75,110.660004,9683400,74.370377
"2001-10-26",110,112.099998,109.620003,111.160004,10142500,74.706413
"2001-10-29",110.5,110.699997,108.620003,108.620003,7072800,72.999359
"2001-10-30",107.800003,109.75,107.760002,108.650002,8625100,73.019547
"2001-10-31",109.599998,111.120003,108.07,108.07,7177700,72.62973
"2001-11-01",107.25,110.169998,106.900002,109.889999,8024000,73.852852
