"","IBM.Open","IBM.High","IBM.Low","IBM.Close","IBM.Volume","IBM.Adjusted"
"2001-11-02",109.150002,110.300003,108.769997,109.5,6216900,73.590797
"2001-11-05",109.949997,110.589996,109.080002,109.970001,5708500,73.906631
"2001-11-06",109.599998,114.800003,109,113.610001,8509700,76.352936
"2001-11-07",113.050003,115.199997,113.029999,113.849998,10129700,76.608681
"2001-11-08",113.959999,115.559998,113.610001,113.809998,7991200,76.581741
"2001-11-09",113.099998,114.900002,113.099998,114.080002,5045900,76.763428
"2001-11-12",113,114.900002,112.050003,114.860001,5608400,77.2883
"2001-11-13",115.699997,117,115.699997,116.699997,9216700,78.526413
"2001-11-14",116.699997,116.849998,113.330002,114.349998,8091700,76.945084
"2001-11-15",114.099998,116.330002,113.839996,114.75,7013800,77.214264
"2001-11-16",115,115,112.550003,114.5,6661500,77.046051
"2001-11-19",114.699997,115.800003,113.769997,115,4931300,77.382484
"2001-11-20",114.349998,116.800003,114.25,115.440002,6452200,77.678558
"2001-11-21",114.949997,115.25,113.050003,114.339996,4184700,76.938393
"2001-11-23",114.290001,115.370003,113.720001,115.349998,1714000,77.617996
"2001-11-26",115.900002,116.400002,115.199997,116.330002,4854300,78.27742
"2001-11-27",116.25,116.300003,114.07,114.199997,6894100,76.84417
"2001-11-28",114.099998,114.379997,112.099998,112.150002,6161200,75.464745
"2001-11-29",112.900002,114.550003,111.809998,114.43,6128700,76.998978
"2001-11-30",114.43,115.940002,113.800003,115.589996,5597800,77.779503
"2001-12-03",114.800003,114.849998,113.209999,114.129997,5785800,76.797089
"2001-12-04",114.300003,116.720001,113.379997,116.639999,6585900,78.486023
"2001-12-05",116.849998,121.980003,116.650002,121.400002,14646200,81.688988
"2001-12-06",120.5,121.699997,119.800003,120.139999,11225700,80.841164
"2001-12-07",119.5,121,118.75,120.400002,6889200,81.01609
"2001-12-10",120,121,119.410004,119.660004,5570900,80.51815
"2001-12-11",120.400002,122.739998,119.800003,121.5,7793200,81.756264
"2001-12-12",121.120003,123.209999,120.059998,123.199997,7977900,82.900208
"2001-12-13",121.550003,122.300003,120.120003,120.25,8061000,80.915161
"2001-12-14",120.800003,121.480003,119.410004,121.099998,7036000,81.487129
"2001-12-17",120.150002,122.139999,120.150002,121.339996,6205100,81.648613
"2001-12-18",121.510002,122.970001,121.349998,122.199997,5596200,82.227325
"2001-12-19",121.900002,124.699997,121.010002,123.889999,8053900,83.364502
"2001-12-20",123.889999,124,122.150002,122.699997,6344800,82.563759
"2001-12-21",122.699997,123.5,121.709999,122,8659100,82.092735
"2001-12-24",122.050003,122.480003,121.099998,121.449997,1654400,81.722626
"2001-12-26",122,123.699997,121.809998,122.400002,3755700,82.3619
"2001-12-27",122.75,123.93,122.639999,123.5,3826200,83.102058
"2001-12-28",123.5,123.879997,122.349998,122.900002,4213900,82.698364
"2001-12-31",122.75,123.239998,120.949997,120.959999,3512700,81.392929
"2002-01-02",120.599998,121.5,119.800003,121.5,6862800,81.756264
"2002-01-03",121.5,124.220001,120.25,123.660004,8621700,83.209709
"2002-01-04",124.050003,125.599998,123.980003,125.599998,8405200,84.515129
"2002-01-07",125,126.190002,123.699997,124.050003,5939600,83.472183
"2002-01-08",124.25,125.199997,123.730003,124.699997,5311800,83.9095
"2002-01-09",124.699997,126.389999,124.150002,124.489998,6839900,83.768242
"2002-01-10",123.75,124,121.419998,122.139999,8926300,82.186905
"2002-01-11",121.5,122.18,120.279999,120.309998,4797800,80.955536
"2002-01-14",120,120.089996,117.099998,118.050003,10026700,79.434807
"2002-01-15",118.050003,119.699997,117.720001,118.849998,5647900,79.973129
"2002-01-16",118,118.75,117.25,117.400002,5366300,78.997444
"2002-01-17",119.849998,120.550003,117.260002,119.900002,11153700,80.679642
"2002-01-18",114.25,114.900002,112.809998,114.25,18440200,76.877831
"2002-01-22",114.25,114.260002,110.330002,110.5,10130400,74.354477
"2002-01-23",110.800003,111.25,107,107.900002,12556700,72.604988
"2002-01-24",108.800003,109.730003,107.07,108.720001,8581500,73.156715
"2002-01-25",108.5,110.690002,108.099998,109.279999,6761800,73.533562
"2002-01-28",109.5,110.209999,107.059998,108.150002,7092900,72.773178
"2002-01-29",108.150002,108.559998,102.410004,103,14509400,69.307808
"2002-01-30",104.25,105.75,101,105.550003,17713300,71.023651
"2002-01-31",106.400002,107.980003,104.459999,107.889999,9877000,72.598244
"2002-02-01",107.639999,109.300003,106.639999,108,6799500,72.672241
"2002-02-04",108,108,105.989998,106.800003,6601900,71.864784
"2002-02-05",106.25,108.5,106,106.300003,6737700,71.52832
"2002-02-06",106.699997,107.82,105.330002,106.629997,6669800,71.845039
"2002-02-07",106.639999,107,103.860001,103.910004,7253800,70.012299
"2002-02-08",103,105.720001,102.610001,104.989998,8339400,70.740021
"2002-02-11",105,107.690002,104.510002,107.379997,6271900,72.350342
"2002-02-12",106.75,107.889999,106.059998,106.57,4559800,71.804573
"2002-02-13",106.699997,108.480003,106.120003,108.07,5086900,72.815254
"2002-02-14",109,109.150002,107.199997,107.889999,5816300,72.693985
"2002-02-15",104.800003,104.800003,101.699997,102.889999,18204600,69.325096
"2002-02-19",101.5,101.800003,98.860001,101.300003,13395900,68.253777
"2002-02-20",99.540001,100,97,99.309998,14525200,66.912964
"2002-02-21",98.75,99.699997,96.010002,96.379997,10131700,64.938782
"2002-02-22",96.379997,99.199997,95.760002,98.449997,10471600,66.333496
"2002-02-25",98.449997,99.25,97.120003,98.300003,9902800,66.232422
"2002-02-26",99,99.190002,95.989998,97.150002,11634500,65.457611
"2002-02-27",98.099998,100.309998,96.699997,97.830002,11978700,65.915794
"2002-02-28",98.489998,99.599998,97.82,98.120003,7939000,66.111168
"2002-03-01",98.599998,103.099998,98.5,103.019997,10492900,69.412689
"2002-03-04",103.349998,106.529999,103.129997,105.900002,10767700,71.353188
"2002-03-05",104.25,106.5,104.160004,105.669998,7562100,71.198189
"2002-03-06",105.150002,107.089996,104.75,106.300003,7687400,71.62265
"2002-03-07",107.300003,107.5,103.239998,103.709999,10971900,69.877571
"2002-03-08",104.82,107.339996,104.82,105.089996,10726400,70.807388
"2002-03-11",104.349998,105.970001,103.599998,105.239998,8639100,70.908417
"2002-03-12",105.519997,108.849998,105.510002,108.5,11059300,73.104973
"2002-03-13",108.300003,108.650002,106.699997,107.18,6409200,72.215591
"2002-03-14",107.019997,107.949997,106.589996,106.599998,5335500,71.824799
"2002-03-15",106.550003,107.449997,105.589996,106.790001,10864100,71.952835
"2002-03-18",107.099998,108.639999,106.230003,106.349998,5301200,71.65638
"2002-03-19",106.849998,108.050003,106.489998,107.489998,4614800,72.424446
"2002-03-20",106.900002,106.900002,105.489998,105.5,4844100,71.083664
"2002-03-21",105.699997,106.779999,104.699997,106.779999,5113100,71.946053
"2002-03-22",106.5,106.699997,105.07,105.599998,5507900,71.150993
"2002-03-25",105.800003,106.660004,103.5,103.559998,6277900,69.776505
"2002-03-26",103.57,105.699997,102.300003,102.900002,8144000,69.331802
"2002-03-27",103.75,103.790001,102.5,103.389999,5602400,69.661995
"2002-03-28",103.550003,105.139999,103.389999,104,5347500,70.072975
"2002-04-01",104,104,102.400002,102.860001,5587000,69.304855
"2002-04-02",102,102.010002,100.510002,100.949997,7382200,68.01796
"2002-04-03",101.400002,101.5,98.900002,99.959999,7649100,67.350929
"2002-04-04",99.959999,101.139999,99.5,100.839996,5928500,67.943825
"2002-04-05",100.839996,101.25,97.25,97.25,9801800,65.524948
"2002-04-08",87.5,88.589996,85.349998,87.410004,41207300,58.895
"2002-04-09",88.5,88.519997,87.099998,87.739998,17383600,59.11731
"2002-04-10",88.449997,89.949997,88.199997,89.010002,13143900,59.973061
"2002-04-11",88.050003,88.510002,83.339996,84.190002,23343700,56.725418
"2002-04-12",87.559998,87.959999,84.400002,85.599998,15819300,57.67543
"2002-04-15",86.5,86.599998,84.699997,85.349998,8871600,57.507
"2002-04-16",86.349998,86.849998,85.580002,86.199997,7933100,58.079723
"2002-04-17",87.050003,87.199997,84,84.809998,11019500,57.143143
"2002-04-18",86.970001,89.099998,86.900002,88.949997,14763500,59.93261
"2002-04-19",89.900002,90.029999,87.599998,89,9273200,59.966301
"2002-04-22",88.949997,88.949997,87.360001,87.93,6757700,59.245346
"2002-04-23",88.349998,89.080002,87.239998,87.330002,5144100,58.841099
"2002-04-24",88.199997,88.25,86.269997,86.5,6520500,58.28183
"2002-04-25",86.050003,86.919998,85.769997,86.709999,6870000,58.42334
"2002-04-26",86.699997,86.959999,84.699997,84.709999,6684200,57.07576
"2002-04-29",84.709999,85.099998,83.550003,83.889999,6535600,56.523285
"2002-04-30",83.910004,85.230003,83.529999,83.760002,8883900,56.435699
"2002-05-01",83.849998,84.650002,81.669998,84.300003,12203800,56.799522
"2002-05-02",83.75,84.800003,83.129997,83.860001,6582900,56.503063
"2002-05-03",83.099998,83.5,81.110001,81.779999,8656300,55.101601
"2002-05-06",81.699997,81.870003,76,76,13648400,51.207165
"2002-05-07",76.889999,77.5,75.919998,76.5,17418700,51.54406
"2002-05-08",78.199997,82.800003,78.199997,82.449997,12779700,55.662186
"2002-05-09",81.900002,83,79,79.93,10130100,53.96093
"2002-05-10",79.949997,80.5,79.25,79.68,7386300,53.792149
"2002-05-13",80.25,82.290001,79.5,82.190002,6527600,55.486645
"2002-05-14",84.5,85.480003,82.190002,85.480003,9624700,57.707748
"2002-05-15",84.599998,86.489998,84.050003,84.5,8552300,57.046139
"2002-05-16",84.199997,86,83.400002,85.449997,6768300,57.687504
"2002-05-17",86.25,86.400002,85,85.690002,5874800,57.849506
"2002-05-20",85.449997,85.459999,83.93,84.449997,4530300,57.01239
"2002-05-21",84.410004,85,83.300003,83.449997,4454000,56.33728
"2002-05-22",83.760002,84.389999,82.739998,84,5040700,56.708599
"2002-05-23",84.25,85.050003,82.519997,84.349998,6865600,56.94487
"2002-05-24",83.650002,83.75,82.620003,83.099998,4122000,56.101009
"2002-05-28",82.800003,83.110001,81.690002,82.080002,4552100,55.41238
"2002-05-29",81.5,82,81,81.599998,4519500,55.088356
"2002-05-30",80.599998,82.25,80.220001,82.25,7374100,55.527176
"2002-05-31",82.050003,82.050003,80.400002,80.449997,5126200,54.311981
"2002-06-03",80.75,80.910004,78,78.110001,8383600,52.73225
"2002-06-04",78.110001,79.650002,77.599998,79.309998,7273200,53.54237
"2002-06-05",79.650002,80.709999,79.110001,80.550003,7172100,54.379498
"2002-06-06",80.550003,80.949997,78.889999,79.660004,5540600,53.77866
"2002-06-07",78.480003,78.849998,77,78.300003,9309400,52.860512
"2002-06-10",77.75,78.800003,76.599998,76.800003,7075800,51.847878
"2002-06-11",77.849998,78.25,75.199997,75.489998,7953400,50.96349
"2002-06-12",75.400002,75.949997,73.25,74.650002,13296100,50.396397
"2002-06-13",75.449997,77.400002,75.300003,75.599998,8909600,51.037735
"2002-06-14",74.199997,76.769997,73.25,76.169998,8592000,51.422546
"2002-06-17",76.18,77.75,75.160004,77.139999,7775800,52.077381
"2002-06-18",75.599998,76.900002,75.470001,75.940002,7242000,51.267288
"2002-06-19",74.199997,75.199997,73.25,73.349998,9455400,49.518757
"2002-06-20",74,74.089996,71.43,71.580002,11116900,48.323826
"2002-06-21",70,70.989998,68.190002,68.75,15542600,46.413296
"2002-06-24",67.25,71.489998,67.25,69.699997,14687700,47.054623
"2002-06-25",70.300003,71.449997,68.410004,68.599998,8554800,46.312027
"2002-06-26",66.099998,70.589996,66.099998,70.050003,11544000,47.290928
"2002-06-27",71.199997,72.150002,69.099998,71.900002,10610100,48.539852
"2002-06-28",71.349998,73.620003,71.25,72,10945600,48.607365
"2002-07-01",72.010002,72.410004,67.160004,67.599998,12055900,45.636913
"2002-07-02",67.849998,69.400002,67.699997,68.580002,12012900,46.298515
"2002-07-03",67.949997,70.709999,67.870003,70.510002,8469900,47.601471
"2002-07-05",72.449997,73.900002,72,73.5,5243000,49.620022
"2002-07-08",73,73.480003,71.029999,71.300003,9488100,48.134804
"2002-07-09",71.400002,72.25,69.449997,69.669998,11165600,47.034397
"2002-07-10",70.599998,71.25,68.529999,68.760002,10073400,46.420048
"2002-07-11",68,69.75,67.550003,69.410004,11026400,46.858841
"2002-07-12",70,71.739998,68.800003,69.209999,8572200,46.723846
"2002-07-15",68.400002,71,66.599998,71,10420900,47.932274
"2002-07-16",69.510002,71.389999,68.480003,69.010002,10486800,46.588821
"2002-07-17",71,71.599998,69.620003,70.690002,11537300,47.72298
"2002-07-18",70.5,74.199997,70,72.050003,15310800,48.641125
"2002-07-19",70.959999,72.699997,70,72,11612900,48.607365
"2002-07-22",71.25,72.190002,68.309998,68.5,14866900,46.244518
"2002-07-23",68.25,70,66.660004,67.050003,12766700,45.265629
"2002-07-24",66,70,65.699997,69.540001,13804500,46.946602
"2002-07-25",68.900002,70,67.300003,69.349998,10989800,46.818352
"2002-07-26",68.75,69.470001,65.760002,66.400002,11576400,44.826805
"2002-07-29",70.370003,71.400002,68,71.18,11919300,48.053783
"2002-07-30",70.5,72.699997,70.019997,71.790001,10138600,48.465607
"2002-07-31",70.75,71.599998,69.110001,70.400002,12718600,47.527191
