"","ACT.Open","ACT.High","ACT.Low","ACT.Close","ACT.Volume","ACT.Adjusted"
"2017-12-13",25.200001,25.280001,25.1,25.17,40300,24.697096
"2017-12-14",26.25,26.25,24.98,25.01,74100,24.540102
"2017-12-15",25.83,25.83,25.049999,25.181,74300,24.70789
"2017-12-18",25.403999,26.372999,25.389999,25.389999,29200,24.912962
"2017-12-19",25.940001,27.25,25.400999,25.530001,31300,25.050333
"2017-12-20",25.860001,25.860001,25.43,25.5,28300,25.020897
"2017-12-21",26,26.67,25.52,25.52,33300,25.04052
"2017-12-22",26,26,25.447001,25.5,7800,25.020897
"2017-12-26",25.99,25.99,25.700001,25.719999,22400,25.236763
"2017-12-27",25.83,26,25.68,25.690001,18200,25.251507
"2017-12-28",25.98,25.99,25.809999,25.968,30500,25.524763
"2017-12-29",26.57,26.65,26.202,26.209999,49900,25.76263
"2018-01-02",26.74,26.85,26.375,26.66,66100,26.20495
"2018-01-03",27.15,27.559999,26.85,26.92,66100,26.460512
"2018-01-04",27.469999,29.5,26.299999,26.549999,81700,26.096827
"2018-01-05",26.9,26.9,26.26,26.4,45800,25.949389
"2018-01-08",26.51,26.525999,26,26.25,24700,25.801949
"2018-01-09",26.440001,26.440001,26.16,26.202,13500,25.754768
"2018-01-10",26.34,26.34,26,26.211,16700,25.763615
"2018-01-11",26.25,26.368999,26.16,26.254999,13200,25.806862
"2018-01-12",26.360001,26.4,26.226999,26.299999,15000,25.851095
"2018-01-16",26.549999,26.549999,26.177999,26.211,9900,25.763615
"2018-01-17",26.299999,26.51,26.222,26.42,21300,25.969048
"2018-01-18",26.51,26.51,26.16,26.183001,17400,25.736094
"2018-01-19",26.459999,26.5,26.221001,26.436001,20600,25.984776
"2018-01-22",26.639999,26.639999,26.504,26.629999,15700,26.175461
"2018-01-23",26.9,26.99,26.707001,26.99,23500,26.529318
"2018-01-24",27,27.15,26.865,26.964001,13700,26.503763
"2018-01-25",26.5,27.056,26.5,26.889999,7700,26.431025
"2018-01-26",27.25,27.280001,26.896,27.280001,12300,26.814369
"2018-01-29",27.32,27.32,26.976999,27.09,15000,26.627611
"2018-01-30",27.129999,27.129999,26.57,26.691999,12000,26.236404
"2018-01-31",26.93,26.93,26.601,26.66,8500,26.20495
"2018-02-01",26.85,26.85,26.58,26.620001,9800,26.165634
"2018-02-02",26.690001,26.690001,26.15,26.219999,13800,25.772461
"2018-02-05",26.129999,26.129999,25.304001,25.43,20200,24.995945
"2018-02-06",25.15,25.43,25,25.43,21700,24.995945
"2018-02-07",25.459999,25.586,25.337,25.365,11100,24.932055
"2018-02-08",25.450001,25.450001,24.959999,24.959999,10300,24.533966
"2018-02-09",25,25,24.448,24.952999,12100,24.527086
"2018-02-12",25,25.309999,24.9,25.120001,6800,24.691236
"2018-02-13",25.26,25.26,25,25.136999,3000,24.707945
"2018-02-14",25.200001,25.59,25.200001,25.59,3800,25.153214
