"","EQT.Open","EQT.High","EQT.Low","EQT.Close","EQT.Volume","EQT.Adjusted"
"2001-06-21",9.009254,9.227,8.655416,9.213391,2795500,4.70958
"2001-06-22",9.145346,9.227,8.938487,9.0773,4114800,4.640016
"2001-06-25",9.322265,9.322265,8.818727,8.840501,1921800,4.518971
"2001-06-26",8.837779,8.886772,8.655416,8.837779,2473300,4.51758
"2001-06-27",8.845944,8.845944,8.709853,8.76429,1242900,4.480014
"2001-06-28",8.791508,8.900381,8.709853,8.777899,1479100,4.486972
"2001-06-29",8.737071,9.118128,8.709853,9.066413,1664600,4.634451
"2001-07-02",9.036472,9.063691,8.886772,8.990201,1247600,4.595492
"2001-07-03",8.982036,9.090909,8.532934,9.022863,756100,4.612189
"2001-07-05",9.050081,9.224278,9.050081,9.131737,1065000,4.667842
"2001-07-06",9.172564,9.254219,9.071856,9.172564,901500,4.688708
"2001-07-09",9.199782,9.199782,8.889494,8.954818,1471000,4.577407
"2001-07-10",8.968427,9.036472,8.919434,8.919434,1291000,4.559319
"2001-07-11",8.941209,8.965705,8.873163,8.886772,1047800,4.542624
"2001-07-12",8.889494,8.938487,8.791508,8.832335,1050700,4.514799
