"","CTSH.Open","CTSH.High","CTSH.Low","CTSH.Close","CTSH.Volume","CTSH.Adjusted"
"2001-01-02",1.519531,1.520833,1.354167,1.380208,1521600,1.340707
"2001-01-03",1.380208,1.635417,1.364583,1.635417,1692000,1.588611
"2001-01-04",1.598958,1.666667,1.598958,1.653646,1744800,1.606319
"2001-01-05",1.654948,1.654948,1.3125,1.447917,2925600,1.406478
"2001-01-08",1.463542,1.471354,1.380208,1.390625,717600,1.350826
"2001-01-09",1.416667,1.5,1.416667,1.492188,684000,1.449482
"2001-01-10",1.5,1.5,1.453125,1.484375,1236000,1.441893
"2001-01-11",1.489583,1.604167,1.489583,1.604167,576000,1.558256
"2001-01-12",1.59375,1.677083,1.580729,1.661458,1336800,1.613908
"2001-01-16",1.671875,1.875,1.640625,1.851563,3192000,1.798571
"2001-01-17",1.869792,1.9375,1.846354,1.916667,2445600,1.861812
"2001-01-18",1.916667,2.013021,1.875,1.973958,921600,1.917464
"2001-01-19",1.979167,2.041667,1.947917,2.037109,1116000,1.978808
"2001-01-22",2.041667,2.041667,1.833333,1.981771,1586400,1.925053
"2001-01-23",1.958333,2.239583,1.927083,2.075521,2932800,2.01612
"2001-01-24",2.09375,2.09375,1.96875,2.09375,2616000,2.033828
"2001-01-25",2.083333,2.088542,1.979167,2.088542,895200,2.028769
"2001-01-26",2.03125,2.114583,1.958333,1.96875,1024800,1.912405
"2001-01-29",2.002604,2.0625,1.854818,2.03125,1159200,1.973117
"2001-01-30",2.015625,2.088542,2.007813,2.088542,595200,2.028769
"2001-01-31",2.072917,2.091146,2.046875,2.052083,705600,1.993354
"2001-02-01",2.028646,2.080729,1.982422,2.067708,436800,2.008531
"2001-02-02",2.064453,2.072917,1.893229,1.958333,1044000,1.902287
"2001-02-05",1.966146,1.96875,1.903646,1.9375,823200,1.88205
"2001-02-06",1.984375,2.0625,1.960938,1.994792,3360000,1.937701
"2001-02-07",2.015625,2.015625,1.901042,1.919271,1341600,1.864342
"2001-02-08",1.945313,1.963542,1.901042,1.901042,679200,1.846635
"2001-02-09",1.921875,1.942708,1.869792,1.872396,1315200,1.818809
"2001-02-12",1.861979,1.872396,1.778646,1.838542,1567200,1.785923
"2001-02-13",1.838542,1.895833,1.75,1.770833,751200,1.720153
"2001-02-14",1.768229,1.786458,1.677083,1.677083,950400,1.629086
"2001-02-15",1.6875,1.742188,1.679688,1.742188,1185600,1.692327
"2001-02-16",1.713542,1.75,1.6875,1.713542,818400,1.664501
"2001-02-20",1.726563,1.833333,1.666667,1.833333,1408800,1.780864
"2001-02-21",1.744792,1.854167,1.744792,1.803385,1476000,1.751773
"2001-02-22",1.791667,1.791667,1.658854,1.708333,1634400,1.659441
"2001-02-23",1.71875,1.729167,1.601563,1.729167,1956000,1.679678
"2001-02-26",1.734375,1.776042,1.723958,1.75,816000,1.699916
"2001-02-27",1.75,1.786458,1.729167,1.734375,751200,1.684738
"2001-02-28",1.735677,1.75,1.713542,1.75,1524000,1.699916
"2001-03-01",1.739583,1.770833,1.703125,1.760417,2328000,1.710034
"2001-03-02",1.729167,1.739583,1.71875,1.723958,1730400,1.67462
"2001-03-05",1.727865,1.729167,1.632813,1.661458,1296000,1.613908
"2001-03-06",1.671875,1.708333,1.666667,1.708333,288000,1.659441
"2001-03-07",1.708333,1.723958,1.6875,1.6875,1020000,1.639205
"2001-03-08",1.692708,1.71875,1.666667,1.684896,1274400,1.636675
"2001-03-09",1.684896,1.692708,1.661458,1.677083,2556000,1.629086
"2001-03-12",1.544271,1.596354,1.494792,1.583333,2611200,1.538019
"2001-03-13",1.53776,1.609375,1.479167,1.570964,3612000,1.526003
"2001-03-14",1.546875,1.567708,1.46875,1.46875,4140000,1.426715
"2001-03-15",1.46875,1.5,1.424479,1.458333,2215200,1.416597
"2001-03-16",1.453125,1.484375,1.338542,1.34375,3225600,1.305293
"2001-03-19",1.386719,1.453125,1.354167,1.453125,1478400,1.411537
"2001-03-20",1.421875,1.510417,1.421875,1.447917,991200,1.406478
"2001-03-21",1.492188,1.505208,1.460938,1.479818,823200,1.437466
"2001-03-22",1.479167,1.625,1.479167,1.546875,1704000,1.502604
"2001-03-23",1.5625,1.570313,1.5,1.518229,4317600,1.474778
"2001-03-26",1.513672,1.526042,1.484375,1.5,3345600,1.457071
"2001-03-27",1.495443,1.497396,1.424479,1.473958,2448000,1.431774
"2001-03-28",1.46875,1.46875,1.351563,1.380859,2671200,1.34134
"2001-03-29",1.346354,1.385417,1.158854,1.182292,3619200,1.148455
"2001-03-30",1.203125,1.296875,1.197917,1.252604,6177600,1.216755
"2001-04-02",1.252604,1.427083,1.25,1.377604,5433600,1.338178
"2001-04-03",1.378906,1.432292,1.333333,1.393229,8186400,1.353356
"2001-04-04",1.398438,1.526042,1.393229,1.40625,3295200,1.366004
"2001-04-05",1.424479,1.5625,1.395833,1.552083,2443200,1.507663
"2001-04-06",1.497396,1.510417,1.463542,1.497396,1183200,1.454541
"2001-04-09",1.479167,1.5075,1.4125,1.416667,1413600,1.376122
"2001-04-10",1.426667,1.629167,1.417083,1.541667,1104000,1.497545
"2001-04-11",1.5375,1.5625,1.39625,1.401667,3900000,1.361552
"2001-04-12",1.333333,1.419167,1.160417,1.386667,13485600,1.346981
"2001-04-16",1.375,1.41625,1.264583,1.311667,4752000,1.274127
"2001-04-17",1.303333,1.64625,1.294583,1.577083,9549600,1.531948
"2001-04-18",1.686667,1.921667,1.668333,1.83625,8253600,1.783697
"2001-04-19",1.84,1.983333,1.836667,1.927083,5246400,1.871931
"2001-04-20",1.795417,1.832917,1.675,1.738333,3386400,1.688583
"2001-04-23",1.738333,1.738333,1.65625,1.65625,2709600,1.608849
"2001-04-24",1.669167,1.6725,1.562917,1.583333,2493600,1.538019
"2001-04-25",1.595417,1.6975,1.583333,1.657917,1476000,1.610468
"2001-04-26",1.708333,1.708333,1.63625,1.6425,760800,1.595492
"2001-04-27",1.690833,1.691667,1.624583,1.628333,696000,1.581731
"2001-04-30",1.672917,1.837083,1.626667,1.761667,5428800,1.711249
"2001-05-01",1.758333,1.793333,1.708333,1.790833,1336800,1.739581
"2001-05-02",1.785,1.833333,1.7625,1.804167,4286400,1.752532
"2001-05-03",1.804167,1.804167,1.75,1.803333,1161600,1.751723
"2001-05-04",1.785417,1.789167,1.7425,1.777083,648000,1.726224
"2001-05-07",1.828333,1.854167,1.729167,1.742917,1279200,1.693035
"2001-05-08",1.7625,1.7625,1.710833,1.72625,151200,1.676846
"2001-05-09",1.75,1.75,1.610417,1.6675,1435200,1.619777
"2001-05-10",1.675,1.7375,1.666667,1.704167,988800,1.655394
"2001-05-11",1.704167,1.7175,1.645833,1.7175,880800,1.668346
"2001-05-14",1.7175,1.7175,1.660417,1.662083,842400,1.614515
"2001-05-15",1.662083,1.707917,1.645833,1.689167,470400,1.640823
"2001-05-16",1.675,1.759167,1.664167,1.72375,700800,1.674417
"2001-05-17",1.774167,1.77875,1.675833,1.753333,852000,1.703154
"2001-05-18",1.75,1.780833,1.729167,1.76875,717600,1.718129
"2001-05-21",1.7625,1.833333,1.754583,1.830417,1567200,1.778031
"2001-05-22",1.832083,1.87625,1.8,1.847083,2632800,1.794221
"2001-05-23",1.845417,1.85875,1.75,1.8125,1329600,1.760627
"2001-05-24",1.8125,1.875,1.8125,1.86375,664800,1.81041
"2001-05-25",1.86375,1.885417,1.833333,1.834583,1089600,1.782078
"2001-05-29",1.854167,1.854167,1.757083,1.773333,722400,1.722581
"2001-05-30",1.77125,1.77125,1.6375,1.666667,1898400,1.618968
"2001-05-31",1.669167,1.732917,1.669167,1.700417,1908000,1.651752
"2001-06-01",1.70625,1.717917,1.595833,1.699167,916800,1.650537
"2001-06-04",1.725,1.725,1.655,1.708333,1077600,1.659441
"2001-06-05",1.694167,1.794583,1.694167,1.78,974400,1.729057
"2001-06-06",1.81875,1.81875,1.791667,1.802083,4780800,1.750508
"2001-06-07",1.804583,1.864583,1.8025,1.8075,2373600,1.75577
"2001-06-08",1.816667,1.858333,1.81625,1.83625,3170400,1.783697
"2001-06-11",1.8375,1.866667,1.82,1.829167,1516800,1.776816
"2001-06-12",1.832083,1.85625,1.817917,1.85625,760800,1.803125
"2001-06-13",1.855833,1.85625,1.833333,1.840417,2076000,1.787745
"2001-06-14",1.833333,1.833333,1.70125,1.70125,585600,1.652561
"2001-06-15",1.677083,1.679167,1.559167,1.633333,3494400,1.586588
"2001-06-18",1.63875,1.639583,1.558333,1.558333,532800,1.513735
"2001-06-19",1.585417,1.716667,1.55,1.582917,1039200,1.537614
"2001-06-20",1.570417,1.704167,1.542083,1.695833,681600,1.647299
"2001-06-21",1.704167,1.704167,1.6125,1.677917,643200,1.629895
"2001-06-22",1.685417,1.6925,1.631667,1.631667,424800,1.584969
"2001-06-25",1.63125,1.640417,1.588333,1.604167,2282400,1.558256
"2001-06-26",1.6125,1.65625,1.58625,1.65625,1123200,1.608849
"2001-06-27",1.66,1.767917,1.66,1.720833,1317600,1.671584
"2001-06-28",1.739583,1.811667,1.72125,1.74375,4459200,1.693845
"2001-06-29",1.752083,1.78125,1.725833,1.76875,4173600,1.718129
"2001-07-02",1.75625,1.795,1.7075,1.745417,1296000,1.695464
"2001-07-03",1.744583,1.770833,1.708333,1.738333,504000,1.688583
"2001-07-05",1.7075,1.708333,1.588333,1.6125,4725600,1.566351
"2001-07-06",1.592083,1.656667,1.591667,1.639583,1555200,1.592659
"2001-07-09",1.659583,1.73125,1.63125,1.63125,1543200,1.584564
"2001-07-10",1.645833,1.65,1.610417,1.610417,1473600,1.564327
"2001-07-11",1.6125,1.649583,1.607083,1.625833,2700000,1.579303
"2001-07-12",1.670833,1.7975,1.670833,1.789167,2140800,1.737962
"2001-07-13",1.7875,1.790417,1.770833,1.770833,1022400,1.720153
"2001-07-16",1.775,1.785417,1.73125,1.752083,1560000,1.701939
"2001-07-17",1.775,1.883333,1.773333,1.840417,4780800,1.787745
"2001-07-18",1.8375,1.854167,1.837083,1.841667,3220800,1.788959
"2001-07-19",1.8425,1.847917,1.771667,1.775,2083200,1.7242
"2001-07-20",1.77125,1.7725,1.734583,1.758333,2409600,1.70801
"2001-07-23",1.764583,1.810417,1.758333,1.810417,1620000,1.758603
"2001-07-24",1.78625,1.835,1.78625,1.832083,2464800,1.77965
"2001-07-25",1.833333,1.839583,1.822917,1.839583,1980000,1.786935
"2001-07-26",1.839583,1.879167,1.829167,1.87875,4519200,1.824981
"2001-07-27",1.874583,1.91875,1.872917,1.897917,6141600,1.843599
"2001-07-30",1.87125,1.887917,1.859167,1.872083,2280000,1.818505
"2001-07-31",1.862083,1.868333,1.822917,1.84375,2157600,1.790983
"2001-08-01",1.84375,1.879167,1.817917,1.875,1812000,1.821338
"2001-08-02",1.875,1.910417,1.874583,1.89125,3343200,1.837123
"2001-08-03",1.893333,1.893333,1.828333,1.853333,609600,1.800292
"2001-08-06",1.824583,1.829583,1.777083,1.785417,1771200,1.734319
"2001-08-07",1.779167,1.808333,1.760417,1.79375,681600,1.742414
"2001-08-08",1.79375,1.80625,1.647917,1.695,2395200,1.64649
