"","MAC.Open","MAC.High","MAC.Low","MAC.Close","MAC.Volume","MAC.Adjusted"
"2001-01-02",17.649597,17.765331,17.360258,17.360258,79700,5.63076
"2001-01-03",17.360258,18.170404,17.360258,17.881067,148400,5.799682
"2001-01-04",17.938934,18.054668,17.765331,18.054668,91900,5.855991
"2001-01-05",18.054668,18.170404,17.881067,17.938934,77900,5.818453
"2001-01-08",17.823198,18.228271,17.823198,18.054668,170800,5.855991
"2001-01-09",18.170404,18.286139,18.054668,18.112537,41200,5.874762
"2001-01-10",18.286139,18.980549,18.170404,18.749079,1301600,6.081221
"2001-01-11",18.749079,19.096285,18.749079,19.038418,433100,6.175069
"2001-01-12",19.038418,19.269888,18.980549,19.038418,579800,6.175069
"2001-01-16",18.633345,19.212019,18.633345,19.154152,105000,6.212606
"2001-01-17",19.096285,19.269888,18.980549,18.980549,133800,6.1563
"2001-01-18",19.038418,19.154152,19.038418,19.154152,27100,6.212606
"2001-01-19",19.038418,19.385622,19.038418,19.212019,263500,6.231376
"2001-01-22",19.327755,19.443489,19.269888,19.385622,129100,6.287684
"2001-01-23",19.327755,19.327755,19.154152,19.327755,68300,6.268914
"2001-01-24",19.327755,19.443489,18.864815,19.096285,961200,6.193839
"2001-01-25",18.980549,19.212019,18.980549,19.038418,59200,6.175069
"2001-01-26",18.691212,19.212019,18.691212,19.154152,55200,6.212606
"2001-01-29",19.073137,19.119432,18.989809,19.091656,35500,6.192337
"2001-01-30",19.091656,19.350903,19.091656,19.286091,104000,6.255398
"2001-01-31",19.304607,19.434231,19.258314,19.267572,41500,6.249394
"2001-02-01",19.258314,19.424973,19.258314,19.378677,32400,6.285428
"2001-02-02",19.286091,19.443489,19.276831,19.276831,82100,6.252398
"2001-02-05",19.350903,19.536077,19.304607,19.526819,73300,6.333479
"2001-02-06",19.443489,19.674959,19.443489,19.563854,56200,6.345491
"2001-02-07",19.489784,19.499043,19.119432,19.119432,162100,6.201344
"2001-02-08",19.304607,19.536077,19.258314,19.397196,46300,6.291437
"2001-02-09",19.350903,19.443489,19.137949,19.137949,149700,6.207349
"2001-02-12",19.193502,19.397196,19.174984,19.267572,70600,6.249394
"2001-02-13",19.221279,19.258314,18.989809,18.989809,163200,6.159304
"2001-02-14",18.989809,19.202761,18.869444,19.202761,324200,6.228374
"2001-02-15",19.184244,19.480526,19.184244,19.452749,100800,6.309454
"2001-02-16",19.452749,19.582373,19.424973,19.536077,160600,6.336483
"2001-02-20",19.443489,19.443489,19.212019,19.221279,201900,6.408229
"2001-02-21",19.221279,19.230537,18.878702,18.897221,105000,6.300191
